22823
AAAABBABABBBBBA BAAABAA
BBBB AAAAABBAAABA
BBBAABBBBA BAABA
ABABAAABABAAAAABA BBBAAABAAABAABBBBABBBBBBBABBBBAABBAABA
B ABBBBAAAABBAABBBBAABBBAA
AABBBABBABAABABAAAABBA BBABAA
BAAABBA ABAA
BABBBABABBAA AAABBB
AB BA
AABABAABABAB ABBBAABBBB
ABABABBBAABBABBBAAAAABAA AA
$ ABAB
AABBBABABAABABAABBAAABBAAAABAAABABABABABABABAAAAA AABABABBAAABABB
AAA BABA
AA ABBAABAAB
ABBAAABAAABABBBBB BBAA
ABBBBBBAB BABABBAAAABBBBAA
BAAAAAABBAAABB BBBBABBAABBBBBB
AAAAABBAA BAAAAAAABAB
BABABBA BBAB
BBAAAAABABBAAAAAABAAAABABB AA
AABABB BAAB
ABAABBBB AB
BAAABBBA ABBBBAAAAAABAAABAAAAB
AABBABAAAABBAAAAA BAAAAABAABBBAAAAAB
ABBBBA BBBBABABABBBAAAABABABABBBBB
AABAB ABAAAB
BBABBABABBBABAAABBBAAABAABB ABBBBB
AA AABBBBAABAABBBA
BBBBBABAB AAAAAABB
BBBBABBABAABABBBB BBBBABAAAAAA
ABABABA ABAABBA
AAAABBABBBBAABA BBABBAAA
ABB ABBBBAAAAAABABAAABAABBBAABAA
ABAABAAABABBA AAB
ABABB ABBAA
BAAABABAABBBBBB BBBA
ABBA AA
BBBBA BAAB
$ AAABAB
ABAABBAAABAAABBBABAAAAABABB AAB
BAAAB BAABAABBABAABAABAAAB
BAAABAB AAAABA
AABBABABBBABABABBAB ABBABAAAB
AAAABBABBBBAABABB BBABBAAABB
ABAAAA AABABB
AABBAAB BBBAAABBA
BAAAABABA ABAABBBABABBABBA
BABBABBABBBBBBBABBABBABB AABABBBBA
BBBB ABAAAAA
AAABA AAAABBBBA
ABAAAA AAABAA
ABBBAABAAAABAAABAABBBBB BBABAABAAABAABBBBBBBBA
AA ABABBBAB
BBABAAABBABBAAABB BBABA
BAAA BAAAAABAAAAA
A AABAAABABBBBBA
AAAAABBAAABBAABAAAA AB
AAABBAABAAABBAABBBA BBAABAABBBAAABAABBBBAAABBAAAAAAAABAB
BAABAAA A
BBBABBBBBAABAABBAAABBB AABBAAB
B BBBBABBABBA
B AAAA
ABABABBBAABBABAAAABA AAAAABBAAA
BB AAABBBAABAABBABBB
BBBBBAABABAABA B
ABAA BAABBAAABAABBABAABBBABAABB
BAAAABAAABAB BBBBBA
BBBBAA ABAAAAA
BAABABAABAB ABAAABBAAABBBAAABBABBBAABA
AABAAAABBAABABAAA A
AAABAAA AABAABBAABAAABBABB
BBABAABAAABAABBBBBBB AABBABB
BBABBAABBB B
ABAAABBABB BA
$ BAAAAABBBAAB
AABBABBB BBABAABAAABAABBBBBBBB
ABABAAAAAA AABBBABBBAABAAABBBABAAABA
BBABAA AAABB
ABBABBABBBBBAABBBBABABBBAABABABA ABABBA
AABB BAABAAAABAABBABAAAA
AABBABB $
A BBABBAAABBABBBBAAABBABBABABABAA
ABABAABAAAAAABAABBBBBBBBB ABBAAAABBABBBBBABAAAAAAABBBBB
BBAAABAAABAAABBAAAAAAB ABBBABBAAA
BBBAAAABBAAABBBBAABBAABBAA BBABBBBBBBA
$ BBBBAB
BAABBB BAAABA
BBBABABBBBBBBBBBAB BBAABBBBBABAAB
BAABABAAA BAB
ABBABBBBABBAAABB B
AA BAAAAABAABB
ABBAAAABBABBBBBABAAAAAAA ABABAABAAAAAABAABBBB
ABBAAAB $
BBAAAAABB AAAABAAAABBBBBBBAAABAAAAAABBBBABBABABAABBBB
ABBABBB ABBAABABA
BAABB AABBBABBABAAABBBBAABAAA
BABBAAAABBA AAA
BAABAABBABABAB ABBBBAABBAAABABAA
BABAA BBBBBBAAABBAABAABA
BABBBAABBB AABABBABAAABBABBABAABA
BABBAABABBAAAAABAABB A
BBAAABAB AABABABBAAAB
BABABAAAAABABB BBABBABBBABBBBABBBBABBAAA
A ABBAAAB
ABABABAB ABAABBAB
ABB ABBBAAAABAABAAABBAA
AAAAABBA ABAABBABBBAABBBAAA
ABAABAABBBBAABABBBBBA AABBBBBAABBAA
BAABAABBABABABB BAABBABBABBBAAABAAAA
BABAABBBBAAAABAB BBBA
AAAABBABBBBAAB BBABBAA
$ AAAAABBA
AABBA BAAAAAABBAAABBB
BBAA BBBBA
BBBBA AABBBABBABAAABBBBAABAA
ABBBBAAABAABBBBBBABA ABAA
AABBAAAABABAABBAABBA $
BB BAAAABAAA
AABABBBABBBBBA ABABBBAAABBABAAAAA
ABBBAABBBBBAA AABABAABABABBAA
BABB AAA
$ ABBAABABB
AABBABBAA ABBAAAABBABAAABAB
BAAAAAAABBAABAAABAAAABBBBAABBB AABAABBB
$ AB
ABAAB AA
ABBBBA ABAAB
AAA BAABABA
BBABABAAABBB BA
BABABBAAAABBBBAABA ABBBBBBABBA
AB BBABBABABABBABAAAAAAAA
BABB BB
AABABBBBAB AAAB
BBBABABBBBBBBBBBA BAABBBBAAABBBAAAA
AAAAABBAA ABABABBBAABBABAAAAB
BAAAABAAABA BABBB
AABAABBBAABA BAABABABABB
BBABABABBBBBA BBABABBABAA
BBBBAABAAABBBA AAAAABBAAAABABBAAB
BAAABBBB BAABBABABBBBBAAAAAA
BBBAABAAABB ABBBBABBBBBBBBAAB
AABAAAABBAABABAAA AA
AAABA BABBBA
BAAAABAABABBBABBBA BBAAAAAB
BAB BBABB
AAA BBBBBABBBBAAAA
AAAB $
BAABABAAAABBBABAABBAABBA BAA
AABBAAAABABAAAABBAABBBBBAA ABBBBBBA
AABAAAABA BBAAB
ABAAAABABABB ABBBBBBAAABAAAAABB
BAA AAAA
AABABAABABABB ABBBAABBBBB
BBBBAABABBBAAAA BBAAABABAAB
ABABBBAABAB BAAA
ABA BBABBBAABBABBAB
BAAAABAB BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAABAB
AAAABABAAA ABBBBAAAAABB
AAAABBB AAAB
ABBAAAAABABAAAABBABABABBBBABAABAABA ABBAAABAAABABB
ABAABAABAABBABAAAAABBABAAA AAB
BAAABBABAA BAAB
AA BAABAA
ABAAAA $
BAABA BAABABBBBBBAABAABB
ABAABAABBBBAABABBBBB AABBBBBAABBA
BBBBBAA ABBAA
AABABBBAABABBAA AABA
BBABAABAAABAABBBBBBBBAB BBAAABAABABBBABBBBBBA
ABBBBABBBBBBBBAA BBBAABAAAB
BAABAABBBBABB BBBABA
AAAAABAA BBBBBBAB
BBBAABAAB AAAA
ABBBAAAABAABABBBBAABB BAAA
A BBBABAABA
AAAABA BABBAABABBAA
BAABB AABABABBAAB
ABAABABAAB AAABABABBAABAABAAA
AAABBAA BBBB
BBBAB BAAABABAABBBBBBB
BABB ABABABBBB
BB AAABBBAABAABBABBB
ABBBBBBBABAABBBABBAABA BAABBAABAABBA
BB BBABBABAAA
AABBABBBB $
BABAABBBAABA A
AAA AAAABBBBBBBB
BAB A
AAAABBABBBBAABABBBA BAA
BBAAAAABB AABAAAB
BAABABAABAB ABAAABBAAABBBAAABBABBBAABA
BBBAABAAABBB ABA
BABBBABA BBABBBBA
B BB
ABAAABAAB BAAAAAAAAAAAAABBABAAABBBBAABBBBBBBBBBABBABBBAABBBABB
AABBBAABA AA
ABABABAAAAAB BBAABAABBBAAABAABBBBAAABBAAAAAAAABA
A AAABA
BAAAAABAAABBA AAA
AAABBAABAAAABAABBBBAAAABABBBBABABBAABBBABAB BBAABBBBBAAABB
$ BAAAABAAAABAA
AAABAB AABABBABBBAAAABAA
ABABBAABBBBABAA BAABAB
AABABABBAAA BBAAABA
BBBABBBAABB AABAAAAABAAA
BBABAABBAB BAAAAABAABBBAA
ABBBAAABA BAABABBABBA
BBBAABABBAAAAABBBAAA $
AAAAABA AABB
AB BBAABBA
BAABABAA BAAABBABAAABAA
$ AAABBAA
BBABBAABABBABBABBABBAAAAA AAAABBBABB
BAABA BABBAABBAAAABBBABABAAAABBBB
AABAB ABBBBABAABA
BABBAAABABBBA BBBABBBAAB
BAABA BBBABBBABBABBBA
AAAAABB ABABABBAA
$ AAABABAABAAAAABBAAABB
AABBBAABA BA
AAAAAA $
AAAAAAABBABAA BBB
AABBABAABBAB BBBBBBAB
AABAA BAAAAAAABBAABAAABAAAABBBBAA
AABABABBAAABA BBBB
ABBABB BAA
BAAABABBBBABABAABA AAAABBAABBBB
AABBBB AAAAABBAAAABBABBAABBAAAABBAABBBABBAA
AABBABAA BBBB
ABBABBAB BAAAB
AABAAAAABBA BBBA
AABAAAABAA BBAABA
A BBAAABAA
BAAA ABBBAAAABAABABBBBAABB
AABBBAB AABAA
ABBBBAABAABBABBABABAAABAABB BBABBAAA
BABBBBA BAABBABABBBBBAAAAAAA
$ AA
BBABBAAA AAAABBABBBBAABA
ABAB AA
ABBBAAABABBAAABAABB AABBBBAAAAAB
AAAAAA BBABBAABAAABABABABBBA
BBBABAAABBAABBBAABAABAAAAABAABABABB ABAABAA
BAAAABAAABABAAAA BAABBBBBB
BAAAABABB BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAABABB
ABBBBBBABAAAABABAABBAAABBB BBBA
$ BAB
BBBABAABBBBAAAABA BBAAABAAABABABBBBA
BBBBBAA BABB
AABBBBBAABBBBABBBBAAAAABBBB BABBAABBABBAB
$ BAABBABBB
AAB BABB
B AAAB
BBBBABBA AAAAAA
BBAAAAABABAABBBBAA BAABABAABABBBA
ABA AAABBABBABAAAAABAABAAABABA
ABBABAAAAA ABBBABBBAB
BB BAAAABAABBBBBBAAAABBAAAAAAAAAAABAAABAAABAAABABAAAAA
AB AABBBAABABB
AABBABABBAAABAAABBB B
AA BAB
AABB BABAA
BAAAABBBBABB AAABAABBBABBBA
BBBABAABAA AABA
ABAAABA AABBABBBBB
BB AAABBABABBBAA
BBABBBBBBBA BBBAAAABBAAABBBBAABBAABBAA
BABAA ABBABBABAABAA
BAABA BAA
BAABBBBA ABBABBBBABAABBBBAAA
ABB ABBBBAABBAAABABA
ABBBBBBABA AABABAAAABBABBAAA
BAABAB BBBABBBABBABBBAB
BAABAAAABAABBABAAAA AABB
BAAAB BAABBABABBBBBAAAAAAABBB
ABAABA AAAAABBA
BBBBABABABBBAAAABABABABBBB BABBBAABB
BAAAAABAABBA AAA
AABABABBBAB BBABBAABABBABBABBABBAAA
BBABABAAAABAAAA BAABBAABBBBA
A ABBBABB
BAABBAABAA BBBBABABBBABB
AAAAA BBBABABAAABABABAB
ABAAABBABBA BAA
BABABBABAABBBABAABAAABB AA
$ ABBBAAAABAABAAABBA
BA AB
BABABBAAAABBBBAA ABBBBBBAB
AABBABBAA ABBAAAABBABAAABAB
BAABBAABAA BBBBABABBBABB
BABAABAABBB BBAAABBBBBBABBBABBABBABBBAABAAAABA
BBABABAAAABAAAA BAABBAABBBBA
AAA BBBBBABBBBAAAA
BAABBBBABABB BABBABBBBBA
BBABA BAAAAABAAAAA
BAABBBBBBAA BAAAAAABBABBAABBA
AABB BAABAAB
BABAABBABBABBAABAABBABBA ABAABABA
BAABA BBBABBBABBABBBA
BBBBBABBBBAA A
A BBB
BABAABBBAABBBBAAABBBABBAABAAB ABBABBABAABAA
BBAA ABAAB
ABABBAA AAAAB
BAAB BAAABBAAABBBABAAABAAABA
BBAAA BAAAAAAABABBBBBBAABABAABAABABABB
AABABBABBABABABABBBAABABAAAB AAABBAA
BBBAABAB BBABABBBABBBABB
AAB BAABAA
$ ABAABAB
BA BAA
BAABAB BAAABBABAAAB
ABBBBAAAAABABAA AAABBBA
ABBB BAA
BAABB BBBA
BAABB AABABBB
AAAB ABABAB
AAABABBBAABABBBAAAB B
BAAAABAABABBBABBBAAABBAB ABAABAABAAB
BABAA ABBABBABAABAA
AABABABABBAA BB
BBABAAABABABBBBAB AAB
BBB BBABBABAAAB
AAABBBAABAABBABBBBA BBABABAAAABBBAAABABBABBAAA
BBBBABB AAAAA
ABABBABB ABABA
BABBBBABABAAABABA BABBABAAA
BBABBAABB BABAABB
BABBBAAAAAAAA $
BBBAABBBBBABBBBBAABBBBB AAABAABAABBAA
AAAABBAABBB ABBAABA
BAAAABAB BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAABAB
A ABAABABABA
AA AAAABABABAABABABABAA
BBABBBBBBBAB BBBAAAABBAAABBBBAABBAABBAAB
AAABABABA BBABBAB
AABB A
ABBAAABAABBBAAABAAA BABBBBAABBAABAABABABBBAABA
AABBBAAAABAA BBBBABB
BBAABAB BABBBBBBBABBBBABBBBAABBBBAAABBAABBBAAABBAABBAABB
$ AAA
ABABABBBAABBABBBAAAAABAAAAB AAAA
BBBAAA BBBABBBABBAAB
BAAAABAABBBAABBA BBBBBAA
ABBAABABABABB AAABAAAAABABABBB
ABBBBAABBAAAB $
$ AAABAB
BBBBABB BBBAABBBAAB
AABBABAABBAB BBBBBBAB
BAABAA BAAA
ABA BBAAA
BA BAAAAABAAA
AABABB AAAABBABABAABABABABAB
AABBBBBABBAABAB AAABAAABBABA
BAA ABABBABBBB
AABAABAABAABA AAA
BBABAA BAABB
AA BBABAAAAABB
ABBABBABBBBBAABBBBABABBBAABABA ABAB
BAABAAAABAABBABAAAAB AABBB
AAAAABB ABA
AAAAAAABBAAAAAB AAAABBBBBAB
ABABAABABB BAB
$ BABBAAAABBAABAABBBAAAABBBBAAABBBBBAB
BBBABAB ABABBA
AAABBBA ABBBBAAAAABABAA
BBAAA AABBBAABAAAABBBB
AABBABABABABA BBBABB
BBBA AABBBBAABABAB
BABBAAABAAAAB ABABBB
B BAAAAABAA
ABAAABABAABBBBABBBABAAAAAABBA BBABAABAAAAB
ABB AAAABB
ABAABAABBBBAABABBBBB AABBBBBAABBA
BAABBAABABBBBAAABBAABABB $
BBBABBBBBABBAAABAABABBAAAA ABBAAABAABBAABBBBAB
AABBBBBABBBAAAABBBBAB ABBABB
B ABBBBBABABBAABAABBBBAA
BAA BBBABBBABBABB
ABBABBB AABBBBBABBBAAAABBBBABB
ABBAA AABBBAABBBABABAA
ABAAAAA BBAABAABBBAAABAABBBBAAABBAAAAAAAABA
BABBBAAB BBBBABABABBBAAAABABABABBB
AAAABBB AAA
BBABAAABBABBAAABB BBABA
ABBBBBBAB AABBBAAABA
BBBBAABA AABBABB
ABAABABB ABBB
ABBAAAAAABBBBAB BAABBBBABABBB
BBBB BAAAAAABBABB
ABBBABB A
BBBAAAA BB
B BAAABBABBBBBABAAABABABB
ABBBABAAAABAABBABABBBB ABBAABA
BBBAB AAABBBAABAABBABBBBAB
BAAAAAAABBAABAAABAAAABBBBAABBB AABAABBB
BBB BBBBBABAAABABBBBBBABABAABA
BBB BBBBBABAAABABBBBBBABABAABA
BABBBBAB ABB
$ AAABABBBA
AABBBBBAABBBBABBBBAAAAABBBBAAB AABBAAAABABAABBAABBABBBAB
BAABBAAB BBAAAAABBBBABAABBBBBAA
AAA BBBBABABABBBAAAABABABABBBB
BABABAABABAABABBBBBB BBBBABBBBABB
BABABBBAABBAABAAAABBAAA AAAABABBABABAAABABAABBBABBABBBB
AAAAABBABABAABBBBB BBBBBBABAAB
BAAAABBABAABAAA BABAA
AAAAAAAABAABBAAAAB ABB
BBBBBBAAAABABBBBBBBAA $
BABAAAABBA AAABABBB
BBABABAAAABAAAAABBBABBA ABBBBBABBBBBBAAABABAABAAAAAAABB
ABBBBAAB ABBBBBBAA
A ABBBAAABABB
BAAAABAAAABAA $
ABAABAAABABBA AAB
ABABAAA ABAB
BABBAAA BABBBBAABBAABAABA
AAAA BBBAABAAB
AAAAAAABBAAAA AAAABBBBB
BAAAAAABBAAABB BBBBABBAABBBBBB
ABBBBAAAABBAABBBBAABBBAA B
AAABBABAAABAABA $
BBABABAAAAB BBAA
ABBBBAABBAAABA A
AAABBBBABA AAAABBABBBBAABABBBABBBA
BBABAABABBBBAABABBBAB ABBBBBBABAABBABBABABABAAAAAAAABAABABAAB
B AAAABBBA
BAB ABBABBABAAB
B BAAABBABBBBBABAAABABABB
AAAAABBABABAABBB AAABABAABBAB
AAABAABAA BBABBAA
ABBBBAAAABBAABBBBAABBBAAB BB
AABABAAAA BBB
AAB BBAAABAAAABBA
BBBA BBBAABBBBBABBBBBAABB
BBABAA ABABBABBB
BBA BAA
ABBAABA BABABBABBABBBABBAB
AAABABAA BABA
AABBBBBAABBA ABAABAABBBBAABABBBBB
BAA $
BBABBABBBABBBBABBBBABB ABBBBAABBAAABABAAB
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAA BAAA
AAAA AAABA
AB AABBBABBABAAABBBBAA
A AABABAB
BBABBAABABBABBABBABBAAAAA AABABABBBABAA
AABAABAABAAB AA
$ AAA
AABAAAABBAABABAAA BBABBAABBBABA
$ AABAABBAABAAABBABBABA
BABAAB BAAAAAABAAABAABAAAAABABBBABAAA
ABBABBABBBBBAABBBBABABBBAABABABAA BAAAABAABBBAAB
ABBBBAAB AA
BBBBAAAABBBBBBBAABAABBBAAAA $
ABBABBBBABBAAA AABABBBABB
AABBABAABBAB BBBBBBAB
BBBBBA AAAABBBBA
AAABAABBBABAAABAABAAAAAAAAAAABAAAAAAAAAAABAAABAAAAAAAAAAABAA BBAAABBBAB
AABBAABAAABA BABAABBBBBBA
B BAAAAABAABBABA
$ ABAABABBB
AAB AAABAAABAABAAAABA
BBAA ABBAAABAAABABBBBB
AABBABBBA $
ABBBBAAABAABBBBBBABAAA BBAAABB
BAAAABAAAABBAAABBBABBBBAAAAAABB BBAB
BBABABBABA BBABABABBBBB
BAABABAABABBBAAA BAAAAAAABAABAAABAABABABAAABA
BABAA BBBBBA
AABBABAABAABABABAAAABAAABA ABABABAAAAAABAA
BBBBABABBBAB BBBBAAABB
ABBBABB A
BBBABAABAABBAAAABAABAA ABAAAABABBBAA
AAAABBBB AAABB
B AABBBABBBABABAABBABAABABABBAAB
ABAAAB BBABBAAAABBBBAABAABAABABAABABBABBAA
AABBBA AAABAABBBB
BBABBAAABB AAAABBABBBBAABABB
BAAAAAABBAAABBB BBBBABBAABBBBBBB
AABBAAABAABAAAABBBAAA A
ABBBBABBBBBBBBAAB BBBAABAAABB
ABABAAA ABAB
AAABBB BABBBABABBAA
$ BABBBBBAAB
BBABAAAAABB AA
AAAABBABBBBAABABB BBABBAAABB
$ AAAAAA
ABBAAAAABABAAAABBABABABBBBABAABAABAB ABBAAABAAABABBB
AABABA AAAB
BAAABA BAAAAABAAAAABA
$ AAAAAA
BABBB BABABBAABA
AAABAAABAABAAAABA AAB
ABBA ABA
ABB ABAABAB
AAAABBABBBBAABAB BBABBAAAB
ABBAAAAAAA ABABBBBBBAAAAB
BB ABABAABBB
$ ABBABABBBABBBABBB
AAABB B
BAAAB BBA
AAAAABA BAABABBABBAABA
BBBBA ABAAAA
BA ABBBBBB
BABBAAA BABBBBAABBAABAABA
ABABBABBAA $
ABBA AA
BABBAABAAA BBAABAAAABBAB
BABBBBAABBAABAAB BABBAA
AABBABABBAAABAAABBBA BBABB
BAAABABBBABBBBABBABABA AAABBBB
BBABBA AAABAABA
BABB AB
$ ABBAAABABAAABBABABABABBBBAAABBAABBBBB
AAAABAAAABBBBBBBAAABAAAAAABBBBABBABABAABBB AAB
AABABABA ABBABBABAB
BBBABB BAAAABABBABBBBBB
ABBBABBBAAABBAAAABABABBBAAAABAAAA A
AABBABAAAABBAAAAAAA BAAAAABAABBBAAAAABAA
ABAABAB BABAABBABBABBAABAABBABB
$ AA
BBB AA
BAABBBBBB BAAAABAAABABAAAA
ABAAA ABBABABBA
A BB
ABABABBBBABAABBAABBA BBAAB
AAAAAABBBA AAAAABBBA
BBBABAA ABABBBBBABAAAABA
AABBBABA BBBBAAABAABBA
BAB AABAABAAAAAAAABABA
ABBABBAAAABABBBBAAABAAABBBAABBBAABABAA BABBBA
ABAAABBAAABBBAAABBABBBAABABB BAABABAABABBB
$ BAAAAABAABB
$ BAABABAAA
ABBBBBAAAB AABABAABB
AAAAAAAAABABBBBABBABA BAABBABBB
BBABABAAA BBABBAABAABBABAABBB
BBBAABAAAABA ABABABBABABBABABAABABABBAA
AAAAAAABBBAB AABBABAAAABBAAAAA
AAAABBAABBBA AAAAABBAAABA
ABAB BAA
BB AABBBBBABBAAB
AABBBBBABB ABABBAA
AAAAB AB
ABBABBBBABBAAABB BABABBABBABBBABBA
BBAB AABBABAAAAAAB
BBABAABAAABAABBBBB AABBA
ABABB ABBABBABBBBBAABBBBABABBBAABABAB
ABBBB BAAB
BBABB BBBBBABAABAAAAA
B BBABBABABAAABBAABABBA
AABBABBB BBABAABAAABAABBBBBBBB
BAAAABAAABABAAAAAAA BBABBAAABBABBBBAAABBABBABABABAABBAA
BB A
AAABABBAABAAAAABAAA ABABAA
BAAAABBABABBAAAABBBBAAAABAABAABABAAA $
$ ABAAAAA
ABAAA BBABA
BAAAAAABBAAABB BBBBABBAABBBBBB
B ABBBBBBAAABABBAB
ABBAAABAABBBAAA ABABABBB
BBBABB AAABBBAABAABBABBBBABB
AA ABAB
BABABBBAABBAABAAAABBAAAAA AAAABABBABABAAABABAABBBABBABBBBAA
AABBABB BBABAABAAABAABBBBBBB
AAABBBB BABABBBAABBAABAAAABBAAAAAA
ABA BBABBBBBBAAA
AABBABABBBB ABBAAAA
BBAAAABBAA BBBBAAAABBABAAABBBA
ABBBBB AAA
AAABA $
ABBABBBAAAAAABBBBAA AAAABBBBBBABAAABBBAB
AAAAAABAA BABBBBABAAA
$ BAABAABBBBBBBAAAB
BBAA BAAAABABABBBABBBAABBBBB
ABBAABBBBBABAABAAAB AABBBAA
BBBAAABBABBBB ABBABBBBBABBBABABBABBABBBAAAAAAAB
ABAAB BBABBBBAA
BAAAAB BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAAB
BAABA BBABBBABBBBBAAAAA
BBBBABABABBBAAAABABABABBBBBA BABBBAABBBA
AABABABAB ABBABBABABB
BBBABB ABBAAA
AAABABAABAAAAABBAAABBBB BB
BABABAABABAABAB AB
ABABAABAAAAAABAABBBBBBBBBB ABBAAAABBABBBBBABAAAAAAABBBBBB
BAAAAAABABBAB $
BBAB AAAB
ABBBBBB AABBAAAABABAAAABBAABBBBBA
AAABB ABAA
AA AAAABBBABABAABAB
BBBBBABBBBAA A
AAAABBBBBA AAAAAAABBAAAAA
BABAAABAAABABABBBABBBBBABAA BBBBAABBAABABBAAAAABAABAABAAAAAAAAAAABAAAAAB
BBBBABABBA BBBABBBBABAABBAABBABBABAAAABBA
AAABAA ABAA
BABBABAAABAAABABBBAABAAABAAABABAAABBABAA BBAA
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAA BAAA
BBAAABAA ABBBAABBBABBABBA
AAAABAAAABBBBBBBAAABAAAAAABBBBABBABABAABB BBAAAAA
AAABBAABAAAABAABBBBAAAABABBBBABABBAABBBABA ABBAABB
ABBBBABABBAA BBBAABAABBA
BAAAAABBBBAABABABABBBAABBAAAAAAA ABABB
AABBBA BBBABAABAABB
BAAAABABB BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAABABB
A $
BBBBAAABBB BB
ABBBBAAABAABBBBBBAB ABA
$ ABABBBBBBBABBAABA
BABAABB AAABAAABAAA
AAB BAAABBABABBBBBABABBAABAA
AAAABBBBBBAAAB ABBBBAABAABBAAB
AAAAAAB BABBBBABA
AAABBAAAAAABBAB $
BABAABABBAB AA
BAAAAABAAAAABA BBABABA
AAAB B
AABABABBBABA BBABBAABABBABBABBABBAAAA
BABBBBABAA AABAB
BB BBBAABABAAA
ABBAAAABBABBBBBABAAAAAAABBBB ABABAABAAAAAABAABBBBBBBB
AABAABAAAAAAAABA ABBBBABAAAAABBABAAAB
BBAABABABBBBBBAAABA ABAABABABA
ABB ABAABAB
AAABABAABAAAAABBAAABB A
BAA ABBBBBBA
BBBABAABBBBAAAABAB BBABBBBBBBABA
AAAAABAAB AABBAB
BBABBBAAAABAAABAABABBABAABBABA BB
AAAAABBBAAB AAAAAABBBAAB
AA B
ABAAABBABBABBABBABAAABBB AAAAAAABABBBABA
BABAABBBAABA A
AABBA AABBABBAA
BABBAAAABBABBB BABBAAAAAAAA
AB BBAAABAAB
AABBB BAABAAAABAABBABAAAAB
BBBBABAA AB
BABBBAA BBBBAAABAAB
BAAAAABBBBAABABABABBBAABBAAA $
ABABBABBAAA BBBBBBBABBA
BBBAABBAAB BABAABAAABABABBA
ABABBBAAAABAB ABB
AAABAAABBBBAABBAABBA B
BBABABABBBBBAA BBABABBABAAA
BBABABBABA BAA
BBAAABBABAABBBABBABBAA AABBBBAABABABB
BBBABABB ABABBAB
BBBABAABAABBA AABBBAA
AAAAABBABABAABBBB AAABABAABBABB
BAAAA AAA
ABBAAAAAABAB ABABBBAABABBB
BABABBBAABBAABAAAABBAAAAAAABAA BBAAABAAAAABA
BBBABBB AAABBBAABAABBABBBBABBB
BB ABBBBBBBBBABBAABB
A $
ABBBBAAA AABABBAAABBBBBAAB
AAA AAAB
A BABBBAAAAAAAAA
AABABBBB BAAAABABBBBBBA
B A
AABAAAABBAABABAAAA BBABBAABBBABAA
$ AABAAA
ABAAA AAABA
AAAAAABAABA AAAAABBBAABB
$ BBAABBAAABBAAABAAAAABABAA
$ BAAAAABBBAAB
ABABB ABBABBABBBBBAABBBBABABBBAABABAB
AAAA ABABABAAB
BAAAAAAABBAABAAABAAAABBBBAABBBABAA BABBAABBBBBB
BBBBBA ABAAA
BABBAAABAAA B
AABAABAB BBABAABBABA
AABABBAABABBBABBBBBBBBABBBBABBB ABBBBABAA
A AABBBBBABAAABBABAB
$ A
BAAAABBABAABAA BABA
AAABABA ABABAABABABBB
ABABBBBBAABBBABBBABBABAA AAAAAABAAB
AAABABAABAAAAABBAAABBBBAA ABBBABAAAABAABBABABBBBAB
BABBBBAABBAABAAB BABBAA
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAA BAAA
ABB BAAB
ABAAAA AAABAA
AA ABABBBBBBBABBAABAAA
AABAAB BBAAABABAB
BAABBBAB BABBA
AAAABBBABABAABABB AAB
BABBBBAABBAABAABAB BABBAAAB
AABBAB BAAAAAABBAAABBBB
BAAAAABAABBAB AAAB
AAAABAAAABBBBBBBAAABAAAAAABBBBABBABABAABB AA
BAABBBBAB BAABAA
AAAAAAA BAABBAAABAABBABAABBBAB
BAABBABBABBBAAABAAAA ABBABABBBBAAABBBBB
A AAABBAAAAAABBABA
AABBAAABBB BBABBABABBBABAAABBBAAA
ABAB $
BABAABBBBAAAABAB BBBA
BABAAB BBBABBBAABB
$ BAA
BBBAABBBBBABBBBBAABB BBBA
BABBABAAABAAABABBBAABAAABAAABABAAABBA B
BAAAAAABBBBABAABABBBABBB AA
ABA AABABABABB
AABBBABBABAAABBBBAABAAA BAABB
BAB ABBBA
AABABAAAAA BBBAAAABBB
BABBBABAAABBBBBAAABBAAA BA
BABAABAAAAAB ABABAB
ABAABBBA BBABABABBABABBBBBAABAAA
ABBBABBAAAABAB BAABBAABBAABAAAAABA
AABBABAAAABBAAAAAAAB BAABBABBABA
$ BA
ABAABBABB BBABBAABB
BAABBBBBABBABB AABBAAABAAA
AAAAABBABABAABB AAABABAABBA
$ BABBAAAABBAABAABBBAAAABBBBAAABBBBBAB
AABBBBAABAABABBBAABAABABAAAB BAAAAAABBBBABAABABBBABB
AABBABBBBB BBBBABABABBBAAAABABABABBBBBAAA
AB A
ABAAAA AAABAA
AABBA BABBBBABABAAABABA
AB AABBBAABABB
AABBBBBABAAABBABABB AAAAAAABBA
BBBBABBAABBBBBBB BAAAAAABBAAABBB
AAAABBAABBBB ABAABBBA
A BBABAAABABABBBBAB
BBBABBBBBAABAABBAAABBBA AABBAABA
