28044
DXAU` XPCm
ecSL m[oa
cUTFV [BF[E`Er[V
[LYjeTSFScU`aQeK_N`OOfYqcG ]lA]lAKU`QAaIiEOcEPTAbA
B KameB
cFRFnC\ fP
rJkC^YK_B ZeQejXBCm^
]lKf`^]_OOB]_N PcalpPCU`Lap^]_N`ON
imJhFRFnC^n [hBX^UrWFBTCpma[
DWBocMTdhaaIOncYM]]RRMM ]jfP`XpcAQeqcY
P`EC rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma
YAA LA
DfmHVPTFVOrrBrBrrrBBrBBrrr rTFVOBB
MTjPVMpU`aU`QVPV Bp`YXhV
KaINiSFRkPnniWjj rPganhJ_
f DBan
klU`JkV`^ qjAZ]_flTGnYmLQa\An
j[jqqjAZC_B]lIidEPl KQfYje
]Vp\PPLSLqBMRQjlY [qBZZSBQIZ\paYKlY
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
M]j inhAI
MmpaI\l WA^emmMG
LSBjkTdP kTd[
b[aa Pm
ecPMWmTaP MTlAPVMSc
kTA ZSD\AU`LabYcKQ[rc`ErTLa
ilCmaY ]Vp\PPLSLqBMRQjlY
r_ Dhi_
V`QZ]lIYJ Mm\V`maI
eEPTSKmaYqcENcE[lB\F iVZr\mq[F
rCJF fPVIMbJF
DXXgQfVZ\[FV ]e
klTWYKm\lVT` iV\pQflh
rP^NcP rCYA^]_oflganhd\llnl^dB
rVMmJ fGDmP
rrWg^]_OOflShih AXfemamJD
DmlB^]KllpcBV`^]_B KmQj_N`OfYjXjiLYK
iVrSV`amArmd[P\ WoDDT]q
$ Df
]PqSa^ ZpV`^]lVe^
DWoj_N`Ofnfme PVP`K
rJkC^YK_B]_N ZeQejXBCm^]_N
ginfTjW r`
fHK [S
DhLUbXB rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^
MKTj[SnoV`U`amaZ DBQUR^]_B
j[jqqjAZC_B]lIidEPlU WoecPU
ZZho`ag^]UVLBTS PXeQURalYnXCQ
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
WJFnr`pVUW^l c
ZR^]llrpmaVhmLa\m jZY\\cU`
rcVP`\FVO rV`U`kcanWUTFVOrrrBBBBr
kN W^LE\lVhmqDMT
DWBocMTdhaaIOncYM]]RRMM ecYM]]MM]
rr`ErDKU`dRFgeKeKeQReKeQmo`QmK WJFgeQmo
DWaT^T\TqpanfJBc[E]lNcSiYK cBYA^]
KQejJSIfaU`qYUcXR^]llEWR rcmQXLBFjlleale
f`Z^]KlVHTM Zr
kch`l fPrWCQULEe
mj mhj
dIh\_f\Hq Mm\c^]_H
mnT cBXEYE^BoMT
$ ZLBUrYE
iVTPV`am DiBLjqLl^F
rVGecSbjfa Naaaaaaaaaaaaaa
DijijqhTCma K^]hf
ZR^]llrpmaVhmLa\m jZY\\cU`
kcG[cSD [jeFKrccQflTGfmc
cdEihNcE[T ecE[ZInhT
fP`^LEi_d iROcb
[DZNcMSPm kTADhAjllT`U`
rCYA^]_oflganhd\llnl^dB rP^NcP
K^]hf Z^TgQRkPhXEYECmaYqcSi
Df $
Z\ ameTrScm^]UfVr
r ZnIi
m` ]lA]lAKU`QAaIiEOcEPTAb
ZT`alpcV`m^]lIXBR^]lYjeU`YXe SPrYELTR
fMTQXgU`aU`QAmQI m
]lNAZLLl^TYDTaU`qTQmLaYPmQ Bp`YXh
fPVIMbJ rCJ
ZLh mc
kcY]]]MM]M]] JeY]M
cUr`EpVPCTGUg klTeU`qbXg
kcPBXLSnoL $
c MJcPTEW^i
]jPm b[aa
cTR^]_ [Tem_
KQej DDMpJI\lI
ff` ]lAPVMTaa
n kcS]l]
rcAQej\llr WE[lUCoqfPVMbYcUJf
YA L
$ eS
WXrTaQIb YA
f`U`dfVRamiLV\ e
DXAU`aaIXjAhdRkcXCU` ]PqS
rVPCJF dB
iROcb cTRaVemQL_d
rcmqpU`QmqY MQVjegSYp]
klTpPSWUPr cINPcl`q
cUTFV [BF[E`Er[V
f`Z^]KlVHTM Zr
[jqqBaIeI^p KmU`amQRFn
fPcA^]_OOO f`^]lPh\_OOOM
[hUrW^UcXLr r\`mVamLcPN
rrW DiBR]lIEAIKaVhcQhaamihTZ
cdEAejAZ] DmlB^]KllpcBV`^]_B
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH UCJFg
ZeQh jZY\\cU`
DDMpJI\lI ZrpQLE
DDMpJI\l WXE`ErY[Sj_B]_f
ZgU`QmLa f`Xmq
DDDcNccG ecE
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
KTjecPB DBQ[`
mh m
cNc Dfc
cUTFVO [BF[E`Er[VO
kcY]]]MM]M] rcU`aQ[PZcWY
ZgQURmQLhDFjlmJLI\_N`O fM\c^]_OO
Fp PV`QI]
a[^ERihrTP Dfm
WYAgQgeqcYWM ecY
WE[lUCoqfPVMbYcUJf imeT\
DmlB^]KllpcBV`^]_B K^]_B]
akchTdP rcXeQIMJch
DJ MWJcPd
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE\ Pc^]
mAj rVGecSbj
rTFVOBB DfmHVPTFVOrrBrBrrrBBrBBrrr
ZT`mU`aU jZY\\cU
DJWNcYM] MJcY
cdj cC^HLj
r\`mVamLcP c
rJkC^YK_B] ZeQejXBCm^]
iNFfn DijijqhTCmamX
rTFLV fMDDXmLa[FV
mA ob
cUVgG DijJqjeF
r\`mVamLcP c
$ echlBJkPRU`La
VQ cBo[qj
m[a \M\m^cU`qYNK
DfWW WW
ZTPZPSWTrYcNcG ecG[Td
WocUCofP eDWdBPSfm\mQXqp
O mA
KQnok akch
Mm\XpPeU`dn^n [LmO
kTAfGF[VP`oW DijJqjeFn
[jeFKrccQflTGfmc kcG[cSD
j[jqqjAZC_B]lIidEPl KQfYje
mA O
]jMm[FVOrrBrB DfmHVPTFVOrrBrBrrrBBrBBrrrr
mhj mj
cBo[ BjL
[kcPad fMTQXgU`aU`QAmQIcd
MmpQ^J f`mmaYK_flYR
ahdBF^U`K ZhmdrXRQUCmQrAQhaU`LaePPP
klTeU`qbX cUr`EpVPCTGU
[BF[E`Er[V cUTFV
f imJhFRFnC^nn
nPT PXprYEYrc
iI\_ cUr`EpVPCTGUg^]_
D cFIkTdPcS
kM kcGP
ZmgqmUQea cUrYER^]_B]lniBrb^Y
kcPdSU^NchchTAMm\cmQ[TFVO TrSVT
]LjH kTd[lFhamU`q
cmaal\` fGD
PcU`LaePPPUFP ]j
KaIircP ]lNNA[Jqh
ZSBH]U Pc^]_OON`O
WJkCJkT DiB[
Z^NcG[Td[TA kUU`Jkr`ESffTj
fPVGeqc ZTPZPSWTrYcNc
cFLhFeK DmlB^]KllpcBV`^]_B
KalLLlhXhrYM kTAM
$ ZCU`dRFn`
rJkC^YK_B]_ ZeQejXBCm^]_
mAj fPWnFV
ecE[ZInhT ecG[cE[TNN
cFflnniBZRQrAFej KaI
cNc Dfc
DDpU`a fFTqm^P]lelgm
AlY K^]lm
K _dBFnYA
fGRHL [hBJk
ginfTjWD fMTqmPP
DfW W
iI\ cUr`EpVPCTGUg^]
eFPOXV rVMTqpmU`q\XRaVL
PXT`_U`a^R cThVPcmdj
bm fMDWob
W^CQ [jeFKrccQflTGfmc
Pc^ MKTj[SnoV`U`amaZ
r^KXeam imJEArXpPRU`a^]llT`manh
[LIJhBYmLa DWoj_N`Ofnfm
KmUi` ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU`
[qjXjeFn^EW\Smq WYmL
MmpQ^J rCJ
WA^emmMGY DBQe
Oj mAj
cC^HL cd
Mm\V`maIX $
rP^NcP [Jh
FDImU`dE cFhd
]j imr
kcY]]]MM]M]] JeY]M
ecE nHjOcEPVNcE
kTd[coTTK^]lIOc iYqc
ZLCmaVe PAal
]lKf`^]_OOB]_ PcalpPCU`Lap^]_N`O
PA ZZeanh
XRQRFVOGrmd[rYER]ll\SMmpc rrW^dBUcc
KB ZZ
iIeUVPrYEnIedrcSW B
rrW^dBUc XRQRFVOGrmd[rYER]ll\SMmp
BjLq cBo[q
ZeQejXBCm^ rJkC^YK_B
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB r`mFVOB
FW kTAM
PAU`LaYW\FVOr Pjq
D rPLE
rCJ MmpQ^J
ahdBF^U`K cB^TMm
e nHjOcEPVN
MmTaU`ammmU`amaIOc echTd[TdPcR
MJcG[ldLnDScmU`aU`La\mam^ rcV`mU`QaXgQZ
$ f`a
WXR fFTqm^P]lelg
D ZZho`ag^]UVLBTS
kcGPcSNa NaaaVa
rCYA^]_oflganhd\llnl^dBd ilrYkldjq
[LIJhBYmLa DWoj_N`Ofnfm
ZTPZPSWTrYcNc fPVGeqc
cBXEYE^BoM mn
L[Oaaa mjf
iIeUVPrYEnIedrcSW B
]lNNA[Jqh DW
cUPTPVMYK SWUigm
P`EC rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma
ikl_F klBXLEi
iYjAIic`nh ecSimAIKmam
_dBFnY iYK_flTGIiV\\caVh
DqB PXRalg
PmdUnme \cQZ]llEW^
K^]_OON`OO ]lKf`^]_OOB]_N`
fFTqm^P]lelg WXR
o^\F DXmq[F
a[^ERihrTP KU`La
b rV`anXVM
[BF[E`Er[ cUTF
\M\m^cU`qYNK bAjfaaa
klTYIk ecE[ZInh
iVrSV`amArmd[P\S WoDDT]qS
kTd[coTTK^]lIOc MTMc
U cNcPU`XhXp`oKU`
[jeFKrccQflTGfmc W^CQ
rr`ErDKU`dRFgeKeKeQReKeQmo`QmK WJFgeQmo
K^]hf DijijqhTCma
MmpQ^J rCJ
WYAU`QAm^ klTWYKm\lVT`c^
cdj MJcPTEW^idj
ZY rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E
cUTF [BF[E`Er[
KmQn^TMb^\\VMpaI cFflnniBZRQrAFej
kcGPTd DDDcNccG
[jeFKrccQflTGfmcD kcG[cSDD
WYXLBUC^R^]lIADTqSX\mP PmLPMPP
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
mA O
]lAcTeTIcHTa_fd`Q cUrYER^]_B]lniBrb^Y
PVPV ZYRFnPEWTMSkHcm^]_fmXBcSfl\
]jf`^] cUr`EpVPCTGUg^]
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH UCJFgeH
f`Xm iVCU`
jZY\\cU` ZR^]llrpmaVhmLa\m
iYK_flTGIiV\\caVh _dBFnY
$ kcPBXLSnoL
\M\m^cU`qYNK bAjfaaa
klUPpPCal ]ldPTcAMTj[LIXB
MmTaU`ammmU`amaIOc echTd[TdPcR
PAU`a `JX^kaTRj
kcGPcSNaaa rVGecSbjfa
KmU`QcalCmU`QXemU`dhL ecEIcGPlTRalhmL
cTp`KP WKjP
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOB fP`mU`LMb\FVO
kTd[ LSBjkTdP
f`U`dfVRamiLV\ e
rrW^dBUc XRQRFVOGrmd[rYER]ll\SMmp
j[jqqjAZC_B]lIidEPlU KQfYjeU
iVCU`q f`Xmq
WKPPPP ZT`U`dDjcFDTLaSX\bD
kTd[coTTK^]lIOc iYqc
WYAgQgeqcYWM ecY
iVYrXhcaVELqBYIbj mj
DW ^X^
f`Xm iVCU`
BL ]lA[rcS
PXprYEYrc f\DaE
Naaaaaaaaa \M\m^cU`qYNK
ecPFfnWY iVZZE`ESWF
kTdPTNdPchTdPlB cBYXCU`mnoiVTKZ^UC
DfWW WW
rcV`mU`QaXg ZhA
PV`QUhA^] DhZq]
[jqhUPL rCJkVPV
KaINiSFRkPnniWj [EA[CYXL
f`^]lPh\_OOOM fPcA^]_OOO
KmU`QcalCmU`QXemU`dhL ecEIcGPlTRalhmL
f`U`dfVRamiLV\Y eY
klBXLEi lGDD[
kchc Dfc
MW UKW
ZTPcXhmaamiBBDPPPPP rCoDP
pKb ]j
kUU`Jkr`ESffTj Z^NcG[Td[TA
rrYERmmaYjXjeB^YUea SWUigma
DWBocMTdhaaIOncYM]]RRMM ecYM]]MM]
$ f`a
KaIircP aFUmY
ieX ZEWL
Nj klFha
]ldPTcAMTj[LIXBp klUPpPCalp
kS rcmqpU`Qmq
PAmm^] DWaT^T\TqpanfJBc[E]lNcSiYK
rcXnI P`ECam
$ kTd
cT^B fPVIMbJFge
mA rVGecSb
Nopa ]Mchc
KmU`QVGDpmm^]lVpPRalpVGeK_N`OB]lVn WA^emmMG
mAj Oj
ZE [
kcY]]]MM]M]] _klGOcMMMM
[hUrW^UcXLrch kl
[Tem KmmaYK
kTA KalLLlhXhrY
rCY klTWYKm\lVT`
MJcPTEW^i c
]T ]j[rcEPTd
jMQnobmiLG K^]_B]lY
D klBocTSXcQ
rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma P`EC
]Mchc Nopa
\f`aV kTAKal
ZSBH]U fPcA^]_OOOO
]lNNA[Jqh DW
PXRaVVrcEPTd fMDecE[lUV`aVLrcG
DTjZ]glCURdejOcPfnD [rcSklTZr
r^KXeam imJEArXpPRU`a^]llT`manh
WJFgeQmo rr`ErDKU`dRFgeKeKeQReKeQmo`QmK
kN MWT
rVPCJ cBJg
fM DiBRmXBhQAU`La
ZT`mU`aU` jZY\\cU`
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE iIiLYj
encSKmman ZS
cUcXrp^]_flnYKllSf mG
[BF[E`Er[V cUTFV
ZgQURmQLhDFjlmJLI\_N K^]_OON
kldj_eme ZSXmQVMD]jrV`Qeji_
mA rVGecSb
fMDWobj mh
klTEWeQn^CmQIKQ[r`ETPT fP
]ldPc kS
`rrWeQZcVTEp f
iIeUgGechG kG
cmaal\` fGD
DmlB^]KllpcBV`^]_BlY DijJSe
DDDZaal^YTgQ cFhd
DXcaIJ_ KaIlEWLEAL_M
klTWYKm\lVT`c WYAU`QAm
Bp`YXhV KQrV
Zr f`Z^]KlVHTM
ZTPZPSWTrYcNc fPVGeqc
$ ZCU`dRFn`
Zr f`Z^]KlVHTM
[qBC f`P
BkmUd klUCXRmalgU`
$ kcPBXLSnoL
[LIJhBYmLa DWoj_N`Ofnfm
DB^ qjAZ]_flTGnYmLQa\An
iDhX ZEWLq
KQnokTdPT] akchTdPT]
VW kG
Ni DXcaIJ_e
kTA cTRaVemQL_dd
[h eKhi
rcXn DDMpJI\l
\M\m^cU`qYNK m[a
fM\XSW eEPTSKmaYqcENcE[l
iVYrXhcaVELqBYIbj mAAj
PXnnD KTe^]_fVVS
kM kcGP
fPrWCQULEe kch`l
f`^]ll XX\paVnV
DDMpJI\lI PAaYj
Bp`YXhV klTEWeQn^CmQIKQ[r`ET
PX rTG
cBXEYE^BoM mn
WX^d Zr
b[aa Pm
PcU`LaePPPUFP ]j
cINPcl rccU
PmQmq[F rTFL
DW ]lNNA[Jqh
[qjXjeFn^EW\Smq WYmL
cFhd FDImU`dE
fM DiBRmXBhQAU`La
kcPBXLSnoL Zm
TrSVT PV`alC^]lnXmLab\FVO
iVYrXhcaVELqBYIbjfa bAjfaaaaaaa
kcY]]]MM]M] rcU`aQ[PZcWY
kTA SU
eKhi [h
MmpQ^Jk klTEWeQn^CmQIKQ[r`ETP
ZR^]lVZR^]_B]_ MTjW^SfTl
ec nHjOcEPVNc
kg\cF PcQhQma^]lV^djqB
]lNAZLLl^TYDTaU`qTQmLaYPmQ Bp`YXh
f`Xm iVCU`
MTj lGDD
PXRaVVrcEPTd fMDecE[lUV`aVLrcG
L[O ]lAL[aaa
KaIlEWLEAL_M DXcaIJ_
fMTqm ahdBF^U`KPP
[ fn`^SQLd
_dBFnYA Kmm
Pc^]_OON`OO rJkC^YK_B]_N`
Nopa ]Mchc
cUr`EpVPCTGU klTeU`qbX
r\`mVamLcP c
MJcGPT MJ
cUr`EpVPCTGUg^] ]jf`^]
KaV^FeK_ DDpmmGgF
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE\ KmmaYK
PXeQURalYnXCQ DTjZ]glCURdejOcPfn
WJFnr`pVUW^l c
[hBJ MmpQ^J
PXhcanBQfI iYjAIic`nh
KmUi` ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU`
f`Xm iVCU`
[LIJhBYmLaePP fGnJFnPEWhmQVGrAQjlIedBK
klUCXRmalgU` DiBRmXBhQAU`LaT
XPCm DXAU`
[BF[rWhcm^ qjAZ]_flTGnYmLQa\An
ecE[ZInh cdEihNcE[
elc ]j
_dBFnY iYK_flTGIiV\\caVh
ZeQejXBCm^]_N` ZSBH]UO
klT\TLQfeTZTGDTQpEWp cU
]lKf`^]_OOB]_ PcalpPCU`Lap^]_N`O
cdj cC^HLj
DBQ[` KTjecPB
fM\c^]_OO ZgQURmQLhDFjlmJLI\_N`O
]jrcVGU rrVP`kP
W^rmP PmLPMPP
DmlB^]KllpcBV`^]_B cdEAejAZ]
mhjf ZRmQnoL[aaaaaaaaaaa
mhj ecSmAj
kM kcGP
[hBX^UrWFBTCpma[ DBa
DXmq[ o^\
$ Df
WoecP j[jqqjAZC_B]lIidEPl
iVrSV`amArmd[P\S WoDDT]qS
Z\Yb l
mjfa mE[aaaaa
cUVgG DijJqjeF
rcmqpU`Qmq kS
ZLBUrYE $
fPVIMbJFge WXp`
ahdBF^U`KP ZhmdrXRQUCmQrAQhaU`LaePPPP
WYmL [qjXjeFn^EW\Smq
KU`aQhQcalRU`dRF ZCmMhhF^
$ Df
FDImU`dE cFhd
MmTaU`ammmU`amaIOc echTd[TdPcR
ZR^]llrpmaVhmLa\m jZY\\cU`
]j M
KU`La\c^]ln Z\YXK^]li
]j elc
ZAgaYcS klBo
WYVMYb CDbb
ZSD\AU`LabYcKQ[rc`ErTLa kTA
K^]_OO ZgQURmQLhDFjlmJLI\_
KaIlEWLEAL_M DXcaIJ_
DfWWW i
echlBJkPRU`La $
DDMpJI\l Woi
_dBFnYAQ fPPRQ
KmQ r^KXeamA
`JX^kaTRj PAU`a
KmU`QcalCmU`QXemU`dh ecEIcGPlTRalhm
K cUrYER^]_B]lniBrb^Y
Ae PmdZ]lnhedqjARF
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
rPra[ KU`aQhQcalRU`dRF
DBU`La[F fPF
rP^NcPd [Jhd
UCJFge MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe
YA L
iIOc ecE[ZIn
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE iIiLYj
KQfYje j[jqqjAZC_B]lIidEPl
ecYMM DJWNcYM]
fGD cmaal\`
ZT`mU`aU jZY\\cU
imJEArXpPRU`a^]llT`manh r^KXeam
ZhmdrXRQUCmQrAQhaU`LaePPPP ahdBF^U`KP
fGD cmaal\`
o^\ Z\[
ZWIc KU`La\c^]lnf
Z^NcG[Td[TA kUU`Jkr`ESffTj
f`Xmq iVCU`q
fGULrcPB^nlnIAnXrp `JX^kaTRj
ecSZSBmm U
PVGI[jqSnoklFj cUr`EpVPCTGUg^]
KmUi` ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU`
rr`EeU cINPcl
UK M
Sc fPVGeqc
cBo[q BjLq
I [BNcEPG
KU`aQhQcalRU`dR cBJg
rCJ fPVIMbJ
r`mFVO Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
Pc^]_OON` f`^]lPh\_OOOM
cN Df
m` ]lA]lAKU`QAaIiEOcEPTAb
KQnokTd akchTd
PcmmU`amaIiLnXcQ KTe^]_fVVSD
iVrSV`amArmd[P\ WoDDT]q
WXrTaQIbAj DXAmm^]lnfTMSmj
DmlB^]KllpcBV`^]_B cFLhFeK
WYAgQgeqcYWMM ]McYM]
f`Xm iVCU`
ZgQURmQLhDFjlmJLI\_N`OOO [rcSklTZre
^X^ DW
mA rVGecSb
fPVGeqc ZTPZPSWTrYcNc
fPcA^]_OOO f`^]lPh\_OOOM
$ ZLBUrYE
W DfW
ZRmmUQ` KmU
f`U`dfVRamiLV\Y eY
fP`mU`LMb\FVOr Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
_dBFnYA Km
ecYMMM ]lX
DiB[F WocU`\F
DBQeK Kma]Vga\
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
$ Df
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH UCJFgeH
]jfP`XpcAQeqcY DWBocMTdhaaIOncYM]]RRMM
K^]_OON ZgQURmQLhDFjlmJLI\_N
WYmL [qjXjeFn^EW\Smq
rCJ fPVIMbJ
I^kk PXYrVMScaYjiB
WYAgQgeqcYWM ecY
ecE[ZInhT ecE[T
Im ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ
MmpQ^ [hB
cC^HLj cdj
kcGP kM
inhAIM M]jM
]lNAZLLl^TYDTaU`qTQmLaYPmQV Bp`YXhV
cUcX\YPXgaY i`EVY
PXnnD KTe^]_fVVS
DfW W
rC DWTpHVMp^]lmeUCQFgeQReHKl
DWBocMTdhaaIOncYM]]RRMM ecYM]]MM]
cFflnniBZRQrAFej KmQn^TMb^\\VMpaI
D [DZNcMSPmd
KU`La\c^]ln Z\YXK^]li
kcY]]]MM]M] rcU`aQ[PZcWY
ZYL ]ld[G
mn cBXEYE^BoM
ecPMWmTaPa iVn
]jr` B
[jeFKrccQflTGfmcD iVeQLSU\
cdL DmlB^]KllpcBV`^]_Bl
rJkC^YK_B]_ ZeQejXBCm^]_
XPCm DBU`
rr`ErDKU`dRFgeKeKeQReKeQmo`QmK WJFgeQmo
MTj lGDD
kcETAN mjfa
mn cBXEYE^BoM
b[aa ]jPm
ilCU`QVPrW\ PXRanWcSDKmHqP
kcY]]]MM]M] rcU`aQ[PZcWY
fP`YcaVZZnYqcS] XYb`k
ZT`mU`aU jZY\\cU
DWBocMTdhaaIOncYM]]RRMM ]jfP`XpcAQeqcY
$ f`a
bj AJj
cBJg PmdZ]lnhedqjAR
[hTY^dS[C\ WJkCJkTF
UKW W^LE\lVhmqDM
bAI m
kcSk [
SK il^
c MJcPTEW^i
]Mchc Nopa
nHjOcEPVNcE ecE
fPVGeqc ZTPZPSWTrYcNc
mA ob
KmUi ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU
f`U`dfVRamiLV\Y eY
UKWT W^LE\lVhmqDMT
biol Z
PXdrcGPTAim\llS [Ln
rC fPVIMb
PmLPMPP f`aVCU`LaePPPPP
Di\bo f`U`dfVRamiLV\Y
a inhJrcY
$ ZCU`dRFn`
KQej f`Smm^anh
WJFgeQmo rr`ErDKU`dRFgeKeKeQReKeQmo`QmK
cUrYER^]_B]lniBrb^Y ZmgqmUQea
_dBFnY iYK_flTGIiV\\caVh
e f`U`dfVRamiLV\
rrYERmmaYjXjeB^YUea SWUigma
fM\c^]_OO ZgQURmQLhDFjlmJLI\_N`O
r\`mVamLcP c
ZT`mU`aU jZY\\cU
KQjlIAD f`Xmq
b[aa klFh
klT\TLQfeTZTGDTQpEWp cU
klBXLE QiI
cFLhTTPC\F ^X^B\F
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
M]jM cUcXrp^]_flnYKllSf
MWTldP MU
YA L
ecE[chTN kg\cF
W^CQ [jeFKrccQflTGfmc
inXZdZ]_ DD[FVOBBr
kUU`Jkr`ESffTj Z^NcG[Td[TA
` DB
YA L
UK M
N $
cINPcl` cTYh
DDSVGhq[ DiB[
eY f`U`dfVRamiLV\Y
cTgQZ]_B] [Tem
iYjAIic`nh im
F^eTMZ\ cFr
kTd[coTTK^]lIOch k
DWaT^T\TqpanfJBc[E]lNcSiYK iVCam\
ZEWL ieX
fP`mU`LMb\FVOr Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
D kTdPlT^F[cAm^]lYKlnh
imJhFRFnC^nn ql
$ f`a
PAU`d[TFV T[FA
Dh id
kV k
MW UKW
fGRkPEYESBm^]_OOflpVMjaaIAScB WocUCofP`
L[O m[aaa
eDWdBPSfm\mQXqp WocUCofP
O mA
YA WXrTaQIb
BjL cBo[
MTlAPVMSca ecPMWmTaPa
e f`U`dfVRamiLV\
DXmq[ o^\
Pc^]_OON`OO rJkC^YK_B]_N`
imJEArXpPRU`a^]llT`manh r^KXeam
]ldPc kS
jZY\\cU` ZT`mU`aU`
fPVGeqcG ScG
kN W^LE\lVhmqDMT
echTd[TdPcR MmTaU`ammmU`amaIOc
LSBjkTdP kTd[
iVrSV`amArmd[P\ WoDDT]q
L cB
rJkC^YK_B]_ ZeQejXBCm^]_
`an DDbYXS
cBof`U`dIPcQD[ o^\
[hBX^UrWFBTCpma[ imJhFRFnC^n
iIOc ecE[ZIn
f`Smm^anh [hTCQZ]_B]lYj
ZLBUrYE\ H
ZEYEgaVr cINPcl`q
K^]hfm DhJqj
ecE[ZIn iIOc
echTNAf`mmmmmU`QXYUZg `JX^kaTRj
rrVP`kP ]jrcVGU
m bAI
ameTrScm^]UfVr Z\
LAAHf bj
\f`aV kTAKal
p DBQ[rWLhd_
KMjXToPV KamiLVEWT
ecPFfnWY iVZZE`ESWF
L cB
KU`La\c^]ln Z\YXK^]li
ZWIc kTAM
rP^NcP [Jh
DBQ[` KTjecPB
KQeqcG[cG[ldSrVPPTG iVTPV`am
a[^ERihrTP DDSVGhq
BjLq cBo[q
WXCalefPP rP\e
Df kch
MLa_ ]j
cFrVM B
imeT\ WE[lUCoqfPVMbYcUJf
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
K^]_OON` ZgQURmQLhDFjlmJLI\_N`
kTAKal \f`aV
Bp`YXhV MTjPVMpU`aU`QVPV
kTdPcG[l mc
cBof`U`dIPcQD[F o^\F
fM\c^]_OO ZgQURmQLhDFjlmJLI\_N`O
M ]j[rcEPTdP
]lAL[a \M\m^cU`qYNK
PVGI[jqSnoklFj_ cUr`EpVPCTGUg^]_
FPcaa Naaaaaaaaaaaaaaa
`mVaa ZRmQnoL[aaaaaaaaaaaa
iV\pm^]llL_ PVGr[`\
fP`mU`LMb\FVOr Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
ecPMWmTaPaY iVnY
]Vp\PPLSLqBMRQjlY [qBZZSBQIZ\paYKlY
a[^ERihrTP Dfm
$ Kame
[hB MmpQ^
Dfch ]j[rcEPTdP
Fp rCo]
MmpQ^ [hB
mrYERg DfmDWoW^
b DXAmm^]lnfTMSm
echlBJkPRU`La $
Q ecE[chTN
m bAI
[qB ]ldPTcAMTj[LIXB
fPVGeqc ZTPZPSWTrYcNc
KQDpmQI ZAgaYcS
PcmmU`amaIiLnXc Z
f`Xmq KQjlIAD
KQr Bp`YXh
DXAU` XPCm
fMDecE[lUV`aVLrcG[G r\`mVamLcPNchG
ginfTj Wo
ilY ZZho`ag^]UVLBTS
cUPEYEg^]_N`OB]_ f`^]lPh\_OOOMO
Z\ ameTrScm^]UfVr
bmj fMDWobj
]Vp\PPLSLqBMRQjl [qBZZSBQIZ\paYKl
[S KU`qSAmaEVpPgU`dj_fYjA
Km F^eTMZ\A
ZSXmQVMD]jrV`Qeji_ kldj_eme
mAj rVGecSbj
Bp`YXhV MTjPVMpU`aU`QVPV
_dBFnY iYK_flTGIiV\\caVh
]Vp\PPLSLqBMRQjl ilCma
mjfaa HZC
V`QZ]lIYJ [E
K^]hf DijijqhTCma
kcY]]]MM]M]] JeY]M
fn`^SQLd [
Km f\DaEm
P`EC rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma
ecSmAj mhj
cUr`EpVPCTGUg klTeU`qbXg
M]j inhAI
o^\FV kG
fPVIMbJFge rC
pNiSWdBAB WYAamiLIeUV`U`amQIW
