26583
BAABABAA ABBABABABBAA
AA BABAABBAAAAAB
ABBBBBBBABA ABBAAAABAB
BAABBABB BBAAABABBA
ABBBABBBB BAABBBBBB
ABABAAAA BAABABBBABBABBBABAABAABA
AA BAA
AB BA
AABABBBA ABA
ABBABBABABABAABBAABABA ABA
BABABABBBBAAB AABAAABABABAAAABAA
A BBBBBBAAAAA
AABAAABBAB ABBBBBBABABBABAABABBBABBBAA
BBABABAAABBB B
BBABBBBBABBAA ABABBBAAABAA
BBAAABAB AB
BAAA $
AABBB ABB
BAABABBBBBB ABAABBBBABABBB
AB AAAAAAB
BABBA BABAAABBBABBAAAAB
ABBBBBAA ABBABB
BBABBABBBBAABABB ABABBABAABAA
BAABAABA ABABAAAABBAB
ABBBABBBABAAABABBBBBAB ABB
BA ABBBABAAABBB
BBBB ABABABABBBBBAABBBBBB
ABBAABBAAAABBABBBAA BAABBBBAABBABABBABAABABBAAAABBB
BAA AAABABA
ABAABBBBABA BAABABBB
BAABBABB AAAABAAAAAABBBBBBBBAB
ABAABB BA
ABAABBA BBBAA
BB BA
AABABBBBAAAAABABAB ABAABAABABBAAABABBBB
BBABABAAABBBBA AAABAABBB
BA AAB
ABABB ABBAABBAAAABBAB
ABBAAAAA BBABBBABBAABABBABA
ABAA BABABABAABA
ABBBABB BAABBBB
BBBABBA ABABBB
BBBAAAAABBBABBBBBBABABBBBBAABA BBBABABBAAAAAABBABB
BAABBBBBBAAA ABBBABBBBAAA
ABAABBBBABA BAABABBB
BBABAABA BBBBB
AAAAAA A
BBBBBA AABAAAAABB
AAAABB BAAAABA
BBBBBBAAAAAAAB AAAB
BAB BBB
BABBAAB ABBAABAABB
ABABABAAABABAAA AA
ABBABBABABABAABBAAB $
AAAAAAB AB
BAA B
AABAABBB ABBABBBABABBBABAAA
BAABB ABBBABBBABAAABABBBBBABB
ABAB ABAA
ABBA AABBBA
BAA AAABABA
BAAAAA ABAABBAA
BBBAABAB BAAAABAABABABBAA
BAABBBABBAAAABA AAABB
AAAAAAB AB
ABABBBA ABAABABABBBBBABBBBBABBA
BAB AB
BBAABBBA BAABBAABAAA
AAABABAAAA BAAAAA
ABBABBBABABBBABAAA ABBBBBABABABA
BABAB AAABBBAAABBABAAA
ABBBABBBABAAABABBBBBAB ABB
BAABABAAA ABBABABABBAAA
ABBBBBA AABB
ABAABBAABABABA ABBABBABBBABBBBBBABA
BABAABAABAB B
AB ABAABABABBBBBABBBBBA
B BAA
ABBBBBBABABBABAABABBBA ABAAAABBAA
BAAAABAAABBBBAAABB AAABAAAAAAB
ABAABBAABA ABBABBABBBABBBBB
BBBABABBAAAAAAB BAAABA
BAB AABB
BABAABBBBBABABBBBB B
AAABABAAA BAAAA
ABBBBBA AABB
ABA ABBBBBABABA
$ AABBA
ABABBBB ABBAAA
BAABBAABAAA AAAAAB
ABBBBBABAB AB
ABB BBAAABABB
BBBAABAABAABAABBB BBABAAAABABBBAB
AB BAABBBBBBAAAB
AB BBA
ABABBB AABABBBABBB
BBAAAB $
ABBAABAABBABAAAABB BA
ABBBBBBABABBABAABABBBABBBA BAB
BBBAABBABABB BABABABAABAAB
BBAAAAA BBBA
AAABABBBAAAB BBBA
AAABAABBBAAAA BAABABAAAAAAABABBAABBBBBA
AABABBAAAAB BAAA
ABBABBB BAABAAABBAAB
$ ABABABAAABABA
BAAAABAABABABB $
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
ABBBABABBBA ABAABABABBBBBABBBB
ABA BB
BBBBABBBBAAAAAA AAAABB
ABBBBBBBBBAABB BABBBAAABABBBBBBBA
BB ABABABABBBBBAABBBB
BABAAAAABBB BAAABBBBAA
AAAABBBBAB BBBAA
A AAB
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
$ BAAAAA
BAABB AABAAA
BBBBBBAAAAAAABAAB AAABAAB
BBBA BBABBBBBBAB
AABA BBAA
ABAAAABBBBAABB ABBBAAAAABBAAB
BAABBBBBBAAAB AB
ABBAABBBBB ABBBBBBABABBABAABABBBABBBAA
AAB ABAAB
ABBBAAAAABBAABBBBABB AAAABBBB
ABABABABBBBBAABBBBBB BBBB
AABB A
BBA AB
ABABAAAABB ABABBA
AABAABBBAB AABB
BAABABAAABA ABBABABABBAAABA
BAABBBBBB ABBBABBBB
BBB BBBABBABA
AAAAA ABBABBBBA
BAABABBBB ABAABBBBABAB
BA AAABAB
BAAAAAB B
ABABA BABBABABAA
BAABB AA
BBBB ABBBBAABAA
BAAAABAAAB AAAAABBBBAAABBABAAA
BAAAABAABABABBAAA AAA
BABAAAAAB BAAABAAAABAA
ABBAA ABAA
BAAABBBBAB AAABABAAAAA
BBBABAABAABABB AABABABBBBABABBAA
A BAAB
ABBA ABABB
BAABBBBBBAA ABBBABBBBAA
$ BBAAAB
BABAABAABAB B
AAB BBA
AABABBAAA ABABABABBBBBAABBBBBBBB
AABABBB AB
BBABBBABBAABABB BBBBBA
$ BAAAAA
BBBB BAABBB
B $
ABBAAA BABAAA
AABABABBBBABABBA ABAABBAABABAB
AB ABBBABABBBBABBB
$ BBAAAB
AA ABBBBAABA
ABBBAAAABBBA AAAABAAABA
ABAA ABAB
BABAABBAAAA BBABBABBBBAABABBABB
AAABABAAA BBBABBAB
BAAAABAA AAAABBA
AABAA ABBAB
ABABABAAABABAA ABAABBBA
ABBBA AABBABBAABABB
BA BB
BBAABAAAAABAABAABAB ABAABABABBBBBABBBBBA
BBABBBBBAB ABABBBAAA
ABBBABBBABAAABABBBBBA BAA
BABABABBBBAAB AABAAABABABAAAABAA
ABBAABBB ABAABBB
BBAAABABB ABB
BAAAA BABAA
BAABABBBB ABAABBBBABAB
BABAAAABA BAABBAAAAB
AAAAAAB AB
ABBAAAABBBABBBABBBBAA ABABABAAABABAAAB
ABBAAAABABA AAAABBAAAAAAAA
AABAA ABBAB
BBBBB $
BABAABBA AABAAB
ABBABBABABABAABBAABA A
AAABBBAAABBABAAA ABAAAABBBBAAB
AABBA BABA
A BBAAABA
ABAA AAAAAABABAABBBAA
ABBA AAAABBAABBAAAAB
AAABBBAA ABBA
ABBBABABBBBABB BABABBB
AABAAAA ABBBBBBABBBABABB
ABBABBBBA AAAAA
BAABABA ABBABABABBA
BBABBABA ABBBBABAAAAABBAAB
BB BA
BBABBBABABBBBABBB BABABBBAABAABBBBBBBBBABA
ABBAA ABAA
AAB ABBBBBBA
ABABBABAABAA AAAABBB
ABABBBAAABAABB BABBBAAABABBBBBBBABAAB
BBBBBABA ABABAAABAABBA
BAABBBBBBA ABBBABBBBA
ABABAB ABAABABBAAB
AAB BAABBBABBAAAA
BBABBAABBB ABBA
BABABBBABBBBBBAABAAA BBABBB
ABBAABBB BB
AAAABAAAB ABBBAAAABBB
ABBBAABBBBBAABAAAA AAAABABBBBAABBBBAABABABA
AAB BA
ABAABABABBBBBABBBBBA BBAABAAAAABAABAABAB
AB ABBBBBABAB
AB AAAAAAB
BBBBBB AB
ABB BAB
ABBB BAABBBAAAABBAA
BAABBBBBBAAAB AB
BABBAA ABBAABAAB
BAABBBBBBABBBA AABABB
BBAAAA BBB
ABBBAABBBBBAA BBABBBBBAABAAAAAABBABBAAABB
ABA AABBAABA
AA AB
BABABBBABBBBBBAABAAA BBABBB
AB BBAAABAB
ABBAAA BABAAA
BAABBAABAAAABA BBAABBBAABA
BBABBBAABBBBB BBBABABBAAAAAABBA
BBAB BBB
ABBABBBABABBBABAAA ABAABAAB
ABAABAABABBAAABABBB ABA
AAAABBBA BBBAAABABAABBBABBAB
ABBAAAABBBABBBABBBBAA BBBBBA
AAAABBBABBABBBAAAAABBBABBAAABABBBBBB BABAAAAA
ABBABBABABABAABBAABABAAAA BAAABABAB
ABAAAABBAABBB ABBBBBBABABBABAABABBBABBB
BAABAABA AAAAAA
BABBAB BABAAABBBABBAAAABB
ABBBABBBABAAABABBBBBAB BAAB
BAAAAABABAA BABBABAAABA
BBABBABBBBAABABBAB BAABAABBBBA
AAAAABBBBAAABBABAAA BAAAABAAAB
BABBBAA BAABAAAA
ABBBBBBABABBABAABABBB ABAAAABBA
BAABBABB BBAAABABBA
BAABA ABBABABAB
BABABABAABAAB BAABBBBAABBABABBABAABABBAAAABBB
BABABABAABA ABAA
BAABAB ABBABABABB
BBBBBBAAAAAAA AAA
BAABABBBABBABBBABAABAABAAABA AAAABBBBA
BBBBBBA ABBB
BAABABAAA ABBABABABBAAA
ABBAB AAABABAAAAA
BABB BBBBABBBBAAAAAA
BBABBBABABBBBABBBB AAAB
ABBBBBAB BBABA
AAB ABBB
ABAAB ABABB
ABB AAAAAABB
AAAB BBBBBBAAAAAAAB
AABB BBBBBAABABA
BBABBBBBAABAAAAAABBABBAAABB ABBBAABBBBBAA
BBBBB $
ABBBAABBBBBAAB BBABBBBBAABAAAAAABBABBAAABBB
ABBBAABBBBBAA BBABBBBBAABAAAAAABBABBAAABB
BBAAAAAA BBBAA
BBABBBBBAB ABABBBAAA
BAABABAAABABBA ABBABABABBAAABABBA
AABABBA AB
BBBABABBAAAAAABBAB ABBAABABABB
BBA AB
ABBAABBAAAABBA ABAB
ABBABBBBAABAABB BBAABA
ABAAAA BBBABAABAABABBB
BAB ABBBBAABA
BABAABBAAAAAB AA
BBBAAAA ABAAAAAAABBB
ABB AAAAAABB
ABBAABAABB BABBBBBAABBBBBABBBBBBBBABAAAB
$ BBABABAAABB
AAAABAAABAB ABBBAAAABBBAB
AABAAAA AAAABBABBAAABABBBB
ABABAAABAABBA BBBBAB
BBBBABBBBAAAAAA AAAABB
AAAAAB ABBBBB
ABBABABABBAA BAABABAA
ABBAABBAAAABBABB ABABBBBAABAABAABAA
BBAAAA BBB
BAABABAAAAAAABABBA BBBB
AABBAAB AB
ABAABBBBABAB BAABABBBB
ABBABABABB BAABAB
AABABBAAA ABBBBAABA
AAAA BBABABAAAB
BB ABABABABBBBBAABBBB
ABABBAAABABA BABAABBA
$ BAABBBBBBAA
ABABB ABAAB
ABBAABAAA ABAABBBBABABBBBB
AAAABBAB BAABAABABAA
B BAAAAAB
ABBABABBAAABAB BBBBA
BAABBABB BBBBA
BBAA ABABAABABABBBAB
BBBABBAAB BAAAABAABABABBA
AAAABAAAAAABBBBBBBBA BAABBAB
BBBAAB ABBBBBBA
ABBABBABBBABBBBBBABABA AAABABABAAAABABAAABABBBABAA
BABABABBAABB BAAB
ABA BABABABAAB
AAAAABBAABAAABBBAABBBBBBAAAAA BABBBA
BABABB ABBBAAAAABBAAB
AAAABAAABA BABBBAAABABBBBBB
AAAABBAABBBABBAB ABBABBB
ABABBAAABA BABAAB
ABA ABBAABAAAB
ABBBBAABAAB BABAB
BAAAAAABA ABABBBBAAA
A AAB
ABBABABAB BAABA
BABAAA ABBAAA
AA BABAABBAAAAAB
ABAAAABBBBAAB AAABBBAAABBABAAA
ABAABB ABBBAABBBBBAABAAA
ABABABAAABABA ABAABBB
BA BABBAABABB
ABABABABBBBBAABBBBBBB BBBBB
ABABB ABAAB
BBB BBBABBABA
BBBAAB ABBBBBBA
ABBAA BABAA
ABAAAABBAABBB ABBBBBBABABBABAABABBBABBB
BAA ABBBAA
BABAABABBAABA BAABABBBBB
ABAAABBAA ABABAAABAABBABA
AABB AB
BABABABBABBBBAABAABBAA BBABABAAABBB
AAAABAAABA BABBBAAABABBBBBB
ABAABBBBABA BAABABBB
AABABBAA BBAAAAAABA
BAAABBABAAABAAAAAABABBABAAABBBAABAA AAABAABBB
ABABBBAAABAAB AABABAAA
A BAAAA
ABBABABABBAAABABB BAABABAAABABB
BBAAABABB ABB
ABABBAABAB ABBBBBABABABAAB
BABA BBBAABAABAAB
$ BBABBBABBAABABBA
BAAAABAAAB AAAAABBBBAAABBABAAA
BBAABBBA BAABBAABAAA
ABBAABBAAAABBA ABAB
AAAABAAAB ABBBAAAABBB
AABBABBAAB BB
AAB BA
AB BBA
AAAABBA ABBAABBB
ABBAA BBBBABBBBAAAAAAB
ABAAAABBAABB ABBBBBBABABBABAABABBBABB
BAAAABAA AAAABBA
BABAAB ABABBAAABA
BAABBBABBAAAABA BABABABBAABB
AAAABBA BAAAABAA
ABBABABABBAAABA BAABABAAABA
ABABAABBABBAAA ABBBBBABABABAABBAA
ABBABB AAAABBAABBBABBA
$ B
ABBBBBBBABAABB AAABAAAA
BAAAABAABABABBA BBBABBAAB
AAAAAA A
BABAABBBBBABABBBBB B
BAAABBBB AABAAABABABAAAABAABBA
BABABABAAB ABA
ABAABBAABABABA ABBABBABBBABBBBBBABA
ABBABABABBAAAB BAABABAAAB
BAABAAB AAAAA
ABBBAB BAABBB
AABAB AAAAAA
BBBAA ABAABABABBBBBABBBBB
ABBABBABABABAABBAAB $
BBB ABABABABBBBBAABBBBB
BAB ABBAABAABBABAAAABBB
ABAB ABBAABBAAAABBA
ABBBABBBABAAABABBBBB BA
AB BBA
BABBB AAAAABBAABAAABBBAABBBBBBAAAA
AAAABBBABBABBBAAAAABBBABBAAABABBBBBBBBBB BAABBBBBBABBBAAAB
BAABBB ABBBAB
BAAAAAB B
ABBAAAA $
ABBABB AAAABBAABBBABBA
A BAAABBABAAABAAAAAABABBABAAABBB
BA ABBAAAABBBABBBABBBB
AAAAABBBBAAABBABAAAB BBBABA
BBBABABBAAAAAAB BAAABA
AABABABABA BAAAABAAABBBBAAABB
BAAAABAABABABBA BBBABBAAB
ABBBBBA AABB
AABAAB BABAABBA
BAABBBABBAAAABAB BABABABBAABBB
BAABABBBABBABBBABAABAAB ABABAAA
$ BAABBBBBBAA
BBABBBABBAABABB BBBBBA
BAABBBAAAABBAA ABBB
BA BBBB
ABABBAA AABAABB
ABBBABBB BAABBBBB
AAA BABAABBAAAAABA
AABBABBAABABBA BBBABAABA
AABBA BABABABBBBAABB
AABBAABA ABBBBBA
AAAB BBABBBABABBBBABBBB
BBBAABAABAABAA BBABBBAABBBBB
ABABAABABABBBABA BBAAA
ABBAABBAAAABBA ABAB
BA AAABAB
BABBA BABAAABBBABBAAAAB
AAAAABBBBAAABBABAAABB BBAABBBAA
BABAAABBBABBAAAAB BABBA
AB ABBBBBABAB
AAAAAABABAABBB AB
A ABBBBBABA
AAAAAABABAABB A
ABBABABABBAAABA BAABABAAABA
ABAB ABAABABBA
BABAAAABAAAAAAAABAAAA AAAABAAABAB
A ABABABAAABABAA
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
AAAAAAB BAABAABAB
ABA AAABABABAAABBB
BABABABBBBAAB AABAAABABABAAAABAA
BBABBABBBBABBBAABABBBBBAABBBAAABAAA ABAB
AAAABBAABBBABBA ABBABB
AABABABBBBABABBA ABAABBAABABAB
AAAAA BAABAAB
AABAABBB ABABBAAB
A ABABBBA
ABABABAAABABAA ABAABBBA
ABABBBBBBB AAAABAAAAAABBBBBBBBABBA
ABAABBBBB BAABBB
BAABABBBABBABBBABAABAAB ABBAAAAAABABB
BAABAABBB BBBBBA
ABAABBB BAAB
ABBBAB BAABBB
AAABB BAAB
BABABABBBBAABB AABBA
BAABBAABAA BBAABBB
ABBAA BABAA
ABAABAABABBAAABABBBBB AAAABAABBAABBABBBABAA
BBAAB ABAAAAAAABBB
ABAAAABBBBAAB ABBBAAAAABBAA
BABABBBB ABBBABABBBBABBB
AAABAAAABBAAAB AAAAABBBBAAABBABAAABB
ABBBBBBABABBABAABABBBAB ABAAAABBAAB
BAAB AABBA
BAABBA ABA
AAAAAABABAABBBA ABA
BABBABBBAB ABAA
BAA BBBAB
ABABABABBBBBAABBBBB BBB
ABBABBBB AAAA
ABBA BABA
ABAABA ABABBA
BB AABBABBAAB
ABAABBBBABA BAABABBB
AAABABBBA BB
BAAAAAB ABAA
ABBBBBABABA ABA
BBBBBABAB ABAA
ABBAAAAAABAB BAABABBBABBABBBABAABAA
BAAABBBAABABAABAABA AAAABBBB
AAABABBBAA BBA
BAABABAAAAAAABABBAABB AAABBBBBAABBBBABBA
AABB ABBBBBA
AAAABBABBAAABAB BBBBA
BA ABAABB
BAAAABAAABBBBA AAAABBAABBAAAABAAA
ABAB ABBBBBABABAB
BBAAB AAAABB
BBBABABBAAAAAABBABB BBABBBAABBBBBBB
$ AB
ABABAAAA BBB
BAA AAABA
AB AABB
AAABAAB ABBBABBBBAAABBABA
ABABBBBAABAABAABAAB ABBAABBAAAABBABBB
AAAAAABABAABBBAA ABAA
ABBAABAABB AABA
ABBAA ABAA
AAAAAA BAABAABA
BABAB ABBBABABBBBA
$ BABAABBBBBABABBBB
BBAAAB $
BBAAAB $
BBBABAABAABAB ABABAABABABBBABA
BBBAAA ABAABAABA
ABBBAAAABB AAAABAAA
AAAAAABABAABB A
BAAAABAAABBBBA AAAABBAABBAAAABAAA
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
BAAABBBAABABAABAABAA AAAABBBBA
BAAAB ABABBBAABBA
ABABB ABBA
AAAAAABABAABBBAA ABAA
ABAABA ABABBA
BBBBBBAAAAAAAB AAAB
AAB A
$ B
ABBBABB BAABBBB
ABABBBBAABBBAAAB BBBABBA
AAAABABBBB BAAABBBAABABAABAABAABBAB
ABBAAB $
BBBAA ABAABBA
BA BAAAAABA
AAAABBAAAAA ABBABBABABABAABBAABABA
BBBB BBBBBABA
BABBBBA BAABAAABBAAB
AAAABBBBAB BBBAA
BAABBB ABBBAB
ABBBBBBABBBAB ABAABABBA
ABBAABABABBBBAA ABBABBBABABBBABAAAABBAAA
ABABAABABABBBABAB ABAABBAABABABA
BAABAABA BBBAABBAA
AB ABAABBBBBBB
ABAABABABBBBBABBBB ABBBABABBBA
BBBABABBAAAAAAB BAAABA
BBABBBABA BBABAA
ABBABABABBAAABABB AABAA
BABABABBB BAAAAAAA
ABBBBBBABABBABAABABBBA ABAAAABBAA
BBBAAABABAABBBABBAB BBABBABBBBAABABBA
BAA ABBBABBBABAAABABBBBBA
AABBA $
BBBABBAABA BAAAABAABABABBAA
BABBBA AAB
ABABABABBBBBAABBBBBBBBA AABBBABB
BABBBAA BAABAAAA
ABBA AAAABBAABBAAAAB
BAAABB ABABBBAABBAB
ABA BABABABAAB
BAABBBBBBA ABBBABBBBA
AAAB AABABBBAB
AABBAABA ABBBBBA
BBABBBABBAABABB BBBBBA
BBABABAAAB AAAA
BABB BBBBABBBBAAAAAA
BABBABBBA BBBB
BAABB AB
BBB BBBABAABAA
ABABBBBBBB ABABBBA
BAB AABB
BBBABAA AABBABBAABAB
AAAABBAABBAAAABAAA B
AAABABABAAABBBAABBB AAAAABABA
BABAAAABAAAAAAAABAAAAABAA BAAAABAAAABAABBAAABBBBAABBBBABBABAAABABBAA
ABAABABABBBBBABBBB ABBBABABBBA
ABBBAAAABBBABA BAABBBAABBAAABAB
BABBBA AAB
BBABBBBBABB ABBBBAAB
AAAAA ABBABBBBA
AABABBB AA
BBABABAAAB AAAA
ABAAABBAABAB ABBBBBBABBBABABBBBAB
BBBBBA AABAAAAABB
AAABAAB BBBABBBAB
BBBBB ABABABABBBBBAABBBBBBB
ABABABAB AABAAAAAABABBBAABABABA
ABBBBB AAAAAB
BAABABA ABBABABABBA
ABBABAA ABBAAAAAA
BABAA ABBAA
AB ABBBBBABAB
AAAAAABABAABBBAAAA BABAABAA
ABBABABBBABBBB BAAAA
AB AA
ABBBABBBABAAABABBBBBABBAA BBBABBABAAAA
BABABABBBBAABBB AABBAB
BBB BBAAAA
ABBBBBBABBBABAB ABBAABAAABBA
BBBAAAA ABBBAAA
ABABABABBBBBAABBBB BB
$ ABABABABBBBBAABB
BA A
BB ABABABABBBBBAABBBB
ABA AAABBBB
ABAA BABBABBBAB
ABAABB BAAA
AAAAAB BAABBAABAAA
BAABBBB ABBBABB
AB AAAAAABABAABBB
AAAABBBBAABB BABBBBAA
BBAABBBAAABA AABABBBABBBBBB
BBBBBA AAA
$ BBABABAAABB
BAAA BBAABB
AAABB BAABBBABBAAAABA
BAABBAABAAA BBAABBBA
AAABBB ABAAA
ABAB ABBAABBAAAABBA
BABAAABBBABBAAAABBA BABBABA
BAA AAABABA
ABA AAAAAABABAABBBA
BABBABAA AAAAAABA
ABBBA BAABB
BBBBBBAAAAAA AA
AAABAABAABAAAABAAABAAB BABABBBBBBA
ABBAABAAABA BBAABBBAA
AABAABBBAB BAABAAABABAA
ABAABB ABABBAAABABAA
AB BBAAABAB
BBBABBB AAABA
BBBABAABAABAB ABABAABABABBBABA
BABABABAABA ABABAABBBAB
ABABB ABBAABBAAAABBAB
BAB AB
ABBABABAB BAABA
AA ABAA
AAAABABBBBAABBBBAABAB BAA
AAAAAABABAABBBA ABA
AAAABBAABBAAAABA ABBAA
ABABBB BBBABBA
AAAAAABABAABB A
AAAABAAA ABBBAAAABB
AABAAABB AAABA
ABBA AABBBA
BBBBBAA BBABAABAAA
AAAAABBBBAAABBABAAAB BAAAABAAABB
ABB BBAB
BAAAABAB ABBABBBABABBBABAAAABBA
ABBBAABBBBBAABAAAA ABAABBA
AAABB AAAAAABBABBAA
ABBA ABA
BBB BBBABAABAA
BAABABAA ABBABABABBAA
BBB BBBABAABAA
AA BBBBBBAAAAAA
AABBABAA BAAAABABBBAAAAABAB
ABBAAAAAABABB BAABABBBABBABBBABAABAAB
ABBBBBBABABBABAABABBBAB ABAAAABBAAB
AABB ABABBB
AAAAAABABAABBB AB
BABAABBBABABBA ABAAA
AB AA
BABA ABBABB
BAABABA ABBABABABBA
BAAA AAAABABBBBAABBBBAABABA
ABABB ABBA
ABAABBBB ABAB
ABBABABABBAA BAABABAA
AAABABABBB ABBBBBBABABBABAABABBBABBBAA
BAABBBB ABAABBBBBB
BABBBBAAAAB ABABBAAB
ABA AAABBBBBAABBBBAB
AAAABAAAAAABBBBBBBBAB ABBA
ABA ABBA
ABBABABABBAAABABB BAABABAAABABB
BAA AAAB
$ BAAAAA
B ABABABABBBBBAABBB
BA AAB
BBBB BBBBBABA
BAAABA BBBABABBAAAAAAB
AABAAABB BBBAABBAABA
AAABBBAAABBABAAABBB BAABAAAAAB
BBBABBA ABBBBAABBAAAAA
AB BBAAABAB
$ ABAAB
ABBBABABBBBABBB ABABBBBB
ABAABABBAA AAAABBABBAAABABB
AAABAA ABAABB
AA AABABBB
BABBBAA AABA
BAABBBBBB ABBBABBBB
ABBBBBBAB AABB
AAAAA ABBABBBBA
BABAABBBBBABABBBBBAA BAA
BBAAB ABAAAAAAABBB
BABABB ABBBABABBBBAB
AABABB AAAAAAB
A BBAAABA
ABAABBAABABAB ABBABBABBBABBBBBBAB
BABAA ABBAA
BBABBAAB BABAAAABAAAAAAAABAAAAABAABB
BABABBBAABAABBBBBBBBBABABAA BAAABBABAAABAAAAAABABBABAAABBBAABAA
B BABAABAABAB
ABBAABAABB BABBBBBAABBBBBABBBBBBBBABAAAB
BAAAB ABABBBAABBA
BBB ABABABABBBBBAABBBBB
ABA ABBBBBABABA
ABBAABBABA AABBBAAABBAA
ABBABBABBBABBBBB ABAABBAABA
AAAABBBBA BAAABBBAABABAABAABAA
BA BB
BABABBBBB AAAAAABAABAB
BAAABBABAAABAAAAAABABBABAAABBB A
AB AA
BBABBABBBBAABABB ABABBABAABAA
BBBABBA ABABBB
BABBAABBBBB BABABBBABBBBBBAABAAA
AABAABB ABABBAA
BABBBBA BAABAAABBAAB
ABBBABBBABAAABABBBBBA BAA
BABBBA AAAAABBAABAAABBBAABBBBBBAAAAA
BAABB ABAABBBB
AAAAAABABAABB A
AABBABBAA B
$ ABBAA
BAAABBABAAABAAAAAABABBABAAABBBAA BABABBBAABAABBBBBBBBBABA
AAABAABBB ABABBBBBAAAABBABB
BABAABABBAABABBBBA BAAAAABBA
ABBABBABABABAABBAAB $
ABAABB BAAA
ABBBABBBBAAABBAB ABABBBBAA
AABAAAABB BAAABABABBBA
ABAB ABAA
BBBB BBBBBABA
ABBBBABBBBAAAAAAB AAABBBBBABBBAB
ABABA AAAAAABBABB
ABBAA ABAA
AA ABB
$ BABAABAABA
BABAABA AAABABABAAAABABAAABABBBAB
BABAABABBAABAB BAABABBBBBB
$ BAAAABAABABABB
ABBA AABBBA
BA ABABABAAABABAAABAA
$ ABBBBBAB
BAAAABA AAAABB
ABBABBBABABBBABAAAABB BABBBBAAAAB
B $
ABABB ABBAABBAAAABBAB
A BAAABBABAAABAAAAAABABBABAAABBB
B ABBAABB
BBB BBAAAA
BABABBBABBBBBBAABAAAA BABBAABBBBBA
AAA AABABBBA
ABBBBABBABBAA BBBBBAABA
BBBA ABBBBBABABAB
BBABB BAABBAA
ABBBBBA AABB
BAABBABB BBBB
BBAAAB $
BBABBABBBBABBBAABABBBBBAABBBAAABAAAA BAABBBABBB
AAABBBBB ABAB
AAABA BBBABBB
BA A
BBBABAABAABABB ABABAABABABBBABAB
ABBBABAAABBBBAA AAABABABBBA
AAAAABB ABBBBBB
BBBBBA BBBBBAB
ABAAB AA
ABABABABBBBBAABB $
ABABBA ABAABA
AAABAA BAABBBABBAAAAB
AAABABBBA BB
AABBABBAAB BB
BBBBB ABABABABBBBBAABBBBBBB
ABBBBB BAABBBAAAABBAABB
BAA BABABABBAAB
ABBBABBBABAAABABBBBB BA
AABABBA AB
ABAAAABBAABBBAA AAAABBABB
ABAABBAABAB ABBABBABBBABBBBBB
BABAAABBBABBAAAABB BABBAB
$ BABAABAABA
AAAABA ABBAAAAA
BBAAABAB AB
BABAAA ABBAAA
ABBABBBABABBBABAA ABBBBBABABAB
AAAABAAAB ABBBAAAABBB
BA ABBAAAABBBABBBABBBB
BAABABAAA ABBABABABBAAA
ABABBBAABBAB BBBA
AA ABAAB
AAABABABAAABBBAABBBAA AABABBBBAAAAABABABBBBB
ABAABAABABB BBBAAABB
ABA AAABABABAAABBB
AAAABBBABBABBBAAAAABBBABBAAABABBBBBB AAAABA
BBABB BBBABAABAA
BAABABAAABAB ABBABABABBAAABAB
ABBBAAAA BAABBBAABBAAABABBAAB
BABAABBBBBABABBBB $
ABBBABABBBBABBB AABAABAAB
AAAABABBBBAABBBBAABAB BAA
BAABAABBBB BBBBBABABA
ABABBBBAABAABAABAAB BABA
AAAAAABABAABBBAA ABAA
ABA BAABBA
AB A
ABAA ABBAA
BBA AB
BAABABAAABABBAABB ABBABABABBAAABABBAABB
AAAABBA ABBAABBB
BABAAAA ABBAAAA
BAAAAA ABAABBAA
ABAAAABBA ABBBBBBABABBABAABABBB
BAABBA ABA
BAAAABAAAB AAAAABBBBAAABBABAAA
BBABBAABB BBBABAABAAA
BABABABAABA ABABAABBBAB
BBBAAA BABAAA
ABBABABBAAABABBBA AABAABAAAA
A BABAAA
BBBAABBAAB BAABAABAB
ABBBBBBA AAB
BAABBBAABBAAABABBAA ABBBAAAABBBABABAA
BAABABAAAB ABBABABABBAAAB
BABAAABBBABBAAAABBAA BABBABAA
BBBABABBAAAAAAB BAAABA
ABAAA BABABABAABAA
AABBBAAABB ABAABABABBBBBABBBBBABBAAA
BAAAABA AAAABB
BBBBBBAAAA $
ABABBBAAAB A
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
BAABABAAA ABBABABABBAAA
ABAABA ABABBA
AAAABAAAAAABBBBBBBBA BAABBAB
ABBAABBAAAABBABB ABABBB
BA ABBBABBBABAAABABBBBB
BBBBABBBBAAAAAABAA AAABAAAABBAAABBA
AAAABABBABABABABBBABBBAABBABAABBABBBBBB ABAAAAAAA
ABAA AA
BAABBBBBBABBBA BABBBBB
ABAABB B
BABAABBBBBABABBBBB BBAABAA
ABBAABBB AAAABBA
BAAAAAB BABAABABBAABABBB
AAAAAABABAABBB AB
BAABAABA AAAAAA
ABB BAB
$ ABBABBABABABAABBAAB
ABABBBBAAABBB BABABABBBAAA
B ABBAABB
ABABBB ABBBABABBBBAB
ABAABABABBBBBABBBB ABBBABABBBA
$ BBBBBBAAAA
BBAAAB $
BAABAA BABBB
