34005
IHQWl CgdKTK]REAI
\QAQRV Ie`\jQllQRV
I Ik
C_SWRW W
Iq CG_U
\QApMV[ ISGZiQV[
\_fgWL_L_cL \S`C_L_WWWcL_cL
\QAIlprXiRRRR CZ
INGL^GVW\eTQDiRVBFnF Ij`
QAlp]G]pYQ C_SS\MRQjRQ
IjUA IeSFeMrllpfEAQQ
Ie_agpUgpU \TTRVB[fD
Ie \\
IH_UfMhU\V \DQ
\__ Ha
L ING
C_L_cL_cL_c IHTpr_L_cL_c`L_cL_cL_cL_Bc
\am $
IRWhQ U
IeQi IhlH_VRqFBMWU
OX \QAprX
IRAll F__UlVZZZZZXQi]l
INGL^GVW\eTQDiRVBFnFCZ Ij`CZ
CEXqHo CEXifYQAQD
IN`CEO C_WYEa[fUZZXV
Ie`\jQllQR \QAQR
]baEjGQ \QAOT
\QApM ISGZiQ
UC C
$ \MLf_
IShIlHM HSP
\MGUA\ \Qme
IhEP_CGB h\MBbqO
Haa IefYaDgpUgpUgpUgpUgpUgpU
Hg CgKd
SWVOB IePFSP
^ISITA`\MRQWB IR
\QWoEU \SCGQ_
C_WhQ \SiCTPFUDqFSfWR
IHTpr_L_cL_c`L_cL_cL_cL_BcL C_L_cL_cL_cL
CGmM \_AIRAp]OTQG
C_EU SaP
C_WU_ \__C
]baEjGQ \QAOT
\QjLDgpUgpU HaagpUgpU
CGOPBV[BUE \Sir_SSIRPP
\AJW \QAlOT
\QPUDG IefYaDgpUgpUgpUgpUgpUgpUgpUgpUgpUg
HaagpU IhagpUgpUgpUgpU
CGQifUXRV\SPBUC`\aEWS`\QPR C_f[M
CZlpTTPTTTTTT \QWYXLRpTTTT
IhfTp $
IN`\aU CGDHFlcjiMU
\aEWeaCARjhqAE IRjhqIEEkEE
\_VA\YZ CZ
\QApMV[ ISGZiQV[
C k
IeA IHfTQ`
U IH_P[flNG
kj $
ImWhTQ`I I
\QWl a
CZ CZRPR
QG \S`\_
ISrallllQFML CGRV[\EQAC_L_cL_WcL_cL_cL
IHaUZWQiWSrllOTZfL`NW \TOTV\EGljUA
C OC
C_f[M IHMGSR
\_ \_ABP
I CG_
C_WBVY_ \QKL
CXmGWopTT UCDp`lF
CXmWUi IhUXAISr
IhmQP` \amTpO_DiUTAGrOT`IH_`
\S IjU
IN`IRPRV[BBDi`MGE IHTl
CgKd Hg
\_e \amamQWe_`\_
CDpT CXLRpn
\TlpfEPP[ $
CBG IHQjG^_E
\Qme IHMrlpY
INU C
PMB C_W^
\Sg\TOTIAp \MQ`
$ \aC`C
CXRWha \a
\aUZX_Ci Cg_Wh_fT
C OC
\TlQ_UXV \T`lOTR
IRWeSGLf CGm
\_VA\Y C
ISprfXLf Ij`\_V[[Ri`CgSM
IT Ij
CGTCrXTYV\Z IHTlllp
\MOreLL IjGGoL_WWWcL_cL_cL
CGUi]OT C_WBS
IeQGrQA\ \QPim
IN`CEO C_WYEa[fUZZXV
CBG \_
IN`\a CGDHFlcjiM
\ CXRWh
\ \T
\aph \QjQff
C \S`CR
\iabWE C_WhSUAUAUAG
S \aUZX`IjiMQGhq
\_fgWL_L_cL_ \S`C_L_WWWcL_cL_
Ih I]R[a
\hQWM IeUm_VRiRV[RiA\TlOT
[SGm_ \SGQUfQ
CGUC` \S`\
\Mb IHMLm
C_W ^ISITA`\MRQWBW
IRjQ`\MQff CGUm_QHIRPI
CZRPR CZ
\QAQ Ie`\jQllQ
\S`CRZp CXL
IHS`CGQ \_RVRiVIi
Rj CEeREP
C_WU`C Cn
$ YqGA
CGRVB[f Ha
Ie`\jQllQR \QAQR
CGDHFlcjiMUZ IN`\aUZ
mCg IRPACG`Cg
_ \QWZWRAQQG
I UC_EUQ
CG OBB
C N`\EQmWoW^
IRlpQj \MRQ
CEifWUA\`BbQWAErpS IhlRjrOT`
\_ \SGp]OTkL
CgSM`r Z\Pfr
\Tp]pLfS]lprgKTTd C`Qdh
\SGhqI \aEWeaCARjhqAE
\MhU\hIY CgRWVXi`C
G CgRERV\^gS_W
CKo CgSloK
\aE K\Q
CGDHFlcjiMUZ IN`\aUZ
\TOT` g
CGf]lpClp IRAllQfYMLKlji
CXLRpnTT CXLRpT
G \TOTA
N`\EQmWoW^ C
\QjL` IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gp
\__ \TpJQcZHU
IRjQ \QEeFK]S_E
IRWo $
\Qr ING
IRWlh \MQWHWSPF
CZ \S`CRZ
\_UmQP_lh \TTRVB[f
G\L CGffUZZZZ
NiQApp C_We_`IhU
CgRS]p I_S
IeJ \aUX_EjQPFUP[]OT
R\QW_mXM CXmkWmkWmkW
CEXYV\SPFUAIeI \SiS\aTAi
CgSSf_AIHWSH CEYP
CEAHGqZBoHGHGHGjngqZB QN
m IRPACG`
IRWUPBA\QAlpr_WlRA UK
\__ \SGp]OTkL_
CXmGW _]X
C_We \U
$ ImWhTQ`
ofTppAp CXmGW
\MGeQWeS \VGGZWN\
\Sir_SSIRPP CGOPBV[BUE
\_U`UgpUgp \TOTDiUEj
IHML`UgpUg HaagpUgpUg
]baEjGQ Ij`\TQA\_
CG`\ \CBSb
C_WYEa[fUZZXV \TllQV
IjWfmSGL CG_
BIZ^nLPA Ij`
IRWh_UEA CQrpCOTnf]
$ \am
\TpJQcZH \QAlOT
CgSSf_AIHWSH CEYP
IHQAlpL`p CEiP
\S`CR C
CG` \amTpO_DiUTAGrOT`IH_`
\QPfrX iLS
\TQfW aCegI
` IH_D
$ BS
Haag \QjLDg
CGQ INX_UlA
CEXqHoi CEXifYQAQDi
CXmkWipR CXbR
IRjQDiRV[RHPqBP[YGP \MLf_
JMU \TQQ
\aC \TOTDqYhMrllpS\lafg
\QjGF\TQA V
Snh \MG
\S`C_L_WWWcL_c \_fgWL_L_c
IRWlhl \MQWHWSPFl
\ CXRWh
\AJW Ie
n Ij`\
\QWYXLRpT CXLRpITT
aCegI \TQfW
T IHQWl
\AJWA \S`\QjrQ`
Cp CXL
CXLRpnTTT CDpTTTT
IHTpr_L_cL_c`L_cL_cL_cL_BcL_cL C_L_WWWWcL
C__cLW\cqL_WcL_WWWWWT \MhIoL_
\SiWRP \_RVRiVIi
BSC CGfMUfTpr
CXLRp CXLRpnTTTT
\apfMhqIkkIkp IShqIkkkEEkkEkEkEkkEEkEkEEk
IG IjGGeQPDi
\Sir_SSIRPP CGOPBV[BUE
CE $
IHTl IN`IRPRV[BBDi`MGE
fCX\ CZRpR
IErL IHTlpCOTVB
J \_`
mC C_WY
\SGBb \mR
\_VA\Y C
C_L_WWcL_WWWcL_cL_WcL_cL C_L^__qcL
G CgRERV\^gS_W
\S`C_L_WWWcL_cL \_fgWL_L_cL
U $
IRWUDqFSUf p
\_VB $
CG`OZMiOT IRPR
IHQjG^_Ef CBGf
CGV\MSMU CGA\I
I ImWhTQ`I
Hg CgKd
\TOT_EAQf \MLYlRAllp
W C_SWRW
IH_`CXi Z
CXLRpnTTT CXLRpTT
CXLRpnTTTTT \MhBACDpT
I CGV[\FC
eRVTnPRqFc IHMhUcI
IHMX \SG
\ \T
\_RV $
\QAIlprXiRRRR \TlOT`CZ
IeUl CgSMfS
\Qjrl `LEcO
CGDiA\TpCp] \_V[\oWFED\hQjRW
ISrallllQFML_ CGRV[\EQAC_L_cL_WcL_cL_cL_
H]\ShIl I
\TpLfL_WWWcL C__cLW\cqL_WcL_WWWWWTcL
$ C
C \_VA\Y
IShqIkkkEEkkEkEkEkkEEkEkEEkE CgZT
\amQWlH IjGGeZ
IjGQUE \Y
IHSUA\AAAAAA \SUA\AAf
CGP[CppiPDiDq[fUZZZZZ MRNjLfZ
aCegI \TQfW
IAlHQPfYM IRj
pR IjiYamTQV
VJ CZR
IeQ\AA S\
Uh IHMh
CEOBFeM _lTAG
CdPgck \afSUAiMPHek
\QAQR Ie`\jQllQR
IN`\a CGDHFlcjiM
V\ \QjGF\TQA\
\S`C_L_WWWcL \_fgWL_L
CXmGWmG CXkWmk
QAlp]G]pY C_SS\MRQjR
\afQWSA\ \OrlQiUHm
UCX^ CgKTeREUfQPRV\eS`CX
a \MQPB_
I IA
$ \Si
Haagp IefYaDgpUgpUgpUgpUgpUgpUgp
\_fS\ \Qme
\QjGF\TQA\ V\
IHQWl CgdKTK]REAI
\a \QAQTPF
IN KCXmGW
U\ \
CgSM`MDq CXmkWoTTTXT
\SiS\aTAip QnjrlQPBA
\QP_EWh nNlR`\
IhmQP` \amTpO_DiUTAGrOT`IH_`
HSP IjG
\MhU\hIYDpTT CZlpTT
\rRVRqHR \QW
ITSQPFYZp \Si]pY__fQW^Zp
\QKLT \QPQU
\_` CGfMQUASUAUAUAUA`
agZ \amaTAi
Ij`\_fWG C_SSC_WE
C_S _SYSi
ISrallllQFML C_L_WWcL
IN`CEOR oD
GI Ihl
m\[_U IHT
\QAQ C_WYEa[fUZZX
IeA\S UNV
IN \T
CGDY cHTTGBR
CXmkWmkWmkW R\QW_mXM
CDpTTTTTT CXLRpnTTTTT
IhEAlQ G[Q\
IRWlh \MQWHWSPF
\TppAjEZGHGprLJpT P
IHTlpCOTV \bWP_
IRPACG` m
\am CEY_UXnUAi]O
R IRP`\MrllQRV\ZLfWBMSM
I N\A
m\[_U IHT
\_VA\Y C
IjUA IeSFeMrllpfEAQQ
\QEeFK]S_E \QP
\QjGF\TQA V
INiYCMhIM C
ISRWh_NAI]dhTA`IRP \_
hGR` \MQR
E $
CgRS]p I_S
RV CGfMRV
\S`I gdi
ISrlQRVRi_C _lTA
fC_S]QPF]RfC IN`\_fWHTQ`C
\aDgpUgpUgpUgpgUgpUgpUgY \a`Ug
IN`\aUZ CGDHFlcjiMUZ
ITSQPFY C_E`\QW^
\_fgWL_L_cL_cL_WWc \S`C_L_WWWcL_cL_cL_WWc
IShqIkkkEEkkEkEkEkkEEkEkEEk \apfMhqIkkIkp
^ISITA`\MRQWBW IRW
CGUCMiC Cg
\T`lOTR \Si]OTRV
\S`CRZpR CXLR
ISrallllQFM C_L_cL_Wc
I H]\ShIl
]baEjGQ \QAOT
IeUl $
\SiWNiClppPiPH IjGGBMbQPP[p
Ihma \TTRVB[f
CGUm_QHIRPI IRjQ`\MQff
\TTRVB[fD IHML`UgpUgpU
Ie hGR`
CgR C_D
IHTpr_L_cL_c`L_cL_cL_cL_BcL C_L_cL_cL_cL
\_A\Sir \_`CMRiAC
\QQB IShIlHMB
IePBf CBGf
CGV[\FCE C_]EmTOT`\_PH
\Qr \TQQG
m \MQ`
C_L^__qcL CgS_L_WcL_cL
ImWhTQ` $
\QAIlprXiRRR CZR
]glp]pr CEAHGjKGp^jJppLKGpkjZGqbiWB
\TpagpOpUg C_EU
IHaE IRlpQj
CE N`\EQmWoW^E
C_WY INiYCMhIM
I]R[ \
_PFFIe`_IH_ IRP`\MrllQRV\ZLfWBMSM
Uh \aUZX`IjiMQGh
CG`C CEeRSlQmP[qXqFY
F__UlVZZZZZXQi] IRAl
CG WS
CEPq[YQPRV[[ \Qh`TQDqBDYcBHXYV
JC_EDiXm`PCZl CEiWU
\aEWeaCARjhqAE IRjhqIEEkEE
Ie`\jQll \QA
\QApM ISGZiQ
`TGfS \Mh
\T \
UCX^ CgKTeREUfQPRV\eS`CX
ISGZiQV[R \_D
INGLfaCGG^Z hpBAqQCc
HaagpUgpUg \MrlQDiVB[]pYSGLagpUg
INiYCMhIM C
\SUA IHQPAIj]ipPYVBHXYVBBQ
JIeV[\hfMUmQPfp CGPH
\QAQ Ie`\jQllQ
\QWZWRAQQG _
]baEjGQ \QAOT
\QP \QEeFK]S_E
Ie \\
\TlOTRV[\^X oXmLW
CE gKO
QAlp]G]pY INiflhf
CGUEPPBU IjWfmSGL
CXmGWm _]Xm
[Aa CGUEPPBUl
\S`C_L_WWWc \_fgWL_
XMQC Ih
INiMU Ha
IjGGeZ \amQWlH
ImWhTQ`I I
\_fgWL_L_cL_cL_WWcL C_L_cL_cL_cL_cL
Ij`\TQA\_ ]baEjGQ
CGRVB[f Ha
IZB IhmSG
\_RVRiVIi IHS`CGQ
CGV[\FC I
\_fgWL_L_cL_cL_WWcL C_L_WWWcL_WWWcL
\MLlN` \YI]aACEY`O
C_WYEa[fUZZX \QAQ
\_VA\Y C
ILSBbQ CGfLfE_E
CgSSf_AIHWSH IePFSP
EIHa IHMG
C_WlSQDi`CX ^Ij`Cg
\TOTAI GI
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUg \aagpUgpUgpUg
_]X CXmGW
C_ IHaE^lpfgQfQ
IN \amQkijOrpYalHTQQ
C CEe
C UC
$ \_RVBFoE`\a
CGDHFlcjiMUZ IN`\aUZ
I CGPB
\TpYTpfWRAQ`C \QWY
\alN \QKLTA
CgSM`r \fMG^
IjU IeQ
\TOTDqYhMrllpS\lafg \TQAIj
k \_PFV
\TllQV C_WYEa[fUZZXV
\MLYlRAllp \MGZSCGQi
Ij \G_
\q IRAOTffEAO
\TQ_agpUgpUgpUg \TTRVB[fDgpUg
\QjGF\TQA\ V\
\SGp]OTkL \_
\SGQUf ISBZMPUm
\TX \QA
Haagp IRWME_agpUgpUgp
CEijQfWRj IAlHQPfYM
T IHQWl
CG` \amTpO_DiUTAGrOT`IH_`
CGRVRi_fQAp]OT IRP_UXiMffZZZXUmTQH
IA Ij`
\QjrOTACGUT C_SpcIUA
IHTpr_L_cL_c`L_cL_cL_cL_B IHQWY_L_cL_
CGRV[\EQAC_L_cL_WcL_cL_cL_ ISrallllQFML_
\_Uf $
CEXifYQAQD CEXqHo
IeRV[\U \\
\TQ_fS`IRPV CG`OZMiOTV
HaagpUgpUg Ih`UgpUgpUgpUgpUgpUgpUgpUgpUg
\_VA\YZRp CXmkWL
\QPWoWoEU`UgpUlpUgMpU IhDgpUgpU
Iji \WS
CLR CZl
CZpRpTTT CJilpT\
\Si]pY__fQW^Zp ITSQPFYZp
\afQWSA\ \OrlQiUHm
\cPn`\Q_C\ CEeSMfSYS\
IhEWEQV\hTlOT IR
\MLlN`CZp \S`^XkMp
\Qg IeRVBB`IR
Ie`CZ CpRRORa
C_W CoinoGjffE
\QAj \aUZX_Ci
CX CXil
IHT m\[_U
\S IN\
\Tq C_WMS
C_D CgR
IePF^XopTTT \S`oXLRTT
ISrallllQFM C_L_cL_Wc
m\[_U IHT
C_SY \T
hml IjGGZrG
IePB_fTQfC Tll
\TR_ IRAQ`\_R
a \_Ufa
Ie IN`IRPRV[BBDi`MGEQ
KCXmGW \S
k CGfrgK]KT
IRWME_agpUgpUgpUgpUgp HaagpUgpUgp
IN\ IHQPAIj]ipPYVBHXYVBBQ\AAA
CX OCX
IH]f C_
IN \aphC
\SG CGmM
CgSM` Z\Pf
\a \QAQTPF
\Sif \aph
\pr[ CG`C
\_fgWL_L_c \S`C_L_WWWcL_c
CEij \iabWE
W\QAjG^GQ`\[hcBkgRiD CEO\VY_
\S`C_L_WWWcL_ \_fgWL_L_
C_ Ig
CGPB I
oXmL CXmGWmG
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUgp \TpfmMLDgpUgpUgp
CEiWF m
\QAlOT \TpJQcZH
ISGZiQ \QApM
INGLfaCGG^ZpR IC
IeQ \TOTDqYhMrllpS\lafg
C_WYEa[fUZZX \TllQ
\_ABP \_
afWOfK]l IN`IHM
\S`C_L_WWWcL \_fgWL_L
IN`INGhUP IRWEhTU
\TQUEjQV[Ri [eS
$ YqGA
\MhIhTpSSRSrpf IHTOTA\a
C\G CZRR
$ kj
V\ \QjGF\TQA\
$ BS
\ H]\ShIlH
QAlp]G]pYQ INiflhfQ
CKo CgSloK
CZ \S`CRZ
\MGVPY IEjfZgpSeG_SGGSDY
\T IdIZ`ITl
R\_ CEO\VY
\_ABP` \_`
IR \MrpCQ
CEAHGjKGp^jJppLKGpkjZGqbiWBg \_`CMRiACE
CXLRp CXLRpnT
IA I
\TlQUmSiMQiL ISprfXLf
CEeRSlQmP[qXqFY INUAUAi]lQ`C
Icf \TppPq[
IePF^ZpRpT CLRp
IeSFeMrllpfEAQQU IjUAU
IeQi IhlH_VRqFBMWU
ImWhTQ`I I
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUg CEYffC`\TQ`IHMQffmTQUag
IHTlQ \iLfEi
IH_UfMhU\VP ILO
CZRlp CLRpTTT
Iji NASGrp
\aC \QPimS
\cPn`\Q_C \aC`IN`\aC
C_ \TiOTU
CXLRpnTTTT \MhBACDp
CXLRpT CXLRpnTTTTT
gdi \S`I
QG \MLTAGQP[CpCpCOTUEjQ
IHTpr_L_cL_c`L_cL_cL_cL_BcL IHQWY_L_cL_cL
\al Rh
\QApMV[ ISGZiQV[
HgK CEeK
Iji IjUAim
nNlR` \_RVBFoE`
\MLlN`CZp \S`^XkMp
IN\AAAA \afTlpCOTVRqFVeSMo
BIZ^nLPA\ \_V\lN`\
\TQ_agpUgp HaagpUgpUgp
IePF^Xo \S`CRZpR
INiCQU CGUm_QHIRPI
CEiAO \af_PHO[BBfCllOT
ILSBbQ CGfLfE_E
g_ IjiYamTQV
CGQUA IeQ`IjF
IRAQ`\_R \TQ^c
f C_We
ZR IH_`CXiR
CDpT CXLRpn
IRAlpYa IQ
$ C
Ie`\jQllQR \QAQR
\\ IRP
\MrOTP $
\apfMhqIkkIkp IShqIkkkEEkkEkEkEkkEEkEkEEk
_PFFIe`_IH_ \MQ
IeQiA $
HSPB CXi
BS $
Ij`\ n
\SUA\AAfAAA C_WBVY_TAU
C_EfM_lHS`CXL CXb
CGm IRWeSGLf
IhUXAISr ZR
CGRV[\EQAC_L_cL_WcL_cL_cL ISrallllQFML
\_fgWL_L_cL_cL C_L_WcL_cL_WcL_WcL
\VGGZWN\ CG_C
IRAl F__UlVZZZZZXQi]
I_S CgRS]p
W\QAjG^GQ`\[hcBkgRi Ij`CGfCQ
BS $
C_SS\MRQjR QAlp]G]pY
qCGSLXRSM CEPq
Z IH_`CXi
VR\QUPBV[BH \Sip
\S`C_L_WWWc \_fgWL_
INGL^GVW\eTQDiRVBFnFC C
fC_S]QPF]Rf IN`\_fWHTQ`
Q IjGLmSUA`C
C_ qNI
\_UlS afWOfK]l
CGRVB[fag IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\g
C INiYCMhIM
PMB IeQ`C
\afQ \SiCTPFUDqFSfWR
C_EUC`\MQQ`IRWUV\ZCpSCEY CEiAO
I \QghTllQFUG
U IHQWY_L_cL_cL_cL_Wc
IRPACG`C mC
SAN \MQ`
\MrOTP $
\QKL C_WBVY_
CGV[\FCE \EQRVBFC
\TlcOTV C_SMV
ING \Qr
C_WhSUAUAUAG \iabWE
\TpS qj
CXmGW _]X
IhmQP` \amTpO_DiUTAGrOT`IH_`
\TQfSC_L_WcL C_L^__qcL
INirfTAG \M
\QPAINUA`C $
CG_mMrOTQ\AA IHQPAIj]ipPYVBHXYVBBQ\A
\WlOhTA\cp IjGrOTP[
eO IC
IeV[\ZrlpLfE_UX_UZRZX_r \
CEAHGqZBoHGHGHGjngqZB QN
IH_P[flNG U
IRP \\
EjC^XL CEPYV
CGUU MRNjLf
$ U
IeH C_WlSQDi`
Ief INWShU\LiVpc
ITSQPFYZp CXmGWip
\QAjY \
\S`C_L_WWWcL_cL_cL_WWcL IHTpr_L_cL_c`L_cL_cL_cL_BcL_cL
Q\KLrN CG`\Tlp
IeUEW^Z CZRPRRR
\qT CGfLfE_EP
CG o
IhlRjrOT`C \YI]aACEY`OC
$ ImWhTQ`
\_VA\YZ CZ
IjUA IeSFeMrllpfEAQQ
CZ RZ
\TpLfWZY_ YGDYVBNBRV[flo
\TpJQcZH \QAlOT
CG` \amTpO_DiUTAGrOT`IH_`
SAN CGfLfWF
\SG CGmM
Ih A\SjEI
C_SSC_WE Ij`\_fWG
C_WU`C Cn
Ij`\TQA\_Q \QPimS
\S`\QP CgE
HaagpUgpUgpUgpUg CGUDgpUg
C_WMS \Tq
CGDHFlcjiMU IN`\aU
IePF^Xo \S`CRZpR
CGQ`\aTA`\QWoL_cL_W C_L_WWcL_c_
C_WYg C`Qdh
\_fgWL_L_cL_cL_ C_L_WcL_cL_WcL_WcL_
\cPn`\Q_C Ie_m_Q
CGA\__l gdi
\QPf \QEeFK]S_Ef
fC_S]QPF]RfC IH_`C
CXLRpnTTTTTTTTTT CZpRpTTTT
CZ \S`CRZ
\cPn`\Q_C\AAAAAA Ij\A
dX`L ISGMW^Zp
X\_VYV IHTlOTD
$ C_WF\aCUAGB
XmgITYS \_PB_
\_P[rDp CZlpTTPTTTT
CXLRpnT CDpTT
Cg VCgKd
\TOTDiUEj \_U`UgpUgp
CXLRpTT CXLRpnTTT
\TQ`IN`CGW \MrlpflN`\MhIe_
HaagpUgpUgp IRWME_agpUgpUgpUgpUgp
\MQWHWSPFl IRWlhl
IhlRjrOT` CEifWUA\`BbQWAErpS
\a \__C
CgS_L_WcL_ C_L^__q
H]\ShIl I
\_UEA Tll
\MLTAGQP[CpCpCOTUEjQ ISBZMPUmQP
o CG
m\[_U IS
CXilpTT CZlpTTPTT
Ie gT
\_`C_EfCQ CgRflL
mCg C_WYg
\S`C_L_WWWcL_c \_fgWL_L_c
\SirG WeM
\MGZClQ IHQAlpL`p
\S`C_L_WWWc \_fgWL_
VJRp CXmGWmGWL
^ \MGYGRV[RiA
\YI]aACEY`OC IhlRjrOT`C
IN \QA
IHTpr_L_cL_c`L_cL_cL_cL_BcL_ \S`C_L_WWWcL_cL_cL_WW
Ie`\jQll \QA
C_WMSr IBMRQABpVDifrgS
IRAOTffEAO \q
IeQiA $
\afM _lTAG
fk \_`
IRAOTffEAO \q
C_EU \TpagpOpUg
INGLfaCGG^Zp CZ
fC_S]QPF]RfC IH_`C
\QjGF\TQA\ V\
\Qjrp]lQ`IN \TpSCXipROZTT
C_L_c C_L^__qc
k CGfrgK]KT
BSC C
QN CEAHGqZBoHGHGHGjngqZB
$ CgRW
C_L_WcL_cL_WcL_WcL_WWcL IHTpr_L_cL_c`L_cL_cL_cL_BcL_cL
CGQ INX_UlA
\Qme \MGUA\
\hQWM IRP
CGQifUXRV\SPBUC`\aEWS`\QPR C_f[M
\cPn`\Q_C\ Ie_m_Q\
INipiWSUUZ MRNjLf
\QEeFK]S_E IRjQ
CG_U Iq
OC C
C INGL^GVW\eTQDiRVBFnFC
\a CXRWha
Ij IeQ`IjF
IRAlpWN\AAA IHQPAIj]ipPYVBHXYVBBQ\
IH_` fC_S]QPF]Rf
CGUmaa HaagpUgpUgpUgpUgpU
\_fgWL_L_cL \S`C_L_WWWcL_cL
IhUXAISr CXmWUi
Ha INiMU
\QjGF\TQA\ V\
\MGU \_eR
C_WoL C_L_WWcL_c
CEifWUA\`BbQWAErpSCZ \MLlN`CZ
BIZ^nLPA Ij`
IR IhEWEQV\hTlOT
oXmL CXmGWmG
CZ INGL^GVW\eTQDiRVBFnFCZ
C_WoL C_L_WWcL_c
LZ C_SC
CKo CgSloK
IhagpUgpUgpUgpUgpUgpUgp \TTRVB[fDgp
Ie`\ IjGGeZ
Ie_agpUgpUgpUgpU CGUm_QHIRPIa
CEeRSlQmP[qXqFYg INUAUAi]lQ`Cg
C_L_WcL_cL_WcL_WcL_W \_fgWL_L_cL_cL_W
CgRflL IHTllOTf]lQ
$ \QPAINUA`C
IhEWEQV\hTlOT IR
IHHapbDgRpUg CGU`Ug
ISRWh_NAI]dhTA`IRP ISQ
HaagpUgp \TpfmMLDgpUgp
\QAllOT`\a \MhIhTpSSRSrpf
\_P g_
\MhU\VcU\LVP\VcUPPPPPP\LVc IRWEhTUc
C_SSC_WE Ij`\_fWG
HB \
CGfr ^oCf
IRWlhl I\
C_L_WWW \_fgWL_L_cL_cL_W
C IRW
\MLf_ $
CEXifYQAQD CEXqHo
CDpTTTTTTTTTT CXmkWoTTTXTH
Ij`\_fWGr C_SSC_WEr
$ \_RV
\S`C_L_WWWcL_ \_fgWL_L_
$ \_Uf
\SiM_UXQ UNV
C_L_WWWcL_WW \_fgWL_L_cL_cL_W
CXb \S`CXL
IN INirfTA
\_VA\YZ CZ
IeQi IhlH_VRqFBMWU
C_SpeSM`Lf \_fgWL_L_cL_cL_WWc
CEeRSlQmP[qXqFYg CG`Cg
IN \QKLTA
Ie \\
C_WU_ \__C
IRjhqIEEkE \aEWeaCARjhqA
Ih A\SjEI
\QAlOTU \SiCpfDg
IHT m\[_U
IHMQfrAZp CXL
INiYCMhIMDp CXLRpT
HaagpUgp CGfL`WSLagp
\Mb \
CXp \MhBACDpTT
CEAHGjKGp^jJppLKGpkjZGqbiWB ]glp]pr
CEiWU JC_EDiXm`PCZl
\a CXRWha
CXLRpTT CXLRpnTTT
CgRS]p I_S
ISrallllQFML_WcL C_L_cL_cL
\_U`UgpUgp \M
IeSFeMrllpfEAQQU IjUAU
I CgKe
\QAIlprXiRR CZ
Z\PfrZ Ij`\afamMGYXiR
\M Ij`\_fWGr
\S`C_L_WWWcL_cL_cL_WWcL \_fgWL_L_cL_cL_WWcL
\afQWSA\_ \OrlQiUHm_
Ie_EP`C_WSP[Cpf \QApMQ`IRWUj
IN`IRPRV[BBDi`MGE IHTl
CgKd Hg
\af C_WYDp
\GiePg CgSM`MDq
IT]ppXiV\ CgRW
CG o
\_QUA`\QP_`UgpUgpUg HaagpUgpUgpUgpUg
\_RVBFoE`\ nNlR`\
\TpW I\
QAlp]G]pYQj IhfM
\ama^EWM \_P[Lf
U $
ISrlQRVRi_C _lTA
\MLYlRAllp \TOT_EAQf
\TpagpOpUg \TpfUXPFEL
\QEeFK]S_E IRjQ
\Mh `\
_ C_We
\MLlN`C CEifWUA\`BbQWAErpSC
\S`C_L_WWWcL_cL \_fgWL_L_cL
IeH C_WlSQDi`
_ \QWZWRAQQG
C_EfM_lHS`CX dX`
\S`C_L_WWWcL_c \_fgWL_L_c
\_RVBFoE` nNlR`
CGQ`\__fS\A \SUA\AAfA
\_VA\Y C
CgS_EUTA`CGUUZZXfY EIH
CXpTTTTT CgRWVXi`CDpTTTT
C_WU`C Cn
CXmkWLRpTTTT CLRpTTTTTTT
C_E $
\SGGVijR QAlp]G]pY
\MOreLL_ CgS_L_cL_WW
\_RVBFoE nNlR
\MhU\hIYDpTTT CZpRpT
\_VA\Y C
CgKTeREUfQPRV\eS`CX UCX^
CE VCgKdK
Ie`\jQllQR \QAQR
IjU \afS
CG_DY CD
C_WMSr IBMRQABpVDifrgS
IhUX_agpUg \a`U^gpUgJUg
\S`^XkMp CXL
\_RVBFoE nNlR
CGDHFlcjiMUZ IN`\aUZ
\TpM_leVB[fCiS\Tp \hQW
CXLRpITTTT CZpRp
Z CXiRRR
\RESSD IN
CGmMB IN`\SGB
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUg IRWME_agpUgpUgpUgpUg
CgKe I
IjUAU IeSFeMrllpfEAQQU
C_L_cL_WcL_ ISrallllQFML_
\ I]R[
\TOTA G
CGP[CppiPDiDq[fUZZZZ MRNjLf
CZR ICD
k C
\QWZWHhTll`QffDQ \__agpUgpUgpU
IjGQ cHTTGBR
\_fgWL_L_cL_cL \S`C_L_WWWcL_cL_cL
h \SUA
C_SSC_WE Ij`\_fWG
ILSBbQ CGfLfE_E
IHQWSVRqH E
\alSGFCEPqBAIN\A IHQPAIj]ipPYVBHXYVBBQ\
SaP C_EU
IePF^ZpR CX
CXLRp CXLRpnTTTT
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUgp \aDgpUgpUgp
CGRV[\EQAC_L_cL_WcL_cL_cL ISrallllQFML
ISB $
\TpW \MQWHWSPFl
K\Q \aE
\QAIlprXiRRR \QWeMrlpWHS`CgREACZ
C__cLW\cqL_WcL_WWWWWT \TpLfL_WWW
CGfL`WSLagpUgpU HaagpUgpUgpU
aCegI \TQfW
\ p
