29255
_jm^i^ _`
_jo`Tm^TPbPZ ELnSg
bPJH`OSfOLl _TP`OJTDULT_lfOLl
U m
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG UbqOXUGLPY
[S_UiPPDoE _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaYYdcG
nqi^T nJFqO
bP`Ocf nXUSUSUEMQNOEOrJFf
_i^S _jSa`ToII
nTP[USkf nqTPJFJF`OSUllf
nZZjF n[XfOcfOL
nqjm^jr^TP[SfOGP ULgYP]FSX
P`bLlfHXYfOJ_P _iK`OGbhLT_
V]O RT]
_jr^SI`TmKJF bPO
qd ne^
_SII`T _SqI`Tr^mj
_TP`OJTDULT_l bPJH`OS
Vj RT
bPqiMjr^jr^jm^i^TP _jr^jrK
[h OefO^[hXXXXX
OUp ZK_
bPqTP bLqjrK
_TP[EXFUXUXU UbjjNh
_S`To`Tm^TPbaYE_RYaYaYEF_c $
Po VfNfb
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
VfNf_iKqTPqi^TPb $
dJ_lULlUXfO OoP`OLTT\lfOJFU
n[G KTPb
V]O [F
nbLPYE_ $
ULHYN\ KdRV
bPDO bP`OJT\lUSUXU
UL _TPbLg
R kY
nJFbE RTj_T__
OUE UE
nCcoULThUlT_lUSfO]JFUc UbhEXTB
F_SKeP _SII`ToI`Tm
_TPJF`OXUSfOQllUJFU bP`OXU
nJFbbjj VBfYH
$ b
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
OUE_CaY _TPbaYYdH
nZZIo[llU bP`O
nqTP`OEMQOcUEX_lfOllfOSU UbhULlUXfHOXO
_\KbOf $
[U] RT
nLLlUJTDfOc^f bP`Ocf
[S__ [SUE_]U_
Ym`[OcUcfOLlUJTB bP`OcfOcULl
nJF`O UbJcaO
n[GP UEOcJAOHEO
nbbqOE bbHO[KK[[fo[cfOLTTDU[DfOEp
bPU bPqjo`T
VfNfBnUP UYdcArhS
$ b
bPqiMjr^jr^jm^i^TP OoP
_TP_mc OoP
FUHOE nbHO
_i^SIII`ToII`ToIII`Tm^TPJFbPZFL nbELXhLOA
bPqS`ToaTrKb U
OoPqTPbKNWfNfF [Sp[NpFS_UY
RG bP[GNfO^R
_iKq _i^SWTr^
[ $
KdRVf ULHYN\f
ULn ULPY
ISP] UP]
V Vj
UELVrhS]Yn OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnn
[Sp[NpFS_ AN[SUW_AE
nJFbbjj VBfYH
_i^j lN
_CP bPqS`Tm^TPZZjF
G UaYPZRYNfV
KdRV OoPeoP`OSfOcULlfOGNW
RT J
_[Ti [S_UEUE
UN\ _TP`OcUXULT_lUEXFfOcUGN
$ bPqiKqSII`
ULnYLHYLHY UE_CELrhSZFJVVOcAOcIVOH[
bPO` _jr^iKJFJF[SfOEj
OUE UE
OUpo eog
[hXXXXXXX UP]CPXSSXYbhEMQOXfOXfO
_i^SWTr^TP ULHYN
UaYNfn ULnYbqOXfOlTFUY
U ULPL
ULPY n[SfOGLPYa
n[S bP[_l
]mY RT
Z_ nq
_iK[SfOcUL UPZCbhlT_lfOYL
[hXXXXXX UP]CPXSSXYbhEMQOXfOXfO
[U RT]
bPqS`Tm^i^joI`To`TmKJGFZOK bPZO
qd ne^
U IS
bPUo bPqjo`To
bPbY g\
RTfN UN\
UbhULlUXfHOX n`OXUJ_lfOXf
UP]CLnYLgYbqOLTTDUcUJTDUL n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUl
_jm^iK P
_jo`ToI`TrKe Ok
bPLOllGfUEL\hF ULPYaYaYLPYP]CLHYY_Zd_
_\KbOfRT RT
_SIII`TII`T _j
UbhS mO
O^_ k
_TPeoP`OEjOc ]UbhJ\F
_iKbP]FFHNU I
fjRYPXS_ bP`OGaYES]
_S`Tr^TPee `M
nZZjUF[JTBU nJFZZo`O
_eD`PamK nJFZZo
^n ULgY
Ubh SbPeqiKeef_jr^TP`OllUcUcUK
n[SfO bP[_lfO
bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc nZZjUF[JTB
O^V ]
_TP[X Ym`[OcUcfOLl
Mk _S`To`ToI`To`T
KFed__ [Fj
_T _Ji^i^BT
_TP`OllfOSfOllfOXfO n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh
_iKqS`To bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII
bPJF noJGG
_S`T^SI _jm^SI`
E $
FVE UEFHaYaYYZdHLgYaYPXYOf[F
nqS`T UNfNbaPqTPqi^TPeD
nZZjUF[JT n[LTT
_S`To`Tno`Tr\ n
Ok _jo`ToI`TrKe
kT _i^T
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
V JB
_SII`ToI`Tm F_SKeP
_SkT^YKbNfO^R O^R
ULPYaYaYLPYP]CLHYY_Zd_ bPLOllGfUEL\hF
FPqSIIa`TmKJFKbjhUqSfOSUGa bPbLg
P`bLlfHXYfOJ_P _iK`OGbhLT_
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
bPJH`OS _TP`OJTDULT_l
OoPJpESXSLrhSZCLnYNfUaYN\ RT
_iK[lTFUc dJ_lULlUX
bPeeWfn Vfin
_TP`OJTDULT_lfOLlfO bPJH`OSfOLlfO
_jm^SI`T _i^SWT
nqTPGaYLnYOjq _jo`ToI`Tm^TP`OJTDULTFfOEMQOEX_lfOllfOllfOJTBf
OeUUW gT]c
bPbLgYP P
_BTPa _S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUGa
UYdH _BTP
OefO^[hXXXXXXXXXXXXXX [hXXXXXXXXX
n[SUGEFHYdHbqOEM $
nJFe `NV
GhPF _i^jmK
bPqiK[cUXUJFfOiOiQ _jr^TPZ
_SII`T _SqI`Tr^mj
bPJH`OSfOL _TP`OJTDULT_lfOL
ULnYbqOXfOlTFUY UaYNfn
n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[ n`OXU
$ n`OSU
Vj [Sp\\
O^ _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHYf
bP`OYOK FUHOE
_S`T^SI _jm^SI`
nW n[XfOSUSUcfOG
_NID _i^S`TmKqS`TrKqi^joI`
[SpFhXXX [hXXXXXXXXXXXXXXXXXXXXXXXX
$ OUpe\f
ULnYLHYLHYE \
ULnYbqOXfOlTFUY UaYNfn
[SUE_]N_NUoE_pUEN_YUYnih__YiDiDnN_B_hUE [S^__BUNUnNN
UHZoZZQZ bPJFJZFZZ
$ _jr^jrK
Tf U
bPqS`Tm^i^joI`To`TmKJGFZOK neoPZO
$ U
AN[SUW_AEU [Sp[NpFS_U
O^ ]bOTb
nqiKXUJTB]OGNUk RTfN
UbhULlUXfHOXO bPqjrKeoP[SfOlTFU
ULPY UPZCr
Oo bPqiMjr^jr^jm^i^T
O $
_TP[EXFUXUXU UbjjNh
OoP UNfbPBTPqi^TP
bbj n`OGaYbjj
bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllUX nZZIo[llUS
n[XfOGOW RiT
MhMa UESXYLnYLn
KdRV OoPeoP`OSfOcULlfOGNW
$ _TPb
_S`ToII`Tr^ Pq
AN[SUW_AEU [Sp[NpFS_U
$ _
V_SVTrK`O`J_lO bPJFqS`TmKeUp
bP[cULlfOS hUPZFLrh_RYPZRYbhJF
n bP^
_TPbLg UL
UY PZRSSZRYY_Z
_S _SII_
b` Oo
ULHYE_RSF_cAO_cAVVOHE_C OkU
_j^TP`OXU n[SfOllU
UHZobLnYLgY F
dJ_lULlUX _iK[lTFUc
_i^SII`To`Tm^iKqi nqiKqjQ`
_S`ToII`TmK [
n`OXUJ_lfOXfO P[J_lUrfOcfOfOEXBU
W _TP
n[SUGEFHYdHbqOEM $
VfNfUYdHN SKN
kY R
r UPXSFHPXYbqOGPXYYZ__dHY_d_____HbhEjOXULlUXULlUJTBfOEj
bPqSI`Tr^iK`OGOf hi
bPJH`OSfO _TP`OJTDULT_lfO
Lb OoPqjr^T
$ bP
V]] oT
n[ `bPJMqjoI`Tm^PI`TmK`OLTFfOlT_lUXfOlTiFU
_^eQ^ _
UYe]RS _i^iKJFJFJF[GaYE
U OoPbXJ
bPJFbbq nLLlUJTDfOc^f
bP[EXFUSUUEjOJFUL _jmK[l
n`OXUJ_lfOXf UbhULlUXfHOX
OoPeoP`OSfOcULlfOGNWf Ug
D ULgYY
[SpFh OefO^[hXXXXXXX
_joKTrK[XfOXfOS n[llUX
q UHZjFe
OUE_ UE_
U EOP
Vf V
U EOP
$ _TPqjm^S`TmKb
UbhG mc
Oo _ld
OoP`OLTT\lfOJFU dJ_lULlUXfO
[hXXXXXX OefO^[hXXXXXXXXXXX
_TP[XUJT Ym`[OcUcfOLlUJT
`OL nqjmK[EjOlTTDfOcfOJ_
UYdAMcAVVOc UYdc
ULnYLHYLHY UE_CELrhSZFJVVOcAOcIVOH[
nJFqTP[XUJF n[CT_l
UN dR
$ _iKbP]FFH
[hYX [hXXXXXXXXXXXXXXXXXXXXXXXXXXX
bPZZjFZOfoqTP _jmg
^TiM UNfU
_ipOG _TP`OcUSUGO
bPDO bP`OJT\lUSUXU
OUE UE
RTfn jFNfY
ULnYLHYbjjhJ_TTBUGOf iZ
_TPqSI`Tr pnqi^
_TPbbjqOllfOG nLFUFbbh^G
U $
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
nJ pnqi^KJ
]UbhJ\F bP`OX
UbJcaO nJF`O
_TPqSI`TrKJ pnqi^KJ
bPqS`ToaTrKb U
UPXQS_YnnGnnnnO UP]Y
_Ji^i^BTP _jo`Tr^jrK
UbjhYZjFqT T
RT Xne^Rnae
UbjjNhYO bPJFZO
n[EjLHmc UO
$ nJFbES]C
UaYaYEFHEF nUPZJdL
JFF _jr^jrK
OoPeoP`OSfOcULlfOGNWf Ug
U bPqS`ToaTrKb
bPe _omToTmK
EOP U
nJFJFZO[Kf ^UHOT
bPJFJF nqqKeUDP
UHZoZZQ UY_ZdHdOfUH
bP`OSfOLT_lULT_l n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS
Oo bPqiMjr^jr^jm^i^T
V] R
_i^iKJFJFJF[GaYE UYe]RS
O^_ nqjTo`Tm^o
UbhcfO qV
[SUE_]U [S_
bPU UHOi
UE_ IUY_Zdcerh_
_TP[cU P[J_lUrfOcfOfOEXBU
`PQFlJFJ [SUENN_B_BUY
bPbEF_cArhS] fjRYPXS_
ULHYN\f Ug
bP[GNfO^R RG
_iK`OGbhLT_ P`bLlfHXYfOJ_P
`E_ _i^jmKqi^
UHZobLnYLgY F
ULPL U
nZO[K[K nq`S_jr`TmKZOK
_TPqjoII`To`TrKe inFeOp^E
OU\bq^` bPZZjF`OllUG
bPbP]DRSfcArhLVrhSXYYZ ULHYY_ZZ
n[SfOG $
o_[i _jm^i^i^T
_jm^SI`To`T bPUoI`T
RiT n[XfOGOW
pnqi^KJ nJFJ
[SUE_]N_NUoE_pUEN_YUYnih__YiDiDnN_B_hUE [S^__BUNUnNN
UE IUY_Zdcerh
RT_______ bPJFqSII`TrKJFbP]RYLHYYZZZ
bP`OLlfOEjOSfO _TPeH
_TP`OJTDULT_lfO bPJH`OSfO
bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU CP[
bP`OLlfOEjOS nP[Sl
n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C nbHY
_S`T^SITr _SI`To`To`Tr
mN nJFbO
UNS] V
Oin [FfNfbPqSI`Tm^iKqiK
_C O^b
nXUSUSUEMQNOEOrJ UbhlT
VfNfUYdHN SKN
nqjm^jr^TP[SfOGPZY OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnn
VfNW ZT
nqi^TP nJFqOP
nLFUFbbh^G _TPbbjqOllfOG
X[F ne
bPZOiOf UHZoZZQZ
n bP]W
_jo`Tm^TPbPZ ELnSg
nW ULHYbqOYZjFJF[LTFUJFULlUEjOG
nq`S_jr`TmKZ nZZQ
ULnYEF_cArhSYmP]CfUIi bPZ
_jo bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII
pnqi^K n
[SNpFSpFhXX [hXXXXXXXS
_jr^SI`TmKJF bPO
bPqjr^jmK[UJE[ULT_f _jr^iKJFJF[SfOEj
_PajWA UYZdH
bP[GbqOYZoZO HO[K
n`OcUcUSUEX_lfO nZZjUF[JTBU
n`OEjOcUXUl qO
bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU CP[
OoPJpESXSLrhSZCLnYNfUaYN\ RTfNW
VfNfUYdHN SKN
[hXXX [hXXXXXXXXXXXXXXXXXXXXXX
^TiM UNfU
MhM U
RT]fnf bP[JTBfOEMQOGPXYN\fYH
_TP` nqTPGaYLnYOjq
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII` _jo`
UY PZRSSZRYY_ZZ
bPZOiO _SI`Tr^jmK`OYO[
$ b
_Ji^i^B _
j RT
nq`S_jr`TmKZ nZZQ
bPqS`Tm^i^joI`To`TmKJGFZOK bPZO
nCcoULThUlT_lUSfO]JFUc nJFqTP`OS
bbj n`OGaYbjj
n OMpV
b` Oo
kY R
pnqi^ _TPqSI`Tr
UN\ bP`OGYZdHO
joI`T^P n
RP[EM bP`OXfOSfOEM
_TP joI`T^P
OoP` nLLlUJTDfOc^f
bPLOllGfUEL\hF ULPYELVVO_
U $
Ym`[OcUcfOLlU _TP[XU
_ _SII`T
$ U
bPqiMjr^jr^jm^i^TPJ nJF`OEjOYOfoqiKJ
G n`OGN\]
RT]f $
nZO nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i
_iK JHF
`OLlf nqjmK[EjOlTTDfOcfOJ_lf
UbqOGXfOEUQOYOXg nZZ
P nJF
_S`Tr o_jm
b bPJF
[U RT]
bPJFe q
_K nqi^TP
bP] n
nLFUFbbh^GE nbE
OUp^_iK`OLSUGbqOEjOXUXfO _TPbaYEFHbhLTFUJFfOEjOSU
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
dJ_lULlUXf _iK[lTFUcf
nqjmK[EjOlTTDfOcfOJ_l n`OJFfO
bP[XfOcfOXfOEjO hUPZFLrh_RYPZRYbh
RFj____No_X_ RT]]j_
k O^_
_TP joI`T^P
_^Sb`T bPqj
^bPbP nee
OUp bPVFJFW
ULnYEF_cArhSYmP]CfUIi bPZ
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG UbqOXUGLPY
_jm^SI`Tr _S`T^SITr
bP[_lfOl bP`OJFfOEjOcUEX_
`OLlf UbqOllf
Ubh `bhXUJfWO
UE_C OUE_C
[S_NU S[Sp
_iK[SfOcUL UPZCbhlT_lfOYL
$ mfe
_S`Tr o_jm
qd ne^
UP]CLnYLgYbqOLTTDUcUJTDULlfO M
f $
OPU U
_TP`OJTDULT_lfO bPJH`OSfO
nZOfQOK FUHOE
[SpFSUE_]NUE [S^__BUNUnN
nCcoULThUlT_lUSfO]JFUc _SI`TrK`OLl
bPe RTfnHT
n[GPX UEOcJAOHEOX
UOfn $
bPqTPbO RT]fnfT
U[aYEb Ua
ULnY $
nbLPYE_C cUq
nqTPJFJF`OSUl `OL
neoPe UO
[SUE_]U [S_
bP`OJTDfOEMQOXfOlT_l bP[_lfOll
b nJ
[Sp\[N [SUEN_SYp
nJ b
n`OXUJ_lfOXf UbhULlUXfHOX
_j^TP` _S`TrK[Llf
nZO UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO
p_TPdh`OSUY nZ
nbrHfZ UbhJFfOXUllfOSUEMQOLlfOGHZ
OUE UE
O^_ `E_
iT _iKq
UELOHbqOG ^TiM
_jmKJFbE_F UEOcJAOHEOXS
ULY OoP`OEXTBfOcUSfOGEF
bPbY g\
$ X
nqjmK[EjOlTTDfOcfOJ_lf n`OJFfOf
$ W
_TPbaYEFHbhLTFUJFfOEjOSUE OUp^_iK`OLSUGbqOEjOXUXfOE
UE_CELrhSZFJVVOcAOcIVOH[ _iKbaYP]C
bP`OX ]UbhJ\F
O^ [
bP`OX ]UbhJ\F
_TPbJ_J bPbLnYLgYaYE_
RT Vj__
_ $
nN $
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
V] q
n`OcfO UbjjNh
_TP`OcUXULT_lUEXFfOcUGN UN\
[hXXXX [hXXXXXXXXXXXXXXXXXXXXXXX
R _\KbOfR
bPqiKqSII`T [g
_S`To`Tno`Tr\ nJFJFJFJFJF
_S`Tr^jr^SII`Tr^i rji
bPZOi OoP`OXUY
n[Sf bP[_lf
nbLnIY_ _TP`OEMQOSU
bPbP]RS n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE
_j^TP` _S`TrK[Llf
Ub nqTPGaYLnYOj
MhM U
Vj_________ Vj]j____
ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG _iKqTPqS`Tm^iKZOKiobaYEF__H
[SpFhX [hXXXXXXXXXXXXXXXXXXXXXX
UN [
joI`T^ _T
$ b
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
rj _S`Tr^jr^SII`Tr^
_TPJFj UE_CNf_
Ub nqTPGaYLnYOj
$ OP
n[CT_lU n`OEMQO
nZZjUF[J n[LT
Lb _T
ne^ qd
_SI`Tm^jYo`Tr^TPqS`Tr _i
UaY bPDOG
Ym`[OcUcfOLlUJT _TP[XUJT
UP ISP
UE_Yn UPXQS_YnnGnnnnO
bPqjo`T bPU
_i^iKJFJFJF[GaYEL UYe]RSL
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j___ RT_
nJFqO _i^T
_jo` bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`
MhM n[lT_lfOXUG
bPbY g\
_SII_ _S
bP[GNfO^R RG
bPb Un
_TP`OcUSUGO _ipOG
[S_NU S[Sp
UPX VfH
UaYNfn ULnYbqOXfOlTFUY
_SIII`TII`T _j
nLLlUJTDfOc^ UP]CPXSSXYbhEMQOXfOX
ne [
bP`OXfOSfOE RP[E
rj _S`Tr^jr^SII`Tr^
Ym`[OcUcfOLlUJT _TP[XUJT
_SII`T _
n[CT_lUS nbbjhS
[Y[ [S_N_]
_S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW UbqOXUcUEM
_SII_ _S
UN [
bPqS`ToaTrKb U
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII _jo
nbHlZ UbjhcUSUJ_lfOYZ
n[GP UEOcJAOHEO
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j____ RT__
n[YO[fQ ULnYEF_cArhSYmP]CfUIi
jFNf V]f
bP`OS nJF[lldRSUSULl
nCcoULThUlT_lUSfO]JFUc _S`TmKJF[cfOJF
$ R
bPbaY] UE_CP]
nJFJF[LUcUYZp bPJF
_TP`OllfOSfOllfOXfO n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
OUE UE
NU _TPbaYN
_jm^SI`Tr^TP HGK
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
n`OcfOSf n`OJFfOf
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
_iK[SfOcUL UPZCbhlT_lfOYL
ULOnYESZYnO] UP]Ynn
mO UbhEXTB
fjRYPXS_ UPZ
n[S bP[_l
bPbY_d__cAOHoQ nJFb
$ O
_joII`Tr^SI`T bPU
Vd O^bP
_TPbbjqOllfO nLFUFbbh^
[Sp\\ [SNUE_]_pp
_TPbbjqOllfOG nLFUFbbh^G
bb n`OGaYbj
RT__ [F]]j
nqi^TP IP
bPJH`OSfO _TP`OJTDULT_lfO
_\KbOf $
_iK`OlT_TFUllUEMQO UiTqOGSo
RTfn VKlY
IUY_Zdcerh UE
UbjjNhYO bPJFZO
UaYESZ bPbaY]
n[GHOfjF`OJFUGH bPqiK[cUXUJFfOiOiQ
_iK[SfOcU UPZCbhlT_lfOY
_TPeoP`OEjOc ]UbhJ\F
[hXXXXXX bP`OcfO
UYdAMcAVVOc UaYEFc
_TP[XUJT Ym`[OcUcfOLlUJT
Ubhc SbPeqiKeef_jr^TP`OllUcUcUKc
nZO[K[ nq`S_jr`TmKZO
n`OJFfO n`OcfOS
nq `E_
_TPbbjqOllfO nLFUFbbh^
V] jFN
_iK[lTFUc dJ_lULlUX
nbNf W
IUY_Zdcerh UE
$ dHeJ
FUHOE bP`OYOK
RTf FVEf
XnR nJFeef_TP
\ $
bI OU
bPZO[Kioqjm^ nqiKqjQ`^
bP`OXU ]UbhJ\FU
OefO^[hXXXXXXXXX [hXXXX
n`OXUJ_lfOXf UbhULlUXfHOX
ULgYP]FSX nqjm^jr^TP[SfOGP
N _iKbP]FFHN
mc UbhG
VfNfBnUP UYdcArhS
[SN [SNUE_]_p
^n nb
Lb _T
VfnH bPqTPbO
nbNUWj_____ j__
KFed Vj_____
nZZjFb OUE_C
RFj____No_X bPJFqSII`TrKJFbP]RYLHYYZZZ_
Rh V]
bPbaY] UaYESZ
nZZIo[llU _jrK`OcU
UN\ _TP`OcUXULT_lUEXFfOcUGN
UEOcJAOHEO n[GP
nZ nbHl
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
FPqSIIa`TmKJFKbjhUqSfOSUGaYN OoPJFqS`TmK[GbhSfOEMQOLTFfOYOfjFee
_iKbP]FFH $
_iK`OGbhLT_ P`bLlfHXYfOJ_P
bP`OYZo`OSULT_T Bj_Y
n`OGN\] ZT]
[Sp[ [SUEN_SYp
UbqOXUGLPYPX `bhXUJfWOGLg
[S_ [SUE_]U
_TP`OcUSUGO\ F
nJFbbjj VBfYH
_S`TrK[LlfO _j^TP`O
UEOcJAOHEOXS n[GPXS
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
_SqI`Tr^mjo _SI
]UbhJ\FU bP`OXU
UbhlTF nXUSUSUEMQNOEOrJF
P`bLlfHXYfOJ_P UbqOLlfOlTFUllfOl
_PajWA bPbaY
OoP`OLTT\lfOJFU dJ_lULlUXfO
bPqS`ToaTrKbO Oe\fN
EPWb neoPe
UbJcaO n`OXU
[S__YUp_UU [SUE_]U_
[SUEUp_pp[UEUU [S_UEUE
pnqi^K _TPqSI`TrK
_S`Tr^jr^i _
QUbjqOcUSUflTfT\ bP`OYZo`OSULT_
_j^TP`O _S`TrK[LlfO
_TP[X Ym`[OcUcfOLl
bP[_lfOl OoPJF`OlTTBfOL
nZZIo[l _i^SI`TmK`OL
RP[E bP`OXfOSfOE
nJFqO _i^T
[F V]O
n a
_TPqSI`Tr pnqi^
bPLOllGfUEL\hF ULPYELVVO_
JH nJ
bPbLgY OoPbXJ
Ua _TPgOGBX
bPb Un
_iK[SfOcU UPZCbhlT_lfOY
bPJFqjo`Tm^ nqiKqjQ`^
_iK[SfOcU UPZCbhlT_lfOY
_SII`To _^eQ^S
_SkT^YKbNfO O
U nqi^[Pcb
n[Sf bP[_lf
_SkT^YKbNfO^R O^R
p_TPdh`OSUY UbjhcUSUJ_lfOY
n`OXUX UbJcaOX
mcL bP`OLlfOlTTDfOEXFUGL
UL _TPbLg
UHOfjFq _jr^ia
Oo _ld
_SqI`Tr^mj _SII`T
_TPbJ_J UE_RSSZF_
kqT` OoP[G
kT VfNfb
O^R _SkT^YKbNfO^R
Vj]j_____ [Fj_
nWb n[XfOSUSUcfOGb
_S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW UbqOXUcUEM
Un bPb
bP[J_lfOBSfOLlUXfOSfOL UbhYO[[io`OLT
T O^
_S`T^SI _jm^SI`
Vj]j_ UNWj_
nLLlUJTDfOc^f OoP`
PoP UaYLgYHZo
UPZCbhlT_lfOYLT _iK[SfOcULT
BJ _jmKJFbE_FL
RTf FVEf
RT__ nbNUWj
OoP`OLTT\lfOJFU dJ_lULlUXfO
_TP`OJTDULT_lfOLl bPJH`OSfOLl
$ UaYP]RS
_jm^ _SI`Tm^jYo`Tr^TPqS`Tr^
_i^SIII`ToII`ToIII`Tm^TPJFbPZFLrh_ bP`OP]
$ [
_TPbbjqOllfOG nLFUFbbh^G
bPJH`OS _TP`OJTDULT_l
SKN\ VfNfUYdHN\
_iK[lTFUc dJ_lULlUX
cJFqiKQ UYZZ_ZZZ_
_i^SII`To`Tm^iKqi^j UNfNbaPqTPqi^TPeD
O^n[EMQOYZo[J_T_TFfOcUJFfOllUYZj joI`T^PJ
UbhcUJT\l\OllfgGaYLYO _i^i^jmKbN
ULPYY__ PZRSSZRYY_Z
W $
OefO^[hXXXXXXXXX [hXXXX
W $
UP]Yn bk
n`OXU n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[
bP[GNfO^RT T]
Z_jr^ nqjr^
UNWj__H_ RT]j__
bPqiKq OoPJYFqo
Vo O^RT
nq Z_
nbbjqOXUJFfOSULlfOYO bPZOiO
P[J_lUrfOcfOfOEXB nqTP`OX
nJHMfP bP`OLlfOEjOSf
`bhXUJfWO bP`OLlfOlTTDfOEXFU
`bhXUJfWOGL bP`OLlfOlTTDfOEXFUGL
R RW
bP`OJFfOEjOcUEX_ bP[_lfOl
UNfbPBTPqi^T Oo
iM UN
gb nqT
O $
_TPbbjqOllfO nLFUFbbh^
[F gT]c
p_TPdh`OSUY n`OY
OeUU OoPbEHN
n[SfOl bP[_lfOl
noJGG n
UOWfNUUf_TP`OJT\lfOEMQ SbPeqiKeef_jr^TP`OllUcUcUKcf
nIFb U
bP[XfOcfOXfOEjO hUPZFLrh_RYPZRYbh
nZZIo[llU _jrK`OcU
_jo`Tm^S` $
bPqTPJFqjrKJF`OSUSf [mlTWCfS
_jr^jrK $
bPbaY] UE_CP]
OV]B _jrK[E
_i^SIIII`ToIIII` jm^Vi^SIH`
n[SUGEFHYdHbqOEM $
UYZ_Zd bPLOllGfUEL\hF_
nqiKbN _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY
_jm^i^TP[JT\lUJT\lfOcfOSUXUSfOYZQ E
$ nbLPYE_
o_jm _S`Tr
[Sp[NpFS_ AN[SUW_AE
_^SI]k`ToII`Tm] _i^jm
_SI`TrKZO UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO
nbELXhLOAr _i^SIII`ToII`ToIII`Tm^TPJFbPZFLr
[Fj____ UNWj__H__
neoPZOf nbHlZ
[S__ [SUE_]U_
bP`OLlfOlTTDfOEXFU `bhXUJfWO
UESXYLnY n`OERFULTTDfOYZobPZFSZC
^n n[SfOG
bP`OXfOSfO RP[
n[CT_l nJFqTP[XUJF
_jSa`ToII _i^S`ToI
U IS
UnE bPbE
[hXXXXXXX UP]CPXSSXYbhEMQOXfOXfO
UnE UYdcArh
_SIII`TII`T _j
OoPqjr^T Lb
V] Rh
O^n[EMQOYZo[J_T_TFfOcUJFfOllUYZjF _K
U OUE_C
KbP n
V]fY Sgfh
VfNfUYdH SK
n[IJf_TTDf _TP`OSf
bPJH`OSfOL _TP`OJTDULT_lfOL
[Fj KFed
[ UN
V]f V]daj___
