21398
BBABAABAAABAAA BBBABBAAABAA
BAAB AABAA
BAB ABBAAABBBBBA
BAAB BBABBAABAAA
BBABABAAAA BABAABBAABAA
BBAAAB BAAAABBBBBABBABBBBBABBABABABA
B BAAA
BBBBAAAA BBABBAABAAAB
AA BABABBAABBABABBBB
AAAAAB B
BBABBAABAA BAAABABAABABABBAA
$ BAAAAAAAABAAB
ABBABBABBBBAABBABBB A
BBABABAAAAA BABAABBAABAAA
BBABBAA BBABBABB
BAABBBABABAAABBBABBAAABB AABBABAABBBBA
BABB ABBB
BBBBBA ABAABB
BAAAABABBBAB BAABAAAABBBBAB
BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABAA BAAABABAABABABBA
BABABAABBBAABBBABAABBBAAABAAABBB ABBABB
B BAB
$ BABB
ABAABBB ABBAAAAABA
ABA BABBABBB
ABBABAABAAA AB
B BAAB
BABBBB A
AB BAAABBABABABBAAAAAABBABBBBAAB
BBABA $
BABABBABBBABABABA BBABAAAAABAABA
BA BAAB
BBABBAB BAABAB
ABABBABB AB
A $
BABBAABABBBABBAABBAAAB BBB
BAABA BABBAABBABBBBBAABABAAAAA
B BABBABABBBABBABB
A BAAB
BAABAABABBAABBBBAABAABBBAABABBB BAAABBAB
BABBBBABAAB BAABBB
BABBAAABBBABB BAABAAABB
A BABBAABABBBABBAABBAAAB
A BBABAAAAABAAAABAAAAABAAABAAAAA
BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAAAAB BBB
BABAAAAABABBBBAA BABBBBBABAB
BBBABAAB $
BBABABBBBBABBBBABAABBBABABABABAAAAAA BBABBAAAABAA
BABBAAABBBABB BAABAAABB
ABBBBABBBAABBABB BBB
A BAABBAAAA
BABABAABABBAAAA BBBAAAAA
BABABBAB BAABBABAABBBB
BBAAAB BAAAABBBBBABBABBBBBABBABABABA
BBBABAAAA BAABBBBABABABAAAABAA
BAABABABAA BBBB
BAABAABABBAABBBBAABAABBBAABABBB AABBBA
BABBBBABBBBABBBBAAAAAAABBBBB BAABBAABB
BAAABBABABABBAAAAAABBABBBBA $
BAAAABABBBAB BAABAAAABBBBAB
BABBBAABAABAAAABABBBBA BA
BAAAABBA ABBBB
BB BA
ABBAABABBBAABABAAA AABBBAAB
BABBBAAB BABBBAAAAAAA
BABBBABBBAABABABAABABBABBAAA BABABBB
BBBABAAAA BAABBBBABABABAAAABAA
$ BBABAAABAABAAA
AABAABBB $
BABABBABBBBB AAABBAABBBAB
BBA $
BBBABBBBB BA
BAAAAB BAABB
BBABAA AB
BAABBBAAABABAAAABBABB BBBB
BBAAABAA BBABABAABAABAAAABAAAABAAABAAB
BBABABAABAABAA BBAABBAAAAAABAAABAAAAAAB
BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABAA BAAABABAABABABBA
BAABBBAAABABAAAABBAB BBB
BABBAABBABBAABA BAAAABB
BABABBB BAA
BABBBAABAABAAAABABBBBA BA
AA BAABAAABBB
BBBB BBBBB
BBAABAB BB
BBABBAAAABA BBABABBBBBABBBBABAABBBABABABABAAAAA
BABBABBBABBBB BABABBBBBBAABBABB
BAABAABABBAABBBBAABAABBBAABABB BAAABBA
AAABAA BBAAAABAAABAAABABBBB
BBAAB ABBA
BBABAA AAABBA
BA BAAB
BBABABAABAAAAABAABAABAAABAAAABAABA BAABAA
BAABBBBAABBBBAABAABBB BAAAABAABABBBA
BAABAAAABBBBA BAAAABABBBA
BABBBBA AA
AABBABABAA BBABBAABAAAA
BAAAABAABABBBAB BAABBBBAABBBBAABAABBBB
ABBBBABAAAB BAAA
BAABAB BAABAAAAAA
BAAABBABAABABB BAABBAAAAAABA
ABABABBBB BBABAABAABAAB
BAAAABABBAABABA BABABBB
BBABABAABAABAAAAA ABB
A BABBBB
BBABBAAABAABAAAAAABAAAABABAB BAAAABBBBBABBABBBBBABBABABABABAABAAA
BBBABABAA BBBB
BBABAABAABAAAA BBAAABBAAA
BAAAAAAABAAABBABAABABABAABBABBB BBBBBBABBBAA
BABBB ABB
BAAABBBAABA BAAAAAAABBBB
$ BAA
BAAABBA BAABAABABBAABBBBAABAABBBAABABB
BBABAABAABAAAAAA BBBAAABBA
BBABABBBBBABBBBABAABBBABABABABAAAA BBABBAAAAB
AAB BAABAB
BABABAABBBAABBBABAABBBAAABAAA AABBABAABBBBABBB
BBABBBA BAAABBBAABAAAAAB
BBABABAABAAABAABAA BABBABAAABAAABAABAAAAAAAAAABAABAAB
BABBABAAB BAAAAAAABAAABBABAABABABAABBABBBBBB
BAAAAAABBBB $
AABBBABAABABAAAABAABBB BABABAABBAABBBABAAABA
BBB AABBA
BBAABBAAABAAAABAA BBABAABAAABAAABAAAA
BAABBABAABBBBA BBABBA
AABBBABBBB AAABAAABB
ABAA ABBAABBBABABABA
BBABAAAABAAAABAA AABBAB
B BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAAA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAA BABABBABBABB
BAAAABBABA $
BBABAABAABAAAA BB
B BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAAA
BBABAB BBAABBAAABAA
BABAA ABAA
BABBBAABAABAAAABABBBBABAB BABAB
BBABAAABAAAABAA BBA
BABBBBBBAAAAAA B
BAA $
BBA BABBBABAAAABABAABABABABAAAB
ABBBAAABAA BAABAAABAAABBB
BBABBAABAAAAAAAAA BAABBABA
BBABBAAAAAABAAB AABBBAAB
BAABBAAAAAABAA BAAABBABAABABBA
ABBBBBA ABBBABBBABABAA
BAAABBABB BAABAABABBAABBBBAABAABBBAABABBBB
BAABAA BABBAAABBB
BBABBBAABAAABBABAAAABA BBABBAABAAABAABAABA
AAAABAABA BAABBAA
BBAAABBA BBABBA
AB BABB
ABBA AABB
BAABBAABAAAABABAABB BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABABAAAAB
BABBAAA BAABABABABAABAAAAABAAAAAABAABAA
BBABABAAABBAA BBABBAABAAAABAAABAABAABAA
AABAB ABAA
BABABBB AABBAAAB
AAAAA AABBBABBBB
BAAAA AABBBA
BBABBAAA BBABBABAABAA
BABBABABBBABBABBBBABAB BAABAABABBAABBBBABAABAAABAB
$ BABAB
BBABAABAABAA BBAAABBA
BA BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABABA
BABABABABBBBBBBBBABAA ABBB
BABBAABA BABABBBBBBAABBABBABA
BBA BBAAA
BAB AB
AAAAABA A
BABABABBABAABBABAB AB
BBBBABBBABAB $
BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAA BBAABAAA
BAAAAA BBB
BAAAABABBBAB BAABAAAABBBBAB
A BAAABBABABABBAAAAAABBABBBBAA
BAAA AABAAAAA
ABBBBABBBAABBABB BAAABAABBA
ABBAABABBBAABABAAABA BAABABABAABAABAA
BAB AB
$ BAAAAAAABABBA
BAABBABAABB BBA
B BBAA
AB AA
BABABABAAAABAB AABBBAA
BAABAA BABBAAABBB
BAAAABBBBBBABABAABAAABAABBBBAABBBBAABAABBABBABBAAAABAABBBBBBBA $
BBA BBAABABA
$ BAA
BABBBABBBAABABABAABABBABBAAABA BABBABAABABA
A BBABAABAABAABABAAAAAAABAAAAAAABAAAAAAA
BABABAABABB BBBA
BABABBBABBAAABBBBBBBBBBAAAAAAABAAAA BABBBBAABABBAABBBAABBB
BABBBBABBBBABBBBAAAAAA ABBBBABAA
BAABBBABABAAABBBABBAAABBBBBBB BABABBBBBAA
BABBBAAAAAAA BABBBAAB
BBBB ABA
BAAAAAABBBBABABB ABAAB
BBABAAA BAAABABAABABABBAAB
BABBBAAAAAAA BABBBAAB
BBABBBAABAAABBABAAAABAAA BBABBAABAAABAABA
BBABBAA BAAABABAABABAB
B AAAAA
BAABBAABABABBAABABBAABAAB BAABBBAAABABAAAABBABB
ABBABA BBABAABAA
B AA
BABBAAABBBABBBB BABBAAB
BAABAB AB
AB BAAABBBAAAAAAB
BABBABABBBABBABBBBABABB BABABBABBABABBABAABAA
BBABABBBBBBBABAABB BAABBABABA
$ B
BBABABAABAABA BAAABABAABABABBAAB
BAAAABAABBAABBABBABBAABBBBBBBABAABBABBBAB B
BABABBABBABABABBAAABAAABAAB BBABAAAABAAAABAAABA
BBBABBAAABAA BBABAABAAABAAA
BBBBABBBABBBBBABBABA ABB
BAA $
BBBAABA BBBABAABB
AAAA BABABABAAAAABA
BAAA BBBBBAB
BAAABBBAAAAA $
BAABAA BABBAAABBB
BBBBBAAABBAABAABAAAABA ABBB
AABBABAABBBBAB BAABBBABABAAABBBABBAAABBB
A BA
B BAB
B BAA
AAABBBAAB BAABABBA
ABAA $
BBBB BAABAA
BBAAABAABAABBAAB BAAABABAABABBABAABBABBABBA
BBAABA B
BBABBAAAAABAAAABAABAABAABAAABAABAABAAAAAABAAA BBAAABAAAA
AB BABABAABBBABAB
BABBBBAA BABAB
BBBBBBA BBBABAB
BABABB BABBBAABAABAAAABABBBBABABB
BABBB BAABA
A BB
BAB BABA
BBABBAAAAB BBABABBBBBABBBBABAABBBABABABABAAAA
$ BABABBA
BABBABAA BAAAABABBAABA
BABABABBABAABBABA BAA
AB BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABB
$ BABBBABBABABAAB
ABBBBABBA BAAB
BBABBAABAAAABAAABAABAABAAABAA BBABABAAABBAAABAA
BBAB B
ABBB BABA
BBAB $
BABBBABAAAABABAABABABABAAABAB BABABBA
ABBAABAABABB A
BBABBAABAAAABAAABAABAA BBABABAAAB
BBA BAABBABAABB
BAABBBA BABABABAABB
BAABBBBAABBBBAABAABBBBB BAAAABAABABBBABB
BABBBAABAABAAAABABBBB B
BAAB A
BBBBB BAABAAB
$ BBABAAABAABAAA
BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABA BBAABAA
BBABABBBBBABBBBABAABBBABABABABAAAAAA BBABBAAAABAA
BBABBAB BAABAB
AA ABBBBBAAAABB
AB BABB
BAAAAAAAABAABA A
BABBABBBBBBBABAAABABBABAABABBB $
AAAAABBAAABBAAAABB BBA
BBABBA BBBABBBBBBB
BBB BBABBAAAAABAAAABAABAABAABAAABAABAABAAAAAABAA
BAABAAAABBBB BAAAABABBB
BABABBBBBBAABBABBA BABBABBBABBBBA
BBBB BBABAABAAAAAA
BBABABAAA BAAB
AABBBBAAAA AB
ABAA BABABBB
BBABABAAAA BBAAABAB
B BAAB
AAA BAABABABABB
BBBABBBBBBA ABBBBBABBAA
BBBAAAAAB BABABAABABBAAAAB
BBBAABBAAA BBAB
BBABABAABAABAAAA BBAABBAAAAAABAAABAAAAAABAA
BBBBAABBAABABA BABBBBABBABBAABAA
A BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAAB
BBABAABA BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAABABA
A BAAA
AABA BABBAABA
BAABABABAA BBABABABAABAAABAABAAB
BBBABBAAABAAABAAA BBABBAAABAABAABAAAB
BABBABA BAAAABABBAAB
BAB ABBAAABBBBBA
BAAB AABA
BAABBBBAABBBBAABAABBBB BAAAABAABABBBAB
BBABBAAABAAAAB BABAB
ABBBBAA BAABABBABA
$ BABBABAA
BAABAA BBBB
BBABAABAAAA BBABABAAABBAA
BABAAB BBBABABBBAA
BBBB BBAAA
BBBB $
BABBAAAAAABBA $
BBAAABA BBABBAAB
BABBABA BAAAABABBAAB
ABBBABABAB BBBAABBAAABBA
A BBAAABA
BAABABBABAABAAAABAAB AAAB
BBABBAAAABA BBAAABBAAB
BBBBBA BABABBBBBAABBBBAB
BBABAABA ABAA
BBBABBB ABBBABBBABAB
AABBB BBABBAAAAAAB
ABA AAAB
AAAABAA BBBBAABB
BAB BABA
$ BABABABBABAABBAB
ABAAB ABAA
AAABAABBABAAAAAAAAABBABABABAA BBABBAAAABAABAABAA
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBA ABA
BBB BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAABAB
AABAAA BAABAA
BAAB B
BAAABABAABABABBA BBABBAABA
BBABABBBBBABBBBABAABBBABABABABAAAAAABA BBABBAAAABAABA
BBABBAABA BBABBAABAAABAA
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAAA BABABBABBABABBABAAB
BBBABAB BAAABABBBABAABBAA
BBABABAABAAAAABAABAABAAABAAAABAABA BAABAA
BBABABAABAABAAAABAAAABAAABAABAA BABABBABBABABABBAAABAAABAAB
BBABABAAAAA BABAABBAABAAA
BBABBAAAAAA AABB
BAA BBAB
BBABAB BBAABBAAABAA
AAABBAB ABBBABABAB
BAAABABAABABABBAABAAB BBABAAAAAAABAAABAABAABA
A BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABB
BA BABA
BABBAAABAABBAB AABB
A BB
BAAAABAABBAABBABBABBAABBBBBBBABAABBABBBAB B
BAABA AA
BBAAB ABBA
AABBBAA BAAA
ABBAABBABAAAA BBB
BABABAABBBAABBBABAABBBAAABAAABBB BAAAABAABABBBABBABAAA
BBBBBA BABABBBBBAABBBBAB
BBABABAABAAAAABAABAABAAABAAAABAAB BAABA
BBBBBBA BBBABAB
BABBABBAABABAAABBBB BB
BABBBBABBABB BBBBBAB
$ BAAAAAABBBB
BBABABA BBAAB
BBBABAAB $
AABAABBBB BBABAAB
B BBAA
BBAAABBA BBABAABAABAA
BBA AABA
BBBAA AA
BABABBABBABABBABAABAAAAA BBBBBBABAABBAABBAA
BAABAABBBBBBBAABA BAABAAAAAAABB
ABBB BBBAB
ABBBBABBA BAAB
BAB A
BABBAABBBABBBAABAABBBBBB BABABABAAB
BABBBABAAAABABAABABABABAAAB BBA
B BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABAB
BBABABAA BABA
ABB BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABBBAAB
BB B
AAABA BAABAAB
BBABABBBBBABBBBABAABBBABABABABAAAAAA BBABBAAAABAA
ABBAABBABBBABABABBABAAB BAABBBABAABB
ABB AB
BBABAB BBBBABBA
BBA BBAABABA
A AAA
BBABABAAAAAAAAA BABAABBAABAAAAAAA
BBAAB BB
AAABBAB BAABBABAABBAA
BAAAAAAABAAABBABAABABABAABBABBB BBBBBBABBBAA
ABBBBBABAABAABBA BAABBBBBAAAABBBBABAABBABAABABBBBBAABBBABBABBBABBBBBBAABABBBA
AAB BAAABBABBBB
BABBBBABBABB BABBAAAAAABBBABBAABAAAABBBBAAABBAAAAAAABBBBABA
BBABBAAAAAABAA AABBBAA
ABB BB
BABABBBAABAA BAAAB
BAABBAABABBBABBBBBBABAAAAABAABABABBAAAAB BBABAABAAABAAABA
$ BABBAAAAAABBA
BBABABAAABB BBABAABAA
A BB
BAABAB BABBAABBABBBBBAABABAAAAAB
BBBABBB AA
AAAAA AAAAABBAAABBAAAABB
BBABAABAAABA BBBABBAAAB
ABAA ABBAA
BABAABBAABAAAAA BBABABAAAAAAA
BBABAAAAABAABA BBAABAAAAA
BABABBBABBAAABBBBBBBBBBAAAAAAABAAAAAB BBABBAAAABAABA
BAABAAAABBBBAB BAAAABABBBAB
BABBBBBB ABBBBBABBAAA
ABBBB BABA
ABBAAABB AAAAABAABABAABBBAAB
BBABABBBBBABBBBABAABBBABABABABAAAAAAB BBABBAAABAABAABA
BABBBBBAA BABAB
AAAB BBABAABA
AA BAABBABAB
BBABAABAABAABAABA BBABABABAABAAABAABAABBAAB
BBBBAABB ABA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAA BABABBABBABB
AB AA
BAABBABAB AA
BA A
BAAABBBAAAAA BB
BAB BABBBAABAABAAAABABBBBAB
BABABA ABBABBABBBBAABBABBBABBA
BAABAAAABBBB BAAAABABBB
BBABABAAAAA BABAABBAABAAA
BBAA BABBBABAAAABABAABABABABAAABA
$ B
ABB BABBB
BBABAABAABA BBAAABB
BABABBBABBAAABBBBBBBBBBAAAAAAABAAA BBABAAAABAABA
BAAABBABB BAABAABABBAABBBBAABAABBBAABABBBB
BAABBAB ABAAABBABBBAABAABAAABB
ABB BBBBABBBABBBBBABBABA
BAABAABABBAABBBBABAABAAABAB BBBBBBA
ABA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBA
BABBBAAAABBABBABBAABBB ABB
BBABAABAABAABABAAAAAAABAAAAAAABAAAAAAA A
BAABA BBABBA
ABBAB BBABABAABAABAAAAAAB
BAAABABAABABAB BBABBAA
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAAB A
BBAABBAAAAAABAAABAAAAAABAAAABAA BAABABABBAA
AABBBBAAAAB BAABBBABBAABBBAABBABABBBABBAABAABBABAABBABABABBBAAABAABBAAABBAA
BBBAABA BBBABAABB
BAABBABAABB ABBAABBABAA
BAA AAAABAABA
BABBAABABBBABBAABBAAABA BAAABBBAABAAAAA
BBBAAAAA BABABAABABBAAAA
ABBAAA B
ABBB BABBBB
B $
BABABABAAB BABBAABBBABBBAABAABBBBBB
BAAABBBAAAAA BB
BABABBAABBABABBBB BABBBAAAAAAAAA
BBABBAABAABAAA BBB
BBBB BABABBAABBABAABBABABBBBBBBBAAABBBBAAABBBA
ABA BABA
BBBABA BBABBAABAABAAABAABAAAAABAAAABAAAAB
B BBBBBBAAA
BA BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABABA
BABAABBAABAAAAAA BBABABAAAAAAAA
BAAABAABBBAA BBB
BABBAAABBBA BAABAAA
BAABABBBABBBBBAABBBBBBBBBAA BABABBBAABAA
BAABB ABBBBABBAB
BABBBABBA BABBBBABBBABABBB
BAB AB
BBABAAAAABAAAABAAAAABAAABAAAAABAAA ABBAAAAAB
BBABAAAAABAAAABAAAAABAAABAAAAAB AB
BABABABBABABABAABAABAAABAAAABAAAAAABAAA BBAA
BA BABBBAABAABAAAABABBBBA
BBBBBAA BABABBBBBAABBBBABA
BABABABAAAAB BABABBBABBBA
BBAAABBAAB BAAAABBBBBABBABBBBBABBABABABABAAB
BBABABAAAAAAA BABAABBAABAAAAA
BBABBAABAAAB BBABABABAABAAABAABAABB
BBABABAAA BABAABBAABA
BABBBBABAABB BABBAABBABBAABAB
AAB ABBBB
BAAABAAB AAA
BBBABAA BAABBBAAABABAAAABB
BAAABBABABABBAAAAAABBABBBBA $
$ BABABBABBB
BBBB BBBABABAA
AABB BABABABABAAAABABAABABBBBAABBBBABBABAAAAABAABABABAAABAABBBAAABBBABABBBBBBBBAABABAAABBAB
BBABA AAABB
BABBBBABBAABA BAAABABABBB
AAAABBBA BB
BABBBAABAABAAAABABBBB B
BBBABAAAA BAABBBBABABABAAAABAA
ABBA BABABABBABAABBABABBA
ABBAAABBBBBABA AABBAB
BBAAAABAAABAAABABBBBBA BBBAA
BBBBBBAAAB BAABA
BAAABABABABBAABAAABAAABA BABBAA
BABAB ABBABBABBBBAABBABBBABB
BABABAABABBAAAA BBBAAAAA
AAABBABAABBAAAAABB BBBAAAA
BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABB A
BAAAABBB BABBAABABBBB
BBABABAAAAAAA BABAABBAABAAAAA
BABBBAABAABB BAA
BBAAAABAAABAAABAB BB
ABBAABB $
$ BABBBB
BABABABAAAAB BAAABBA
A BAAB
BBA BBAABABA
BBABABAAAAAAAB BAABABAA
AABAA B
AA BBBAAA
BABBAAABBB BAABAA
BABABBABBBB AAABBAABBBA
ABAAABBABBBAABAABAAAB BAABBA
BBA BAB
AABAABBBB B
BAABBAABABBBABBBBBBABAAAAABAABABABBAAA BBABBAAAABAABA
AAA ABAABBBBAAA
BAABABABAAB BBBBAAAA
BABBAABA BAAAAAAAAA
BAABABB BABABBBAB
ABBAAA BAABBABAABBAABABBAA
BAAAABABBAAB BABBABA
A ABBBBBBAAAABA
BABAB A
BABBABABBBABBABBBB BBB
BABAA BBBAABBAAABBA
BAABBBABA $
AABBABAABBBBABB $
BBABABAABAAAAABAABAABAAABAAAABAAB BAABA
A BAB
BBBABAA BBABBAABAABAAABAABAAAAABAAAABAAAABA
ABBAABAABABBBB ABB
BBABAAAABAAB BABABBBABBAAABBBBBBBBBBAAAAAAABAA
BB BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAA
BABABBBABAB BA
ABB AAAB
BABBAABAAA BAAABBAABBAB
BBBABAB BAAABABBBABAABBAA
BABABBBABBAAABBBBBBBBBBAAAAAAABAA BBABAAAABAAB
BBABAB BBAABBAAABAA
BA BABABABAAAAABABB
BBABBAABAAAABAAABAABAABA BBABABAAABBA
BA AAB
BABBAA BBABABAAAB
BAABAABA BBB
BABABAABABBAAAAB BBBAAAAAB
BBBBAABBAABAB ABAAABABAB
BBABAAABAABAAAA A
BAAAAABAAABAABBAA BAAABBABAABABBA
BBABAABAAAA BBABABAAABBAA
BABAABBAABAAAAA BBABABAAAAAAA
BABBABAA BAAAABABBAABA
BBBABABB BBBAAABAABABABABABBAABAAAABAABAABAAAAA
BAAA AABBB
BBABABAAAA BABAABBAABAA
BBBABAB BAAABABBBABAABBAA
AAAA BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAAA
BAAAABABBB BAABAAAABBBB
BABABABBABAABBABABB BABABBABBABBBBBAAB
BABABAA BAABAB
AABAB BBABBAA
BBBBBAAABBAABAABAAAABA ABBB
BBBBAAAA BBABBAABAAAB
BAA BAABBABAABBAAAB
BABABBBAAB BAABABBBABBBBBAABBBBBBBBB
BB ABA
BABABABBAAAABBBBBBABAB BABAA
BABBAABBBABBBAABAABBBBB BABABABAA
BBAB AAAAA
BBABABAAAAAAAAA BABAABBAABAAAAAAA
B BBBBBBAA
BAABABBAABBB BAAAABAABABBBABBAB
A ABABBAB
BAABBBBB AA
BABB BABAB
BAABBAABABBBABBBBBBABAAAAABAABABABBAAAA BBABBAAAABAABAA
ABBAABAABABBBB ABB
BBABBAAABAAABAAAAABAABB BBABAABAABAABAAB
BABABBBAAB BAABABBBABBBBBAABBBBBBBBB
ABB AABAAABAA
BABABBBBBBAABBABBABAA BAAABABABB
BAAABBABB BABABABBAABBABBBABBABBAA
BBBABBAAABAAABAAAA BBABAABAAABAAABAA
BBBABAAA BAABBBBABABABAAAABA
AAAAAB BBABBAABAABAAAA
AA BAABBABAB
BABAB AAA
BABBBAB BAABBA
BABBABBAABABAAABB BBA
$ BAAAABAABBAABBABBABBAABBBBBBBABAABBABBBA
BBABBA BBABBABAAB
ABA BBBBAABB
BAABAA BABBAAABBB
BABABBABAABABB BBBABABBBA
A $
AABBB BBABBAAAAAAB
BABABBBAB ABAAAB
BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAA BAABABABAAAB
BAAB BABABAABBBAABBBABAABBBAAABA
$ BAA
AAABABBABABA BABBBBAAABA
BBABABAAAAAAA BABAABBAABAAAAA
BBABBBAABAAABBABAAAA BBABBAABAAABAABAA
BABABABBABABABAABAABAAABAAAABAAAAAABAA BBA
ABB BABBBAAAABBABBABBAABBB
ABBBBBA BBBBABBBABAB
BBAABBAAAAAABAAABAAAAAABAAA BBABABAABAABAAAAA
AAAB BBABAAABAABAAAAAAB
AAA BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAA
BAAABABAABABABBA BBABBAABA
BBBBAAABA BAAABAB
BABBBAABAABAAAABABBBBA BA
AABBABAABBBBABB BAABBBABABAAABBBABBAAABBBB
A BBBAA
BBBABBAAABA BBABAABAAABAA
$ BBBBABBBABAB
B BBAA
$ BBBABBBBB
BABABABABAAAABABAABABBBBAABBBBABBABAAAAABAABABABAAABAABBBAAABBBABABBBBBBBBAABABAAABBABA $
BABBBAAB BABBBAAAAAAA
BABBBBAABABBAABBBAABBBAB BAABBAB
BABABAA BABBABBAABABAAABBB
BBABABAAABBAA BBABBAABAAAABAAABAABAABAA
ABAA BABABA
BBABB BABAB
BABBABABBBABBABBB BB
BBABB AAAB
BABABABAAAABABB AABBBAAB
BBABA AAABB
BABA BBABABAA
BAAAABAABABBBA BAABBBBAABBBBAABAABBB
BABABBBAABAAB $
AABAABBB $
BAABBBAAABABAAAABBA BBBABAAA
BBABAABAABAABAAAB BBABABAAABAAA
ABA BBBBA
BAABBAAAAAAABBABBBAABABBBABABBBABAAA AAABAB
BBAABAAAAA BBABBA
BABABABABAAAABABAABABBBBAABBBBABBABAAAAABAABABABAAABAABBBAAABBBABABBBBBBBBAABABAAABBABAB AABBAB
AABBBAB BAABAABABBAABBBBAABAABBBAABABBBB
B ABBBB
BBABBBBABABBABBAAABBAAABBBABABB BAAAAA
BABBAABBBABBBAABAABBBBBB BABABABAAB
AAABBAB BAABBABAABBAA
AAB ABB
BBABAABA BABBAAAA
BABA BAABBBBB
ABBB BABABA
AABAB AAAAA
ABBBBABAAAB BABBBBABBBBABBBBAAAAAAAB
BBABBAABAAA BBBA
BBBABBBBB $
$ BABB
$ BABABA
BABBBBABBBBABBBBAAAAAAABB ABBBBABAAABB
BABBBABBAABAAAABBBABAAA ABBBBBABAABAABB
BAABBABAB AA
BABBAA AA
AAA ABAAABBABBBAABAABAAABB
BBA BBBABB
BAABBABABA AAA
BABBAABBABBAABABBB BABBBBABAABBBB
BBABABAAABBA BBABBAABAAAABAAABAABAABA
AABBB BABABBBBAA
BAAABABABB BABABBBBBBAABBABBABAA
BBBBBBAAABA BAABAA
BBBABBB ABBBABBBABAB
AAAB AAAAA
A BAAABAABBBAABB
AABBA BAABBAB
BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBA AA
BBABAAAABAAAABAA AABBAB
ABA B
BABBBB A
ABBA ABA
BAAABABBAAABAAAAAABB BBBABAA
BA BABBBBBBAA
ABBBBBABBA BBBABBBBBB
ABBABAABA BBABAAAAABAABAABAAA
BBABBAA BAAABABAABABAB
BBBAAA AA
BAABABBBABBBBBAABBBBBBBBBAAB BABBAABAABAABBBAAABAAAABBABABABBBABBBABBBABAA
BABABAABBBAABBBABAABBBAAABA BAAABAAABBBBABAABABAABABAAABAAABBABBBABBB
BBA BBAAA
BA BABABABBABAABBAB
BABABBAABBABAABBABABBBBBBBBAAABBBBAAAB BBAABA
AA ABAABBBBAA
BAABA BAA
BBABAABAABAA BBAAABBA
$ BABABBABBB
ABABB AABB
AABB BBABBAAAAAA
BABABABBABABABAABAABAAABAAAABAAAAAABAAABAA BBAAABAB
BBABABBBBBABBBBABAABBBABABABABAAAAA BBABBAAAABA
B BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABAB
BABBBBBA A
AAAB ABA
AABBABABAA BBABABAABAABAAAABAAAABAAABAABAAA
ABBABAABAA AABBBABAABABAAAABAABBB
BABABBABBBB AAABBAABBBA
AABBBBAA BAAABBABBBB
BBABABAAAA BAAB
BB BABABBBABBAAABBBBBBBBBBAAAAAAABAAAA
A $
BAAB BB
BABB BBAABAB
BAABAA BBBBBBAAABA
AABBB BBABBAAAAAAB
ABBAABBABBBABABABBABAAB BBBABBB
ABBBB AAB
BABAABBAABAAAAAAA BBABABAAAAAAAAA
AABAA B
A AB
BBABABBBBBABBBBABAABBBABABABABAAAAAABAA BBABBAAAABAABAA
BB BAABAAA
BABB AB
BBABBAABAABAAAA ABBAB
ABAAA AB
BBABBAAAAB BBABABBBBBABBBBABAABBBABABABABAAAA
BAAAABABB BAABAAAABBB
BBBBA BAABBABAABB
ABBBBABAAABBB BAAABBABABABBAAAAAABBABBBBAABA
AA BAABABBABAABAAAABA
BABBABABBBABBABBBB BBB
ABABBABBA BABAB
BBBABB ABBBABBBABA
BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAAAA BBAA
