23703
OGfHUIGK GWkodKgK
SCeVMn[MfGKaaA GKWBJaGaI[M
SkT DkT
SkVNeXISbnTSkaIV mnV
Od hPN
SOY mn
SbKaIcIOFXm QOdgeXm^QUPmhAh\KRKm
$ O
SVMYcFqkA $
GKW GWkm
SeOff^[MKnEdEYj[MknIkFqbem OSdWPmh[
SVMKUkaSBjjZ]Rj SbY[MkdH^kRqBkdESNZ
SVMKnE OnIfqV`MgKnnIkekV
GWW GW\SBWMAFqmihAbWH^dd
OnOdW\SGdrIOPG\S\geJQELna OrIOZaa
Sk^aL $
GKKWPmQkee SbKndI
OnRnaPSjQj]C SbEkaSjZjZ]jj
OFJ nnKNZJa_h
SdgfeBHBHWHaW SAFBqBWH
SkTgGjKjk`VcfnTS OE^Pmfn
SbfKUomWHUmgHZ G\KWFPmih[Aih
OPcRGhMfkdEa OGPmhPUrRrjEQ[MYKGaa
OPrch`MnkOYkeOfnWBBM OZUfkUWHISOkEeBqSBqmbkUeBR
SOK GWfGbVcGYGQG
CGWfPHmk OEPmh
OEPmib GWDUkaNIcaK
GKKKKWGY^UeJaHKNFNh TKKKKgKWPmimcKNhe
OZUGdd SejqK\UHZbqkkjCLrpYp``IMqbfY^UW
OGPmhJ[ On`WPmiih[
OGomBqmbBqbWeqmQV SjjWom\g\g\BG^UkaLEjcn_^aIWHIOSE
GKKW\gHK SAnX^caPLnLhK^^NF^b
GWfeJQ^QndKelJadkaYI Sjj^U\SBJaM
GKK SjdSpQ
GKKKWPmQ`ah SY
GcW^kUjm\ OZnh^CaAT
GWHoK Ok_WhenIkr
OrIOGWHFqcZAZnqjkO UcfYTSf\BHaKW\gBJa_hgUIS[G
TKKKKgKWPmimcKNh OEPmiQcZjjkjk`^aaA`agkndWPmQVj`QHgqTSWjCLENg\BPmibogKWHK^^Nheee
GW\OgBq OFq
OG\ O_
OGBE OF
GKWHaWknnIkbY SE
SbYcaWBBRqS\g\SeJQ GW\SBWMAFqmihAbWH^d
Sk[` rVd`
OEfeJagBBqSeqmhPDjPUrRrRrj[QWeqmbPmhE HERZq
OFKmGUfk GqKq\SeqmkUfG^
GLom\g GKKW
RFEJQHZjBqkejY OnIKnpY
GKWeJQRqmhQK^QaaATSW GKKW
SASpcLEc GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhM
OneiX OPi`I
D S
OdgHISWHKNF^^N Onej^aI[`MYVjVj^aaPIcK^^Nj
MOEBBMXBH SAZUeBMBWHWHH
SAnX^caPLnLhK^^NF^b Orm_hK^
Sb $
Sb Skekr
OPiRncIVcf`QHIGXHo OnIkF
OEGjWeB DnRhQgqTr
OComPSQ^aS]RjjS Sj^aaPSj
GWkodKgKK OGfHUIGKK
OGPmhPUrRrjEQ[MYKGa OPcRGhMfkdE
rGKW\geBB GKWWgBqmihAQWHaWeBMBW
kOZYlV SeASqqM
SAPjW\ OdSnLd[IKKKW
GWeBqq SA[BRS\SfBBRMq
OFqmQK OIaIK
WPmh[irQa OPiX
SjdP_^aLp SeMY
SbY`aEaA`QDAFBSGdE\gknpYY SUj
GfG^nEcqjdgZ OZnEcK
OZaIVN^YBnTB GKWBCKIGK
OComPSQ^aS]RjjSKZ OEknhgqTgkaSjQjjZ
G OEBBSG^MaA
Sk^UkndKW\Seq MGWHjKGUP
GWHQZAGWhjYYBfqAneckGWhekWogKWffkndKWeqmbPmbBJQg Sj^U
SBfG SAdGaLpYYqMf
SkcaW\BWMOkZUHK^NF^^^NFNF TKKKKgKWPmimcK
DW\SoYW\`WdHK GWfWHKNF
$ S
SbqjjWfW_n GKKW\SG^UkhcLpYC
SAdLQURHWfncISbKnnSS GKKKWkUfBBqqSBqmQ`QES]Rj
SdgfeBHBHWHaWHHW SAFBqBWHHHW
MGWHjKGUPmQ OSENMOY
SAPi` H
GWPm pKWGYYCaATeLmQWPmhA
OPN_qq``MKnh Sejp`MhMhMKU_JaH
OrmjBGKUeJQg\g\SPmib\gWh JVhMN
OGGkXREiXGn OnREiXMkc^dnRp
GKWo X
KWeBNMMMBlHCW OFBMqRBHH
RFEJQHZjBqkej OG\BBJQeBSBJQZqmQKZBRMS\gG
SOn`aZKmhOnTBGk`kV`MnV SAEHgTq`f_Q^YqdrmD
OdZBq nDjp
GWkUPmbkaS]RjBjBj]Rj SbEkaSjZjZ]jj
GWkUW^Q Sk`QjdVeKmgk
SOY^UHFqcaKKKKW GKVO
OZUomWRKIOnej[MqOkP_^ c
GWBKmjkeiXRBRRM SAEfeBMR_
SANZ OG
SOKnnaP GKKKqWfWE
OPcYVc SjjWom\g\g\BG^UkaLEjcn_^aIWHIOSE
GWkaI OGeKmDkkeVMYa
OGPmhPUrRrjEQ[MYKGa OPcRGhMfkdE
GKKWkUf jZaaPIT
E[ba OSENMO
SeCS GWG
OZnhZjjcFqVNZXIOdMbnVc GLWf\XGB
OSE _c
OGGdrmhbYKRJaEaOP OFqmhAQTBPmbBJQjC
S pOUX
OneiIkUkUPmUbo GWHW
SOGKUBJQRBRMB GKKKWkUmhAhPUrjPDRrjEib\B\BfBBSGYq`MkE\g\geBRB
OFBSPmhEiQca OrVI
OGPmQ On]nSog
GWH^CaA mrmOGhaI
GKKWPmb\SPmhEQWPm GKWfHIS
$ O`EZHeKI
SbqkVNESjKKQ OZUXG^aS]CjQjjZ]CjKKT
OSdWHaWH^CS SbY[MkdH^kRqBkdESNZ
GoW OE
SAne OrIOSpYke_^neP_jLjdEknnAV
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj OnX^QaLhIGWknnS
OPjcK^Nh TKKKKgKWPmimcKNhe
GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZ OSpcS]RjQjB
j`aZqmihQTg\BWElIVViRna OnRpca
ghn GWH^jKZXI
SeVMfh`MhMGknXH^pMfh WSk[``
OZndW SkkbGkrmo
MOEBBMXBH SAZUeBMBWHWHH
SV` SAnecfGYkj^nnIVj
SH OnXd
VqqrMZ SkV_p`Mh``M
SbqkVNESjKKQj]R Sk`QgaS]CjKQj]SRjB
GKWW GWkmW
[OrmBpSUk OSqC
OnX CWErc
Odh Sj
SOn`aZKmhOnTBGk`kV`Mn OP`
SOq GKWWWeqmibBXmMV`MYk
GWkUdS Orm_
G OEBBSG^MaA
$ fO
OnIhMfYVcnKeBMS GpPmChoAbA
SOKnpYpMKn X
K]n OSqC
OFKmDAFB OYTla
GWeJa^cLqBh``MYKELqqMhM GKWeKISK
SVKgGqMncQUWELEiKaLW OZUPmb
GKKKWkUfBBqqSBqmQ`QES]Rj SAdLQURHWfncISbKnnSS
OcEY OGeJageBS
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjj On`TBfkaSBjjQjjjBjjKCKKZjKKKKf
GNeqmbHN SbfKnhK^^N
GKKW SejUJ
OnIG GKWeCBSBKmDkMG
SjY SejX
SAPNEaA Z
OE\jqmGiZQ`aj^E OZU
d SAdj
GWBKmMOKnhW SeAGWHWGKWogKKKKKKCmo
OnIfqV`MgKnnIkekV SVMKnE
OGPhAQ^U\B OGeBMRMS
[qdO SAGB
O $
SAP^ GKWknp
e OEHUmRKIGWH
SbY qAZaI
Sjj^U\SBJaM GWfeJQ^QndKelJadkaYI
j`aZqmihQTg\BWElIVViRn OnRpc
GKWPmhiPDRrRrRrjPDRrRrj[iiQK^YBGYVj`aO_ OZn
GWHZ fOS
OGPmQcK^NF^^^^^NF^N LF
GKWWgBqmihAQWHaWeBMBWHW rGKW\geBBHW
GWfeJQ^QndKelJadkaYI Sjj^U\SBJaM
GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjK Sj^aaPSjK
OdDOh``MhMKnEcGh` WVMhH`
DW\SoYW\`WdHK^ Od_qpMYWHK^^^
Sj SjjW
GWH^Ca OZn\
GWfk SkTSHommJiQWk
OP_CaATSfeKmZqmih $
GKWo X
Sk` SAdRUKr\IS_k`
GKWknnL X
GKWW SAP
GWgdWBXISeOqkYKD GWBBSGq``Mq
OZaS SbEkaSjZjZ]jj
^ O
SkcaW\BWMOkZUHK^NF^^^NFNFN TKKKKgKWPmimcKN
SjCIcoKIKWbkUo OSdKWPmibfo
OAZnlBgY OGeqm
SbEkaSjZjZ]jj OZaS
GKWPmQKZqmiiQj OShaKKKKK
aIVHmW OEeJadW
Sbn`ahAPcKU\SkUGp OSpcI`QDeiV``Mh`
OEPmh[QVNeKmhbfY`Q^Yj`a_naPS]jj]RjjKKKKZjZjQj $
On` GnWPmL[``VMnKeKmhkLcn
SjdrmZJQ OdWPmiiibW
SUj SbY`aEaA`QDAFBSGdE\gknpYY
GKKWkndKKKKKf\ OZaaPIT
GKKKKWGY^UeJaHKNF bO]SWK^K
OecXd GWf
lOEPmQWP GKKWPmb\SPmhEQWPm
N GWWdWMVMkrISjBk
OF KhSKW
GW\gGp`AMkGfXfH\Znn $
OEPmQ^UogKKKKWeB O`BM
GWPkBqmiQ`a OPjKhkkeAdDkK
SbqAEe OdNZ
SkTgWRqmih[ihAibkaIk j^nUeJQh
j`aZqmihQTg\BWElIVViRna OnRpca
SeeOYTBfBBRBHWWWHH [H
OPN_dKKKWGjTBGYjV GKWPmQKZqmiiQ
SbKaIcIOFXm QOdgeXm^QUPmhAh\KRKm
OFqmhAQTBPmbBJQj SOj
SeOh`MhMkFXmRqmQ^UeXm^cLpcSjKZ]jjBj]jjjVQjC OZaSjQjBjj
Sjj^U\SBJaM GWfeJQ^QndKelJadkaYI
Ln`caKKKKKWG^ah\k[ Sjp
SOqjkREiRSjK]ZGjnQjjKKQ GKKKWkUfBBqqSBqmQ`QES]RjjQ
OFqmhAQTBPmbBJQj SOj
pKWGYYCaATeLmQWPmhA GWPm
GWWGUGk GKWfG^aLhUmMjk`akAjBh
Sk[``Mfn`a_dKKKK GoV
f O
S $
OnXZqmiQTgWRKmj SkjZ
SV OEPmhAbW
SA[BRS\SfBBRM GWeBq
GNeqmbHN GWHFq`agogKWPmh[QcK^^^^^N
OnOdW\SGdrIOPG\S\geJQELna OrIOZaa
S Dp
SV``M GW[Gk`[```MhMfGYWeXmDeO
Sj SAP^
gPNd SVMqVMqOGYTg
P SjY^nqke
GWGjWPmbGYdPjKdeJ oSek`
GWH^Ca OZn\
SjjTSfeJa^Y SAP_Yc
GWBqmh[Qk OPjKMblq
SeASqqM kOZYlV
DpO SebY[MqbffGh``M
GWn OS
nnKNZJa_h GWkaIWf\BGYjc
SAP^ GKWknp
SOh`Mkd SejqK\UHZbqkkjCLrpYp``IMqbfY^UW
SbnKMj[YkqjpMK GWkUk
OSEjWoV SAdZIBMSWRX
Ln`caKKKKKWG^ah\k[` OPch
GWkodKgKK OGfHUIGKK
On n
OEPmh[QVNeKmhbfY`Q^Yj`a_naPS]jj]RjjKKKKZjZj SAdLQURHWfncISbKnnSSj
OrIGWf GW\jBWd\B\BW
OSnIK^Q GS\U\Sk
SjYInnSBjB GKWPmiibeJa_naPSB
OSdWBKIOPjTgfepJ^YqMW SkcZkV_CITg
$ O
OrISArIGWeKISkkjq`B``MhMfY[`MKaS OdESjKZBj
GNeqmbHN SbfKnhK^^N
OK OZUomWRKIOnej[MqOkP_^
GKWfBJaZ SkcgIXV`MhMYKZXmR
OnIUkUka OdGnEiRn
GKK GKWeJQRqmhQK^QaaATS
GWf DW\SoYW\`Wd
SV` SAnecfGYkj^nnIVj
Sj^aaPSj GW\BHIGWGCIcZjCSjZBjBjZj\KKQjj
CGWfPHmk[ OGWeqm
OE_mkaaP GWkaaPaP
OEeqmhPUrRrRrRrjAbW_h RG
OnXgeXmELEiecnW\SkUBKmRKm OEBqmhbUmhPUrj[QKeXm_nnIW
GKWPmih[bBBMBHHHWHHHHHHHWWWHHWHWH mOeBB]
GWPmiiib\BogWffeKIOdeKmh SVO
SAP_YkdRpQ OGeJageBS
VSeeAPN GW\SkUPmbogWfW
SAEfnHZV``Mqbqj^aLd GKKWkndK
$ GWHF
GWkUPmbkaS]RjBjBj]Rj SbEkaSjZjZ]jj
OZUknd SVKgGqMncQUWELEiKaL
dPm OPNGUomPmh[
GWkm GKW
OEGjWeB DnRhQgqTr
dGWSBX\AHqmbGC GWW_dWknpc
OE_mkaaPS OEWESBj
WOgGCLpcSB OSnS]
SjYInnSBj GKWPmiibeJa_naPS
p GKKWBKI
OZaIWPibeBqMqqRR SbqAEGqMqbnkjdFB
OF GW\OgB
GKWBXmd GKVO
Q OSE_p`
GWeBSPmQVi Ok_When
GKKW\SG^UkhcLpYC SbqjjWfW_n
GW\BWg\g jGW
GWWdPmQ^aaAWBJQj GWH\G
GPmh[bBa[XT OFK
OZaaPLqjKRqmihEQTB GLom\g\S
GKW\gWDOfqbG SbO
QOdgeXm^QUPmhAh\KRK SbKaIcIOFX
SebYKGn SVMXrHSASf
SkcgIXV`MhMYKZXm GWW
SAP GKWW
WOgGCLpcSB SjCS]RjBj]RjjKKZjZjQjjKKKZBj]
SkkbGkrmo GWom\g
GWgdWBXISeOqkYKD GWBBSGq``Mq
GWPmQWBBSHgqcISVMn`Q G
GKWeJQRqmhQK^QaaATSW GKKW
SeASqqM kOZYlV
_G SkkekTBBqmQcgq
bGWeB SAGB
SjYInnSBjB GKWPmiibeJa_naPSB
OnI VqqrMZ
SAdeBqSW GWPmQTgfq^YdEGddjddhAFJQDOqAFJhajjK
Sk`QjqMGGGhMqV`Mk GHKKWMKmg
OrISArIGWeKISkkjq`B``MhMfY[`MKaS GWkaaPaPS
OSpcI`aDOGY^ SkTSHommJiQWk
Sj^aaPSj OComPSQ^aS]RjjS
GKWfHIS GKKWPmb\SPmhEQWPm
SbY^UW^Q Sk`QjdVeKmgk
GKWeKmhbqAnIqA $
OdESjKZBjj OrISArIGWeKISkkjq`B``MhMfY[`MKaSj
Sbk a
SbEkaSjZjZ]j OSnSjKKQ
Ok_When GWeBSPmQVi
Sfn`aVNhVMgNn^nq Sej
SVf`MqbfqejBYWPmobQBBSeqpih SbqbKUHgqTSPmhPDRrj
Sk`QMbnkbKaI[ dSWiG
[ OrmeBB
OerSbU\ OFJ
aOr OFKIOGeK
OnecknXHFqVcY`QeKmgkaI^U SbKCff
OE G
GKW GWkm
OFqmhAQTBPmbBJQ SO
On` GnWPmL[``VMnKeKmhkLcn
OFXISeV` GWBZkaI[U
k[I SbqV
SVf`MqbfqejBYWPmobQBBSeqpihA SbqbKUHgqTSPmhPDRrjA
SeAn OrIOSpYke_^neP_jLjdEknnAVi
OdgBBBHHWW SdgfeBHBHWHaWHHWWWW
mn SkVNeXISbnTSkaI
GWG^ GnWPmL[``VMnKeKmhkLcnc
SAFBqBWH SdgfeBHBHWHaW
GWHn_dd_pcIkV nejcI\p
bO]SWK^K GKKKKWGY^UeJaHKNF
GWHFqV_^nqkiRnQH OEPmQ`QH
OZnh RG
GWn OS
GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS GWeJagPmbeJQMV```MkE\BGddEfS
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj OnX^QaLhIGWknnS
Z SAPNEaA
GWH\FBqBHHWHWHHHHWWWHH SRBqBWWZWWnHHW
OGMeqLhEbG Ormd\SeqmiibWDeAGG
GWHFq`agogKWPmh[QcK^^^^^NFN SAnX^caPLnLhK^^NF^b^N
GKW\go eOqek`DVMSpQUWZqm
O ^
nEB OF
SVM SBf
SAZUeBMBWHWHHH MOEBBMXBHH
_c OSE
_G SkkekTBBqmQcgq
XgK Sk`QgBJQ_d
SArmN OdgkUPmiihAihPUrjEibWH
OnRhUmHIGWeBqRBWH OEgJQEIc^kIYKeBRB
SjdrmZJQ^ $
OPNGa SkTSHommJiQWka
Onei`KDkTgWgW^QUBJKQhb GKWBJaGaI[M
RbTOQ SOhM
GWBBSknpcS]CBjjZjK SeOh`MhMkFXmRqmQ^UeXm^cLpcSjKZ]jjBj]jjjVQjC
O SASpQ
YEPDo SOGfn^aaPL
GWfP dP
OnIGkS O]
OdgGp`e SbGh
OPiInK^QUBJ Sjm^aaPQLqhjT
OG\geB GKWeXmjj
OPcRGhMfkdEaP SAPi
OFqmQVcnkjj`Q_ JbqOGY^n
OZUfkUWHISOkEeBqSBqmbkUeBR OPrch`MnkOYkeOfnWBBM
e OEHUmRKIGWH
MOEBBMXBHHHW OSdKKWeBRRBHHHHWWWH
GWH\FBqBHHWHWHHHHWWWH OdOHoBqMBHWWHHH
OGPmhJ On`WPmiih
SVMhMn[MGfnVjKpH\djCgIkK SA
GWBqmbfWZJQg om
Sj SkkV`M
$ GWHgqKgHZ
SkWf\ PNRqmb\geRU
Ln`caKKKKKWG^ah\k[ Sjp
SAFBqBWHHHW SdgfeBHBHWHaWHHW
XKW\SPmh[h[TQTBkaSBjjKZBjB OdESjKZB
GWf DW\SoYW\`Wd
SOkZUGYCaAK^YBk N
GKWWWeqmibBXmMV`MY GWkaaAkk
SVMYcFqkA $
SebY`aDbY`Q^Yk` OnZWHh
SjmjKhkWBJQELqpMfn SbY
Ui On`[MKUo
GW\OgB OF
OEWdeKIGW OSG
OdDAdIOfkP_dPNdogWH^jWPmh[bWjj^ OneNEI[Mkdgk
OEPmh CGWfPHmk
OSdWfWeq GWHQZAGWhjYYBfqAneckGWhekWogKWffkndKWeqmbPmbBJQgP
KWeBNMMMBlHCW OFBMqRBHH
OSdWBKIOPjTgfepJ^YqMW GWHaKW
GKWWELpcSjKQjjKQj]j SjYInnSBjB
GKKWGkej^U\SfeqmhPDRrjA\ SVMkFqmi
QOdgeXm^QUPmhAh\KRKm SbKaIcIOFXm
SAnX^caPLnLhK^^NF^b Orm_hK^
SkTSHommJiQW GWf
GKWo X
gPNd SVMqVMqOGYTg
GWeBq SA[BRS\SfBBRM
SH OnXd
SOOnn OSEiX^c
OE_mka GWkaaP
OE\gWZJaE GBJQn
G Oi`
OrIOZa OnOdW\SGdrIOPG\S\geJQELn
XKW\SPmh[h[TQTBkaSBjjKZBj Sjk`Vcn`a_naPI[`MkPiIkdES
OrIOFBMSeJQGaLpQ GWB\aDk`agnG^
GcW^kUjm\ OZnh^CaAT
SjYj OqmQ
GKWBqm SjjcaKg^fomBSeqmhEni
SBfG GKKWBJaHncGYV_q``M
SkTSHommJiQW GWf
GnWPmL[``VMnKeKmhkLcn On`
OFB IAFB
OSG OEWdeKIGW
SgYkVjKcI OGeXI
OrmeJMOn^npcLqYCS OZaSBj
b SbG
GK Gj
SjYkIkrm^YjTBW OdGnEWeJ
OZnEcKn GfG^nEcqjdgZn
OGWMkTgeXmMbfhMkZn GKWeBS_^Yj`QG]n
OSGP GWP
SbYcaWBBRqS\g\SeJQ GW\SBWMAFqmihAbWH^d
GWkaaP OE_mka
OdjYBkZa GKKWeIOZa
WrS SkKeBRqMMRS\SWeBSHFqVi`ke
OEGjWeB DnRhQgqTr
GKKKWYfHFqWW^caPLdKWWEL SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF
GKW\go eOqek`DVMSpQUWZqm
Sjm^aaPQLqhjT OPiInK^QUBJ
GW $
GWfeJQ^QndKelJadkaYI Sjj^U\SBJaM
GKWeXmjj OG\geB
YGKKWGBK GWkUW^Q
SkT DkT
SV SVVnfh
SOKnnaPaA KX
GWkUk SbnKMj[YkqjpMK
OEGjca S
OPcfhMfKaLEckZnhoqmbBJaG GS\U\Sk
OnOdW\SGdrIOPG\S\geJQELna OrIOZaa
Sek[MhMn GZI
Orm^QUkaLhUI `c
GWkm GKW
_c OSE
Orm_EiecYW\SfeKIGW GKWeJQRqmhQK^QaaATSW
SVVnfh SV
SdgfeBHBHWHaW SAFBqBWH
OVH^k`K GW
MOEBBMXBHHH OFBBW
SArmN GKWkaLh
YO^r`jYBGb GWGB
Sk[``Mfn`a_dKKKK GoV
OdjdZa `CSOfkZQaLn
SjdP_^aLpQ lPbfdMK
OP_CS]CB Orm`HHeaWkaaA`QMjkYj`ao^QraSB
OnX^caATB\ hW
OF GW\OgB
$ OEffW
OSEj qAZaI
SjdPi`Wf\BG OrmDkKGUWjdGomfkTemhAFqombG
OPjcK^Nh bO]SWK^KNh
OF IAF
_c OSE
Sk Dk
OhAnX SjCI`Q
GKKWHZAFJQHoJaeKmRBMRBHHWH OBqqB
OF GW\OgB
gOdG OnREcGqOK
GWPmQTgfq^YdEGddjddhAFJQDOqAFJhajjK SAdeBqSW
KWeBNMMMBlHCW OFBMqRBHH
OFBMqRSGjTB\SH OEGjiOk_cKnEck
SbfYVcqjdFBRRSHUISeVMGGnV_Bh```MKaaA Odl
Q OEW_qpMh
O f
GKKW SejUJ
EK GKKWPmQkee
OFJa cgkUfdSBK]m
OZaaaaAK_dWBJQ GWomeJQ
SArIOShISbKU GfKWPmhEZhEh[h[Eb
OZUB OEG^npQnEj^nE
OEkU\ G
OZnEcK GfG^nEcqjdgZ
SBfYe SbnK
SAP OQUPBiI
GWkUPmbkaS]RjBjBj]Rjj SbEkaSjZjZ]jjj
GWeKISeV RbTOQh
[ OFXIGKKWBBSeBB
G GWPmQWBBSHgqcISVMn`Q
Sk`QH_qeT SkTgGjKjk`VcfnT
Sbn^aSBjm GKKKKKKWWES]
Dk Sk
OdHnc SNTBomPmQVc
LOSEc SAnec
\c O
SAPiX^Qa GWkUdSn
GWkmW GKWW
$ SgYkVjKcI
OE OcPjkk`QdBBqMS
SdgfeBHBHWHaWHHWWW GWeBBHWHWWWWWWHHWHW
GWAiAgqpd OEWdeKIGW
Sjq``MkrISeAFqmibkaLEj^ OrISArIGWeKISkkjq`B``MhMfY[`MK
SjBqee $
OnIqk[``M GWknpY
d GWf
SbEkaSjZjZ]j GWkUPmbkaS]RjBjBj]R
GWGCIWfPmQTBPmQc\EGCaPI`a SV
GWH\G OnIGGKUGY
OnREiXMkc^dnRp KC
Oenmf On
Od_dKKWeJaZ O
OFq GW\OgBq
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjjQjjKZL DnRhQgqTrSPm
OEfkaaA OrJISbKnh\PjTgPmhAQ
GKWPm CGWfPHmk[
$ S
SbfYVcqjdFBRRSHUISeVMGGnV_Bh```MKaaA Odl
GfKWPmhEZhEh[h[Eb GWkU
OP^YBYWWeqmQ OSh\GWDk
Ormh ST
OSqdrISeebkZfn OSdKKWGqMKnpYC
SkSpYp Sebh
SjB GWLPHLLc
SV`YCMM Sb
GWkodKgK OGfHUIGK
OdeqmhAQWkU\gf\BH^dGogWGk GKWWRPIObnYrmHAnCC
SAP OQUPBiI
S $
SArIOShISbKU GfKWPmhEZhEh[h[Eb
GKKWG OdhdHW
GW OVH^k`K
EK GKKWPmQkee
p GKKWBKI
GWeqmQTBPmbGCaPITSfPmbo OrmDkKGUWjdGomfkTemhAFqombGkI
G Sj
GoVW OG
OGHFqVj^nh GWWdSH
Seee]fkSEjWfWMjdaX OFJa
OnI GKWeCBSBKmDkM
OZUGddZ doW
DW\SoYW\`Wd SAE
KS SeV``Mq
GWk iWBKmj\Mn^l
Z SAPNEaA
SVMfYKESBjj OShgqaSj
OE _JQ_hWmf
GWkUW^Q Sk`QjdVeKmgk
OPj^ kcncKb
a $
OSEcncnNeqmih[ib\gWMjk``QZ SVR
GWkU GfKWPmhEZhEh[h[Eb
O _
OSnLE GWLPHLL
OZaaaaAK_dWBJQ OFXm
KhSKW OF
SOj GWogWG
SjjcaKg^fomBSeqmhEni GKWBqm
OZnhUIGKWogKWfBqmi CGWfPHmk[
SjYpMkEe SAdZIBMSWR
SOKa GWfGbVcGYGQGa
GKWknnLq $
GWeJQeJQhAFXISOhMhMY[ WVMhH
Odhk Sjk
OFqmhPDRrjAQcUIOFqmh[Q^aa GWkUdSna
SebK Orm`HHeaWkaaA`QMjkYj`ao^Qr
_c OSE
Onei`KDkTgWgW^QUBJKQh S
Odhjkei` OShaWWDAd
OZndWHgq`QH rSeOqVMY^Udj
SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb GKW\gf
KkKmT Sej
GWkodKgKK OGfHUIGKK
OPNG SkTSHommJiQWk
bO]SWK^K GKKKKWGY^UeJaHKNF
OdMeVMh`M GW[Gk`[```MhMfGYWeXmDeOG
bO]SWK^K GKKKKWGY^UeJaHKNF
Sjq``MkrISeAFqmibkaLEj^ OrISArIGWeKISkkjq`B``MhMfY[`MK
dGWSBX\AHqmbGC GWW_dWknpc
ShM]Y`aDAZaL OnIkZn
SV\MYNi`[``` Sk`aDV
SkSpYpMn GKKWfWhk
OZUXG^aS]CjQjjZ]CjKKTj SbqkVNESjKKQj
SkKD SFJaj^aLnLdWWEIKM
GKKKWYfHFqWW^caPLdKWWELq OnXeJQdH^
SbEkaSjZjZ]j OSnSjKKQ
SVMKnE P
OZU\SWGUff\g SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb\B
WfGqK`MGdW OrIGWf
GKWeJQRqmhQK^QaaATS OGHaK
GKWWWeqmibBXmMV`MYkV OShIGKKKWWhVMh`
GKW `WlaK
OP_CS] OZUXG^aS]CjQjjZ]CjKKTj]
SbqAEe hCWe
P SV````MkP_YdnRhnNH^dnX_q^UWdGk`^npQn
GWBBM SkFXIOEWgpM^kjYqMKnENRB
GKKW\gHK SAnX^caPLnLhK^^NF^b
GW[Gk`[```MhMfGYWeXmDeO SeAnIqAGeKmDj^UPmQWG^npcLpYB
OEBqmhbUmhPUrj[QKeXm_nnI GK
aG OZU\SWGUff\g
SbqbKUHgqTSPmhPDRrj SVf`MqbfqejBYWPmobQBBSeqpih
OoRqmhPDRJRrRrj[Q^nfjkeeOKUog G
OrIOZaa OnOdW\SGdrIOPG\S\geJQELna
GWome OZaaaaAK_dWB
OrmdG GKKW\SG^UkhcLpY
$ GWeJQeJQhAFXISOhMhMY[`
D S
O \c
GKKWkndKKKKKf\ GWWeBRMRRq
S OSENMOY
OFJQ` GKWfBJa
GKKWBKI p
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjB SAZaS]jjjQjjQ
SOh` SZjdZUWgfp
SjK^a GWeqmh[bGC
GWfHK^ DW\SoYW\`WdHK^
OPieNDOqOK JbqOGY^
OPpj^UeBMM SebnTgf\BW_dKWeBq
SjdPi`Wf\BGk OFYYY`M
SjbLXaKG GWkUk
SkcaW\BWMOkZUHK^NF^^^NFNFNhe TKKKKgKWPmimcKNhe
SAFBqBWH SdgfeBHBHWHaW
OGeBMRMSo OGPhAQ^U\Bo
GKKWknhoXIGKK _JQ_hWmf
GKWWeBRMSka GKKKqWfWE
SOOnn OSEiX^c
SAddHoqmhPUrRrjPUrRr OGBqOhPUrjPDRrRrjPUiRre
SAnecfGYkj^nnIVj SV`
SjYj OqmQ
On`WPmiih OGPmhJ
dM SVMnKh
Sebh SkSpYp
OG\BBJQeBSBJQZqmQKZBRMS\gG RFEJQHZjBqkej
OFJQ` GKWfBJa
^ O
GWPkBqmiQ`a OPjKhkkeAdDkK
Sj^UkU\ DnRhQgqTr
SkTSHommJiQW GWf
qAZaI OPi`kk
S Sk`QMbnkbKaI
OGomG^UHISk`QdPmii OP^YBYWWeqm
mnV SOYV
OPpj^UeBMMBH SebnTgf\BW_dKWeBqBH
SbqAE hCW
GKWeJQj^nhISbkEWGUkaLh OP^YBYWWeqmQc
OPcYVc GWPmbWHgqK_E
SAEfeBMR_S GWBKmjkeiXRBRRMS
GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS] GWeJagPmbeJQMV```MkE\BGddEfS]
OGeKmZXmZJQESjZjQjBjjKZ]C]Rj OZaaP]C
GKKWknhoXIGKK _JQ_hWmf
OdjdZaa `CSOfkZQaLna
OEW_qpMh Q
Sejj OrJISbKnh\PjTgPmhAQ
RGW OrIOFBMSeJQGaLpQUo
GW OGBqmbfkaKaAW\gf
SAdeBqSW GWPmQTgfq^YdEGddjddhAFJQDOqAFJhajjK
SAdZIBMSWR OPNe
OEPmh CGWfPHmk
j`aZqmihQTg\BWElIVViRna OnRpca
