33108
ABAABABA AAAAABBB
BB ABBAAAAABAAA
AABBBAABAABBAAAAAAABAABAAABBBABBAAAAAABBAB B
BABAA BBABBB
BBBABBBB ABBAAAAAAAAAABBABAAAB
BBBB BA
BAA BABABB
BBAAA BAAB
BABABA A
ABAA AA
ABAAABAA BABABAAAB
ABAAAABBBBBBB BAAAAABA
$ A
BAABBAAAAABAAAB ABABBBABABB
$ AB
B AB
BBABAABBBAABBAAAAAAAA BBAAB
ABABBAAABB AAAB
BB BABBBBAAABBABBBABAAB
AAB BAABA
AA ABAAA
BBABBBA AAA
BAA BABB
BAABBAABAB $
AABAB BAAABB
BAAAABBBAAAAAAABBABAAABAA BABBA
B ABBAA
ABAABABBBBBABAAABBABBBBBBB ABABAAB
ABAABBABBBBBBBABABBAABBBBBAAB BABABBBAABA
ABBA BAAABAAAAB
ABB BAABBAAAAAAB
AAABABA BBBBBB
ABAAB ABAABB
BBABABBBAAABAABBBAA $
BBB BABBBBAAABBABBBABAABB
AABAABABAAAAABAA BAB
AA BA
$ ABBBBBA
AABA AB
ABABABBBBBBBBBBA ABABABABAAA
BAABBBBBBAA AAABBAAAB
$ AABAABBBB
ABABAABAAB ABBBBBBBBA
BAABABAB BB
A BAABABA
BABABAAABBBBBBB BBBABABBBBBAB
A ABABBBAAAB
ABBBBBB ABABABABBAABBABBABBAAAABBBAA
B ABBABBB
$ ABAABABABAABAAABAAABBBBBBAB
BBBABA ABBBB
BBBBA BAABA
BBBBA A
ABAABABABBABBBABABBABABBAABA ABAAAAABBBAABAAB
ABBABABAB AB
ABABABBBA AAAAAAA
ABA ABBAAA
BAABABBBABABA BAABAABBBAA
BAABABABABA BABBAB
ABAAAA ABAABB
BBABBABBABABBB ABBBAA
BBAA ABBA
ABBABAAAA ABAABABABBABBBABBBA
BAAAAAAABAAAABAA BABAAABAABBBBBAABBAABBBBBBABBBBAAABAABABBAAAAA
$ BABAABABAAABBBBA
AAAABAABABBBBA BBBB
ABA BB
$ AAABBABBBBBBAAABBBBAAB
BABABABAB BABBAAAB
AB ABBBB
BAA ABAAAAABA
AAA BAABBBA
ABBBAAAAAABBAAB A
AAABBAABAA ABBAAABAABBAABBB
AB ABBAAB
BAB ABBAAAAAB
BABABBAA BABA
BAABAABA ABABBBABAABABAABBAABBBBBAABBBABABBBBBAABB
$ BABABABBABABBAAAAABB
BBB AABABBB
AAA B
BABABABAABBAB ABBAAA
BABBBAA AAAABBBB
ABBA AAA
AAAA AAAABAAB
BABBBB BBBABBBABBAAAAAAABAABBABAABAAA
BAA AAAABAABBBBABABBA
AABBAAA $
B BAABB
$ AA
BAAA $
AB AABBABAABABBBAABBAAABAABAABBBBBAAAABAABBAABBAAAAABAAAAAABBAAAAA
B BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABAAA
ABAA BABAABBABA
ABBABA BBAAA
BAABAABBBBBAABB AABABA
ABB BAAA
ABAABAABBB BABAAAABBBBBABBBA
ABABAABBBBB BAB
AB BB
BAB BAAAAAB
BA AA
A AB
BAABAABABA AB
AAAABBBAAABB ABA
AABA AABBBBABB
A B
B BAAAAA
BBAA ABBAAAB
B BABAABA
ABAA BABAA
AAAABAAAABBBAABABBA $
AAABAB AAAAABAB
$ ABBAABBAAAA
ABAA AAAABBAABBB
AAAABBAAA ABBABABABBB
ABBBB BBA
$ BBB
BABA AAAAAAA
$ BABBABBBBAABA
BAAAAABBBBB AAABBAA
BABA B
$ BABBABBB
AAABAA BBBABBB
BABAAABAABBBBBAABBAABBBBBBABBBBAAABAABABBAAA BAAAAAAABAAAAB
AB AAABBAAA
ABAAAAAAAB BABAABA
BAABAAB ABABABBBABABABBB
$ BAABA
ABABBBBA BABBBBAAAABABAB
$ A
BAABAABAABBBAABBA BABABAA
BABABBAAAAABBBBBBAAAABBA AA
A BBA
AAA BB
BAABBABB ABBAAABBABBABBAABBBA
BAABABAB ABAABA
AAABABAAAAAABBABBB ABBAAABAAAABBABBABABBBB
BB BAABABBBA
ABABBBBA AB
AAA BAABBAAA
$ ABAAAAABBBAABA
AAABBAABABB ABAB
BBBAABABB BAABAAABB
BAAAAABAABBABA ABAA
AAAABA BAA
AAAABBBBAAABBBAB ABAA
$ AB
BBBA B
ABABBAB ABBAA
B ABAA
$ BAAABAABAAAAAABABABBA
BAABABABBAB B
ABAAAAAAAAAABAAAABABAB BAA
BB BAABAAB
BAA BBBBBAAABBAABABBBAAAABBAAAAA
A $
A $
ABBABABBBAAABBBAAABBBBBABABAA ABBAAAABAB
BA BBAAAB
B ABAAA
BABABABAABBBBBABBBABBABBAAABAABBBBB ABBABBBABBAB
AB B
BB AAAB
BBBBABBAAABBBBAAAABBA AABAB
BBBBBB A
BA BBA
BABAABAA AAAAAAAABAA
ABB ABAAABABBBABBBAABBABBABBABAB
B AB
ABBABAAAAABBAAB ABBAABABBB
AAAABBA BAABABABBBBB
A ABBABABBBAAAA
BAABAABAAAABA AB
AAABA BABBBAAA
BBAAABAABB ABAABABBBBBBA
BAAAAABA B
ABAABABBBBBABAAABBABBBBBBBBB ABABAABBB
AAA ABAAAA
ABBBBBAABBBABAA ABBAAAB
A BABABABB
AAA BAAAB
$ BB
A BAAABA
$ BBAAABB
BBB ABBA
BAAAAAABABABBBB BABA
ABAA ABB
BA BAABABBBAABBAABBBB
BAAAABA ABAABBAAAABBABBAABBBBAAAB
BAAAABABABA BAABAAAA
ABB BABBAAA
AABBBAABBAAAAABBBAAABBABBBBBAABBBBAAABBAABABAAABAB AA
AAABBABAAABBABAAA ABBB
ABBABBAABA AAABA
A BAABB
BAB A
AB AABAB
ABA $
ABBAAABBBA BABB
AAAB A
BBA B
ABAAB AB
ABAAB ABBABABAABABBBABBA
BBBBBBABB A
BABAABAAAAB BABABABBAABBB
BAABBABAABBBBBA AB
BBAA BAABABBBAB
BAAA BAABBAAB
AAAAB BAA
BAAAAABBAA B
A BBBABBBAABBABAA
AAAB BABB
ABAAAAAAAA BA
$ A
AAA BAB
BAB ABBABBB
AAABA BABAABAAABBAAAAABBBAB
ABABA ABBAB
BBBBB BAA
AAAAAAB ABBAB
AAABABBAAAA BABBB
AB BBA
ABAAA BAAA
BABABABAB ABAB
BBAB AB
AA BABABAAAABB
$ BB
AAAAABBBB ABBBBBBAABB
B ABB
B AAAABBAABBBBBBAABBBABAABBBBB
AAABA BBAAAAB
BAABAAAA A
A BABA
AAABBABBBBBBAAABBBBAAB $
$ AAABAABAA
ABAAAAAAAABBBA BABBBBABBBABAB
AABBABBA AAABAAAAB
BAABBABABBAAABBAA BBABABBA
BABBAB ABABBA
$ B
BABABB BABBBAAABBAABAABBBA
BBAAAB ABAAABBBABBBAA
AAABAAAAABBAA BAA
BABA BAABBAAAAA
AB ABAAA
BAABBBBAAAABA AAAAABABBBA
AAABBAABBBAAAAB BABBAA
ABBBB $
AABA BBAABBBB
AB BAABABABBABA
$ BBB
A BAAB
AAAABBAABBBBA ABB
$ ABABBBBAB
BABBBAA ABABBAB
BABBAA A
AAABAB A
BABBA BABAA
BAA BAAAA
BABA AABAAAABAB
ABAABAB $
ABABAB $
ABBB ABBABB
AABAB BB
BAA BAAAABAAA
$ ABA
BBB $
BA AA
BB BA
ABB BABAABBABABAABBAABBBBBAAABBA
B ABAAAA
AB BBAABBAABBBA
BAAAABAAAA ABAABBAAAABBABBAABBBBAAABAAA
BAABA $
ABAAAAAAAB BABAABA
BABBAABABA ABAAA
BAABBAABABBB BAABABBBAB
B BBAABBB
AABB BBA
ABBAABA AAABB
ABBAB BAAABAAAABB
A BBAAABBA
BAABA $
BABAAAAA BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABA
BBBABBBABABAAA B
BBBABBBABABAA A
BBAB BBAAB
AAAAAAABBAB AA
AABBAABBABBABAAA BB
BA BBBB
AABBABAABABBBAABBAAABAABAABBBBBAAAABAABBAABBAAAAABAAAAAABBAAAAAAA ABAA
AABBBBB AABABBA
BABBBBBBBBB BAABB
ABABBABB BABBBAAB
BAABA BAABAA
B BAAAAABA
BB ABABB
BBABBA AB
$ ABBB
ABAA BABAAAAAA
ABBBBAA ABBBBBABAAB
ABBAABABAABBBA BA
ABBAABBBA BBAAABBAAABBAABBBABABABABABABA
AAABAAA BBBABBBA
B ABBA
ABBA BAAABBABAAABB
BAABABBBA BB
A ABBABAAA
BAABABBBBB AAA
ABAABBBBBA BABBAABABAAB
ABABABABB ABB
$ A
AAAA BABAAA
BAABAABB ABAAAAAAAAAABABAA
AABBAA BAABBB
AABBAAAABAABABBA B
$ BABABAAAABAABA
A AABB
ABA ABBAAABBB
A $
AAAAAAAB BAAABBBABAAAB
BBBABABBBBBABB BABABAAABBBBBBBB
BAABBBABBBB BA
$ AABAA
BBA AABB
ABAA $
BABABBBAAA A
$ A
BB $
BABBAABBAAABAA ABBABBBAAAA
$ ABAAAAABBBAABA
ABAABAABBBBABB BBA
BBAAB B
ABAA BAABBAAABBBABAAAABBBBBBBBAAAABBABBABABABBB
ABBABAABBAAABABAB BABABAB
ABBB AA
BABABABBABABBAAAA BB
ABBABABB BBBAA
ABBBAA $
ABBABABBABBBBBAAABABBB BA
ABBAAAABABABB BAAAAABBAABBBBB
A BBA
AAABB ABBAAABABBB
BABABAB AB
AB ABABABAB
ABBBBBABBAAAABABBBBBBABBAAAAB AA
ABAABAA BBAAAAAB
ABAABABABBABBBABABBABABBA ABABAABAB
AAAABBAB BBBABBBBBBA
AAA B
$ A
BBAAAAAB BAAAAABAABABAAAAA
AABABA BAAAABAAAAABA
BAA ABAAAAAAAA
BABBAAAABBBBAABABBBAAAABBB A
BBAAB ABBBBBBBBAB
ABA AABABAABBBABAB
A AAAABAABABBAA
BAABBAAABBABB BABAABABAAAABBB
BAAA BB
$ AA
BAB A
BAAAABA ABAABBAAAABBABBAABBBBAAAB
B $
BBBBAA BAA
BBABBB A
AAABABBBBBBBBAABAAAAAAABBBAB BBBBAAABBABAABBAAAAAABBBBBAA
BAABAA ABABABBBABABABB
AAAAB ABAABABBBBBABAAABBABBBBBBBBBBBAB
AABBBABAABB AAABBAB
BABAABAAAAB ABAAAAAAABAAAB
BBAA AAAABBBA
$ B
BA BAABBAA
BABBBAAABBAABAABB ABBAAABAAAA
B A
$ A
BBBBBBAABB ABAABAAABBBBBB
AB AABBAAB
AAAAABABBB AAABABAABAAAAAABAAAAAB
BABAAABBBAAB AAAABBAAAA
BBBBAA ABAAAA
BA BAAAAA
A BAABAABBBBAABBAB
AABABBB BAAB
AABABBBBBB BA
B ABAABAABABBBBBBB
AAAAAA BBABABBBBAAAABAAABBBBBAABABBAA
AAA AA
AA BBA
ABAABBABBBBBBAA BBAA
BBABBA BBABAABBABBBBA
ABAAA ABBA
B ABBAABAB
AABA ABAA
A AABA
AAABABABAB BAABBA
BAAAABABAAAAA $
ABABBBBBA BBAABBBAABA
BAABBAAABBBBABB BABABBABABBABAB
AAA BBABAABBBAABBAAAAAAA
ABBBBBA ABAB
B ABB
$ A
AB ABB
BAAAABAAAAAABABBBAA B
ABBABBAA ABBAAAAAABAAB
AA BA
BABAABBAAAB BA
BB BBBBAAAB
ABBBBBABAAB ABBBBAA
AAABBABBBBBABB $
$ AAAABAABABBA
$ A
AAAABBB BB
BB BAABBAABABBAAABABBABBA
ABAABABAAAAAABAA AAAB
B $
BABABBAAB BABAB
BAABBBABBAA AB
$ BAABB
BABBA ABAABABABBABBBABABBABABBAA
BBBAA BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABAAABBAA
A AAA
BAAAABAABBA $
BBABABBAAA AABAA
AAAAABAABBBABABAB BAAB
ABAABBAAAABBABBAABBBBAAAB BAAAABA
ABBAABBBAAABBB ABBBBBAAABBBABB
$ BBA
AB BBBAAABBB
ABAABBBAAABAAABBAAABBAAAAAAABA ABBAAB
BABBAAAAABA ABBAABA
AAAB BB
A AB
BAAABAB $
ABAAA BABAAABBAB
B AAAABBAABBBBBBAABBBABAABBBBB
AABAB ABBA
$ AABB
BBABAAAABBAB $
ABBABAAAAABBAABBBA $
BABABB BAAAABBAAAABBBBBBBB
ABBBBBBB AABABB
BBBAB BAABBB
AAAAABA BB
AB AABABAB
BABAABAA ABAAAAAAABA
ABBABABA AABBBBAA
BBBABBBBBBA ABBABBABAAAA
AAAABAABBBAABB ABAAAAABBBAABAA
ABBAABBABBBBBBA ABBABABBB
ABAABBBA BAAAAAAAABBAAABAABBBAAAABBBAABB
AAAAAB $
AB BBBABBABBAB
BABAABA A
BABAAAABAABBABABBABBA $
BABABA A
B $
BBBA ABB
BAABB A
BAAABBABBB BABB
AAABA AAAAABA
ABBBAAABBAAB B
BB $
BBAA AB
BBBBAA AA
$ AABBA
AAB BA
ABBBAABBA AAABAAABABAABBA
ABBAAABAA AB
AAAABBBAAAAAAAA BAABBBB
A ABBA
AAAAB ABBAA
BB ABAAA
AAAA AA
BAAAABAAAAABB ABAABBAAAABBABBAABBBBAAABAAAABB
B ABAABBAAAA
AAABBAA AABBBB
BBBBABBAA A
BAABBBAAABBBB BAB
AABBBABABB AAAABAAAAA
A ABAABBAABBA
ABBBBBA AABBAAA
BAABABBB BA
BBBABABBBBBAB BABABAAABBBBBBB
AA ABA
AAAAAAABABBBAAABBA ABAABBBBBBBABBABBBABBAAA
ABBABBBBAABBABBAAABAB BBA
AAAABBAA BABBABAABA
ABAAB $
BBA ABA
ABBA B
ABA ABBAAABBB
BAABBAABBB BAABBAAABBBBABAB
AABA ABBBAABBBBBBABBABAB
BABBBAAABBBBABBBAA AB
AABBBAABAABBAAAAAAABAABAAABBBABBAAAAAABBABB AAA
AAAAAA BAB
AAAAAA A
ABABBBABABBBAABBAABA ABB
ABB A
ABBA ABAAABAAAAA
AAAABABBABB ABABBABBABABBABAAAABBBABBB
AAAABBBB AAAB
BAABAABAABBBAABBAA BABABAAA
BAABABAB BB
AAAAABAAAAB AAABABB
BABAAAABBAAAAAA ABBAAABA
AABBB ABB
ABA ABBAAABBB
AABBABBA ABBABAAAAABBAABBBABAB
ABBABABBBAAABBBAAABBBBBABABAA ABBAAAABAB
$ AAABBA
BAABBB ABBBAAABBAAB
BBABABBA AAB
ABAAB ABBABBB
ABAABAAABBBBABBABABBBABBBBB $
AB ABBBAAAAAABBAABB
AB BBA
AB $
AABAAB ABBABBA
ABBBAABBABB BAAAABABAAABB
BA BABAB
$ BABABAAAAABBBBAA
BBBBBABBBBAAABBAB BABAB
ABBAABAAAAAB BAABB
B ABAAAAAA
BAAABABABABB AAA
$ AAAAB
ABAAAA ABAABB
AAABAAABAB B
BAABABBBABBAB BABB
$ ABBAAAAABAAABB
A BAAAB
BBAABABBBABAABBABBABA AB
BAB A
BBAABBBAABAABAAABB BABBABAAAABBAABABABB
ABAABABAB BBAB
BABABBA AABB
AB A
BBAAAAAB ABAABAA
BBAA AA
AABBA ABBBA
BBBB AAAABAABABBBBA
BAABBAAA BBA
A ABBBABBAB
ABABBAABBBBABBB BABAAA
AAAAABABB AB
$ A
A ABBB
A AB
BBBAAB ABBBAABBBBBBABBABABB
BBABABBBBBBBBAABABBABBBBBBAABBBBBBABAAABAAA BBAAB
A BBABABBBAAABAABBBAAA
BABAAAABBAAA BBABB
AAABBB $
ABBABABBBAAAAAAAAAB BB
$ A
ABBA ABBB
AAABABBBAABBBAABAAAABBBB ABBAABBB
BBBABBBBBBBABA BBA
A ABBAAAABAABBBABBAABB
AB BABBAAB
ABAABBBBAA BBABBB
AABAA A
AB ABAAAAAA
AAABABAB BABBAA
BAB AABAABBBAAB
ABBAABBBB BAAA
B ABBAAABBBBAA
AB BBBABBBAA
BAABBAAAABABAAAA ABABBABBAB
$ AABBA
ABBA AABAAB
AAA ABAAA
BBA AAABAAAA
AAAB BABABABAABBABA
ABAABBBBBBBB AA
AAABAB ABBBABAAABBABB
BABBBBAAABBABBBABAABBAB BBBAB
BAABBABABBBBAABB AAABAAAABAAB
ABBBAABBABBA AABAAABBA
A BABBBB
BB B
AAAABAAB AABABAA
BABB AAAB
BAABB BA
AAABABBBAAA AAAAAAABBABAB
AAAAAB BABAB
AAAABAABBBAABB BABABABABAABAAABABBBBAAABBBBAB
AAABAAAA AAB
AABBBBB BBA
BBBABABBBBBABBBB BBBABA
AAAABBBAAABB ABA
BAAAAAAABAAAABA BABAAABAABBBBBAABBAABBBBBBABBBBAAABAABABBAAAA
ABBA ABAAA
BABAABBAA AAB
AAB BAABAA
BAAAAABBAABBB ABBAAAABABA
BABBBAABBAAAABBBAAAAAAAABBAAABA $
BAB BAABBBBBBBBB
$ BABAB
BAAABAAABB $
BAABABBABAAA AAABBBABBB
$ BAABBBB
AB BBBB
ABBA ABAABBA
$ ABBABABBBABABBABABBAAAAB
BAABAABA AAABA
BABABAB AB
BAABBAA AA
BABAABB BAABBBAA
$ AAAA
A BABABA
ABAABA AAABBAA
$ BAAAAB
BAAB ABBAAABA
BBBBABBA AABA
AAABAABAABABBBABBAAAABABA AAABAAABABAABBA
AA ABA
AABB AAABBABABBAAB
AAABABABBAABBABAAA BBABB
BAABBAABA ABAB
BAABB BBBAABABBAAAABBAAAAAB
ABABBBABABAABBAA BBA
$ BAAAABAABBA
$ B
B BBBBBABB
ABBBB AAAABABAA
BABABAAABBBBBB BBBABABBBBBA
$ ABAABAAABBBBABBABABBBABBBBB
BAAAABAA ABBAAABAB
ABAAAABA B
BAABAA ABBAAAA
$ AAABABABABBBABA
ABB AAABAAABA
ABBAAB BABAAA
$ ABBBBBA
BABBB BABBBBA
ABAAB BB
AAAAA BAABAAAAAAAB
BAABAABBBBAAB BAAB
$ BAAAAABAAB
$ ABAAAA
BAAAAAABA $
BBABAB $
AAAA BABABABAB
ABBBAAAAB ABB
BABBAAAAAB ABBAAB
BBABBBAA ABABBA
BAABAB A
AABBAB B
AB $
ABAAABBAAB AABBABBAA
BAA BBA
AABBBBB ABBBBB
BA AAAA
A BAAAABABBBAABBABA
BB BAAAAB
$ BAAABAAAABBBAAA
BAAB AABBBABBABBB
BBBABAB AAAAAABA
AAAABB $
ABBABAAA $
BAA BABAABBAAABAABBA
BAABAA BABB
AA $
AAB BBBBABB
BB BA
B BAA
AB A
ABAABABB AABBBAAB
AB BB
BAAAABABAB BAABAAA
BAAAAAAAA BAAA
ABAAAABAABBBA BA
B BBA
ABBA A
BA AA
AAABBAABBBBAAABAAABAAABBBBAAA BAABA
AAAAABBBAAA BABBB
BABBBAA BBBAAAABAABBBBBAA
A BABA
ABABA ABBBB
ABBBAABBAAAAAABAAABBB ABBBAAAABBA
B AABBAA
ABBABABBBAA ABBBAAAAAABBAABBBB
BA BBBB
BAAAB BBBBABB
AAABABAB AABBABAABABBBAABBAAABAABAABBBBBAAAABAABBAABBAAAAABAAAAAABBAAAAAAAAB
BA ABBABAABBAAA
AA AAAAAB
BBBB ABABBBBA
BAABAABABBABAAABAB A
$ AABAB
ABBBBBAB AB
BABBABBBBAABABAA AAB
BAAAABAABBAABAA BBAAA
B A
ABBA ABAAABAAAAA
ABBBAAAABB $
BABB $
ABBBBAAB BBAAAAA
BAB BBAABB
AAB BABABBAABBBBA
BAABAAB BAAAAABAABAAA
AA $
AAABAA BBAAAABA
BABAABABAAABBBBAA ABABBB
A AA
BAABBBA $
B AABBAAAB
BAB AABABAAABBBAABBA
BABAA BBBBBB
AAAAAAA BABA
AAAAABBBBBAA BAABB
ABBBA BB
AAA B
AAA ABAA
ABAAB A
BAAAAA BBAABB
$ BB
ABABBAB ABBB
ABB BABAABBABABAABBAABBBBBAAABBA
AABAABBAABA AAAABBBABABBBAA
BBAABB $
AB ABABA
ABAABABBBBBBAA AABAABAB
AABBABAABABBBAABBAAABAABAABBBBBAAAABAABBAABBAAAAABAAAAAABBAAAAAAA ABAA
BBAAAAB AABABAA
BBABABBAABBA AAABBAABBBAAA
BAAABA AAB
BABAAAAAAAAAAAAB $
$ AAAAABAABBBBBAAAAB
BBAA ABBABAA
BAABBAA BABABAB
BBAAA B
BABAABBAA BAAAB
ABAAABABB BBAAB
A BB
ABAAAAAA BBA
BABABAAAABAABAA AABAAAABBABAB
AABBAAB ABBB
ABA BABBAABABA
BBAABBA ABBB
ABBB BB
BABAABBBBBAABBB $
ABBABABBBAA $
AA AB
AAAAAABBAB BA
BAABB BBBBB
BAABBAABAAABBABBB $
BAB $
BBAABBBAAB BAAB
AABB BABA
BABABB ABAB
AB ABA
AABBBB ABAABABBA
BBAAAAA $
B $
AAA ABBAAABAB
BAABBAAAAAAABBBBAAAABB BAAABAAABAAAAAB
BBAAA AABBBBABA
BAAAA ABBB
B BAAAAABBBAAAABBA
BAABBBB $
$ BAAA
AAAAABABBAAAA AABAAABBAAA
ABB $
ABABBAA ABAABB
BB ABABB
ABABBBBAAAA ABAABAAABAABBBBBBBA
ABABAA B
BBAAABBAABBAA BBAB
AA BBBBAB
$ ABABAABA
AAAAABABBB BAB
ABBBABBA AAA
AAAB $
ABAABABA ABAABABBAA
BBABABBBBAAAABAAABBBBBAABA ABAAAABABBAA
ABAAAA BBA
BAABBAAAABAABBBABBABBBABB $
ABAABAAA AAABBBBBABB
BBABBB AABBBB
AAAAAAAAAAAABB BABAAABAA
AAAAAAB ABBBA
ABBBBBAB $
ABABBBABAABABAABBAABBBBBAABBBABABBBBBA ABAAA
AAABB ABBAABA
AA $
ABBABABB BBBAA
AA ABAABBABAAABBBA
ABBAAAABABAB ABBABABBBAAABBBAAABBBBBABABAAAB
B BAAAAAAAAAABABBAA
BAAAB ABABAA
BBAB ABB
A BBBABBBAABBABAA
AAB BA
A AAABBAAAAA
AA BABAABAB
ABAA ABAAAAA
BAAB BBAABBABAAABA
ABBABAABBAAABA BABA
ABBBAABBAB AAABAAABABAABBAB
AABAA $
ABBABABA AABBBBAA
A BAABBA
AAA BABABABB
BAABABABABAB BABBABB
B AAAABAABAAA
ABABAA ABAABABBBBBABAAABBABBBBBB
A $
BABAABABBBBBBA ABAAB
AABABBBBBAABBAAABBAAABBBBABBBABB BAA
$ AAAABB
AAABB ABA
ABABABAB AB
ABBBBBABBAAAABABBBBBBABBAAAABA ABABAABBBBB
BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABA BABAAAAA
AABBB AAB
ABBABA ABAAAAAAABAAABBB
BAABBAAB BBBAABBAABBB
AAAA ABBAA
A BAABBAA
ABBABABBBAAAA ABABBAB
AAAAB BAB
A ABB
$ ABAB
BAA BBAABABB
AAA B
AAAAAA AAB
BAAAAABBBBBBABBBBABBA ABB
BAABAA BBA
AABBBA ABAAA
BAAB BBAABBBAAB
BABAAA ABAABA
$ BABB
AAAABBBABABBBAA AABAABBAABA
AAAB ABBAAAABABABBBBBA
AAAAABABBAAA B
BBB B
BABAAAABAA BAAAAAB
AA $
BAAAAABAABAABAA AAAAAABBA
BBAABBBBABA ABBBBABBABBABBABBAB
BBBA BAABBAABABBAAABABBAB
BBAAABAAB ABBBBB
BABABABAAAABAAAA BB
BABABABAB ABAB
$ BAABBBAA
ABABBB B
$ BAAAABAABBA
ABABBBBBB AAABA
BABBAABABA ABA
BAABBAABA AAAAA
AAAAAAAB AAA
ABBAAAA AAAAAABBA
ABAABBABAAABBBAABA AAABAABAABBA
ABBBAAAAA AAABBABABBAA
ABA BAAAAABAABBAB
ABBBAABABABBA ABA
AABAABBBABBBBA BAABBAA
BABBA AAABAABBABBBB
BAABBAAA BBA
AABABAAABBBAABBA BAB
ABBBBABAA ABAABBABAABAB
B A
BAA ABBB
$ B
B BABAABBAABAABB
$ BBA
AAB BBAABB
AAAAAB BAABAAAAAAABB
AAABABAA AABABB
AAABBABAAABBABAAABA ABBBBA
BABABBA BAB
AA AAAAAB
AA $
ABABAA ABBBABBBB
ABBAAA AAAAAABB
ABBAAABA A
AAAA BABABBABAAAAABBBAAABBBAABBA
ABBAAAAAABA ABAABBABAAB
ABBBAABBAAAAAABAAABBB ABBBAAAABBA
ABAA ABBABB
ABBABABBBBBBAAAAA AABB
AABBBBB $
BBAAABBAAABBAABBBABABABABABABABBBAA ABBAA
ABAAAA AAAA
BAABBABABBBAAAAABBBABBBABA BABBBBBA
ABBBABB B
ABB BBBAAAABAAA
A $
BAAABAAABAAAAAB BAABBAAAAAAABBBBAAAABB
BBAAAAB ABBAAABAB
BABABBA BBBBBABBBBAAABBABBA
BAABBAAABBAB ABBBB
AA BAABA
BABAAA $
ABABA ABBB
BAA BAAAAABBBBBABBAAAAABABAAB
BABB BABA
$ AAAAABB
BABAAABAABBBBBAABBAABBBBBBABBBBAAABAABABBAAAAA BAAAAAAABAAAABAA
ABA BBA
BAABBAAABBBB ABBAA
BAABABBBBABAAA BA
BBAABBAAABA A
AAABAAA BBBBA
ABBABA BAAABBAABAABBBABBBAAAA
BAABBBBABB AABAABA
BBABABBBBBBBBBBBB AAA
ABA BBBBBAAAAA
A AAAABBAABAAAAAAABBAB
ABB BAAABABABABBABBBBAABABBBABBAABBABBBBBABBAAAAAAAABAABABBAB
AABBBBB AAA
AABBAAB ABBB
ABB BBAAA
A BABBBBBABBBBBBAABBABAAA
BAAB ABBAA
BABAAABBBBB ABA
ABBAAABAA BAABA
AAAAABB BAABAAAAAAABBB
AAAAABBBBBBAAAAABBABBA BABAAAB
ABBABABBB BBBAAB
BA A
ABABA AAABAA
ABBAB BAABBBBAABBABBB
BAABBB BABAAB
ABBAAAA AB
ABBABABBBAABB BBA
AAAABAABABBAAAB BBBBA
BAABAB AA
BBBB ABBABBBABB
BAB ABABAABABAB
ABBABBBABB BBABBBBAABBB
ABBAABA AB
BAABAAB BBAABBBAABAAB
BBAB B
BABBBBBAAA BAABBABABBBAAAAABBBABBBABAAA
ABBBB AAABBBBBA
BBABBABBBAA ABAAA
BABAABAB AAABBABA
ABA BBABABAA
$ A
AB BABBA
BAA AAAAABAABBBABABA
BAAAAABBA A
ABA ABBAAABBB
AAAAAAAAB BABAAB
ABABAAA BAABBBBBBABBB
BABAABBA $
BBABA BAA
BB B
BBABBBBAAAAA $
BAB BAAB
ABBAABABBABAAAAAB ABBBB
ABB B
BAAB BAABBBAB
$ BBABAB
ABBAAAAA ABA
AABABB AAABABAA
AABA A
BBABAABBABBBBAAB A
AABBABBABBB AABABAAAAA
BAAAAABBA A
$ ABB
BA BBBBB
AAAABAAB AAAA
BABB B
AAAABABBBAAABAAAAAA BBB
BBBBBBBBA $
ABB ABAAAA
ABAABBABBBBBB BB
ABBABBBBAAAB AAAABAA
AABBBABBABBBB BAABB
ABA ABB
AAABA AAB
BABAABAAAABB BAAABA
B ABBABBBABBBAA
BABBBBAAABBABBBABAABBAB BBBAB
AAAABBAAA BBB
B $
BABAAAAAA $
BBABBB B
ABBBA A
BABABABAABBBBBABBBABBABBAAABAABBBBB ABBABBBABBAB
$ ABBAAABABBBBAAAAABBA
BAAAAAAAABBAAABAABBBAAAABBBAAB AAAB
ABB ABAABB
BAAAAAAAABAABAAAA $
B ABBAAA
ABAAAA $
ABAAAAAABAAAAAAABA AABBBBBA
BBABB AAAABAABBBBABBABBBAABA
BBB ABBAA
BBAABABB ABAAA
A BAB
ABBABABBBABAB A
$ ABAAAAB
BAABBBABABBBAAABBAB BAABBBA
ABB $
AAAABBBAAABBB ABAB
AAAABAABA $
BAABBBAAABBBBBBBBBB BB
ABB ABAAABAAAA
ABBB BABBBAAA
BAABBAA AA
B ABBBABB
A BABBA
BABAA BABABABAAAB
ABA BABAABBAB
A BAABAAAB
A BABBBA
BAAAABAAAA BBAAAAB
BAABAAAA AAAAABAABBBBBAAAABB
A BBBAAABB
BABA B
AB BAAA
ABBAAAAA AAB
B ABABBB
AABBAABBB ABBBAAAAAAAAABBABABBAAAB
AA ABBBAABBABAB
BAABBBBAABB $
AAA A
A ABAAA
AAA ABAABAAAABBB
AAA B
ABAABABAB BBAB
BAAB BABABB
