27737
lcElh ^P^Kb
^KnX\cb l
^YJGerQeCiL ^CFKqB^JCWGijQXRQ
plPNWU ^VX`bNWpdjNpdjN
[f QlGSfVVVVVZMgXkdlmbSglRQ
Qg paE
lbNhUUpFjjUUN QlqnaojLnLBYFXl^JgFnUlGkdlR\FJgnGNYN
dGkGXSqBXnlc dlcc
QgF dhCLmB\FLRnBL
^dKT\gLfZM QgQmqjGMJdDDL
^g dg
dgmplOmPQOmNrjNNph l\gBZIMCNWUUUph
dhS lPSfVVZLfMglleLfEZMCSfZMfVZghSYjc
gQBgJokG`kQQQQOhlf[ dXkddhL
^iqGMH ^qEMH
QEgdInGhJ QbkJ
$ YZcE
lXW^JMHVaCE \lghJF[HJCE
dg`DkGRgJ dehf[oBX
^WQl gh
^T ^dj
dhGkJng`FLCNWUU ^YXSCNh
^N lRgJS^
Q`gMVZILlCNp ^YXSCkGmBNWUp
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCS QgrSfZLCSfZL
QllUgnqB\RB\`\E lmNDSgleBZILCS
XWjhh dgRd
R^VJEDcEQlG\N dXN
dqmB ^JVdQbkJUSQihaYB
V dGSgq^
Qb^rmjSmB\`HVZIMaf lcEdhGkJBVZMfVVVV
dlLmjeLf dgKf`BdeLOVZfVZMVVV
dq^Gkd^qBBqkSXSgq^XNNhUUphJ jl
PSZLCSCScV lPSf
l ^YqB
Q`C Q`C\
^C dXkd^qB[_eneMH
^YXX lh
^YqmB\ QlRXNjcUSNjNn
^qXlcIc]lKU Ql
lPSfVZIMfVLZILfZMggc lcE^ShUlgc
lPSfVZIMfVLZILfZMggc lcE^ShUlgc
l`F $
dl lR
$ lhg`PO`I
dGkGmB d^N
lRgJdI^Dc d
QgMVVZLCNAdjn QlNA
GK ^ThXN
lcEdhcB gmImjfPmQjSYf`
^ ^n
dheSQgAlkJmhgXTR\ee^rmBd[c dhSc]
RgJMWMl ^VJE^YXSC
Qlh DdXRgleNrmj
^ $
lP QlheLSI
dGSfSVZIIILCCkGPSCNhUUUUUUkp lhXNhUUUUUUp
dhaoJBXm\bkJFm ^ShcY
drglL l`POhq
dgRXQ^qmB l
lKc dqnLmBgJrSjXghS`I
^TR\RBYPOXCVaMpF[_J[`MHVG_ ^oMnE_QXR^ERQRir
^TmDNYNjUNN l\gLgq^iNWUU
QgF dhCLmB\FLRnBL
lPSCkGR l
^qqKTRXM lXSGSfZ
^JNNSP`G ^qX^JG
QgLfZLCSCkG gq
dleBZ Ql_q^GkG\gMVZ
Qlla\YjcmB l`F
QRiI lmPQjhIBXQB\F
cEQlgXeZ Qb^L
^ePN ^djeZrB[`FBJN
qiqkTmDQRmImjf`j lXTmIn
^YGSggXYlRdhf`Bd l
ClKc lhqna
dXNYN dXNrFjN
^YJGerQeCiL ^dKCEGG_Q
oPYdE^ ^eP
lcEWdXkddhL^g ^JVJEl
$ ]
dhR^Wl`F edqnSmB
IldN lhqnGkJBZLfVVVZMfVVVZMfZMfZMCNNN
^eGFBqGFBJJ[`MHEPJ[ $
dqnSBBdSYXMZLgqBYFgJFB`\RmBXS ^W
l\grkG QgF^XkddqBXngKLnLBY
\ $
^MnimCWFBqZENea K^p
`ENWUp dXNEn
$ lE
^ckRO dhb^rnL
^CFKVXPSCNN \QlN
dZBhC QllR^WQlgKcYB
dGNhUUpdjhd m^TmDNhpod
dheSdhRQbkJM FNdXnfK
^CEVGMHVVJ^ePCFjTX dXSghR^
l ^ekY
QgrNN Q_kJF^gPN
lKe dXUf[ZMfVVVVV]_I
lKcoBYI\mjSmBXrNYN QgMVZMCNr
^C dXkd^qB[_eneMH
lQb ^SqmBYBSfZILghG
d^N dgP
lmF\V^LFr^gXqqKqXl l
dqmBYF klhGSglf[YB
haBg lKR^djVJElKRl`POmInG^
^qXecl dg
lmFgJBVZIMfVZMCNYNNphJ dGNWpSJ\J
QlG ^YhaYBBSC^
lhXNNAdj lPkGcN
^VJElXV dFqmB
lR\` EcXElRX
dGk] Qlg
A^Td Qlg
dheSQgAlkJmhgXTR\ee^rmBd lmbkGKf
$ ^YhL^
dgKeFBYI ^q
QgdDSCSfZIMCkGKSmBYB lmNDSgleBZILCSC
dhR^dKdVjVddgcE QgS
^WdlUgnl QbkJLg`FgJFmj
QbkJFBXQ^ rQgLg
l`pljhImB cd
^Y Qlg\bikJn
^JMGWMH dlemXCEZqKCWF^_eFBqkC
^eGNCE hAq^
lhqmjeLg lScg
^dheLghfBX\ElSCSgl dh
QCCC l\`
lcEdgOR\FLE dgKL
^eZENJ^m ^ePU
dhR^dKdVjVddgcE ^djJaWlPSfVVVVZMgqmBdGkJFnR
dlXmBdeqZIpII lcEdXSfVZLfZI
$ QJqBgJS
^Yhed QlqnR^YgK
^TKaYBdf` dhaoJBXm\bkJFm
^TXe cE^dK_eC
^JMHFKePNSJNS WdKeGFB
^_ ^TR
^ePCVGirQe $
Ql_q^GkG\gMVZ dleBZ
dqm ^MpFB_NSJJ^_CFjShSYB\RBXQmja^
lcEWdXkddhL^g ^JVJEl
lcEQ ^W
^Yg`DkdQgBVZ ^VJKElcimjfM`BQXRgJ
lR dqn
lq dhSYB\`QnS
lPSglLBYFgJ ^IqmBX
dqBdR^JGopR_QX dh
dgXeZime l\FLRBdaYBXLfVVMZLCkX^Mp
^^WmU lhG
QgkCMGPNWUUUUD QgLgq^GNW
Qb^rB\` dg\lXSCVZMCkG\g
QgkCMGPNWUUUUD QgLgq^GNW
dgRdS dSfZYja
l Qg\E]ZMfZfVZLfVZIIMfZILfVVZLglb^LRBdf`BdR^T
PNrj ^ShcYBXQ^GNY
rqQ lmplQhFXmmPhFgJ
QgNrB QlGkhXWZGlmF
lmbYTd $
Ql l
^YqB\ekJMZLCSfZM ^W^SNGS
lXJaV ^[qGFBM_J^qGF^_CVV
^eGGi ^VbcE^ePJ[JCVHaJ
QlGSfVVVVVZMgXkdlmbSglRQ [f
Q`C QCCC
dlf[oBXMZLCkGm $
^qcdKeVd ^CWMHVVJE
Q^r^]CS ^Wl\gSQgmRdcYBYF\FJlhc
dXkGmplO ^qBBJHNSmJ^PJ^_CE]kWl
d_GNL QlghGNE
dhRQlXkGPSfZMCSfVVZL Vl
^MnqjePCEZB^ lcb\lU
^VJ XJ
dlRdrf` lmBkddqmjcBB\R
dq QbkeJQmjSB
QgkCMGPNWUUUUDUpd dGNAd
l`boNb l`bN
Qgm lkcPOe
[PSCNbr ^eZXdherNNh
dXSfVVV PSZLCSCSc
Qg\EfVVZLCN ngrN
^HE`Cc lXYgPkd^qB^JeVJE^d
lcEdXNrNUphJ\JnJ dXNIEjNjUUNjUNjNOdjNUUphJmJ
Q \Q
lmbSfVVVMfVVZLfVVV lRgJBVVZIMfVVV
dgXqi`NCW ^CEPJ^JCFKJMHVgNeNe
dGNN lhG
lcEdXSfVZLfZ ^CWMHWFImCWVJElKb^JnkJLfZI
^YXNEjNh dhLnLBYDNfrn
dGk] Qlg
RdNdlOmDWpdjhhJ ^WdhLBderNhUphJ
dXNq QgmhleQneSQbkJrNAdj
SfZIMf dqmBdGkJB
d^N l`B
l l`FTgJ\ECkG
^WdGNEjUU dhUNO`rNAEdUUUUNj
dXSfZLfVZLCNAdjjUNjUNNUUUphJ cPSCNWUpAdjnh\J
Q lKe
dlRdhRQb]TLRdLnf` ^W^MhU
lhGSC lmBSfZM
dG lhmjLmBdG^rAfNjLmBYB
lcE^qi`F^mCVGFBJCWF[JN`MHF ^qq
^qiSCFST\gBVZD dXS
^ekWQb^JlXS lgRdUblgKbkJLfVVZcIM
dgc_ $
dlSmBgJF ^dAKeGVde^ShRlmFplOhqnc
^MhUpGoQeoQ ^JaMhSGQ
lmBSVVVVZLfVVVZ ^SqmB\FJbkJ
lPkd ^CWNeV[JE
QlXN ^dKMUpddX
^qEM ^iqGM
dlc dGkGXSqBXnl
QgdbSgq^lcmjSoBYDSgqB dehf[oB
lPNnSYje^mBgJFn[Sj lhh
GdhqbkJPNin lPNNEn
^ dXkGcEd
^JaMhSG ^ePCVGir
rJ dgX
lmF\FCFL ^dKTR\
^YhL^ $
dhRQ gNJ
dlcBBdGkJdbN R^VJEDcEQlG\N
$ lhlUgSQ
dg\lhL^h QllaoBXBZIILhLlgRdaoBdSYj
lPSfVVZMfZLgqmjLBYpl dgmQQNAd
Q ^T`POlcEQ
l`[POPkd^SXNh lXT\lXSfZMgGNhU
^eLiJ ^eZi_
lR\FL`BVZMCNrn RdNdlOmDWp
^ j
^JVXKUgdDNNEj lXSXNq
lPS dfS
$ ^CEG
^VdQbkJmXeP_FjTR\ ^VJElR\
lK ^WNNLS_eEYJB_eF^J
^aqprVd^Wdg ^T
QllaojUlqmBYPhDkGcEdlUgdPhDkd D
k dq^gKf`jeBVVZMCkGcE^
^TRomKRXl`FgJL lPS
DdhR^CWF_ lXdjqB
l`Php lX`i
Qlg\bikJn dq^
lRgJdNLRmjernf[o ^Ylao
dGSfSVZIIILCCkGPSCNhUUUUUUkp QgLCNNWpdjh
dXSg $
QlXNWpdjjU dGqSfqILVZfbILCNY
^djeGG_Q ^CPJB_NSJJ^JJ[`jNCE\MHWJijQe_QeoQ
^eGGi ^VbcE^ePJ[JCVHaJ
DdXRgleNrm QllLnSo
^JNCWFBJCVNJ^JCEP[eNeNJBJ`B_ ^ekqX^CEGF[meFBJeaCFKCEPJ^m
QlGNYUNnd dhLnLBYDNfrnd
^MpYaSNN dg`P
^C_EGM ^dKqimJ[`aMpM
qMhU dgXdKM
d l`pljhImB
dGNrnhJm l`bNR_UUphpJ\
Q\EfZ dlLmjeLfVVZ
lmPQQQhFgJlkJm fXVXcEl
^W dqnSBBdSYXMZLgqBYFgJFB`\RmBXS
^ePeaYhLnbkJMZILfVZIM`NNUU QgQB\ekJBVZMfVZLfZLCNYUNj
dGSgq^ V
dXN q`dGO
QgQmjamDjUb^L`m ^MnEVdQlg
dG lhmjLmBdG^rAfNjLmBYB
e dlL^Gk
lcE^TmBkddgcEqne\ dhLBgJ\
_`E lcElcEQb
l\ $
l`B]rnOdjng dlLmjamBYDNAdjjUUUNh
g dgPkdl
di`q lmPjQjQQ
Qb^rmjSmB\`HVZIMafVZ lcEdhGkJBVZMfVVVVVZ
dlL^gKSc]] ClKcc]
lcEdlG ^VJEl`F\MRnPG
^SX ^^WmU
dXNrFjN dXNYN
lXeNNS`F[_qB]oNS_NS_N ^JNCEPN
dqBdf[ dL
QllbkJnGSgqBdLm Qllc
\ $
^ekT`InaoB\`L QRgL\
QgLfVVZIILfZMCNhU lPW
lXGS QgMZIIL
^WQgLCNrhdjndjCNUpdjjUUNhdjjNNUpd ^qBBmNSqPJBqGMHWVddXNAd
lmpljQO`I^XSfZLfZIL giXNZA
Qb^L`SlKSmj dlaBjGkJBVVVfZIIMggcEQ
lhXNNAdjh lPkGcNh
lA lhGkdl`BSglf`BYBkGRYFdaYBdf`B\Frn
l Slg
^ ^q
dGkddh qiqkTmDQRmImjf`j
l lcHdGSCkGKXoMnBB_NSqkVJEl
l\lqBYbkdlcBdglcE^YXSfVZqMfZILfZLfVV dleM
lcE^gh ^Mh
^W^eGNJ^]qaYW^eZB^_e lXdKJF^_CW
rPkdQlXkG`eYUNjUUUUUUUUNhh Qb^LRnb^r^henGSfVZMCNYUNhhJOJ\
QgkCMGPNWUUUUDUpd QgLgq^GNWUpd
QKgnlGkCIBZcLJkd^ThGNhphJmJn lRgJLCSCNrNph
dIqNnG^r^ lPN
QgBZIIMggXekTPkGRgJLggRXm clp
^W^eGNJ^]qaYW^eZB^ ^JNNS
lhled lW`
QbJDBZLCkR dXk
Qb ^W^Yg\
^qXlcIc]lKU ^CWaVdd
RdNdlOmDWpdjh dGNNEh
dG dGqSfqILVZfbILC
i lPk
GGNW dqBgJMZLCNNh
dlbk l\`N
^JNCWFBJCVNJ^JCEP[eNeNJBJ`B_ lcE^Mh^NNSJ
QgMZMCkGRg $
lmplOhg lM
$ lhGSgXSCSghG^L`F
dhaB dhCLmB\FLRnBLm
\KLLjLMmB\W l`DSCkGRXSdhcoB\
oPYdE^CW ^ePCW
d^NNENU dgmIBYbNEjUUNjNjNjNNUU
lmBN ^TPNYUUU
rPkdQlXkG`eYUNjUUUUUUUUNhhJ Qb^LRnb^r^henGSfVZMCNYUNhhJOJ\J
dgRYIq dhf[
^YlLmjamBgJl^ qBL\kN
\SmB`FX ^CVaT`POcEd
lhXkddqmBXNJl lXMpNhWF[JNS_NS_CFKVJd
^eGFBqGFBJJ[`MHEPJ[ n^eZi`F[_eFB
QlGNA QgkCMGPNWUUUUDUp
^Vdl\glkJrSfZLgq^ gh
lXW ^CWNNS_C
dlSYjeQnR^CFjeZEFB ^JaVd^CEGkGMHEPe
^eGMHEkMhc ^YgcE^Mh
QgSKhf lcElRda
Jqn lK
lcEdXSfVZLf Qgm`ImjeBVlSVV
G lXW^YhUgn
D^ dq^gKf`jeBVVZMCkGcE^
$ lhGkG
^SX lmNDSgleBZILCSC
cqSM ^M
lm ^eTW
^qXeclKac]] QgF^hcc]]
QlheSdleMZMglLB\R JqnaY
dGkG nTZG
L lm
QlGkhXWZGlmF QgNrB
QlXNWUpdj ^JVdd^Nhpakj
V lXeZqKqB^mCFKV
QllamB\R QlhaD
^MhUhUhAM ^JM
dhLnLBYDNfrn ^YXNEjNh
dhepVZMZMfVVZMghSm dhcB
lPSfVZIMfVLZILfZMggcE ^qimCWMHVVX\gdFdeS
elD l
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMC ^T\lqnSBBgJSlP
dFU lXW^YhUgn
^TXe cE^dK_eC
K dgR\`BVZIIIMCSg
$ lcHdGSCkGKXoMnBB_NSqkVJE
^qEGi JG_QeieQ
^Ja Al
rRdG QgFmjbkJl
lRrLMCkd^VXPNdNYN dhUgmPNrjN
$ lKaoBdLmB\`
\Qg Qg
lgBYImjL^haB lPSghLmjam
l`D lXGSC
Qg\EfVVVV ^JMHW]F^mCWMHDWVdQgrSfVZLTVZMfVVZLfA
Qb^rB\` dg\lXSCVZMCkG\g
^TKRlc dlaBjGkJBVVVfZIIMggc
^SgRXNL ^glLmDB\RmjSYmcoBX\
R^VJEDcEQlG\ dX
dGNrjNjNhhJ lPNqaEnHhJ\J
^CEZX^ l\lF
lhXNNAdj lPkGcN
M ^Yle
^CWaTRYI do
lmP X
HO lcE
$ l
dX lcELSgXSC
^HE`Cc lXYgPkd^qB^JeVJE^d
V`PkGKf`B\e^ dhf`BXQB\R^gKG^LF
lXeNNS`F[_qB]oNS_NS_NS lXqB[
lmpljOcEUqmBTpff` Qb^rm
agmPkdQb^DgMVVVVZqg QgnGkddlUl
QgmR\RnRdGN dqlaBgJBVZMCNN
^XloILqB dlb^rneQB
^CEkShcmoB dq^gR
dqlaBgJBVZMCNN Qb^LFLRmjRlcEdqnR^ePeMHFKSXN
^XEPJkmNSm $
Q lkPkdQb^J
l ^VX\lkG
^WJElfBSCSfZ lPSfZI
QgMVVVZ dlfoBgJnNSfVVZ
QgrSf lmBSVVVVZLfVVV
l`bN l`boNb
QgdF dXSCMkGRdLnSYJB
^TcElm ^dVnXa
lPW ^SqBgJF^qnLBYplOmBNNWpdjjUUUNndjNUUUUU
l QJqBgJSl
dXSfZL ^TRomKRXl`FgJL
^JF^_ ^^qiJ
lKRlSGSg^k`^JFBF ^JF^_CEZqje
^CFKVXPSCNN ZeN
dGN ^WldOcEldDVSYBdS^rBXSlhXN
lmDNA PdXNNAdjjWh
GJlcEl\lhfBd ^WlhqBXMVVVZILfZILfVZIMfVVZIMglaBBgJS^T\gLgqn
GGoNhUU dghXNNh
^SXkGmDSfZMg ^WQ[lhTLmBdaYjUlgcEd
QllbkJnGSgqBdLmj Qllcj
^YlaojSoBYBk ^Eh^V
^qX JeJ^`aMnX
RgJMWMlN dXN
KGkGp l
QTXSCES\fV lmImBYbSCSf
l\g lhhYcBB\FLekJmcEdhLBXnqmjLBWXFbkJ
L lm
DdhR^CWF_ lXdjqB
Qg lXSgKGkJ\UEglfoBaXmdcEQbkJ
QlqmB] lhlLmjaBB
lmbkGhh YY^O
dXSgXSfZMCkmXSleG^r^gm dXSgg`
^J I\W^CVNeaQqB[JJ[mNS_^
nkgWBVZMgXNrC lPNYUUNNUUUUph
^daKJVddqnf ^WdlSojf
dhGkJng`FLCNW dgmbNhUUU
^dKeYlaoBXO Qg
^WNNLS_eEYJB_eF^Jf dlf
dhUgmcE^VXhqBdb^rBXLCkGX BePCEGF^[^`
dhepVZMZMfVVZMghSm dhcB
lAD lR\e^LR
^TmDNYNjUN mgLfZMUVVZLCNYUNNpdj
^qi`NNS_N ^qBB_gXP
dhUNO`rNAEdUUUUNjNNp ^qiqkWdGNNWUUUp
edqnSm lhlLmjaB
^TRomKRXl`FgJ dXSfZ
^MpVdlhhLmBX\ECNY TVJE^MpaSXSCNYe
QJqBgJSl l
^W^SqmB dX
pL QbkJ
$ l\bkJ
lm ^eTW
lXW^JMHVa \lghJF[HJ
Rf^TTE ^TXTXdjMp
dgc_lc lc
QRiI lmPQjhIBXQB\F
Q QbkJ
dqBdb^L` QgrSeCSfbMTgXSglb
dqmjRl qXkGXSpRhLnLBPO
dlf`B\R^XSfVVZIMigGSfZIIMCSfZMfVZMglL dqBYI
dhLnLBYDNfr QlGNYUN
QlGkdlKfR^W^MjpVJEl ^Sg
^WlmbkGh dKrdjqqjjnXQgQn^
hqneMVVZQ ^dKT\gLfZM
QT^`N dghXN
Ql l
^YlaojSoBYBk ^Eh^V
dGNNY lXSXNqU
^TcEG Qgr
QFmBXQ ^YgcElcElmplhbNAdjhhJ
^SGSghR dleMVZHMMfVZLCda
dXNAd dGoNAdjhd
^Yhf[Yj QR
lXVdlXqqj WdKeGFBm
QSlRdU Q
^XloILq dlb^rneQ
l ^ThX
$ dlf[oBdf[o
lq Qlg`I
^SqlUbYl^L ^JMHE
lmpl lD`PjQ
Ql rJY
Qg\EfVVZLC ngr
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCSf Qg\EfVVVVV
^JF^mNS`NNS_NSJe oPYdE^CW
QlqnaojLnLBYFXl^JgFnUlGkdlR\FJgnGNY lbNhUUpFjjUU
QbkJ Q
rJ ^djJaCFKek
lXJaMnEVXRYFdR dUb
dleSQgmR\RBXnGkG\llf` MQ
dlaBjGkJBVVVfZIIMggc ^TKRlc
QlXkGmDSghLmje ^lBaYBXok
lPNNYNjNjNjUUN lmbWUpdj
^TXYG QmmFbSU
Rf^TTE lcE^qi`FBmCWaMp
^BOnd lXMhUhUpMHEZ
dGkddh qiqkTmDQRmImjf`j
QllLmjRdGDSf QgdDSf
^eGF^_ $
PdXNNAdjjWhd lPNAdjhd
lKeLfVVVVZ`CkGmBkdlh Ql
lRdGkJFmBgJMVVlV dXSf
^d $
^CWaeZiJJB_CWF[JNSmeNNS ecJTf_J[
dleMVZHMMfVZLCdadq lPSCkGXMnXl`bSCNNr
dgKf`BdeLOVZfVZMVVVV QgNJgnGSgleLglGkJB
^CFKTZXeZi`GirQ lXqiJNSJNS`G_Q
gN Qgnlb^
Qb^rB C^VXR
QFmBXQ dGSfZILCNENphJ
^JF[_NS_NSJCFKdjSq^GN ^^WmUNN
^dHKdjek dgX
d ^h^GS_Q
^ePC oPYdE^C
^JMHEGG ^CPJB_NSJJ^JJ[`jNCE\MHWJijQe_Qe
MWYR dlR^Mn
lXSghqmjUbkJQ^XNWpd ^JVdd^Nhpak
Q`CCC QCC
dlamB\` g
^eGF^JCVF[JeVJEQlq^lcmjLmB QgVrB
dGNY lXSXNqU
^EPpS_[\JJ[_eMHVF^m lXJNeFB`aeP
^SGN lmNDSgleBZILCSCN
^TcEG Qgr
lhg VleYPO
QbkJ QEgdInGhJ
QbkJ ^CrWaWY^SmBgQ
[f QlGSfVVVVVZMgXkdlmbSglRQ
^MhUhUnqKd QEl^f[Q
^Thq^GkddG ^MnX^YXSCkddg`ImBJ\EghamB\`LfVVZIGCSC
lXSXNq ^JVXKUgdDNNEj
dXI lPSfZIL
^dEjVJE ^Mh^NCFKT\lg\grkGPkd
Jqna QgSlKS
iB dGN
^T\lqmjmBXmK lhgcE^CFjJVXcElhgKf`jG^rnf[mBd
QbkJSl\gBZIMfZLfZILfZIIMCk VSCBk
QlGSfZMfVZQf ^WQbkJLfVV
dhcYBYBkG d_
dgRXMVVVZLCSCk g^YgPk
QbkJlkJQm rl`PhI
lXXNEjUUNjUNjUUUN dXNYUUUUUNhdj
l`PhbSg[ lh
^W^Sqjdj ^
dGSfSVZIIILCCkGPSCNhUUUUUUk lhXNhUUUUUU
dXN ^WldOcEldDVSYBdS^rBXSlhXN
Qllc lhjhcmjc
l dgc_l
lhqBgJR lR
^JVJ dkG
HF ^CWMHEPCVa
dlc dGkGXSqBXnl
rPkdQlXkG`eYUNjUUUUUUUUNhh Qb^LRnb^r^henGSfVZMCNYUNhhJOJ\
dh ^dAKeGVde^ShRlmFplOhqn
^WdhGkJmhqnL^GkGPSggXMnX^Yhf`jeNrmBdLBdf[BjR^Mh^NCFjCWNCVF[ ^W^\lhQaBYFde\l
e l
^qXQb^mI lKSYjaY
BQSgmPNYUo lPNYUUU
dgPkdl g
QlhSmjaBBd lhjhcmj
SlmKcBBgJLgl lhlf[ojG^rne
lm dGSgqBlRmjamMBY
^JNCEPNS lXeNNS`F[_qB]oNS_NS_NS
^YgR\ekJdFdR^dKW m
lhgc $
Zd Ql
dXkdlm l`Z
^C ^dSeGMH
^eZXdherN QgdBNAj
^JadjVJEQlghqmjR^MpFB`MHVF[bCWaMn ^qi`VXcE^
lcE^Mh^NNSJ ^JNCWFBJCVNJ^JCEP[eNeNJBJ`B_
QbkJQBY lXSg`n
lc^TKf`jL dgKS
lQ l
lcEdCEZ^TPhplO ^T
^CW ^W^eGNJ^]qaYW^eZB^_e
^ThlLB\RmBdL Qlla\Yjcm
^VJV $
lRgJBVVZIMf lmbSfVVVMfVVZLf
lcEdgmFX lF\Rne
lRrLMCkd^VXPNdNY ^WdXNNYUU
QgrSf lmBSVVVVZLfVVV
QbkJSlc\ lmBSfVZMgh
lXeYPeNNSJJ[`ahh^GogQRiLXRQ ^W^ePeGoQ
^PimNSJCVVcE^fXmbk ^YGSCk
l\lGSfZLCkdd ^YflSBjFG
lmBkddl lXYIl
dlSBBd lR
^MnX^qB^qPe ^eZqePW
dhUNO`rNAEdUUUUNjN ^WdGNEjUUN
dl^L dqnaoBdf`jUgN
dq^lUgMZLfVVZLgGk ^WQb^L`n
^W^Vd^TmI dKrdjqqjjnXQgQn
lh\gqf` ^WQlgRgJl^rBdaB
^SqneBVVZMfZLfZMCkGcEdXkGcElXJNCEZEMHVaeGaVXmInSB ^YlcBB
l`BSCSf Q\EfZMfV
^VX aT
QgMZIIL lXGS
Qb^ Qb^JlqnU
dleLghL l\lFhR^WhG^LFLRnL^AlfPBXl^r
VSCBk QbkJSl\gBZIMfZLfZILfZIIMCk
dXkGcEd ^
lRdfl lKf
l\gQmjf[mjSc lhjhcmjcc]]]
^WlKXcB] l`IB
lhgmDNWp QgdbWhUUpdjh
^W ^qcdKeVd
^qB^`F[JMHEkef ^qX^e
^TKaYBdf` dhaoJBXm\bkJFm
Q`gMVZILlCNpd lKLBXMVVVZIMgXNhpd
^Y j
dg\lXSCVZMCkG\g Qb^rB\`
lmFgJ R
JeJ^`aMnXd ^qXd
^TXWdGS dqmBYDh
QgNJgnGSgleLglGkJB dgKf`BdeLOVZfVZMVVVV
l\grkG QgF^XkddqBXngKLnLBY
QbkJBZMfVVZIIIMf ^CEGaWQlqBBBSfTVZMfr
lXeZqjYqmBYbNrndjndjjN lmbWUpdj
_`E lcElcEQb
gNrkJ QglkJmKL^g\
gq` dg`
dlaBBdem\ ^VFaB_J[qGaMhUnX^CFKVX\
hLH dhLB
^Y VSlG^eLNJ
C^VXR\ Qb^rB\
dqnf`B\`MVVVZILC ^qie
nhqnamCBgJMVVZLfVZIMfZ lmpljQO`I^XSfZLfZI
$ YXG
^eZBBJe ^ql`MHEPJ[qkMh_pidQgBVV
lmpljQO`I^XSfZLfZI nhqnamCBgJMVVZLfVZIMfZ
lhlf[ojG^rne lhlLdf`jR
^ePUe ^ePeMHW
g ^ePJBmeF^qkVX`PhPjjhFX
^J ^MhUpW
QgkCMGPNWUUUUDU QgLgq^GNWU
QglkJmKL^g\ gNrkJ
lh kd\Vd^Y
^djJVO QlGSfZMCk
qm ^TcE^Shao
^dLKT`FgJdB dGSCkddhGkJFnR^Thhf[BjbkJQBX\ECkG`ImjLBYD
^WldOcEldDVSYBdS^rBXSlhXN dGN
^TRomKRXl`FgJ dXSfZ
dqm ^JVdQbkJUSQihaY
^MpMH]VaqE ^Mp
lcEdl ^VJEl`F\MRnP
lXTXYgPNNAdj lhVYUUfl
^MhUpW ^J
L^YgP dXSfZMfVZIL
^qqjC cj^C
l`plOhXF^rG dhG
dlaoB ^YDXkDYXNW
dqmBYDhgXN ^SGN
ke ^YgcE^qB^`NeF[q
^J ^MhUhUhA
^VXmb QT^`
lhgPkdQ`CCCCC QCCC
^Sle\E lmBSVVVVZLfVVVZL
^q]XXFM ^M
dgXdKWQgBZLglG^L dheNLm
Qg\E]ZMfZfVZLfVZIIMfZILfVVZLglb^LRBdf`BdR^T dgXdKSg
$ Qb^rmjcYB\
$ lmbYTd
l`FgJ lKGJ
^JNCWFBJCVNJ^JCEP[eNeNJBJ`B_CV ^CW
lhgcElcEQ lR\`PNrBXYmmPjOK
QbkJ ^CrWaWY^SmBgQ
lKe Q
^qEFB`Vd^Mn f
^YgcE^qB^`NeF[q ke
^JNeNeV ^PimNSJCVVcE^fXmbk
lKWR^b^aO^JaT`epl ^Vd^TmPQQ
^WdXkGPN ^WNQngdBN
lcE^eGME ^e
Q $
dq^gR ^CEkShcmoB
l\b^LR^g`IB\FLFrmjamj_kJm`BSCNrn dXNhUp
dGkGPSfZ ldalhFgPJMZ
QgkCMGPNWUUUUDUpdj QgLgq^GNWUpdj
MQllU dh
^CVMHWVXhhG^Q l\gdIamjaBBYPQO`pU
$ dq
^Mn ^qB^`F[JMHEkefZ
^CEZiJJ^JCWNJ[_C ^eMH
lXJNeFB`a CFj
l`bNR_UUphpJ\ lKG^rBYDSgGkGXT`DNNWph
lcElXT dgZ
^YlcBB ^SqneBVVZMfZLfZMCkGcEdXkGcElXJNCEZEMHVaeGaVXmInSB
^dKWa^MpFp`MnHEkMp ^J
lXThqnL^q dL
lKaY lPNnSYje^mBgJFn[S
QgmhleQneSQbkJrNAdj dXNq
^WlUQlFKm ^ThgKaY
^ dR
^gTXTXBdl dh
dXSfVZMfVVVVZMCNYN lmDNhUUpdjhdjNUUpdjNUpd
dGkGXSqBXnl dlc
L lm
dXkd^qB[_eneMH ^C
QlhUgMVVVVVVZLCk lKeLfVVVVZ`CkGmBkdlhXk
l`q ^T`
dnR dqmBXNJ
l\gBZIMCNWUUU dgmplOmPQOmNrjNN
dlccm l`Im
lnhqBMYbS QgLfZL
l`BkGc ^Mni`V\
QlgR ^JVdQbkJUSQihaYB
lcEQgMZMfVVZIIILfVVVVV KQbkJMVV
QgdD QllLmjRdGD
lPS QlheLSIS
l ^qB^_eVX`IB\R^
Ql h
^^WmU lhG
fXVXcElR ^WlR
l\Dkfm`Ineem dXkG
^MhUp `gXJMHW
^JVXKUgdDNNEjU A^VHPXNr^n
^ ^q
$ ]J
\lghJF[HJCE ^e
l`DSgXSfVVZLfZMggXWlXCWG lMpoQeieOR
QgQBXX ^SqmBYBSfZILghG
^eZE ^JFm[`
dlf`BXQBdedBkddqmBdf`BX lPkGKSmjRgnhSmB
dXkGPSgq dXSfVVAVZILglHYjeF
^qBB_CVaWlmplj d
dgRYF dXSfVVAVZILglHYjeFB
^Mh^GoQ ^EJ[`MHWG_Q
bB^ dq
