25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
[h SOhLPeEjrhPeEjrhg\IdPTPPT[i
FNJfRpHFfIQY UNT
fGa UGai\
Jkc[KTAKT[hFkGZTkTrDTSDT SkTrDVlD
Yn^ UNNpKTSkXGXke[ZNn^a`SJ
fcHHJfGZT B[KTUVeLb]
SDDO]`^L]`^TL]hS [h_eSrhPQTHg[\gPTPT[\W\]OHHJAP`S
SDkRWpL]`^P` ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^P`
AKT[ AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDe
Jkn^L]`SWSW` FN\]`
A [SeEjeEj
FJQjPXke[Xkq[Xi fGiPEc[aq[X
ALUGZTO o
JkYedWn^a`SJa`^LQRX FJJJSk\LkOohkcUW
AnHJfnS]`S Aa`S
FJJSDeWiHZ\ fKRB
UmTrDED\Ppj SOHaHahLPeEj
SeS S
FN\HT \]`^TfnSW`G^KTFN
JGjP[aikq[iPEc fGaq
bkYOHTg\] \]`SJP`SW`SJP
[SeEj SOR[KT\]`^ReKTfKWe
KPligijId[ipFk UGP[ZO
JkGaq[P[oTeLP\EjYEjQ` UPic[ae[ZlZTDeLbR```
SOHT\]`^P`SJJ[^KTFN\]`SW`SJ FNJfKhFkRKFkn[SW`^
UXXG o[
\QXPXkik_ [RkcQRPP[imc[P[a_
SeSr \]`KW`^L]`SJLUWYedVDeS\EjLejeEjr
UPnXke \UXXGae[Xkike[P
SkRPZONTehjgPT FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``THgPT
UVkRXTSD FNJ\QXTrDEXmD
fK FJUDVk\Y
ALQ\LIDPT[i_O[KT\hF_klmmWmWm \UXlm
fGic[ o[
Aa`^KT[d JkKhWFk
JkGaq[P[oTeLP\EjYEjQ` UPic[ae[ZlZTDeLbR```
S [lb_D
fYOUVOGPPbMghbR` FJJFN\UPP[aq[P[ae[ZTDO[a`SW`^LQRGP[Xkike[P[ZTOUNNYDeRkKF]DeWeQ
[kWT FNJ[FR]]`
SDOU FJ\KXXRRGiPEc[Xike[ZlZ
FJ\hh]QRVDOUVDeF_DeFR`o [P
ROhh]edNNMP [FkFFkRVOUNNc]
JkpTJ ALHHJJ
fYOHJ]`jS JknS
fYO J
FJQjPXke[Xkq[Xi SeRkGX
$ U
jUGAi fGi
FNJfKhFkRKFkn[SW`^P`^ Jkp
[[h] FJJUN
FJ\ $
fYedNTkXNlaq EfYk\dGXkq[q[aqc`
kYehR]] [SrhHgPTPTPT[iR
S[Rkc[KTJkKdVeh [F
$ OFN
FJJSeS iN\HHJSOHH\HT\hS
[P UWK
[dPfZlNXkikq[aik_ke[ZN \hdNN
FNJfKhFkRKFkn[SW`^P`^J SOHT\]`^P`SJJ[^KTFN\]`SW`SJP`^J
\UPic[XTkike[aikn[ZOXXpTJAP A
\ n^LQXVO
Sk\ FNJUVehT]O
[PPq [Plq
FJQjPXke[Xkq[Xi SeRkGX
\]`SW J[SJP`SJa`SW`^a`SJa
a\kKh_[ fKh]D
UVeL VOhL
oFJ^K\hHgi[ij [Fj
JkYkTr SkTrDVlDr
F \HaHaHH\]`SLHH\[J[^KO
fpKTFNJFN\UNlXkq[Xkq[P[aq[ae[aq[P[ZXXNlP[Xkik oXXNNRGa
UVeFFknSJa`SW` fRkXV]`
[FTH UPZTDehkL
`P` FN\]`
OV^ [FR]`TPQ]]Tb_OHa
fYDO KFN\`^a`^L
AP`^KTfYOUNXT SOUpHJFN\Q
fYeRk SOhLPeEjrhPeEjrhg\IdPTPPT[iFk
SOhLP\EjQj[ob [SeEjQ`]ob
[FkWV_] [h]ehkFRolaG``]```]olV_
Ur UGic[
\hdNIO]` fRWpLHT\]`^P`
f $
SkT JLbR``Tg\IDT[i]kT
FJVADUWpSh FN\QXVDe
SedGP[ZTDkl JkcUPXke[ZTOhFkh]jDklmW
SDk\RkGZlaq[ fKdNNpKT\HTJFNYJUG
UWYeF]eLHg[\IOTP APSW`^KT[LHg[\gPTPTP
[F]DOQL\dW Jk
SehkR JkNn^KTZR
F [Pl
SDehkLgikFjg[ JkpP`^a`^fTUWKPbibjgPTPTPT[
\fIlmW SOQlWmW
FJ\]`SJP`^K fKD^
[dW JkGikikikq[Xkq[ZX
X\ \UVeFFkKdXRVe
UXkRGic[Xkike[ZOX\hjIOT[iRol fKSrhb_eW
AaSJP`SW`SW`^P`SeW`^KT[dGP[Xke[ZOGaea[P[i fRNOGi
SJJFJ\QRWc]`SJLhLoFkpLhPgb JknSJKTUNTDkRX\LPg
[h_eRkcHTJfYkRNXT \[LQTrDTa
fc[LHT\U \WGYDDOQnXXR
\[KTSQ [dpT\Q\F]
FNJG fRP
\UVDO[LHTJfRXTSDTVkD FJ]o\Q^
AJ[^KTUpHJAKTfYeL ^cjg[iR`obG```]K``]T
fRPic[P[ FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[
FNJ[JGiP SDedWGP[P[iPEP
UNXXWcQTVkD \`TrD
fRWY N\]qka`^L[KTFJJS
UWK [P
[Pb JkGaq[P[oTeLP\EjYEjQ`ob
SehkSe UpT\CHTJ[SO
FJJUP UGiPEc[Xke
\UVOhRkpL]`S UXRVOda[P`S
X\ Sk\
fpLh \^`SW`^LhWg_nFnnSnF\jQTMok
FJ\H\hRkG ALUGic[
MVO]`SJFBP`^ SO]`SW`^
A Aa`^qKTAL]`^
UP UkPnV[
FNJUGa [dPplXk
\Hf\QGkE[i fGXkq[aq[i
nfRTPSe[ZTklemW JkYklWWWmWmWW
[dPplXk FJJAKTFNJJkRGP[P[P[Xk
fK SOhdXRpHJ[SrhHId[\g[\W\kFkP
SDO]`^L]`SW`SW Jkn^L]`SWSW
FJJAa FN\[CT
\hdNIO]`S fpJ[S
[dXXWKFkLCP\Ej [SeEjghP
fKD^ FJ\]`SJP`^K
SOhdVDDDkRPiPE o\UGXPMe[i
\HH\ ArXqa`SSJ
JkKFR`UTfPdQ] [WeQ
UPZXXXR SOPkZ
FNJfKhFkRKFkn[SW`^ SOHT\]`^P`SJJ[^KTFN\]`SW`SJ
\UPZ [F_kP`q[
JkGP[ZXTT SOQT
JkcUN AKTfHRPP[lZ
fY SY
q $
[F]OhdXRpa A
JkpKTJkc] fnU
kGZOWnSJKTAP`^P``^P`^K fpa`^a`SW`SJLH
UX\LbPk [
[FR`lP\ AKT[SY
[Lg\gPT[i]eLPghHg[\IOT[\IOTPT[ikWM\EjQ`TPYEjrm ArW\hFkLDeSm
AKT BhoT
UoNU fKRkGae[Xkq[P[P[Xk_
S[Rkc[KTJkKdVe SDO[a`^KTfYe
\hP fcQXVO]^^OhWeQ]d
FNJ AQKT
Jk SDDOHTJfKLo_eh]OHHJNJJFJJ\QX
fn^KT\UPaike[P AaSJP`SW`SW`^P`SeW`^KT[dGP[Xke[ZOGaea
XdpV SO
FJ\hdGXCkikq[jOXXp UVOH
\[P^LSJPS FNJAP
AK AP`SW`SVJP`^K
ALa`S JkRNNnS
SedGXke[iP fGm[iP
SDeSYEj_gm fYOUpT\hPlMYEjrm
SkRVeWGobV__S]SnSFo]Be fYe
O]`DSW`P`^LQPiPE UNli
fRPic[P FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq
SeEjQTH[\IOT[ijZ\FknSJKT\g`SJP` FN\]`SJP`^P`SJP`SW`SJa`^KT\]`^a`SW`
UNXXWcQTVk \`Tr
JkRNXXWp fn
MZGP[Z \UPZN
Aa AnHJfnS]
FJ\hFOhdXTc [h_eRkcHTJfYkRNXTV
fn \g`hJa`
UGZOPaq[kP[P[ AKTSOUX\dGXke[
fDiegRk \UVDDeRk
JkGP[ZXT SOQ
\UVDDe fDieg
FN fYOWT
[hkSYEj I[dLP\Ej
UGPo[ZTURkYDDeSeEljnhg\ JkKFj
[FjIOT[\IdPT[\gPT[i]D FJ\
[ FJ\hLo_Pe
\[a` Q\]`
AP`^KT \]f`SJP`^a`^LHUJ
fYOhWGo[leM]hj [dPZNKLhjqq
UWpLHTJfGXke[P[ZOG UPn
SOHa[a`SJ MVO]`SJFBP`^
\[K ACP`^KIAa`^a`^K
FJ\hF_k\WeMTokSYEj\EjQKl \Q\Pb
fc[KTSOhLb_O[a`SW`SJKTAP`^KTfRGZMP[ZlXke[aRkq[ic[ZNKLb_eP UXXVOhFRo
a $
JkcUPXke[ZTOhFkh]jDk \UNX
\[a`^L FN\UMWcnpa
UN lWRX\jW\_D
\hFkSQ]``Tg\W\]kTrD UWnSW`^Q
[Wo]eF_eWibR KhSQ
UXlmWmm UVeFjg[[ijIDTPT[i_DQl
JkcUXFk\Udpa FN\[KTSO]`^a`SW`SJL]`SJa`SJP`SW`^L
\oNlZTkXV FNJSDD
bkYOHTg\]` \]`SJP`SW`SJP`
\[P^LSJPS fpa
fY[KTFON\RPbokPl FJJFJ\hhkF]ePl
FVJFN\ \Ha
\fIlmW SOQlWmW
JGjP[aikq[iPE UGP[i
AL]`S SOH\J`SAP`S
SDeLg\W\_DePlMmjqq fKhRTPghgiRTPrmj
UNNYa SO]`^P`^LU
UXkRGic[Xkike[ZOX\hjIOT[iRol fKSrhb_eW
UGZNchWG`````oloR]Tod_eFR``o JkRNONTedpHJAKTfRNX\SQ]o
Jk Ua
fRGaq[iPE UNOpaQ\dp\]`SJKTALUPic[P[Xke[ic[i
AL A
\UNTDDO[P`SW`^ UkNa`^
SDklmWmmm FJSklWqmWWWWmmWWW
FJJALRUpHJSOYKT[FkRV UNT
AKTJkpLQ\PbcToFkRO]`SoW FN\[P
S SOg`^a`^L[KTSDeLHgPkPTPT[i
fchiLg` [LbR]Tg
FNJfKhFkRKFkn[SW`^P SOHT\]`^P`SJJ[^KTFN\]`SW`SJP
fYDOQ FJU
SehR```obeMob SYEj
UNNKFFkRpHJ\[ fc][
UPe[e[ic[Xk JkGP[P[Xk
\]idc[Tk\Rak [RkKP
ASOHaHHJ[LHIDTPT[iRT AKTJkRX\L
fKRkPpaU^r[ SDkXVkRVeRkn
AJ[SJKTSk[XGP[ai JkGXki
SO]`SW` MVO]`SJFBP`
SDeSYEj_gm fRX\hkLbR`]````TokSrm
Upa] [P
\UU]ePl Sk\W
SedGXke[iPEP fGm[iPEP
\UXRpaQ\L ASOHaHHJ[LHIDTPT[iRT
JkRVDkRX Q
[SeEjeEjYEjeEj FN\QXVOhdVOMKTSeSYEj
\]` A
WfYe AKT[hk
Jkc[Lhh_ePbS [W
YSOUkHW Jk
JkRNONTedpHJAKTfRNX\SQ] UGZNchWG`````oloR]Tod_eFR``
fR `UpHJfRXR
[RSkpKT[ [
UPP[Xke[ZX UP
JkGP[ZXT UVk
AP`SJ fnGSJP`SJKT\]`^
SDDk\FFkGi U`GXke[iPE
\UpHJUPaq[Xke JkG`iPEc
AaF^a`dKTSedPP[oXkiq JkGXke
SDDk\Plg_]G_FeQ]TPghg\gPT [LIOrTPTPTPTPT[\IDT
\[a`^LUX SPOQ
PUOYRVDeLP SDOhFRTPeEj
[PiR JkYOUWKL
nF J
\ SDk[\RkRNTO
\UNXlmW oD\F[_QlmWSN
fYe SkRVeWGobV__S]SnSFo]Be
FJ\ $
kYehR]]T FJ\hSQobi
AKTSNRlR FJJAP`SW`SW`^P`^KTFN\UPZO
FJJFJ\[a`^KTUWRpTJALQTS YrkK^LoFkYeFjW\]kXXTr
SO[P`S UPNnC
fKh_DkXpHJFJJUX\SeE \hhR]obQMeEnjYEGYEj\EjTE
JkKdpH\]`^L fcj
UNlZNcQX AKgTU
\hh_kT SDNTc[Dg
YGJRk JkGXkikikq[Xkikikikik
\]` Jk
JkGP[ZXTT SOQT
UVDk\Wlojg[ikdVhkWGToFkTYDeWiPQTPrmjq UPXkq[Xke[ZTDeLhj
Aa`SW GN\]`SW`^LHa]
FNJUGP[iPEc FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[aike
\QTVlDT JAkpa`MLQT
FJ\[KTfGXkik[ZlP[icc[ZNnS fpa`^P`^P`S
[SeEjeEjYEjeEjgh FN\QXVOhdVOMKTSeSYEjgh
FJJfRWYDDOHHJAa`SJ FJ\]^
fDiegRkY UVD
UpahjW\FkG UpTJUWGP[Xkq[Xkike[Xkq[
fRPaqP[ZXTSD JkKhkRkRNTDedXTrD
AKT[ rYe
\ \TJFNJAL
ACP`^KIAa`^a`^ \[
\Qlmqm \UNXl
FJHJfchLb_e fpa`^a`SW`SJLHT\
UJVeRTgiF [R
[jPlp`] SDOhLg\Z\kWG
fRX\hkLbR`]````TokSrmj [OSjqY
\QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNY FN\QXV
JZhk_ [F]OUNOpH\[KTJkYeRk
JkYkTSD SDkTckDf
AP ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di
Jkn^a`^L]`^P`^LhF]O]`SJP`^KTf FJ\H\hRk
oL AKTFJJUVO
SeFkRk ALHa]`SJaa`SJKTSO[LQXW
eJkpaLB fpLUWpK
fRP FNJG
[RQ` fc]`^P`^P`^J[SW`^
UWKhRob [eQob
gd Jk
AJ[ FJ\]
AIP`SW` A
F\QT UXT
fYOhWGo[leM]h fYOUpT\hPlMYEjrm
JkGP[ UPe[e[ic[
UGP[Xke[iPEP fG
fcRUNlXkeNKdX\F_DX[KTFJJSkRpahdNlZOWn Jk
UNlaike[Xke[ZOpTHa[P`^a SDOHH\UNNpa`SW`SW
\U JkKhWFk
[dPZX\LlIOT[i_OUGiPEc[ZON fGZ
SDkRWYed JkKpd
FJJAa`SW`SJKTfYedX\Pl JJAKTAVEhS
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[i JkRGi
FJ\]`SJP`SW`^KTF AnP`SJKTU
JkRGi fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[i
f F
\QTrD JkGP[ZXTTSD
[ JkGZOpaQ
\hRkRXRWKdPa fDkRGXkq[Xke[ae[ic[a
[FjIDT[\gPTPTPTPTP APSW`^KT[LHg[\gPTP
L \[P`^KT
JkcQXpT\[a`^KTSDeLgikdNX\Sg AKDSDDO]`^KTAKTUVDeWMg
ffnSJLQ Sk
J[SJP`SJa`SW`^a`SJa`^KT \]`SW`^KT
SkXG JcWG
SkMRnNRNX\_W JkchPbMeEj\Ej
Seh]OhFFkKFjId[ijW\_DDeLojId[ijg[\W UGZTklmmjWWm
[Lgi] UWjRPic[Xke[ZTTDDedV
FJ AKTAa`SJa`^P`SW`^
[Sejrd [S\Ej\
\]`^LUX JkpdThDOQ
$ JkGZXXN
SkdG UNl
JkVDeRkRNN \]`SJL[a`SW`SJKTJk
\[hhkR J
FNJfRpHFfIQYe Se
Aa`^KTfG UN
JkWMQobR`THg[S\IOTP [LHgPTPTPTPTP
JkKTF F
FJ]o\Q^T \UVDO[LHTJfRXTSDTVkDT
fYOHJ]`jS JknS
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ fRPic[P[
SDeh] Aaq`SW`SJKT\UpaUNNRVOhFqkSeEjghPYEjeEjro_
[d Ua
ALhhR`]obeQ]]`obo]OQlWmm qfogRXn
UWc fP`SN`SJKT\
SDp UXXVOhFRo
J $
fKh_DkXpHJFJJUX\Se \hhR]obQMeEnjYEGYEj\EjT
ALa fGXke[aq[ZlZNRXRWc]
FN [FjIdikdKXRp
FJJAP`^J[^KT AUTFJJ
UWYfe fK
fc[a`SW`SW`SJJ[ UVkXVDehR`ibFkpP`
JkGP[Xkq[P[ZlXk o\UGXPM
fGic[Xkq[aq[ o[
FJSklWqmWWWWmmWWWmW SDklmWmmmmW
fnSW FD\[`^aTSW
UNXRNX\Pbig\g[iRTb]k IFJ\
[LP` [FR
\Q\SQTb[iTedNNKPbi SOhSeEjYEjY
UWYDeRkRVOhSYEjQ]]]``ob SYEj
FJQjPXke[Xkq[Xik SOUGa
SDeSYEj_g fRX\hkLbR`]````TokSr
AKT[hk WfYe
f gJk
FJJSX [Lg\W\]
AKDSDDO]`^KTAKTUVDeWMg JkYDk\Sg
\[a`^a`^LUnSJLUpaHaHTJ $
Aa` UNNEn
Upa[ AL]`SB`J
FgN\UNX fGZTOUNTDk
[RSkpKT[ [
Jkc]`^L]`P`SJKTJkYDDeWeQoboRTbjW\kSeEj[ JkYDkXVeSr
frKPbMgm JkKSgm
JkGXkikq UPXkike[Pae[ic[^e
FJJS jfrpY
\QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYD S
\RGP fRPiPEc[ZXTc
SkRNX\dGXkike[ic[P[P[P[ZN [IRmpK^TFNJf
SOQ SDG
UGXk[ \QRVDOUGic[
f paVQW
AP`SW`^a`SJKTSkT FJ\hFOhdXT
FJJFN kpP^KqfYO[LHHJUpT
S SeS
[h_DDDDk [hR]Tb_DkTS`DTrDTSDE
M [FjW\j
\hhR` lSBEjQ
fKF_eglio UNX\SYEjQTokPlio
[h JLbR``Tg\IDT[i
UX\ DhiJ[_Rpa[P`^KT[
FN\HH FJM
\QRXUl \QlWmWmWWWWm
[W jP
S rrkRV
\HTJ[SghoR``To_DkRGXke[P[P[aq[P[ic[aq[ic JGjP[aikq
SDDed ^UeX
Sk\hjI [LIOrTPTPTPTPT[\I
[Wo]eF_eWibR KhSQ
FJJJSk\LkOohkcUW [hjIdPTPTPT[ikh]OQ
fp [dVO
fRN UNZ
FJ\hFOhd AJ[^KTFNJfGP[iPEPEc[Z
JknSJKTUNTDkRX\LPg fRpTJWWokPloR`q```T_YEjg
SqLh [Srm
UNlP[P[Xk SpUWGZXXXRGZlP[P[Xkq[XkNke[Xk
SOHT\[a`^ SeEjQTH[\IOT[ijZ\FknSJKT\g`SJ
UNlX NX\RkRPX
SOUVe SDkXNTgohT
AL[KTFJJUVk\R JkKhWF
[SHgjE JkYDk\Sgmjq
FNJFN\[P`^ FJ\[l
[Wib]D \]`SJa`^LcUPZT
TLUNlX FJJfGai
UNlNl SeRk
UGXke[ZNG FNJG
FJ fP`SN`SJKT
A` FJ\]`
S AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDD
FNJFNJSedNTOH Aa[`SJK
ALGiQ_h_D[L^GZ SedVkRN
FN\UWRXTclDgckD JkKTVDDokTSDgrD
UWpKTf oKKTJL
SJJFJ\QRWc]`SJLhLoFkpLhPgb JknSJKTUNTDkRX\LPg
SOQl \]`k^LSQl`
\hPbq [kbRRYq
AKDSDDO]`^KTAKTUVDeWMgm JkYDk\Sgm
\]`LHTQmRp SOH
fYe SkRVeWGobV__S]SnSFo]Be
FN\UPaikq[Xkigke \]`^KTfGiPEc[P
[LbH_OZE FN\H
\HT\]` FAGJ`d
\hLokF]DD U
SOUGaike[Xk JkGaq[P[Xkhq[Xke[c[aikq[a
JkpLhSrhfZ\eaOHTaUPaq[P fnSJLUPZlic[P[aikq
\UpahhjW\jIdPT[\IDTPT[\g[i_DO KTSe
SOQ\SQT [PiR
FNJ [e
UpTJ[SeEjghgi_e UeiPEcc[i
fKh_DkXpHJFJJUX\Se \hhR]obQMeEnjYEGYEj\EjT
JkKSQTb_OHT\Q FJJJSk\LkOohkcUW
fchh \HT\hLoI
\Q\Pb [W\Qolg_SnS
UPa U^aqike
fK Fk
FJ\HaUVehkh]eLg\W\]ehR`]] Seh_k\hkU\EjghgiR`
UVDDeLHWUEkSeEj [S
fc]` AP`JB
UVePlG]THW\khkLPg PUOYRVDeLPg
[SQ]iob FJ\HTJ[hkh]eWG`o
Jkn^a`SJL[KTfRGXke[ZXl [hR]Tb_DkTS`DTrDTSDElWW
JkRV K\TNk
JkpdThDOQX \]`^LUXX
FN\QTrDE `NJ[Plo]OQ
UpahdXlmmm UVeFjg[[ijIDTPT[i_DQlm
BO[J[S fRWnS
[SrP SeWMYEjr
Jkc n^LQXVO
UNOPP[Xke AKTfYQkRGXk]e
FJJFJ kXWGZTkRpH
S[LbQkRNN]kG [RkcUpH\UP
Sk fYDOHaUpT\[KT[
JkK NOKehS
SOhSYE \]^KT[dpT\UNTh_DeSYEjQ``]obGolM\E
$ \TJ
UNXXWcQTVkD \`TrD
UNlP[iico[qa fGa
FJ\hS\Ej W\j
S UWGXke[ZX\F
fc[a`SW` $
oXXNNRGa fpKTFNJFN\UNlXkq[Xkq[P[aq[ae[aq[P[ZXXNlP[Xkik
fGa UGai\
UGZNchWG`````oloR]Tod_eFR`` SDO[KTUNXRNXRNNchhkSQ`
AP` [RkpL`]`
[RkcQRPP[imc[P fGP[aq[P
ALhLb_ a\kKh_[
[P`^P Upa]`^P
JPk`Y S
fKJS\Ej\Ejr FN\hWiP\Ejg
JkYO UXkmWWm
qDD Seh]DDDDD
_ fYe
S AKT[FF
SeLPYEjeEjrm Seh
\ jfrpYO
FN\QXVOhdVOMKTSeSYE [SeEjeEjYEjeE
OFW\Y]n^KT $
N\]qka`^L[KTFJJSD fRWYD
FJ\hdNNYDk hSDOQ
]h]]Yaq FJ\HHJJkGZTePlq
ALUNNRP FJ\UPPBP[
RfRDKIj FJJfch
DUWnSJY fpa`^P`^P`SJ
SDDed ^UeX
[FTHg JkKPbr_]nSFV_FiojId[
SeRkGaq[iPEc[aq JkcHHJFN\QAGP
\hSE fYeSQ]`]`THIOT[\gPT[ijZ\jIDT[\gPTPT[ijZ\RTPeEjeE
fnGSJP`SJKT\]`^J AP`SJJ
UPZlZTkRXXp FNGJfYOH
UNNRPi U`GXke[iPE
fG jUGA
\HHJ W
a[F UGZNchdVOhF
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ai fRPic[P[ai
[U [
[ MPZTe
$ `pT
fKhkPbeQ`]THg FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``THg
\hSeEjr [dVk\AlQTdPg
SOQlWmW \fIlmW
FNJJ SkRVeWGobV__S]SnSFo]BeR
ScDePlV_F_S]FeM]olib \hh
SOHah m\hi
U [LbFk
FN\]`SW`^P`SW`SW`SJa` a`SW`
ALPSh_OYHJYZ UPZ
FNJiPlfRo UX\P
\]` fcUpH\]`^a`SJ
[Lg\W\] FJJSX
SDkX SDkRGO
UpTJ[SeEjghgi_ed JkGZFXmkPiR
\U UWnSJKTFNJfYOUp
FJ\UWK lDDeq
fmk UVk
SOhdVDDDkRPiPE o\UGXPMe[i
I UVDDO]`SJJ
JZhk_pP FJ\]
^MNQV SkT
\UXXGae[Xkike[P[P[Xkik fGZlZNGP[MM[iPEPE[Xkik
AKTJk QR
SeLP\EjQ]]]ol \UpTDJFJJ[V
FN fYOWT
\[KTSQD [dpT\Q\F]D
JFG UGP[aike
\]`SJP`SW`SJP`S bkYOHTg\]`S
\]` Jk
SeLP\EjQ]]]ol \UpTDJFJJ[V
fcUNXUpakhhRobV_SY] UX\Wr_S
bkYOHTg\]`SW \]`SJP`SW`SJP`SW
AKT[hk WfYe
fG jUGA
[RkcUN AAKUGae[aq[Z
\UVDDeRk fDiegRk
FNJAKTAKTqJkVOHH\QTrDEXpT\ Jkc
FJ L
UNXTckDE\R fB
kYehR]]Th FJJAa`SW`SJKTfYedX\Pl\jrm
[SQ`[ UXRpT\hdGXke[ZTeSQ
fn^Po`^`^LhFkYeRkpLQ\CM \UNTDDO[P`SW`^L
FNJ[JGiP UPiP
APSW`^KT[LHg[\gPTPT [SeEjQ]THIDTPT[iRTHId
AP` FNJfKhFkRKFkn[SW`^P`^J[
iN\HHJSOHH\HT\h FJJSe
SDDed ^UeX
SDOhLg\Z\kWG [jPlp`]
\QTVkDgSDET PkT
UX F\Q
UX UXX
[dWGlq[PH fRGaq[iPEc
UVDk\Wlojg[ikdVhkWGToFkTYDeWiPQTPrm UWRPae[ZOPP[aq[ZNKLh
SSD FN\Q\dV
AUTFJJAL Aa`SW`SJP`^L
\]`^LUX JkpdThDOQ
[LIOrTPTPTPTPT[\IDT[\ Seh]OhFFkKFjId[ijW\_DDeLojId[ijg[\
AP`^Lh PloE\k
SePl ePb
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ai fRPic[P[ai
[FkFjIOTT[ijId[\gPTPT[ AP`^LhF
FJ\[L]`SW fpKTSedpa[a`P
JkRNONTedpHJAKTfRNX\SQ]ob UKSrhqkW]B
SOPk JkGic[Zl
UGXk \QRVDOUGic
AKTSOQTVlDgSDg JAkpa`MLQT
[LokLo [RkYeFjZgkh
UpH\UW SDeFFOk
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTD UPXkq[Xke[ZT
fK [U
JkGaq[P[oTeLP\EjYEjQ` \hSQ]TPQ
[SeEjghP [dXXWKFkLCP\Ej
[Rk ifN
U \PFkk\EojrhH\_UX
JkKSrhgiFknSW`^ J[
fYDePlg_ [WG]or_
JJk[eOhA UVeSeEjQTPgmo
FJJ FJB
FNJGic UNNGP
\hW fKF_egl
fpa`^a`SW`SJLH kGZOWnSJKTAP`^P``^P`^K
UPic[ AJ[SJKTSk[XG
\[P`SJa`SW` \hdNIO]`
JkcHH Jkpa`^LHTL
fKSrhb_eW UXkRGic[Xkike[ZOX\hjIOT[iRol
FN\HT\Q AL]`KLpOH\QTD
Upa]`VLhdNlaiLe[Xke[aikeXkike[Xkq[a \]`^P`^a`SW`^LUPa
JkGikikikq[Xkq[ FJJJkG
JkKh [RSkpKT[F
fKWGolioR``TP lSBEj
AiKDO[P`SW`SJK SO[K
\QTVlDT JAkpa`MLQT
JkKhkRkRNTDedXTrD ^UXTD
JkYOhLojg[iRTbjT[\Z\jW\R]ol\jQ fpa`^KTJkKWG]]Tg\g[\IDTPTPT[iR]```
fP`SN`SJKT\ FNJUVO
[h]ehjIDTPE^T SkRPZONTehjgPT
UkNa \UNTDDO[P`SW
[P` Upa]`
FJB FNJ
Bho AK
fY\kXpn \UpT
AJ FNJfKhFkRKFkn[SW`^P`^J
SehkSeE AaT^KTfKPlMeE
UPP[ZlXkike[P[Xkq[ZXTVlDTrDg ep`aSQTrDgVkDg
GpDlO[KTJkYkT fcQ\dXTrDTclDEXXT
AL[KTFJJUVk\Rk JkKhWFk
SOUpT\HM\Ha]`SW Aa`^a`^P
UNXXWcQTVkD \`TrD
ePbG SehR
SFR SkRWchhR`]
SePbr_FoRo [S
L \
JkGaq[Z \[KTGXkq[iOc[PLZ
UPic[P[aik \QXGi[Xkq[DP[aik
fnS FD\[`^aTS
UG SOUbWRWRP
AYkl SDeF_klmmWWWWmWm
FFN\h JkK
FgN\ $
AL mAa`^J[LH\
fUTL ALQXpHJFJJFN
$ q
SD O
HP Jk
\fIlm SOQlWm
\UXRpaQ\LPr ASOHaHHJ[LHIDTPT[iRTPr
FJ\UPi o\UGXPMe[i
JkYDDe FJJKT\g`SJLHHHJfK
SeFkRk ALHa]`SJaa`SJKTSO[LQXW
^[RUHG AKTJkYedpTJALUNl
Q\ fKdPP[ZTOHa
[Lgi UHJUpa`^LUKX\F
JkcQRkRPZTklOmmm JkcUGXkikq[P[Zlic[P[ZOVOQ\FjW\_klWmmWmmW
SDO[a`^KTfYe S[Rkc[KTJkKdVe
$ fcApTJ\]k^K
A \]`SC`SJPMSJ
\QlWmmmWDmmWW FN\Ql
AL \ma
J[SJP`SJa`SW`^a`SJa`^KT $
\HTJfn \]X^a`SE`
UPP[ZlXkike[P[Xkq[ZXTVlDTrD ep`aSQTrDgVkD
A [
SkRGP[Xkq[P[i ic[iPEPE
\hPlMrhb]O \HTJ_
[ fYkp\
JkRpT \[a`^a`^LUnSJLUpaHaHT
UPZXXX MZGP[Z
FNJFJJSDOHHJSOHT\]`SW`SW` Fn
JkpP fRkXV]
[FFkRpHJF P`^KTF
^[RUH fcUNN
[ UXRWQSJJ[^a`^KT[dNXRpTJSDOQ\Wbk_DeFk
$ Fb
FJ\]^ [FR]]]```TbFkRpa]`^P`SW`^KTFN\[
FJ\EUBTnJ[ \[KTSeh
