24676
BBBAABABB BBABABBBABBAABBBBABBAABBBABAABBAB
B ABBABABBBBAA
AABBBBBABBABBA AABAABBBBAAAABBAABAAABAAB
AABBAABAABAAAAABBAABABABBAB $
AA BBABAAAABBAABABAAABBABABBAAABBB
ABBBBA AAAABBBABBBAA
AAB BABBBBB
BBBABABA B
ABBBB AAABBBBBAA
AAAAAAABBAABAABAABABABBABBBABA $
BAAAABBBBAABAB AAABAA
$ AAABAAABBAB
AA AAA
$ AAAABAABAAABABAAAAAABA
AAABBABBABA AAAAAAA
ABB ABBABABBBBA
B A
AABBBA BB
ABAABABAA AAAAAABA
ABAAABABABABABBBABAAAAA AAAAAAABAAABBA
$ BAABBAAA
BAABABAAAAABBBBBABAABABBBAAA ABBA
BBBBAABBA BABAAAA
ABABBBAAAB AABA
ABBBBBBABAAABA AAABAABBAAABBBA
BA AB
BABBBAAAAAABBBBBAAAA BBAAAAAABBBBABAAAABA
A AABBBABBBBAABBBABBAAABBAAAABAA
BAABB ABAABBA
AABAAAABABABAAAAABABBB AB
AAAAA ABABBABABAAAAABAABA
AAABBAABABBABA ABBBAABAABAAABA
BBBABAAA BB
AAABAAA BAB
BBBB BABBAB
ABABBBAB ABBBBAABAA
BBAAABBAAAAAABBABBB $
AAAAABBBABAAAAABBAAB AA
BAAABABABAAB AB
AABBAABAB A
ABBABBB ABABAAAAAAAABAAABBABBBABABBBBAAAAA
A ABAAABBAAABBAABABAAAA
BAAABABBA AA
AABAA AABABA
BABBABBBABABAB ABAABABABAAAABAABABA
BBBBAABBAA BABAAAAA
$ AAB
BABBABA BBA
BAAAAABABAAB AAABA
BABBA AAABAABBAAAAAA
AAABA BABBAABABA
ABBBAABAABAAABABBA ABAABABBBBAAAAAAAABBB
AA BABAAABAABBAABBAAABA
BAABBBABABAABBAABABABAAAAAB ABAAAABBABABBABAA
ABBBBBBABABBBAAAABBBAABABABBBB AABBAAABBABABAAABBABAAAAABBABA
BABBABBABAB ABABABBBAA
BAAABBABBAAABABBBBBAAAABBAB ABBAAAAAABBABAAAAAAAA
AAABBBAABBBBAABBAAABA BBBAABBAAB
AABAAAABBBBA B
BBABBAABABBBA BAABBBABBABABABBBBBBBBA
ABBB AAAABAAABA
ABBBAAB BAABABBBAABBABAABBA
ABAAAB BBABABBABAABBABBABBAAABBBABABBB
AAABAABAAAABBAAA BBAABA
AABBAB ABAAABAA
AAABAAAAAB BAABBBBBABB
BABBBAA ABBAABBAAABA
AABBAABBABABABBBABBBBB BBABABAB
ABAAAAAAB AAAAAA
BABAAAAABBBABBBB ABBABAB
AAAAAAABBABABABBBBBAAAAABAABBBB AABBBBA
BABBABBBBAAAA ABBAB
AAAA AABAAAA
A AABAAABBABAAABABABAAAAABABAAABBABBB
BBBBBB AABA
AB BABAABABBABBAAAA
BBAAABAB B
AAABBABBABABAABAAABABAAAABAAABABBAABABAAAAABBABAAA BBABBABAAB
BAB BBAAB
ABBBB ABAABBBBABBBBAABAAA
ABBAB A
BAAABABBABBAB BABBAAB
BBA BAA
ABBBBBA BAA
ABBB ABBBBBBBA
A BAAAAABAAAAAB
ABB ABAABABAAB
AB ABBABAAABABAABBBAABABBAA
BBAABBB ABB
AABBAABAABBBBA ABAABBAAABAAA
ABAABAAB ABAABAABBAAAAAAABBABAAABAABBABABBBABAABBBBAABBAAABBBABABB
ABBABABBBBAAAB BBBABABBBBBABBAA
BAABBBBBBAB ABBA
BBBAABBAAB BAAABAAAABAB
ABBBBAA AABAAB
ABAABAABBAAABAAAABBABBAAAA AA
BBAAB BBABABAABBAAAB
AAABBBBBB BABAAABAABBAABBAA
BBABA A
ABBBBBABABBAA AABBAAA
BABBAABBBABABABBA BAABAB
AAABBA AABAABBBA
AABAABAB AAAAABAABABBABAABB
A BAAA
$ AAAAAAABAAB
AAABAAAABAAAB ABAAB
AAAAAAABBABAABBABABAAAABB ABBAAA
BAAABAABABBAAAAABABABAAAA BAAAAB
ABBBABBBBB AABABBBBB
BAABABAAAA AB
BBBB BBB
BBABABB ABB
$ ABABABBABBABA
AAAAAABAAAAABA BBB
$ ABBBAAAAB
ABAABA ABBBBABABBAABBA
AAABBABAAABAB BBBB
B BABBBAAABA
BABABABBAAAAAABABAABBBBBBABBBAAAAAAABB ABABABBBAAABBB
AAAAABAB AAAAA
AA BABBB
ABBBAAAB AABB
B BAABABABA
ABBABB BAABBBBBBABBB
AA BABA
BAAB $
ABB BBAABABBA
ABBAB ABABBBAABBAAABAABA
$ AAABAAAAAABBABBABAABBBBBBABBB
BA A
BABABBABABABBBA BBBABAAAABA
BABBAB AABBA
$ BBBBBBBBBABBBBAABB
BBAB BABAAAABBBABB
BB AAABAABBBAAAAA
AAABBA AAABBBABAAAAA
AB AAABAABBBABABABA
AABBBAA ABAABB
ABABBBAABBAAABAABABB ABAAAAABABABABAABBAABAABB
AA ABABA
AAA ABBBBAABABAB
BABAAAABB BAABAAAA
AAAAA AAAAABAB
BAABB ABAAA
AAABABAAABAAAB ABAAAAAAAAAABBBBA
B BAAABAABABBAAAAABABAB
AAAABABBBAAABAAB BABBA
BAABBBBABAABBBA ABAAABAAAAABBA
B ABAABB
BBABAAAABBBABBABB AA
ABBBA ABAABAABBAAAAAAABBABAAABAABBABABBBABAABBBBAABBAAABBBABABBAAA
BBABABB ABA
BAB ABBAAABA
AAABBBBBB BABAAABAABBAABBAA
A BBABBBBBAAAABABBAAAAABAABAAABAAAB
AABAABABBBBAAABABAABAAAABABBAABBBBBAAAAAABBBBBAABABABABBBABBABABBABBABABABBAAABBBB $
AAABBABBAAAABBAB ABABAAB
ABAABAABBBAB AB
AAABAB BAAAAABABAABB
ABBBBBBABAAAB AAABAABBAAABBB
B ABAAAAAABA
BAABABABAABB A
B A
AAAB BABBABAABABA
A ABAAAABABABBBBABBBAABABA
A $
BAABA BABAB
AAAB BAAABABBAABABBAABBBBAABBBBAAAAAB
AABAABBAABBABBBBBAAA AAAAAB
BAAAB ABBBBABBBBBBBAAAABAA
AABAABBAABBABBBBB ABBBAABABAABAB
BBBBAABA AABAABBBABAABAABB
ABBABBABAABB B
AABABBBBBBBBAAB ABBBBABAB
AB BBA
$ ABBA
AABBB AABBBBA
BBABBBA A
ABBAAABAAAABABBB BAABABA
ABBABB AABABBBBABAAABBABBBAABBABAA
AAABBAABAABBAABAABBAAAAAAAA AA
AAABBAABBBAABABAABABAAAAAAAAB AAAABABBBBBBBAABBBBAAAAAABBAAABBAAAAA
ABAABAAB AABAAAABABAA
AABAB AABAAAB
BAABBBAABBBAABABBABBABABBABBAAA BBBABBABBBA
AABABBBBBB ABBBABBBBBB
AAABABBBABBAB AABA
ABBAAB ABAAAAABBAAAABBBBBAABBBB
ABABAABBB ABBAAABABB
B $
AABAAAAABAAA ABAAABA
ABABBAAAB A
BBAABA AABABBB
ABBBBAB BBBBBAAABABABBAABBBBBAABBBAAAA
AABAB ABBBAB
ABAAAABABBBABAAAAAABABBABABAAABABA BBAABABB
ABB AABAABB
BAAAAB AAAABABABBBBAAAABAABBAABBAAABA
BA AABBABAAAAAAB
BAABABAAAAABBBBBABAABABBBAAAABAABB BABBB
BABBBBBAA $
AAAAAAAAABBBABAAA BABABABABBAABABAB
AAAAABABAAABAAAABBABBABBA BAABB
AABBAABAABAAAAABBAABABABBAB $
AAAAAAABAABBAAAA ABAAAAAAAAB
A $
$ AAAB
ABAABBBBBAB A
$ ABABBBAAB
BABBABABAAABB BABAAAABBBABBBBBA
BABBABBBBA BBABAABBAAAABABAAAAABAAAAAAABBA
AABABAB A
A ABABABBABBABAA
ABAA ABA
BABABAABAABBABABBBBBABAAB ABBBAAABBBBBBBAAAAAAABAAAABBBABBA
AAAABABBBAAAA BBABAAAAABAB
$ AABABAAAAAAAABBBBABAABBAAB
BA ABBAAABAABAAAAAABBBAABABAABBBABAABBAAABA
AABBBABBA AABABAA
BAABB BAABBBABAAABBAABABAB
BB ABAABBBABAABAAA
AAABAAAAAB BAABBBBBABB
ABBBABABAA BBABB
BAABBBABABAABBAABABABAA ABBABAAABAA
BAABBAAA BBBBBAAAB
BABABBBAB ABAAAAABBBBBBBAABBBABBBBBB
AA AAABBAAABB
AABBAAABABBAAAAAABABBBAAAABAAAABAB B
BBB A
AAA AABABABAAABAB
AA BABBBAA
BBBB BBBABBBBBBAAA
AAABB AABBAAABBBAAAAABBBBBBAABAB
A ABABAAABAAB
ABBBAABABABB BB
AAABBAABABBA ABBBAABAABAAA
BABBBBBBBAABABBBAABABABBAAB ABBAABAABBBABBAABA
BAABAAB AAA
$ BAA
$ AABAA
BABABBBABAAABAAAAAAB BAAA
ABBBAAABABAAAABBAAAAAABAAABABAAAABBAABBAB AABAABABB
B BAABB
BABBAABBAABAA ABAABABBBAABBAABAAABBAA
AAAAAAAABAAABBA AAB
AAABBAB AB
BABBABBABA BBBBBAABBB
AAA AABB
B ABBBBAAAABBABAAABBBBABABBBBA
AABBABBBBABABABBBA ABBABAAABAAAABBA
B ABA
ABB BABB
$ ABABBBAAB
AAB BAA
AAAAABAABABABBBAAABAB BAABABBBAABBABAA
BAABBB AAAAAAAABA
ABABBBA ABAAAAABBBBBBBAABBBABBBBBBBB
AABAAABABABAABA BBBABBB
BBAABA BABAABBBBBBBBAAABB
BAAABAA AABB
BA AABAABBA
B ABABAABABBAABBAA
ABBA AAABBABAAABB
BBAABBBAAB BBB
B BABA
$ AAB
ABBABAAB BBAABA
ABBA ABBBBBBBAABAAABAA
BAB ABBB
ABAAAABB AA
BBAAAAAABABBAB AAAAAAAABBABBB
ABAA AAAABBBBA
$ ABBB
$ AAABBAAB
A BAABBAA
BBABAAAABBBABBAB ABBBBBAAAA
ABBBAABBB ABBBABBBBABBABBBAA
B $
BBAA ABB
BBBBABA BBAAAAABBBAAAABAAB
BBAABBBA ABAAAA
BAB AAAABAABAABAAAABBAAAAAAA
AAAAB BABBAAA
AABBBAABBAABBABBAA ABBBBBAAABBBBABAABBABBA
AA BBABAAAABBBABBA
BA ABABBBABBABABAAABBBBAAABBB
B BAAAABAAB
AAAAABAAAABABBBABBBBABBBBAAAABAA ABABABAAABBBBABBABAA
BAABB AABBBAABBBA
AAAAAAAAABBAA ABAABBBABBBBBB
ABAABBBAAA B
B BB
BBABABABABBABABABAA BAAAABBAAAAABABAABABBB
ABB BABABBBBAAABABAAAAABABA
AAAA BBBBA
$ ABAABAAB
$ AAAABAABAAABABAAAAAABA
BABBABBBAAAB A
ABBBAABABAABA AABAABBAABBABBBB
B ABBABABB
BBBBB BBBABBAAABABAAB
AAABBBAB A
B AAAA
BAAABAA AABB
BBAABAAABA BABABBBABAAABAAAAAA
AABAA AB
AAAABBAABAABAAABAAAA ABAABBABAAABBBBABBBAAABABAAB
ABABABAAABBBBABBAB AAAAABAAAABABBBABBBBABBBBAAAAB
BBA BBAABAAABABABA
ABAAA BAABABAAABAA
BA AB
AABBAABAABBBBABAA ABAABBAAABAAABAA
ABAABBA ABBBABAAABBBBABBABB
A AAAA
AABAAABABAAAAABAABAABBAAAAAAABBABAB BBAABBBAAA
AAAABAA BAABABABBABABABAB
BBABBABAABB AAABBABBABABAABAAABABAAAABAAABABBAABABAAAAABBABAAAB
AAAB A
ABBBBAAAAAAABBABAABAABAABB BBB
BAABBAABABBAAAABB ABBAABABB
ABBBAABAABBAA BBBAAABBB
BB ABAABBBABAABAAA
BABABAA BBAAAABABABB
B $
B AAABABABABABBBBBBBA
BAABB A
BBBAAB BAAABBAAABAAAA
BAAAA AAAB
ABAABABBBAABBAABAAABB BABBAABBAAB
ABBBBBB BABA
BBA BABBBAABAAAB
BAABB AAAAABABAAABAAAABBABBABBA
AAAAAAABAAABA A
ABAAAABABABBBBABBB BAAABAAABBABAAA
AB $
ABAABABBBBB BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAAAB
BABBAABBAAB ABAABABBBAABBAABAAABB
BBABAAAABBBABB A
B AB
$ BBBAB
$ AB
BBAA AABBBBB
BAABAABAABBBABBBB ABAAABAA
ABAAABAABABBBAAABABBABABBAABABBBAAAAAABBABBAABA ABAAABBABA
BABABBBBAAABABAAAAABABAA ABBA
AABBBBB AAABBB
AABABBBBABAAABBABBBAABBAB ABBAABA
ABBABB BAAABABBBBAABBA
ABAA BAAB
AAAAAB BBBAABABABABBBAABABAABBBB
BABAABAAABAABBAA A
BA ABABAABABBAABBAAA
AA BBABAAB
BBBAABBB ABAAA
BBABABABBABBBABABBBABAAA BABBABBBABBABBAAAABABB
A AABBBA
AA ABAABABAAAAABABABAABBBBBAAB
BBB ABBABBABAABBBB
BBABAABBA BBB
BBBBBAABAAAABAB ABBABBABABA
AAAAAB AAAAABABB
BA ABBAB
BABAAAAAABABABBABABAABABABBBBAABBAAA AAABAABAAAAABBBAABABBA
AAABAABB BABBABBBABABABBBAA
B ABAAABAAAAAAAAAAAAABBBBAAAAAABBBABAAAAABBBBAABABAABAABBBBB
BAAABB BAABAAA
ABAAAB BA
ABBBAABBBABBABBBBBABBBBAAAA AA
ABB ABBAAAABAABABBAA
AABABBBABBBABBBBBAAAA BBABABABAAABA
ABBAABBBABBB B
$ ABBABAB
ABBBBBABABAAABAAAABAAABAABBA A
BAAB B
AABAABBAABBABBBB ABBBAABABAABA
AAA BBBAABAAABABAAB
$ ABAABBABA
$ BABABBAAABAB
ABBAABAB B
$ BAB
BBAABA AABABBB
AA ABABAAABBBAABAABBABABBBA
BBAABBABABABABBBBABB ABABBBAABBBABBBB
B AABAA
AABAAAAAABBABBBBABBABAABBBAABAABAAAAAAAAB BAABBAABABBAAAABBBBAAB
ABAABABAA AB
AABBA ABBABBABAABBBBB
AAABBAABAABABAABABAABB AAAB
$ BBBABBBBB
BBBA ABAAB
AAAABAABBBABAABABAABABBBBBAB BB
ABAABAABB AAABAABBABAAAAABBBAABBBBBAAA
ABABBBABBAABABBBBAAAA A
BAA ABBBBBBBABBBABABBBB
ABBBABAB BAAAA
ABBBAAAB ABBBAABAABAAAAAABBAABABAAABABA
BAAAABBBBBAB ABBAAAAAABBABAAAAAAA
BAABABBBBAAABB AAAAAAABAAAABBAA
AAA AAABABABABBAABABABAABBBBBAAAAAAB
BBBABBA AAABABAA
ABAAABBBBBA AAABAAAAAAAABBBBAABBABABAAABAAA
$ AAB
ABB $
ABAABBBBAABAAAABBABABBABAA AAAAABABABBBBBBABBBAA
BA BAAABABAAABBBABAA
AABBAABBBABBAABABAAAAAAA ABBAAB
BB ABBABBABAABBB
BBABBBBBAABBBABABABBBBAAABBBABAAAA A
ABAAB BAB
$ BABBABAA
ABAAABAABABABABBBAAAABBAABBBBBBBBAB $
AAABBAAA AABAB
ABBAABABA AAAAB
A ABBBBBBAABBBAAABBBAAAABAAABBBAABA
A ABAAAB
A BAAABAABABABBABABBBABB
ABBBABBBABB ABBBAA
ABBBBBBAAAAAAAB BA
BA AAABABABBBAAAABBAAAAAB
A AAAAAAABBAABAABAABABABB
ABBAABAB $
AA AABAAB
ABBBAABAABBAAABBB AAAAAA
BAABBBBBAABBBABBBBB BBA
AABA AABAAAABBB
BBBABB BBBBABABA
ABABBAABBBBBBBBBBAAAB BBAAABBAAAAAABBABB
AAABBA AABABBB
AAAAAAABBABABABBBBBAAAAABAABBB A
ABBABBBBA AAABAABABABABBAAB
BABBABBBBAAAAAB ABAABAAAAAAABBBBAABBBABA
$ BABBB
AABBAA BABABA
BBAAAAA BABABABBABBAABAB
ABBBABBBBBB AABABBBBBB
BAAABABBABAAAB ABAABBBBABBBAB
BAAAB ABBBBABBBBBBBAAAABAA
BBB BABA
ABBABABABABBABBAAAAABABA BAABABABAAABAB
ABBBAAAAAABB B
BAABBBABABAABBAABABABAA ABBABAAABAA
BAABA ABABAAB
AAAAABBAABAABBAAAAAAABAAABAB BABAABABBBBABBAABBABB
AABBAABA AAABBAABAB
$ BBABBBBBAABBBABABABBBBAAABBBABAAA
BAAABB BAABAAA
A BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAAA
ABAB ABBAABAB
A BAB
BBAAAAA AABAABBAB
ABBAAABBBAAAAB ABAAABAABAAABBAABBBBBBAABAA
BBAABBBAA AABBBAAB
A BBAA
BBB A
BBAAAAAAB BABAA
AAABBABBBABABB B
AA BAAABBBBABBAABBB
BAAAAAABBAAAAA BBBBAABBAA
AB $
AABBBBBABABABBBAAABABABABBB ABBABABBBAABBAAABA
BBBB BAABBBBABAABBBAA
AAAAABAAAABABBBABBBBABBBBAAA ABABABAAABBBBABB
$ A
ABABBBABAAABABABBABBAAAABAB ABBAAABBABAABB
BAABBAABABBAAAABB ABBAABABB
ABBBBAABAAAAABABAABBBBA AAABBBBBAAAB
BAABBBBBABB AAABAAAAAB
AAAABABBBAAABAAB A
BABBB AABAAAABBABBBAAB
BBAABAABABBBABBABAAB BBBA
ABA BAA
ABBAAABAABAAAAAABBBAABABAABBBABAABBAAA $
AAAA A
ABBBBBABAAABAAAA AABBAABAABAAAAABBAABABABBA
BBAB ABBAAAB
AB ABBABBBABABAAAABBAABAAAAABAAABABBAABAAAAB
AA BAAABABBAABABBAABBBBAABBBBAAAA
AABA AABBB
$ BABBABBAABAB
$ ABBABBBABABAAAABBAABAAAAABAAABABBAABAAA
ABB AAB
B ABA
AABABBAABBBA BAAAAAAABAAAA
AABABABBBBAA BABBABAAB
BBBAAAABAABABAAABAABBBBBBBBABAABAABBA BBBB
AAABAABAABAB ABBAAABAABAAAAAABBBAABABAABBBABAABBAAAB
$ BBBABBAA
ABABBBAAA ABABAA
ABBBAABABA ABAAB
BAAAABBBBABAAABBABBBAABAAABAAAABAABBAAB ABBBBA
BAAA AAAAABBABAAAAAABBABBABBABABAABBAAAAABBABB
ABABABABB ABBBABAABAABAA
AABAABBAABABBABABAABBBBAAABAAB AAA
AAAABBAABAABAAABAAAA ABAABBABAAABBBBABBBAAABABAAB
BBBAAAABABAB AABBABABBBAAAABBBAAAAABAABB
AABABAABAA AABABBABBBAB
BABA AAAABABBABABA
AB BBAABBBBBB
ABAABABB BAABAA
AAAA BB
AABBBA BAABAABABABAABAABBBABBBBABBBB
AAAAABBABBBAB A
$ ABB
$ A
ABB BBABAA
ABBBAABBABABBAAABAABABABABBAB AA
AAABAABBBABABABA AB
BAAB AABBBABBABA
AABBBB BAB
ABBBBBB ABBA
AABABBBAAAABAA ABBAABABABBBBAAA
BBBAABBBABAAB BABABBABBBABA
B $
A BAABABAB
$ BBA
BBBABAAABBB AAB
ABBBBAB BA
BAABAAAB $
BBABAAABBBBAAABAAAAAAB ABABBAABAAA
AABBAB ABBAABA
B ABBBBAA
BBBBBBABBA AAB
BBAAAAAAAAAA $
BBBA AAABBBAAAAA
BBBABBAAABABAA BBBB
ABAAABAAAAAAAAAAAAABBBBAAAAAABBBABAAAAABBBBAABABAABAABBBB $
AABBAABAB A
BABAAABBAAABBBBAABABBABA BABBBA
ABBAABABABBBBAA AABABBBAAAABA
ABAAAAABABBAA ABBBA
ABAB ABBAAABBABA
ABB BAAABABBB
ABBBA AAAAABABABAABBBABAAABBAABABABBAAAA
$ BBBABBAB
BBAAABB AAB
BBAB $
BBAABBAABABBAABAABAA AAAAABBABBBABBBAB
BBAABABBBBAAAABAAB AAAA
BAB $
BABBBBBBBAABBAAABAABBAABBAAB AAABBABBAAAABBABBAABBAB
AABAABAABBBAB $
AABBAB AABBBBBBBBBAAA
AB BBBA
BA BAAABABBBABBAB
BBABA ABBA
BAABBAAB ABABABBBBAABBBABABAB
ABBBBAAAABBAAABBABABBBA AAABBBABAAB
BABBABABAB AA
BAAABABBA AAAAAA
ABA BAAAAABAAABABBAABBABBBBBABA
ABABAABBA AABB
A ABA
AAAB BA
BAABB AAABBBBBABBB
ABAA BAABBB
AAAAAABAABBBBBAAABB AA
BAAABABBBABBABA BAA
AAABAB BABB
ABBAABBBABBBBABAAA BAAAAA
ABBBAB A
ABABBABABAAAAABAAB AAAA
BBBABABBAAB BAAB
BAAABABBAABABBAABBBBAABBBBAAAAA AAA
ABA AABAAB
AABAAAABABABAAABABABB $
AABAA ABBABB
BBABBBBBAAAABABBAAAAABAABAAABAAABAA A
AABBAABBBAABBBAAB AAAB
AAAABBBAABA AAB
AAABBBABAAAAABBBAB BABBABBBBABBB
BA AAAAB
ABAAABBAAAAABAAAABAAABBBAABBAAB AAABBAAABB
BAABABBAA AAABAAABAAAAAABAAABBA
BABBBAA ABAABBBA
BBAAABAAAAABABBB A
AA AABAABBB
ABAABABAABA $
ABBBBABAABAABABABAABBABBB BBAAAABABB
AABBAAABBBAAB ABBABBABABA
BBBBABAAA BAABABBBBB
BABABAABAABBABABBBBBABAABB $
ABAABBABB ABAAABAABAB
BABBBAABAAABABA BAAABABBBBAABB
B BABAABAAABAAABBBBBB
BBBABBBBBBAAA AAAB
ABAABBABAA BBAAAAABBBAAA
BBBBAAAAA AAABAABAAAAABBBAABAB
BAABBBBA BBAA
$ BBB
ABBB BBAA
BABAAAABBBAAAAAB AAAB
AAAAAAA AABBAAAAB
ABAAAAABBBBBBBAABBBABBBBBBB A
B $
BABBAA ABBBBBBAAAAABBABBABB
BABBAB AAABABAAABAAAA
ABAAAABABAAAB AA
AABBAABAB A
ABB $
ABBABABA B
AAAA BABBBAAAB
BAABABAAAAABBBBBABAABABBBAA ABB
ABBAB AABAB
BBBAB BABBABBBABBABBAAAABABBABA
BABABABAAABB ABABABBABBBABABAAB
BAABAB BAA
AAAAAAB ABAABABA
$ AAABAAABBABBB
ABBBAAAB AAAAAA
BAAAABBABAAAABABBABABBBBAABA AAB
$ ABBBBAAAAAAABBABAABAA
BBABAABBABBBA BBBBBBA
AAAB ABAAAABABAAABAB
AA BBABAB
ABBABABAAA ABBBBBBABAAABBAABABABABBBBBAAABBAB
AAAABAA BAABB
BBBABBAABAA BA
BBABAA ABBAABBBABBBBABAA
$ BABAABBA
ABBBBBBAA $
AAAABAAAAABBA BAABABBBB
AAAAABAABABABBBAAABABBB BAABABBBAABBABAABB
BABABBBBAABAAABABBBB BAAAABAAABBBAABABABBB
$ BBBABBAABBBB
BAABA BABABBBAAAABBBAA
BAAABABBAB $
ABBBBAABABABAAB ABBB
BBBABB A
AAABBABAAB AABAABBBABAAB
AAAB A
AA ABBABB
AAABBAAAB ABAAABBAAAAABAAAABAAABBBAABBAA
ABAABABBBAABBAABAAABBAA BABBAABBAABAA
ABB $
ABB BAAAAAAABBBBBBA
ABAABBABA ABBABAAAABAAB
BBAABBBAAA AABAAABABAAAAABAABAABBAAAAAAABBABAB
ABAAAABB AAABBAAABBBA
ABAABB $
$ B
ABA AAABABABAAABAAAABBBAA
B BBA
ABBBBBAABABB AAAAABABA
BBBA ABAABBBABAABAAABA
AABAABAABAABBAABABBAAAABA A
ABBABABBBBAAAB BAABAA
BA AABAAB
ABBBABABAAA AAAABAAAABBBBBBB
BAAAABBBBAABAB ABBBB
BBAABABBAA ABB
AABBBBBB AAB
BBBAABABABABAABAB ABBBAABBAA
AAABBBAABAAAAAB A
A ABBBBAAAABA
AAABBAABBBAABABAABABAAAAAAAAB AAAABABBBBBBBAABBBBAAAAAABBAAABBAAAAA
$ ABBBAABBBABBABBBBBABBBBAA
ABAA BBBAAABBBB
BAA BAABAB
BBBBABABBBAAABAAAAAAAAABB BAABABBAABABABAABBBAAA
ABABAABBBB $
BB AAAA
A ABBABAAABAAAABBBABABBABBABABAAAABABA
$ BBAA
BBAABAA BBA
AABBBBA BAAAABAAAB
AABAABABBBBAAABABAABAAAABABBAABBBBBAAAAAABBBBBAABABABABBBABBABABBABBABABABBAAABB AAAAAAAABBAB
ABAAABAABABBBAAABABBABABBAABABBBAAAAAABBABBAA AAAAAAABABABAAAAABABABBAAB
BABBAABBAABAAAA ABABA
AAAB BAABABBBBBBBBAABA
BAABABAAAA AB
BAB AABBBB
BABABABABBAABABAB BBAAAAAABB
$ B
BBBABBBAAAABB AB
$ ABABBBAAB
AA AABAABABBBBBAABAAABBAB
AABBAAA ABBBAB
BAABABABBB A
ABAB AB
AABBABABB BBB
ABBAAABBAAABA AAAABAAABB
AAAAA BBABAABAAA
A AABB
BA AAABBABAABBABA
AAAABBBBB AABAB
BABABAABBBAABBA BABBABBA
BAABABA BAAA
ABAABABBA BA
BABAAAABBBAAAAABA ABBBBAA
AAABAAABABAABAB AAABAABBAAABBBABA
BABBBBBBBAABBAAABAABBA AABAAABABABBBBABBBBBBAB
BABBB AAABBA
ABABBBABA ABBBBAABAAA
ABABBBBABB BAABBAAA
AAABAAABABAABBABABABBABABBB ABAABABAAAAABABABAABBBBBAABAA
AABBBABABA BBBABBBBBBAAAB
ABAABBBABAABAAAB BBB
ABBBBBBAAB ABABAA
BABB BBABA
AB BAABBBAB
AABAABBAABBABBBBBAAA AB
B BBBABBBBBB
ABBABBB ABABABABBAABAAAABAAA
AABAAAAAAABAAB BBBBBBABBAA
BAAABBBBABBAABBBBBAABAB AABABBBBAB
BABAAABBAAABBBBAABABBA BABB
AB BABABBAAABA
AAABBAABAABBAABAABBAAAAAAA BABABBAABAABBBBAAA
AA BBABAAB
AAABBBAAAABABBBAA ABBBBAABAAABA
BAAAABBBBAABA BABAB
BAA AAABBABAAA
B ABAAAA
BBAABAB $
AABAB BAABBBABBABABABBBBBB
ABAAAAABAABABB ABB
AABBAAAABABA AAB
AAABBAB AABAABBBAB
BBBAAABABABABBABAB AABBBAABBBBB
$ B
AAAAAA BAABBBBBABBBBBAA
ABBBA ABBAAAABBBAAAABABABBBBBAAAAAAB
AA AAA
BABBABBBABABABBB AAAAAABAABABA
AAABBABA B
$ BBABAA
AA ABBBBBABAAAABBBBAB
ABA AABBBAABB
BBBABBABBBAB AAAABBA
BABAB AAAAABBAAAA
BBBABBAAB $
AAABABA BABBAAA
ABBBBBAAAAABABBABAAABBBA BAABBA
ABBBBBBABAAABA $
BA BABB
A $
AABBBBBABBABBABA B
BAABBBABAAB AABBAAABAAAABAAAA
$ BABBBBBAABBBBBBAAABBAABAAAAAAABABBAB
BBBBA B
AAAAAABBA BABAAAABBBBAA
BABAAABABBABBABABBBAB AAABAABABABBABBBBBB
AAABBBBBAAABB ABBBA
AB ABBAABAB
BAABA BA
BBBAAAABBAAABABA BBBBBAABAAAABAB
BABBBAAAB BAABABBAABAAAAAAAABB
ABBABBABBBBBAAB ABAA
BA BABBAABBAABAAAA
BAAABABB AB
BBBAB ABBA
BBAABB AAAAAABAABAABAAAA
BA AAB
AAAABAABAABBAAAAAAABAABBBAABAABB BBBAAAAABBAAAABBBBA
BABABBAABAABBBB AAABBAABAABBAABAABBAAAA
BBABABB AAB
AAAA AAAB
AB AAAAAABAB
ABBBBBABAAAABAA ABBBBBAAAA
AAB ABB
BBBAABABABABBBAABABAABBBBA AAAAABA
$ B
ABB BBA
ABAAAAABBAAAABBBBBAABBBBABA AAABBABAAABB
AABB AABBBBBABA
AAABAAAAABABAB AAAABBABAAAAB
ABABABBBAAABBBA ABBABBBBBAAABABAABB
AAA AABAAABBABAAABABABAAAAABABAAABBABBBAA
AA BAAB
AABBBAABBB AABBAB
BAABBBBABAABBB ABAAABAAAAABB
AAA BAAAAA
$ ABAABBBBAAABABAABABBAA
AAAAAABAAAAABA BBB
BAAABBBBABBAABBBBBA AABBA
BABBAAA BBABA
ABBBAAAABABABBABABABBBBABBBBBBBABBAAAABABAA ABBBAAAB
ABBBBBBA ABBBAABABAAAAAAAAB
BAABABBBAABBBAAABAABBB ABBABAAABAAAABBBABABBABBABABAAAABABAAB
ABBAAABAB $
$ AABAABAABAABBAABABBAAAAB
BBBAAAA AABBAABAABBBBABA
AABAB ABBBAB
ABAABBBABAABAAA BB
ABABABBBBAABAAA BABAAAABBBB
AAABBAAABAAB B
AAAAAABBAAAA BAB
AABAABBB AA
AABBBABB AABABA
BBA BABAAAABBBAB
