38134
W[PZ ak[SZifiCBpHdgP
piBTdfifrprrprprrprrprb fifrprb
eVWoW\VW\VWo AVWp_c
gdTd OR[ZOnd
AVWpW\VW AVWoWoX\cmV[C
]cSSSQ piBXGBW
f RRpOipi
SDD g[PG^
TdXmifbnerpr gFGf
aiTFGB M
W[ cmnABfiRBXD
eWp`W\Vh AVW\VWpWo
gpr g
piBH[PG R_kCBXDFGDBa`G
gPG^DKckkkWWWW c`miBXDDKc
fiBiB $
R`pOipifb R`ZGSlgdWfifb
fiUfr XGfbHYbner_
PQ_DQ XDPZI
fiBiOT Od^jXa
GBA gPUh
XDFGBcS XDc
RoOKBI TdaCYOkRVoOKET
Od^hiX a
g]d^jK g[FGBpiBgPoK
g]hiXDFD]fjKcWkk gDKckk
[D piBaKNVRpOCVRpOk
HFD WdiBpijXGBlH[FD[
OhKEVk k
eVWoWoWpW\VW AVZW
RoOgdfifrm cmifr
DKEEg RoOgDRPfSSffSfffCp
WPo TFDFD[P
XDDKcWW MOjKYc
fiBg[[]hgPZ T[G^PZ
pGPil[eVWopW aG]OgPZI
eSWEp RkBAVWo
eVlWQ A
g[daG] R
BVGG cSVG
aKES akOKFZjGGGO
$ T
fi pfi
OjRPSSf g[GBUPhRP
m $
gda aX
eVWpW eWoWffoW\Vr
TZIf_Q fiBW[[PZI
aipi f
$ TdaCYOkRVoOKE
fifbn fifrprbnebnebncWWW
aipifr pifrprir_
Od^jRPfSSrfS piBaGSVoOgdgFGBgDRPS
OR[ZOn fiBT
H[]j _lXD
H[[]d^hKNTn TFGBTd
fifrIKpSr cmifrprr_prrpr
R`VkfZ Rkfr
` aiH[FDFG
W[dRkBOd^hi miBgFGBj
g kBT
gFGBXD[FGBTdcSV XDcVG
OhKEVk k
[ii fifr_
bWSG^d $
XaBak[ WFD]hKTlk[
pifrprir_p fifbnerp
$ fiBXD]hG]OKE
eVW\VWH WFDFD]jK
OjRPSSfSC g[GBUPhRPSC
pif f[ifbnebHYr_pr
Od^jRPfSSrfSC T]jRPffSSC
TF GX
pifbnWebH HFGfbe
RoOk cmiBpiBHdYWFDD
$ HPFq[
Hdf cMm
XGBW[[]d^d O
pifbner agdfifbnWebHYbner__p
H`GBfifr__prbnW XGfbnWebn
f pf
n aCYO
dfiXr_prrD cSSSmifr__
W[PFD[dR aiOhk
_kfb fifbHYbn
T[dXGfbH pifbJH
aG] WdRX
T[G^P HP
R`pOiXD $
cSSSmieVWpWpW\VIW fiBeVW\VW
piBak`TOCDSV CDdR
R`ZGSlgdWfi fiBRk
gdfifrprbH cSmifbnWOb^
fiBAVWoW iBpiBe
W[dW[[ mXD
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhRW gPU
eZV T[d
_VEVW RoOKT
agP^PUoL HPUhLL
AVW\V IeVWp
Wd m
XG TDX
eVW_ A
[dHDK T]jK
WdpiB fhBS]d
fifb W[dcmiBdWFGBW[Ffb
fiBcmiBXDd XBpBAMepW
HDKcWWWW g]hiXDFD]fjKcWkk
edmpW eVW\VW
ii_DdA A
HS fiBfiBO
gDKc g]hiXDFD]fjKcW
g[FGBpiBgPoK fiBOjK
W[FD \NgT
pifbHYr___ WFUGfrQh
XD RkBXGBHFGB
c\ R[]Ok[SYOCVkBcS
TDX XG
XD[[P WqdWP
XDPZ bg[d`g[HPZ
g[FDFD WdiBpijXGBlH[FD[
piB cmiBpiBHdY
MgFDpGIS gFG
g] Odj
XGBRk cMmi
HdTDKbK c`miBXDDK
gFGBT[FT[[ T
OFGBdK^^d^ gdO
TdaCYOkRVoOKE $
D]jRPfpPSSSf piBpiBa
cmiBAVkoW piBAVW
A XGBeV
XDMD T]j
TPUh PUhWhLLLLLWhWhLLFWh
$ RRlCYOK
aKEVkk aiYXG
T[PZ ngPZ
AVWpW eVW\VQW
Oh $
AVW\VW g[]d^hk[SlkkBeVWpWpWoE
if cSmifrpr
piBpiBH aL
fifr fiUfr
fiBiBR R
fiBXGfbHYrprbn R`ZGSlgdWfifbn
fiBiBR R
HDKHR WFR
cMmi XGBRk
g]hiXDFD]fjKcWkkW HDKcWWWWW
MOjKY OjK
pifr__p f[ifbnebHYr_prr_p
eVW\VWipW AVW
XDGKB HPGB
SDD g[PG^
aHB RRpOGSTOF
cMm Hdf
OhCYO aX
cSmifrpr fifFbHYbnWNe
cmifbHYbnerp f[ifbnebHYr_prr_p
cmifrQp pifbnWer___p
c Sci
WqdW WFD[PG^
gP H]h
hSVGGTGP``O``` cVP`````````
XD] Ydpig]
XfPbH pifbnebnebH
XaBak[ WFD]hKTlk[
piBcVG FG
XDPG^PP p
$ g[PGjc
OhG] Ofhk`
e heVWpWpW\VW\
pifbnWeb XGfbHYbGHcYoHYK
piOBnPZ_[]Q WPFqdfiBgPZIAI
XGfr_prbnWerprpHrb gdfifrprb
piBfiBfifbHY XGfr_prpne
f[ifbnebHYr_prr_pr XGBRkf
NWP_ WFGBfiBXDPZ_
fBiBAV XDFD[dXGBT[dAVWoW\VWoW\VWoW
cSSSmieVWpWpW\VI eVWpW\V
lGZM piBfi
XaBa WFD]hKTl
D XDP
TFDdH[PG^[] cmiBd^d^d^
UH]g W[[[PFq
T]jK XDMDK
W[FGBMV fiBRRYOk
fiT $
cSmifrprr ifr
W[FDd kU
gPZIAIA_Q IPeZJIAlSf
fiWBT_TH WPP
RTaO aGS
XBH]h ai
TDXfbn XGfbn
fiBA pBTFGBAVW\VW\VW\
fifcr XGBg]d^hkkfr_
$ e
c`miBXDD XD[PP
TFGBfiBpifb HGfbBYi
[dgfiE H]hKqicSmi
p T_jDpH
RRD XGBG
GBRkBcmif fif
TDK mUgWoW
XD[FDdH XDPbq[
WPFq[P WPo
cSGm aip
eVWo heVWpWpW\VW\V
TFDFGBgFqdT g
HFGfr_ fiB]pBHFGf]
XD RkBXGBHFGB
XDMDKc T]jKc
$ piBT
Hg[VPUhLW`LLLWhLLLWhLWhhL HFDPU
fUBg[dA e
XDDKc XDMDKck
gPG^DKckkkWW WDKkWkO[
R`V[]OifiBfigBWFDdf gdf
pifbn fiQbnWbWWnW
aG]OC rM
piBT[P g[PU
edmpWoW\V RkBeVW\VWpW\VW\V
XGBGS RR
aKE $
fofr_U pifbHYrprr_
XGBg]d^hkkfr_ fifr^__
piBH[ $
HdRkBAVWoW eWoiW
fiB GB
XGfbner_pr YfiBfif
eV XG_^BfiBAWo
f[ifbnebHYr_prr_pr pifr_pr
eWoWI eVWoW\VW\VW
DfWWr fiBAVWoW
T[G^PZ_ fiBg[[]hgPZ_
AVW AVWX
XD[DGfKbnReg agdfifbnWebHYbner_
XGfrprrprrprr f[jfr_
ThkkBW AVW\VWoWpW\V
gPU TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhRW
TF GX
T]hiQifbHY T[dgdfifrpr
g[dfiBWdT fUBg[
Wd WFGBr
XDdXGBTPqD TD
AVWp eVW\VQ
TT gdT
H[[]d^hKNTng TdWPFqdg
cSSmiBak RGFDdWFDdaClk
TdXmifbne gdH[[PFqFGf
WqdW HFD
TFGBH[ OR[ZOn
XDPG^PPK XGNT[fD[]
XDdgPZ gnTG^PZ
f pf
pifb XGfbHYbGHcYoHYK
RLYOk aKEVk
cVGGG \
g]hgFGBAVWoW\VW\VWpW YVW
$ M
fiBOd^hGSYO aX
AVWp_c eVWoW\VW\VWo
XCfr XGfr__
XDFGBIg TFDFD
aWX RkBcSmiBT
pfiB fiB
ai UH]
RDRIOKN ak`TOKNpOKEEC
fiBAGC fi
XGfr__ f[ifbnebHYr_prr_prr
eSWE piBAVW
$ T
T[G^ H
HPGI T[PGB
AVW\VWoW IeVWpWoW
pifbHY piBTdfifrprrprprrpr
GoOg Tdg
H [
piBAVW cmiBAVkoW
T]jKc XDMDKc
T[ C
HPFq[]h jP
XG qpnQi
f $
gP H[PC
H [
cmnABfiRBXDD W[D
fi gXG
HPGI HPGB
fifrprr___X TFGBpifr__prbnWebnWerprr_
cSm RkPp
a Od^hiX
AVW\VW\VWoWoW eVWboWo_\VW
AVW\VWoWn eVWoWpWpW
$ H
eVW\VWH WFDFD]jK
mVW\V AVWp
RR R`DbMS
TFGBOhkfbnebn pifrprbn
H]hKqicSm jD
A WFGBc]iBUe
TdXmifbnerp gdH[[PFqFGfrp
fiBiOTa piBHDXaaa
g]d^jK g[FGBpiBgPoK
HFLGfrprbYner__p fifrprrp
nRTOiUiBk WdgPG^FGBc
fiBRRYOk W[FGBMV
rifrrbnWHeb WFGfrprrprbH
bWSG^dT WFD
XDcVG RkBXGBHFGBcVG
PUhWhLLLLLWhWhLLFW TPUhLWhLWhW
eSWE eVW
HdaC R`aOLq
fiBiBR R
pifbnW fiQbnWbWWnWW
piBWFDFG X
XD[PP c`miBXDD
h aG]O
fiBiOT TdW[dfiBOd^jKHX
T[[FGBfifbH cmUKHYbnWerprr\prlbH
pifr_ f[ifbnebHYr_prr_
eWp`W\Vh AVW\VWpWo
WFD]hKTlk XaBak
AVWp_cW AVWpW\VW
TDK mUgWoW
g]hKE ZY
MgFDpGIS gFG
cSSmiBifr cmifrprr_prrprr
] $
eWoWffoW\Vrp eVW\VWpW\V
GBRkBcm p
$ HdT]
R_kCBXDFGDBa`G piBH[PG
cSSmiBa IOh
XGf TDXf
gFGBA MVWj\e
fi pif
cmnABfiRBXDDK W[DK
cSSEifr_prbHYr_V g[FDFGfr
$ _R`
mn T]hK
XGBaiXDFD]hg[D SPf
WFD[dR XoOkJ
$ g
g]hiXDFD]fjKcWkk gDKckk
HFLDrTP TP
fiBXGfb H`GBfifr__prb
cSSEifr_prbHYr_Vp g[FDFGfrp
XDMDKck fifbHYbn
TT g
X[ ag
Tdf [BBm
XGBXGBW[DKcWeg OjKckkkkWkkWkWWkW
AVnW XGBAV
WdH]hig aWX
X cSSmi
XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
WPUhLLWhLLLL fiBgPUhWhLLWhLWhBWhWhWULW
fiBiBR R
g[FDFDF aiYX
cmifr__prbnWWerprbner__prbnW XGfr_prpn
WFGBfiBXDP gnTG^P
g[] fiB\O
piBIl[ TD
gDKckkWW XDPKck
piBHd pB
TdmAgW AVWpW
cmiBOhCZOgdR`ZO H
W[dcmiBdWFGBW[F fi
W[dW[[ mXD
$ f
WPo agP
nRTOiUiBkS cS
R fiBiBR
W[dW[[ mXD
YfiBfi TFDdpi
cmiBd^d^d^ TFDdH[PG^[]
XD $
JcSO cS
TD [dHD
IeVWpWoW AVW\VWoW
fifr^__p pifr_p
fifrprbnebnebncWWWe pifbHY
XDMD T]j
g]hiXDFD]fjKcWkkW gDKckkW
cSmi fiBAGC
fiBg[[]hg T[G^
DR`[ Od^hk`YOG
eVW\VQW eVWoWoWpWpWpW
TFDFDDR XDFGBIgDR
RRlCTOkkfr_prr HFLGfrprbYner_
pJBpD piBT]h
TFD[dfi if
cmUKHYbnWerprr\prl pifbHYrpr
eZV T[d
gie[BPG TPG
XaBa WFD]hKTl
fiBA pfiBA
fifb W[dcmiBdWFGBW[Ffb
eWoWffoW\Vr eVWoWpW
DjS WdgPG^FGBcSV
mXDP W[dW[[P
pif f[ifbnebHYr_pr
heVWpWpW\VW\V eV
cV cSLVaG
R`V[]OifiBfigBWFD g
H[DXaaa TD[haa
gDKHK XGNT[fD[]
fhBS]d XGBH[dXGB
XG f[j
RLYOkk gdXG
XWDB[ g[
AVWp eWoWIo
ak[SZifiCBpHdgP_ WFGBfiBXDPZ_
piBc c\SS
R[SpOC cmiBe
cSSmiBif cmifrprr_prrpr
cSmiBOhg]j Ydpig]j
HFjf cSmif
eVWpWoW eSWEpW
RRpO R`DbMSpO
a aKM
A MVWj\e
XGBg]d^hkkfr fifr^_
XGBXGBW[DKcWeg OjKckWWkk
XDO[ RRYOg[
gLS XDPFq
A mA
KDV XGBak[
aiak[]OFID VNo
RRlCTOkkfr_prr_prr mQrMrrQ__prrpCr
eVWoWoWpWpWp eVW\VQ
RoOgdfifrm_ TFGBXGfr
HFGBWFD j
T[FDFG gdic
XG ai
HPZ_Q C
TFDFDDR XDFD
$ RRlCYOK
WQ] HdT]hC
HPGB HPGI
fifrIKpSrr_p RRVRVoOkkfrprr_p
Ea piBH[]h
f[ifbnebHYr_prr pifr_
OjRPSSf g[GBUPhRP
foc cSmi
HPGI TPGB
XGfbnW XDMDKck
cSLVaG cV
XD[ lg
WqdWPZ HPZ_QA
H]h W[dRkBOd^hiWP
fiBW[[PZI IPeZJIAlSf
VGGGG cVG
mXDPP W]d^j
H]hkkfr_pr R`ZDOKqicSmiBpif
A oO^lKZEXkoOCpOKNVRYOie
Tdg] pBO
D W]hg[[FD]
AVWoW\V g[]d^hk[SlkkBeVWpWpWoEp
XD[FD[FDdcSmiBWP gprP
fif W[dcmiBdWFGBW[Ff
$ p
Ohg $
OHRTq T]d^j
Ofhk` RRD]
H]jKH W]
XfP fifbne
fiB fiBHiBTHLdgQB
Ohg[[[FGBHPG MO
fiBRoOigPG ccSVP
XDIFV g[]
eVA\WpWF AVWo
RRVRVoOkkfrpr cSSmiBif
HPGB XDGKB
H`GBfifr__prb fiBXGfb
XGf iBgGfrJp
RkBH]hKTVRT R`YR
W[]ifiBeVW AVW\VWoW
akOKFZjGGGO aKES
fiTH R[]OiT]hCYOg
WFDFGB fiBHiBTHLdgQB
fiBOjKb g[GBUPh
ak`TOKNpOKEE cmiBd^d^d^h
AVW\VWpWoW\VW iBpiBe
IeVWpWo AVW\VWo
iBpiBpiBXD[ g
HDR V[
TPPQKb Od^j
Tdc SciS
gFGBOjKbKHK WdgWPGj
piBIl[ TD
] fiBfiBO
Hdf cMm
TFGBpifr__prbnWebnWerpr GBRkBcmif
W fiBHFD[FDCD
pfiBAV fiBAV
` RoOK
W a
eVWpW pBTFGBAVW\VW\VW\VW
XDFD[dXGBT[dAVWoW\VWoW heVWpWpW\VW
RGFDdWFDdaClk WdR
fiBg[FGBH TdT[PFFqP^
r $
pifrprir_ aipifr
pifr_prr WFGfWr
o HFDdcSmiBRkBc
cmnABfiRBXDDK W[DK
WPo TFGBHP
R`ZGSlgdWfifbn R`pOipifbn
aG] [D
H[[FGfr_ eVW\VW\^VWpWoe
R[SpOk`V`DSYO R[SKOc
aGSpOKE l
W] FJ]^Gd^Q
XGqf pifrprbHY
fifrprbne fiB]pBHFGf]pr
XDMDK T]jK
cSSS TYac
W[FGBMVR fiBRRYOkR
ak[SZifiCBpHdgP_Q aG]OgPZI
eWp`W\VhW AVW\VWpWoW
Od^d^jKck XDKlgc
piBH[[]d^d^d bTOdY
Oh_C R`
W gFSD
Vr]W\ RoOK
Wdgdfi gi
RRoBODkeOk[] Od^hk`Y
XGfr_prbnWerprpHrb XGfrprb
AVW\V AVnWW\V
fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLW PUhWhLLLLLWhWhLLFW
aG]O WdRXO
XG fiB
fifrprbnebnebncWWWe T[FGf
pfiBAVWoW AVW
TFGBaG lcmiBR`YOG
g[PZ XWDB[PZ
Od^CKNV`VZOiXBOd^ O
fiB]pBHFGf]p HFGfr_p
fifbn fifrprbnebnebncWWW
AVW\VWo IeVWpWo
fofr_U cmifrprr
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhRW HPUhW
MVWj\e A
$ \Ng
G]Ok fiBRRYOk
cmnABfiRBXDD W[D
TgV T]hC
mVW eVWoW\VW\VWoW
Sci c
piBfiBfif XGfr_prbnWerprpHr
W RkBak`
eVW\VWoW edmpWoW
k OhKEVk
HdXGfrp fiB]pBHFGf]p
eVW eSWE
fiQbnWbWWnWWe pifbnWe
aL g
AVWpWpW eVWboWo_
R`DbMS RR
[FDKHC piBTD
Sci c
TD XDdXGBTPqD
SDD gPFq
fiB]pBHFGf] H]hkkfr_
$ TPG
aKEX H
XZDbb XDd
TdXmifbne WFGfrpr
R_kCBXDFGDBa`G HFDPFq[[dT[PG
Ohg[[[FGBHPG ]
H fiTH
W]d^jKHK TFDDKH
eVWoWpWo AVnW
H[[]d^hKNTn TdWPFqd
W[ cmnABfiRBXD
ai XG
XGf ff
HFLDrT W
fifbnWebnWW TDXfbn
cSSmiBifr cmifrprr_prrprr
$ \Ng
pfi fi
g]hKE ZY
TFGBOhkfbneb pifrprb
gFG MgFDpGIS
fiBWD H]hP
WFGfrprrprbH TdXmifbnerprbH
g Od
cmiBa aX
gD Wf
TPFq\FGBc cS
fifr mQrMrrQ__prrpCr_
fiBpifbnebHYrp fifrIKpSrr_p
mVWWoq gdeVW\VW\VW
TBrifr fiBg[[]hgPZ_QA
RLYOk ak
WPUhL PUhWhLLLLLWhWhLLFWh
cmifr RoOgdfifrm
A MVWj\e
fBroK XDFGBcSVG
AVW\VWoWp eVlWQVWo
TF YdW[q
^VHP`` RoOK
RR ]R
mQrMrrQ__prrpCr fifrprrprr
HPGK[ gFGBOjKbKH
WdgPG^FGBcS JcSO
cmiBpiBHdY piB
WPZI T
heVWpWpW\VW\VW eVW
piB m
A WFGBc]iBUe
AVW\VW g[]d^hk[SlkkBeVWpWpWoE
fifcrp fifrp
cm RkPp
HPZ_Q X
piB iBTiBf
XDGKB HPGB
OhCYO aX
cSSmiBif cmifrprr_prrpr
XD[FD[FDdcSmiBWP gprP
a Ro
cSmi fiBAGC
gdfifrprbH cSmifbnWOb^
HdOj Z[PGM^D
XG $
WPVHXa TdW[dfiBOd^jKHXaaaa
fiBgPUhLLWhWhLLLLWhWhWhLLLLLLL PUhWhLLLLLWhWhLLF
g[FGBpiBgPo fiBOj
eVWpW cSSSmieVWpWpW\VIW
gFGBTPUhL agP^PUo
RR gXGB
ffH pifbnWeb
XGq XG
TFD[df jD
XD BfW[FD^
TdXmifbnerp WFGfrprrp
aH XGBT]d^h
Hdfi cMmi
FJ]^Gd^Qj HPFq]j
edmpWo eVW\VWo
YHR H
BVG cSV
d Oh
aCpOCpO XGBoR`l
heVWpWpW\VW XDFD[dXGBT[dAVWoW\VWoW
XGBOd^ fiB\O
R[ fiBiBR[
RkBXGBHFGB XD
WPG^gFDFBHPUhhLL` TPUhL
OjKcWWWkWWkkWWeW $
heVWpWpW\VW\ XDFD[dXGBT[dAVWoW\VWoW\
TD [dHD
XD[PPKc gB]jKcWkkkkWkX
TFGBA Kp
$ R`VRlKN
XD[ lg
aG]OgPZI aci]PZ^I
MgFDpGISB gFGB
HPGI HPGB
XGfrpr TFGBOhkfbnebne
cV cSLVaG
T]jRPffSS Od^jRPfSSrfS
bpi OhK
RRp Ofhk`
fiBAVWo pfiBAV
gdaF aXF
fiBRoO H
WDKkWkO[W TDKbKck
eWoWffoW\VrpWpW AVWoW
TdWdAVWf\JV XGBfiBAVWoWoWo
GoOg W
eWp`W\VhW AVW\VWpWoW
$ fiBH
T[dT bWSG^
XGB R`V[]OifiBfigBWFDd
H[ RRTOKNpOFI
gFGfr f[jfr_
eWoWffoW\VrpWp AVWoW\V
XGB R`V[]OifiBfigBWFDd
HFDPFq[[dT[P R_kCBXDFGDBa`
gdTdgFGBgFG [BBmi
HPPFqdO gFDdXD]
XDD [kNKb
cSSVP``````````````` hSVGGTGP``O`
piBTPFq $
mXDP W[dW[[P
XE W
PUhWhLLLLLWhWhLLFWh aiXD[PUhLLLLLWhL
T HFDPG
cS $
XD piBR[ISZOi[
GBTd fiBTd
n aG]O
RkBXGBHFGBc XDc
pifrprir_prr cmifr_
AVWpWo eVlWQVWo
WdiBpijXGBlH[FD[ WFDFGBg
XDdRo a
bTOdY^ g]
XDd XZDbb
aiH[FDFG `
W] OdBSP
XGB O
gdH[[PFqFGfr TdXmifbner
XDPFq gLS
HPFqe]hG]OG]P Oh
$ m
mXD W[dW[[
Od^jK TPPQKbK
eVWoWoW\VW\VW\VWo pfiBAVWo
cmiBpiBTd gdOdU^h
RoO gdcm
XDKlg OjK
Yag ag
HPPFqdO fiBH]
g iBpiBpiBXD[
cmiBpiBTd gdOdU^h
cfV RkBXGBHFGBcVG
] W]
H[]d^jXaaaaaaaaaa fiBiOTaa
HdRkBAVWoW eWoiW
piBpiBXD] gLS]
_R`a OhKTZO
eVWoWpW eWoWffoW\Vr
cmiBe R`
cmifrQpr WdXGfrprbHY
TFDdg aClOhpOg
gLS]j piBfiBHPP
$ H
aDGSYOkR R`
AVW\VW IeVWpW
R`TOClg XoOkJ
W gFSD
pi fiBAGC
XGfr_prr_prrrbHYr_prbner XGfr_p
pifbHY fifFbHYbnWNerpr
A heVWpWpW\VW\
XDPGBEFq[]h rE
rEhgd ai
fifrprbH XfPbH
R`YO aKM
HdcVP` TccSVP``
eii pi
WDKkWkO[ gPG^DKckkkWW
XGBR`TOg] VGGaGPl`
R`DbMSpO RRpO
pifbHY piBTdfifrprrprprrpr
Oh dL
edmpWo RkBeVW\VWpW\V
WFDFG fiBHiBTHLdgQ
[D piBT]hKNYOCYOCV
eVW\VWip eVWpWoW\V
aGS OR`
HFLDr $
fiBA pfiBA
gFGBA MVWj\e
XD[PPK qDe
gDKckk g]hiXDFD]fjKcWkk
a Ro
aCYOgPZ bg[d`g[HPZ
HPGB HPGI
XDO[ piBg[
g[GBUPhRP fiBOjKbRP
aDGSYOkR R`
_kfb XDDKc
WFGfWr fifr_
TPUhLWhLWh PUhWhLLLLLWhWhLLF
gPZIAIA TZIf
XG `
RkBXGBHFGB XD
RR R`DbMS
g[[PG R[]Ok
fiBiBR R
TNFGfbnebN fifr__prbH
A gdT[
XGBRl[ OhG
[km pi
p ei
cSSSS $
XG HPZ
aGSV[SZOgFGfr [kmfr
TZIf_Q fiBW[[PZI
RRpOip cSGm
g[GBUPhRPS fiBOjKbRPS
BiBfiBcVo cVGGGG
k ai
piB m
gFDDX WPVHXaa
$ M
A heVWpWpW\VW\
Ai] fifbnebHY
VGGG cV
RLYO aKEV
A WFGBc]iBUe
heVWpWpW\VW\V AV
R_kCBXDFGDBa` TP
WdiBpijXGBlH[FD[F WFDFGBgF
g[FDFGfrp XD[DGfKbnReg_p
MO W[]
AV TdWdAVWf\JV
pifb HGfbBYi
p[W gFG
gP` HFDPUhWh
XD]hk mkm
OhG] Ofhk`
W Z[PGM^
AVWoWpW\V fDBq
XGfrprrp` pifr_p
Od^hk`YO DPhDMOV
XGBoR`lF WFGBaCpOF
piBfiBfifbH XGfr_prbnWerprpHrbH
fiBOjKbRPS g[GBUPhRPS
AVW HFGfblYHYrrpr
TD piBIl[
cmfrDN $
XGfbn fibn
R[SKOc T]h
GBRkBcmifr_ pifbnerprr__
gFD TT
g[]d fiB\Od
gprPUh gPUh
eWoWffoW\Vrp AV
c gdTd
a W
XD]j gLS]j
RkBpifm_p^ XDdfiBpifrprbHYbHY
pifbn W[[FDiFdffr__prLn
g[FGBpiBgPoK fiBOjK
p GBRkBcm
OKqlB cmiBpiBaF
fiB]pBHFGf] HdXGfr
TFDFQfbEnY pifrpr
Sci c
H[FK`cbf gDKckkkk
fiBT WXDp
g[dcS o
WdAVW ebWE
XGf fi
R[]Ok[SYOCVkBcS c\
AVWo W[]ifiBeVWp
aig]d^hK R[[
k OhKEVk
ESRRo`` cSVGP`````
H [
WHZpVp HPFqdRkBp
cmifrQp pifbnWer___p
g XWDB
fifrprbnebnebncWWWe fifbne
cmifr fiBAGCfr
cmifbHYbHYr pifrprir_prr
R_kCBXDFGDBa` piBH[P
pifr_pr WFGfW
T]jK XDMDK
fiBgfiM HdXGfrpr
eVWoWoW eSWE
XDP gprP
A heVWpWpW\VW\
g]hiXDFD]fjKcW gDKc
GBRkBcm p
D TP
cSVP`````` fheBT]N
f[ifbnebHYr_prr_pr Hdfif
p T_jDpH
aWX WdH]hig
Od^hk`Y RRoBODkeOk[]
pBTFGBAVW\VW\VW\VW fiBAVW
T] Ydpig]
W[dcmiBdWFGBW[Ff fif
JOoFe g]jR
r $
pifr_p f[ifbnebHYr_prr_p
Y $
bWSG^ T[dT
eV IeVWpWoWp
X pi
GoO Td
f[jfr_p fifbnerp
cSmi VFBRk
XaBa WFD]hKTl
hSVGGTGP``O``` fiBpiBcVP````
aG]O h
aG]OgPZ bg[d`g[HPZ
aG] aG
piBaXATifbm pifbnWeb
TT T
AVW\VW\VWoWoWoW AVnWW
fifr fofr_U
f[j XG
cmiBAVko AVWoWp
Od^hi aiY
TZIf_ gPZIAIA_
g[]d^hk[SlkkBeVWpWpWoEp eVWoW\VW\V
RkP gd
RoOK `
AVWp AVWp_c
Odd piBHd
Ydpig]jR T]jR
T[G^P fiBg[[]hgP
WPo HPGBE
HFLDrTP WP
pifbnWeb XGfbHYbGHcYoHYK
heVWpWpW\VW XDFD[dXGBT[dAVWoW\VWoW
cSSVGGP VGGGGP`
aK gdaF
R` aDGSYOkR
RRpO WdRXO
T[P bg[d`g[HP
H[PC gP
HdXGfr fiB]pBHFGf]
cmDfbne pifrpr
fifrIKpS RRVRVoOkkfrp
aK cmiBaF
XDFD[dXGBT[dAVWoW\VWo heVWpWpW\V
piBaGSVoOgdgFGBgDRP Od^jRPfSSrf
WRQOTKT gD
fiBW RkcH`
WFUGfrQh_p XDFGBpifr__prr_p
XGfbnerprr___p cSSEifr_prbHYr_Vprrp
pifrprbHY XGqf
eVWoWpW eWoWffoW\Vr
iBpiBe AVW
c\ R[]Ok[SYOCVkBcS
XD NT
XB Td
fifbH W[dcmiBdWFGBW[FfbH
aClOhpO a
R`V[]OifiBfigBWFDd gd
R_kCBXDFGDBa` g[P
HPUhW gprPU
eVW heVWpWpW\VW\VW
OhKEVk k
$ W
RGFDdWFDdaCl WdOhCpO
RTaO aGS
TNFGfbnebN fifbHYbH
AVWpW\ m
fiBRRYO G]O
AV eVWoW\VWoo
cSLVaG cV
R[]OC fiR`fiR`IlKEVC
g]hKE $
HFBpiBRlB H[DKHK
f[jfr XGfr
T]jKck XDMDKck
cmDfbne pifrpr
Od^jKb e
fbfb fifbnWebnWWeb
aiH[FDFG `
fi f
cSSEifr_prbHYr_V agdfifbnWebHYbner__
cmDfbne pifrpr
cSSmiBocSSVG fiBpiBcV
fiB RoVQk
pBTFGBAVW\VW\VW\ fiBA
piBaK ibfb
cSVG TPFq\FGBcV
WdT XWDB[
TFDFGBgFqdT g
RoOgdfifrm__ Rkfr___
RoOK oE
f[ifbnebHYr_prr_ pifr__
OjK mUgWoW
$ HFDPFq[[dT[PGjc
piBOhk`p lcmiBR`YOG]
YdW[q TPFqF
gFSDP gFDPGBE
n aG]O
AV heVWpWpW\VW\V
cdh HdcSS
NWP W[PZ
W HFLDrT
f[ifbnebHYr_prr_prrpr XGfr_pr
TFG YdW[qG
XGf f[jf
eVW\V edmp
X cV
pi ^iq
fi XGf
ngPZ XDPZ
$ \Ng
TPFq\FGBc cS
$ Oh
XDGK HPG
IeVWpW AVW\VW
TPUhLW Hg[VPUhLW`LLLWhLLLWhLWhhLhW
XDDKc WDKkWkO[W
HdRkBAVWoW cSSSmieVWpWpW\VIWpW
Ohk[ R`lClT
gdc [BB
mQrMrrQ__prrpCr_ fifr
R` Oh_C
gDKc g]hiXDFD]fjKcW
cSSmiBa RGFDdWFDdaCl
cmifrprr fofr_U
TPaWWj]G W]
fiBWP PU
Td GoO
cmiBOc RRD]OG]
piBTdfifrprrprprrprrprbH fifbnebH
TFDdTdXGBXGBHPG^PUh gHPUhLLWLLLmhWh^LWhWhWhLL
a RG
XDKlg OjK
l $
R`V eZVW
AVWpW eVW\VQW
WdH[FD]jX fiBiOTaa
fifr_prr_ pif
fiBRRYOk W[FGBMV
c`miBXDDKc gPG^DKckkkWWWW
fiBiB $
[km pi
TdcmiBHFDDKb $
R_kCBXDFGDBa`Gj piBH[PGj
HDKcWWWWWW g]hiXDFD]fjKcWkkWW
fiBOjKbR g[GBUPhR
piBH[ $
XGBAVW\VW YVW
WUD TD
