17566
bbaaabbbb baaaaabaab
aaaaaa abbbba
ababa aab
babbabba baaaaaa
baaaabb aaabaab
babbb bb
aaaaab baabbbabba
baa babab
a bba
baabaa baaaab
abbabb baaabba
bbbb abab
baa babaa
bbaaba baab
aabb abaaa
bbaaa abbb
bb a
ababbaaab abbbaabbb
abbab aaaab
aabbabba baab
baaab bbabbabb
baa babbbb
b a
bbbaaa babbab
bbbaaaa aaaabab
bababbbba baa
aabab baaaaaaa
bbabba aababbb
baabaa aabba
aabbabbbb bbbbaabaa
abbbb baaabbaa
bbbababa abbaaaa
aaaab ababab
aaa bba
baaa aaabb
bab abaa
bbaaba bbbbab
bbbbb babb
abbabb bbabab
abababa babbaa
baab baaaab
bbba bbbb
bbbbaa abb
babb aaaa
abbba aabba
b aba
bbbbabb aaabaab
bbababba aabbbbbb
bbab babb
baa baab
aaababaaa bbaaabbba
aababaa abaabaaab
bb bbbaaa
bbaaaba aaaabb
baaaaaa bab
abaa abab
aabbb bbabb
abb aaaa
baaa abba
aaba baab
bbabba bbabab
abaabbaabbb bababbaa
babbabb abbabba
baa aaab
bbbaaab aaabb
bab babbb
baaaabba bb
bbbbb bbabaab
bbbbabb bababbb
ababaaa baab
bbabbaaa abaaaabb
aabbb bbabbb
a baa
bbbb baa
bbaaaab abaaaaaa
baaababbaaa bbaaaaaaa
abbbaab aababa
bba aabab
b aaa
baabaababbb bbabbbbab
bb a
aaa bba
abaab abbbab
aababbabb babbaabb
abaa bbbbaaa
b aaab
bbabb ab
baa bbbbb
baaaab abbbaa
babbaba aaaaaab
abaa bbb
babab bab
abbaaa bababbaa
aaabba bbbaba
baba aaaaa
abbbaaaa abbbbb
baba abaa
aaab bab
a babb
baaabba abbbaab
aaabbb babb
bbbbb abaaa
ababa baa
bbbb babba
bbbabaab aabaabaa
abba bbbbb
baabaaab bbbababb
bba bab
bb ba
baaaab baaaaba
aaa aaaa
aabba ababa
abbbaa aabbb
abbabaabbbba abaabbbaaaab
bbab aaaaba
ba abb
babbabb aaaaba
abbbaa abaab
bbbbaba abbbaba
bab ab
abbbbb bbabbba
abbbaa bbbbbaab
abbbaa baba
bbb baaa
abaaa bbabba
bbaa abbb
bbb b
aa ababa
aab ababab
abb babaa
babbaaabbaa aaaabbabaa
bbaabb bbaaa
baaaabbab ababbaaaa
babaaaa ba
abaaab aaabab
bbbbba aaaaba
bbbab aaab
bbaaab bbaaba
babababababa bbbababbbbaba
aaab aaaa
bbaabbaa bbababaa
aaaa abba
bbaa bab
aabbabbaa babbaabb
aa ab
ababab aabbbb
aabbabbaa ababbbbaa
bbb aabba
babbaaba bbbaabb
abbaaaa abbaba
abaaa b
bbba bbbab
aababb ab
ba bbaa
aabab bbaab
abaaa babba
b bbabbbaa
aa a
bb ababbaa
aaa aaaba
aab baba
ba abb
abbbabaaba ababaabb
abbbba bbaa
ab aa
baaabb abba
abaaabb aaabab
ba bba
babba bbaa
bbabaabb a
bbaa ababa
baaaabbb babaabba
aabbabaabab abbaaaabaa
baaabbaaab aaaababaa
abbaba abaab
baabaa bbbaba
bab baa
abaaa a
babab abaaa
bbaabbaaa babab
bbaaab babbbbab
bbabaa baaaa
ababbbba aabaab
aaaabbab baaabbaa
baabbbbb abbaabab
bbbbaaa aaaaa
abaaaaa aaaabbaab
bbb aabaa
bba abb
bbabbab bbbaaa
abbbaaa aab
abba babab
ababa abab
abbaabb baaaba
bbabbbb abaaaaa
bbbbaba abba
abaaa bbba
abbaa bbaab
bbbbb bab
abaabaaa bbaabbba
bbaaababaa bbaaab
baaaaa bbbaab
babbaab aabbbba
aaaab aabaabab
baaaba abbaabba
abbba baaab
bbaaab bababb
abba babba
b abbba
abbabbb bbaab
bbaaabababbb bbabbabbbbbba
bb abbbb
bbaaaa baabba
bbbbabaa bbbbabba
bba baa
aaaaa bba
aabbbb babbba
bbabbba bbabbaa
bbaabb babba
aaaaaaa abababa
bba aaab
baa ba
bbba aaa
baab bb
abaa abba
baabab aaaba
ababaaa babbaa
abba aaaa
aabaab aababbb
abaaabaabbbabaa aababaaabbbbaba
bbaab bbbbbba
baaaab babb
bbababba ababbbab
aab abaab
babbb bbbbaa
bbbb aabaaab
bbabbaab aabbababa
bbaaaab babbbba
aabaaaba baababa
baababaabb aabbababa
baaabab bbaabbba
abaa aab
ababababba abbbababbb
abaabaab bbababbba
bba baaab
abaa baaabab
abbb abbbb
bbaaa aaba
bbbbaab bababbb
ababba babba
abaabbbb babbbbba
bab b
abbaaabb abbbaab
babbb abbbba
ba a
abbabab aabbabbaa
bbaabbb abaabb
a bbaba
bbaabbbab bababbaab
bbaba b
aaabb a
baba aabbbabaa
babaaa ababaa
bababba aaabab
aaaabb baaaa
abbaba babba
baabbaa aaabbab
aabaabba aaaabbba
babbaa baabbb
aaba b
babaaa abaaaa
baaaabaaa abaaabaab
bababaabb bbabaaa
baaa a
aabb bbaaab
bbbbb aabba
bab aaaab
baaaa bbab
aababba baabab
abbabba baababbba
ba aaaa
bbabaa aaabba
baaabb bbaab
a babaaa
ababba bbaaba
aaab abaa
bab bbb
abababa bbaab
aaba baaa
bb bba
abbba bbb
ababaaa aaabaab
aaaa a
aabbb baabba
abababbbb abaaaabab
aababbbab abaaaabb
bb b
aabb aab
bbabbab baabbba
bababaaa aabbabb
abbaaba bbaaa
bbab abba
a bbaa
abbbb bbaba
aaababba bbbbaaab
babba bbaba
aaa abbab
bbb bba
baabab abaaaaaaba
abaa aabb
abaaab bbbabab
baaaab aaabaaaaa
bbab aaa
aab bbaa
babaaaba aabaabba
baaba babaa
aaabbb bbaab
b aaa
bbabaaabbbb bbbbaaba
a b
abaabbab babbbbba
bbaababa aabb
abbbbaab baaaabaa
ab ba
baaabba bbbba
abb ba
abb b
abab aaba
aabbab baabaa
abbaaa ababa
abbab bbbaa
aab aabbb
bab abaaab
bab aaabab
babaabbb bbbbabab
ababbab abb
baaabbbb ababbbab
aaa aab
aabaa baabaaa
baaaaba bababab
bbbba ababb
ab bbbbaa
baabba abaaa
ab bbbbbabb
bbbb baba
aaababa ababba
bba aa
bbaaaabaa bbaaaaa
b aabab
b aabba
baabbb abaabb
abbba abbbb
bbaab bbbbb
bbbb baab
bbabab abbabb
abb baaabbb
aabbb ba
aaaabababab abaaaaabbabaa
abaabb aabaaab
baa abb
baabb aaa
aabaaaba baaaabbb
baaababbabb bababbaababb
aabaa bbbabb
bbaaa aaa
aaabaab baaa
aabb bba
aaababaaba bbbaaabb
abbbbbabbabba babbbbbbabaab
baaba bb
aabbaabb bbbababa
abab bbbab
aaaab baaabaaa
aaabaa bbbbb
abb abbb
abaaabbaa abbabb
babbaabbabaa bbbbabbbb
abab abba
aab a
bbababa aabbaba
bbbbabbb aaaaabb
aababa bbbabb
babaaaba abbabab
baaa bbbabaa
abbabba bbaa
ababa abbaba
aaabbaa bbbbbbb
aabbbbaa baaaaabab
abbbba aaaabb
aabbab aba
baabababba babbbbbaaaa
abaaab baab
abaa aaba
abaaab aababb
bba aab
bab baa
bababa bababb
bababa abbba
ababaaaaa bbbababaa
baaab ababbb
bbbbab abb
babbaabba aaabbbbbb
bbbaa bbbba
babab abbab
aaaab bbbaab
babb bbba
abaabbbbb babaabaab
bbbaa ab
baba abbb
bbbabbaaa abbaaabba
abbb baab
aabbabba bbaa
aaaaaa baabab
baaaaa aabaa
bbb aabaa
bbababab bbabbaba
bbab abba
abbabababaab abbabbbababa
abbbabba bbbbbaba
bbbaabab aaabbbbb
a bbaa
aabaabab bbaaabab
aaaa aa
b aaba
aaabbaba baabaabb
babba aabbaab
abababb aabb
aaabab aabbbb
bba ba
aabbababbb bbbbabaabb
aaba bbbaaa
baabbbba bbabbaba
abbb bbbabbab
abaabba ababbba
aba aa
bbabbbba bababb
aaabaa baaabb
abbaaabab aaabaaabbb
ba bbaa
bbaaaaaaba bbbbbbaba
aaababbab aababbbbb
abababa bbabbabab
aaab abaabb
babbbbabb aaabaabab
abbbaabaa ababaaa
aaaab babb
babbbaa ababbab
b a
baab bab
aaab baaba
ababbb babaaaa
ababbbbab ababbaba
bbbbaaa aabbaba
bbaaabab babaaabb
bbaababbbba bababbbabaabb
baabbbb bbbab
bbaa bbbaa
abbab abba
aaaaabba aaabbba
bbbababa bbbaabb
baaa babb
baaaabba baaabaab
abaabb aaaaaba
aaabb bbab
ababa ababaa
aaa abbb
bababa aabbab
bababab baaabab
ababa b
aaab babaab
bbab abb
ababababbabb abbbbbabbab
aaba ab
bab bbb
aba abbb
ababa bbba
bbaaaabb babaaaba
aabbb bab
aaabba baabaa
aabaaba bbbabba
babba aababb
bbbbb baaba
abaab aabb
b aab
baaba abbbab
bbaaaa abababa
bab bb
aabaa aaab
bbaaa aaabba
babaabbb bbaaaabb
bbaaaaa aabbab
aabbb ababbaa
abaabb aaab
aab baaba
aaabb baa
abababb aaaba
babbb bababa
bbbaaaaababb babbaaabaabb
baa aab
abb bba
aaaaaaab bbbbbba
baabb a
aaaaab bbbaa
abaab abaaa
ababaaabababb ababbbaabbbaaa
baa bbaba
baab aabaaa
aaabba baaba
baa bb
babb aa
abaa bbbb
baaaa aababa
abbaaa babbbbbba
bababb babbbab
aaabaab aaabb
abaa abab
ababbaa baaaabb
abb aba
abbbbaa bbabba
abbabaaabba abbbaabaabab
bbbab aabba
aababb bbabb
bbaaba aabab
baba bbb
abbbba bba
ab b
ab b
ababa babb
babaa aabab
aaaabb baaba
aabaabbb abbaabb
aaabb aaababa
baabbbaaaa babbabbabaa
aaabaa aaaaa
baabaaaa bbabaaba
abbabba aabbaaa
bbbababab baababbab
aa bb
abbaa aabbbab
baaba bbaa
bbabbabaa bbabbaabba
babaa aaaab
aab abaa
bbaabb ba
babbbbab baababaa
aaa aba
abbbabba bbaaaa
baababbb aaaabaab
abba aaba
bbbaa baaabb
babaabab ababbab
b aab
baaaaabab aaababbba
baababbab baaababab
bba bbbba
aab abb
bbbaba babb
abaabbbba bbabbb
abaabbbbbaaabbb bbaaabbaabaa
abb baabbb
bbaabba abaaab
bababb bbbbbabb
aababaa aabba
bbaa abbb
abbaaba bbaaab
bbaaa abbabbaa
babaaa aabb
baabaaa ababbbbb
baaaa abbbba
babbb baabb
baab ababaa
bbb ab
abbbba abbba
aabbb bbaba
bbaabaab aaabbabb
aaab aabbb
ab babbb
bba baa
abbaaa babbba
bbbbb aaaba
bbaa baabbbab
baaabaabb baaaababb
babbb aababa
bba aaa
bbabbbab baaaaaaa
abbabba ab
aaa baaa
aaabbbb bbbb
bbaaaabb baaab
abaaa babab
babab bbbba
abbb bbbbbb
aaabab aabaab
bbabbb ababb
abab baba
babba bbbb
abba aabab
bbb baabba
babbaaaabaa abababaabaa
abaab abaa
babaaa aabab
abaabb aaabb
bb b
baab bbba
babaaaa abbaba
bbabbb aaaba
bab abb
baabbaa aabbb
aab bb
babbab aabbaba
baaaaaab bbbbaa
babab aab
aab bba
ab aaaa
ab baabab
bab abba
bbba aabab
abaab baaab
bbbbab abaaba
abbaba bbbbab
baa abaaa
bbaaab ababbbb
babaaa aaabbbb
aabbbbb babbb
babaabb aaabab
abbaab abbbab
bb baaa
baab babb
bbab aaabaa
ab bab
ab bb
baabb babbab
abbaaba abbbaaba
bbbbb abbba
babaaab abaaaab
abbbbbb bbabaaab
abbbbaa babbbba
abbaaab abaaab
babaabb aabbab
bbaabb bbabba
aaaaaaaaba babbbbbb
abbba bbab
baa b
aaa aabbabb
aababb babbbabb
babab bb
abaabb aabbbb
bbbbaabb bbbababb
bbbaba babaaab
babb bbbaa
aabbbaababa bbabababaaa
bbaab aaab
bbaabaa aababa
aababaaabba bbbbbbbbab
baaaab aababba
bbabb babaaabb
abbbaabb bbaaaaab
baaaa aba
bbaa aabaa
abbbb aa
aabababbbb bbbbaaaabb
abaab aaaaaab
babba aaaa
aaabba aababb
abbb abbaaa
ababaabbb bbbbbabba
babbaa bbbbbb
aabaa baab
aabaaaa babbbab
aabbab bbbb
bbbaaa bbbbbba
abab aaab
aaba babb
bbabb babaa
bab aaab
aabbba bbaabba
abbaa aabb
bbbbbaaaa abbbb
aabb bbb
bbbabba babbbaa
bbbbabb aaabb
aab bbb
aba bba
babab b
abbabbabbbaaa abbbabbbabbbbb
baaaab abaaba
bbbbaab aabbbaa
aabbbaa aabab
aaabbba abbbaaa
bbabaa ababaa
aaaa aabbb
abba aaaba
ba bab
aab aa
aa abbbba
baba aabb
ababab bbabaa
aabaa babaa
baaabaaba abaabba
baaab babaa
aaaa abb
baabbab aaababa
babaabaab bbabaaaba
baba abbabb
ab baaaba
abaababbb aabbbbaba
bbbaab baabbba
bbb b
ababbb aaa
bbbbba aaa
bbaab bbbba
baababbbb babaaaabb
aaaaabbb aabbabaa
abba aab
bababa ababab
bbaababb bbabbbab
bbaa baaa
bb aaab
aabaa abaaab
baab bbbbb
bbbba babbb
bbbab aaaaabb
abbbb babaaba
aababab aabba
bbba bbbbaab
bbb bbbaa
bbbbaa ababaa
b a
baaabaa aaaaabb
a b
aa bb
bbaabbb aabaaaa
baabaaa baaa
baaaaa bbba
bbb abaabbbab
aaaa aaba
baaabaa aaaabaa
bbbb abbaa
aaabbb bbbaba
aab baa
bbbbbbaab aabbbbab
bbabaa bbbaa
abaab aabbba
bbaaab bababa
bababbaa abbbaaa
aabbbab abaabb
babbbbb aaaaabb
baaaaba bbabbbb
abaabb bbb
babb bab
aaab bbaa
bbbbaaabb baaaaaabb
aaaaaab aabb
baaab ababaa
baa abaa
babbbb bbabb
aaaaaab abaaaa
baab baaa
bbbaab bbaabbba
aabbaaba abbbbabb
abbbbaabb aababbba
babaabbaab abaabbbaa
abba baaa
bbbb aabb
aba aaaab
baaaaba ababbbba
bbbaab babbbb
b baab
baaaabb bbaabbb
abbabab aabb
abbab bba
ababbba baaaaa
babb b
abaab babbb
abaabab aababba
b abb
abbbabb abba
baaaaba baabab
bbababb baba
abbabb abaaaa
aabbabbaa bbaaaaab
a aaa
abbbb bbabbba
a abb
a abbbb
aabbabbb baaaab
baabb bbaa
babbb babab
baab bbaab
aaba bbab
aaababb abbbbbb
ababb bbaab
abababa bbab
bbbaaaa babab
bbbabb aaba
babab bba
abaaba baaaba
aaabbaab bbbabbabaab
bbaaaaaa abbbaabb
a bbababbb
bba bbaaab
abbabaa aaaba
bbbaaa ababba
bababbaaaabaaa babbabbbbbb
aabb baab
babaab bbaabba
bbbbaaba bbbbabab
bababaa abbbbba
aaabb aaaab
bbabbab baaa
aabaa aaaabba
bba aaaab
babaaabb abaaaaab
bbaaa bbaaabbaba
abbaab aabbb
aaaabba baaabba
baababbb bbaaaab
bbbab baaba
bbba aaabb
abbaabbbbb abaaabbaab
aaaa aaaab
babbbabab aaabbaba
aaaba bbab
bbabbabb aabb
aabba baaaa
bbbbaa babbbba
abaabbababaaabbba bbabbbaabbbaba
baab ba
baab aabab
a aaabba
babbb aabb
bba bb
aaabbaa baaaaba
aaaaaaaba aaabbabab
bbaba bba
bba aaabaa
aaababab bbaabaabb
aaba aaababa
ababaaba bbbaba
bbbbaaab aaabababbb
bbba bbabbb
bbabab aab
aab bb
bbb abb
bbaababa aababab
bbabbaba abbbab
baaaaba ababbaa
abbbaa abbab
bbbbbabb abbbaab
aaaaaa bbbaaa
bababaab aababaaba
ab b
aabaaa baaabb
abb bbbbba
baaab baabb
aaab baaab
aaaabbbabba aabbababaa
bbabaabba bbbabb
bb aaa
aa aaaabb
babaabbaa abbbabab
bbbbab ababbaa
babbbba abaabba
aaaaabaaba baababbbaa
bababb a
baaaaa aaaba
babbb bb
abbaabb abbabbb
bbb baa
abbb abaa
abbaa abaaba
abbbbbbb ababbaa
aaababbbb abbabbabb
baaaa baabb
baab bababaaab
abbabb babab
abbbab aba
aaaba aaa
abbbabb bbbbbaaa
ababaaaab abbbabab
bbaabb aaaba
baaabab abba
bbbbb bbb
bbaabb ab
abaa aaa
baaaaaa baabaaa
baaababaabba abbbbaabbaba
bbaba bbaaa
aabbabaa aaaababb
bbaba abbab
bbaaabbbaaa bbbabbabab
baabbb bbbbab
babbaab bbaabaaa
bbab baabb
bbbaabaa aaabaaa
aabbbbaba baabaaab
babbbb babba
ababba aba
abbababb aabb
aaabaa ab
bb bbb
aaabbb abaaab
bbbaaa aabba
bbbabab abaab
abbabbbba babaabaaaa
aabaabab bbabaaabb
bbab abaa
abbaabba aaaabaaa
babaaa babbaa
bab aaa
ababbbab aabbaaaabb
aabaababb ababba
bba baa
abbaa babbb
aaabaaa bb
baaa bbaabbab
bbbbab abaab
bbaaabab aaabaab
babbb aabb
bbbbbaaa baaabaaa
bbbaaa babaab
abbbabaaa bbaababbb
bbaabab babbabb
abb bbababaa
aaa abbbaa
aaabbaa abbbaa
bbabab aabab
baaa aaabbba
babbab abaab
aaaaa abaaaba
aaaba babbba
bbaab ababaa
bababab ababbaa
b ba
bbbbaa aababaa
aaba abaa
a b
babbaaab aaab
aa baaa
aabaaab abb
aaabaabbbb bbbbabb
bbba aabb
abbbba bbaaaa
bbbbaba abababa
bbbb aaa
baaaa aabbaab
baab aabbb
baa babbb
babbbabab aaa
babba aaabbba
baabbaaab aabbbbab
bbab aaaa
babbbab ababbbba
baabba aabbb
aaabbb bbbbb
aaaabab bbbbabb
bbaaba abaa
ab abaa
b bb
bababab bbbabbba
aaba abbbaba
bbbbbbbaa aaaaaabbaa
abbaaa ba
babb ba
aaabab bbaabb
aab aba
aaabaa bbbbba
aabbba aabaab
aaaa bbba
aaba abaa
bbbaaababa bbbbababb
abb ba
aabb aaaaa
aababa bba
baaab bab
bbbbaaab aaaabab
abaababa aaaabab
aabba ababa
aaaaab babbaa
aabba abaaa
babbabbbabb baaabbbaa
aaaabab bbabbab
aaaaaaabb babaabbb
abba aaabab
bbbbbbb bbbaaba
babab aa
aaaaa bab
baabaa bbab
bbbbabbb babaabbb
abba aabb
aabba babbb
baabaa abbaa
bbababaa bbababbbbb
bbaa ba
abbab abbaaa
abbaba aabaabb
bababaa babaaaaa
bbbbbbb aababab
baaabbabaa bbaabbbbba
babb abaabb
bba bbbabb
bbb abb
aaaba babbbb
aa abb
aab babb
abaa ab
aaabbaaab abbabbb
abbb ababab
baaba aaabaa
aabbba aaabb
abbab bbaaab
baa aab
bbba baabb
abaaaab ababaaaa
aaabaab abbab
bbb abb
abaab abbabba
aabb baaaa
aabaabbbba aabaaaabbb
bbabaababa bbaabbabaa
aba abbbbba
abbbaaaabaa bbbaaabbbbb
bbbba aaaaab
aaa abbba
aababb baabbaba
bab b
bbaaaa ababaaa
aaaabab bbabbb
aaaba aabbb
aabbababa bababbbba
bbbabbab abaabbb
baaaba bbbba
abaabaaa bbaaaba
babbab babb
bbaba aaab
baba aaabba
aba bb
ab bb
aabbabaabbbbba aababaaaaaabbb
aaabbbbb abbbbaab
aaba babbb
aaaabb babba
bbbbbb abbbbbaa
aabaa babbbb
abba bb
bba bbba
baabba baaab
abbb aabab
bababbb aaabaabaa
a aabaaabbb
baababab baabaaa
bbaaab abbbbaa
baaab aabbba
ababab abbab
abaabbab abaaaaab
ba aa
bbababbbaa aaaabaaa
babaabbaa babbaaba
babbabb baaaab
baabb abbaa
aaabaa aaa
aaabb aabbb
bbabbaa babbaba
abbabbab aababbb
abbbbba babbab
babbba bbaaab
aab abbb
abaaab aaabb
abbbbb aabbbb
bb b
bbaba bbbba
baaaa bbababa
bbaaa baaab
ababbb ababa
baaabba bbbaab
aaabb abbbb
baaaaabbabb aababbbbbaa
bbba bbbba
bbbbabbba aabababa
baabab bbbaab
baabbb bbba
abaaabaaa abbaaaaa
baab aa
abab baba
bbbaababba bbbaaabbaba
baab abbb
ab bb
aaaaaaaaa ababbaaaba
aaba b
aaabb abbaa
baaaa aaaba
baa aa
bba aab
bbabbb bbbaaabb
ba bb
aaab babb
bbbababa ababbbba
aabaabbabba baabbbaaabaa
bbbbaabab babbaabbb
abbaaa bbaaab
baababba bbbbbbaa
bbba bbbbab
aaaaaaba baaabaa
bbbabb aabbbaabb
aabaab abaabb
abb bbaab
baabab aba
abb bbbbb
baa aab
bbabbbbb bbbaa
babb abaaaa
bab aaaabaa
bba babaa
bbbbb ab
bbababb abbabbab
aaba baa
aaaabbb bbbabba
bbbbabaa bababababaa
aaaaaa bbaa
babbabb baabab
abbbb abaa
baab aabb
bbaabab bbbabaa
abaaaabba babaabab
a bbaabaa
bbbba bbaaa
abbaaaaaaa baababbbab
baabab abaaaa
abbaaaab babaabbab
abbb baababa
baa aaaaa
bababba babab
aabaabbb bababaaa
baabba aabbaa
bb a
bbabbababb abbabbbabaa
bbba abb
abab bbaba
bababaaab babbbaaaa
bab a
abba baba
babbbbab bbabba
abbbbaba baaabaaa
aabbbbb ababbabba
bbaaa babb
abaab bbbab
baabbb bbbbaa
aab bbbab
bbabb abbaaa
aabaa aabb
aabb aaab
baba ab
bbbbbbaa ababba
bbbabba bb
baaabba bbabaaa
abbb abaa
abaaa bbaabaa
babbbbab aabaa
bbbb baaaab
bbbaaabb abbbbab
aaabbaab abababaa
ab bb
abb bbb
bbbba baaa
aabaaabba abbababb
abaa bbaaab
bbabbaab abbbbbaa
abbbbaaa bbabbbaba
abaabbb aaaabab
bbbbbb abba
aaaab baba
bbbbaba bbbbaaa
abaabaa baababa
abb bab
aababa bababba
bab aba
ab aab
abbbba a
aababb aaaabb
aabaabaa baabbbab
aaabaaa babaabba
abaaa a
babbbba aaaaabb
baaabbabbaa babababbaaa
aaaaa ababb
babb bbaba
aa aab
abbabaab abbaabbb
abba bbaba
aabbbbbbbaaa bababbbaaaab
baab abb
bb ab
aaaabbbbab baaabbbaa
bbab aaabab
aabb aaaab
aaaabb bba
bbbaaaaa aabbbbabbaa
baab bbaa
baaaa baaba
baababb abbab
bb bba
b ba
abaabb aabbaa
aabaa aaababaa
bbaabbba bababaaab
bbbabba aabaabab
baaaba aabbba
a bbaa
aaaba aabab
babba b
abbaa aaaab
bbaaaaabab bababbaaabaa
bab a
bbabaaaaba aabbababab
bab bba
baabb baaaba
bbbababb babbabab
baaba bbabaaa
baaabb bbabb
baabaaa abaaaa
abbbab aabbab
bbbb abbba
aab bbab
aabbaab abaabaa
aaaabbb baaaaba
bbb baab
aaba bbab
aabaa bbabb
aaabaa abbbabb
b bb
bbbb aaaab
bbaaa a
aabbababaa abaaabaaabb
bbbabbabaa abababbbbb
bbbbaa aaabab
abbb aaaba
baaaba abbabaaa
babb aab
babbbab baababb
bbababaaa abaaabbaaa
bba bbb
baaa babaabb
baaaaabb bbbbbba
aabbbaaa aabbbbba
aaa aabb
baaababaabba abaabbbaaba
aaaab ab
aa aab
abbbaab aaabbba
baabbaaaaab aabbbaaab
bbabbb bbaaaaba
abb aaa
abaabaabb abbbabaaa
bb aab
aababb aaabb
bbbbab aaaaa
baa abaa
bbbba babbabb
bbabbabab aabaabbbb
abbab ab
aaab bbbbaa
babaa bbaaa
bbbb abaaa
bbaba ababa
b bbbbaa
aabbb aa
bbbbbabbaa babbaaaaaba
babab ba
bbabbba aababab
bbabaaa bbbababa
bbbaba abbaaa
abbbabaab aaabaabba
bbb a
aaabbbba abbabbbb
baaaa aabb
bbabba bbabab
aabaaa aba
aaabaaaaa babaabbb
ababab bbabbba
aab ba
babbaa baaba
bababba abbbababa
baabaab aabbbbb
ab aaaba
baabaa bbbaaab
aaabbbabb aabbaaab
abbabba abaaaa
bbbab bbbbbb
babaaaaa baaababa
abaab bbbaba
abaab bbaa
ab baabb
abaaaabbbb abbbbabbbb
baabbba aaababa
bbababbab bbbbaaaa
babbaaabaa bbaaaabbb
bbba baabb
a b
abbaa aa
bbaaaa aab
babaaaab aabbbaabba
bbbb abbaaa
bbaa aaba
baabbaa aaaabba
ababbbba bbba
aabba bbab
ba a
aaab abbaaa
baab aaaa
aaababb aaaaa
baabaa ababa
bbbbbbabb baaaababa
baaa bbaabbab
baaaa ababab
aabab baaab
aabab baabbb
bababa aa
abaaaabaa bbaabba
aabba bba
bbaba babb
aaaabab bbababab
bba baaa
baaa baa
bbbbaba bababb
b a
a bbaa
aaaa aabaa
abbaab bbab
babb bbba
aaababbba baaaaabbaab
ababaa babaab
bbbab baaba
abaabb aabaaa
baaab aabaa
bbbba abbbb
abab babaa
baba baabab
babaaa bbbbba
babaaba baabab
bbbaabab abbbabab
ababbaa babbbaba
bbba b
aaaaba aab
baaaaa babbbb
abbaaba aabaa
baa aa
baabb abbbbaaabba
babbbb aaaaa
abbabb bbbbaa
ababa bbabbb
aaaaaabb aabaaaba
baabbb abbaaa
bab aaaaab
bbabbb abaaaaba
abab aaaba
bbaaaaaab abbabab
bbaaab bab
bbbbb ababa
baabbaa bbaaaabb
aaab abab
baa b
aaa bba
bbbababb aabbaaab
ababbba abbbab
bbabbbab aaabab
baabaaa babaabb
ababbbba abbbb
abab baaa
bbbb aabb
b abaaa
abbaabab babbbaa
a bb
b a
bbabaa babbb
bbab bba
abbaa babbb
aaabab bbbaba
abbbbab babbaaa
aaabb bba
a bab
abbbbbbab babaababb
abbaa aa
abbaabbbbb abbabbab
bbbaaa abbb
bbbb b
baabaab bbbb
b a
bbaabbba baaabaaa
ababab bbabaa
bbbb ab
ababbb baaaa
a b
ababbb aaabbb
abb bbabba
aabbbb abaaba
aabbbbaaba aaaaaababab
bbbbb ab
aaaaba abbbbb
abaaaa bababb
babbbb abba
aaabbb bbaa
aabaaab bbabaa
abbaaa aababbabba
aba bbbbaa
baaa abbba
aaabbaba ababbba
abaaab baabba
bbaabb abaaaaba
bba bbba
baaababb baabab
a abb
aab b
baba bbbbb
bababaab bbaababaa
aaaba abbb
baabba aaba
bbaaaa bbbba
bbbbb bbb
aabbba abbabb
bababb b
abbb babbbaa
bb a
baabb ab
abaabbb bababbb
aaaab baaaaaa
aabbba aaaaaa
babbbba aaaaaaab
babab bbbaab
abaaabbbbab babbabbbbaa
baaabb babbabbbaa
bbaabbb ba
bbaaabb baabaab
bbbba abbabb
aabaa bbbaa
bbbaaaab aaaaa
abababb bbbbabaa
bbabab bbbbbaab
abbbbb babab
bababbaa bbbaaab
abbba abbaa
aaabbab aaa
aabaa bbbababbb
baaba ababaab
babbaaab babaaaabb
bbbaaa aabaab
aababaaabb babaaaab
bbbb baaa
ababbbab abbaabbb
bbaaababb baaaaaaaa
aaab abaaa
abbbab bbaaaabb
bbabbaba baabaab
abaabb bbbbab
abaa bbba
b a
aabb abbbaa
bbbbaa babaaa
ababbb aababa
bbbaa abb
bbbaba babbb
bbba babab
abbbbab aaabba
bbaabab aaaaba
a ab
bbabb bbaaabab
ab a
babbaa abaaabb
bbaa abbba
bbab abaabbb
aaabb bbabb
baabaab babbaa
aaababa aaabaab
babababb abbaabbbb
abbaabbaa bbbabbbab
bbaaab bbab
aa ab
abba bb
abaabba aaabba
aaa a
bba bbbaba
aabbabbba abbbbbbbb
bbbb abaa
abbbaab bbbbab
aabab ab
aaa abaa
babbab aaabb
ba ab
ab baaa
babbaab aabbab
aba babaa
baa bbbb
babbb bbaaab
b ababbb
aabbab bbbaab
baa abaa
aba bb
ab ba
aaba aabba
bbba baba
abaabbaabb bbaabbba
bbabbab aaabbba
babab babbb
bbbabbbb bbaabab
aaa bbabba
bbaab babb
babba aabaa
baaabba aababb
bbbaaaa bbabaaaa
abaabba aaaabab
bab aaaaabbb
aababb bbaaba
bab bbaa
ababb b
aabaa baba
ababbba bababb
aaab bbbab
baaababb abbabbb
bba baba
abbbaab bbbabbb
ababbba bbababb
abaa baaaaa
baa abbb
bbba bbbb
bbbbbaab abaaa
baaabbb bababbb
bbabba bbbbaabab
bbbbaaaba babbaaaab
baab bbaaaab
abbbaaaba baaaaa
babbb baaaa
bbba baa
babba baaaaba
bbabbb aabbabb
bbabb babab
b a
baabbb bbabaa
bababbbaba aaabaaabba
aaba bbba
ababbb aaaabbbb
bbab bbb
