65350
ABABBBB BABBAAB
AABABAA BBAABBBB
ABA AB
AA ABAB
$ AAABB
BB BAA
AABAB BBB
ABBB AABA
ABBA BBA
ABBBBAB BBBABAA
BB AA
AAAAAAB BBBABA
B A
AABB ABAA
AAAAA ABBA
BBAAB ABAB
BBA ABBAB
BBA BBB
BBBBAA AAABAB
BABAABAAAABA BABBAAAABBAB
AAA BBA
AABABA AAA
ABAABAAB BBAABABBA
AAAA BBBA
BBBA AAAB
AABBBBBB BAABBBBBA
BAAB BAAAB
B BB
BBBB $
ABA BA
$ BAA
A AA
AAA BBBA
$ BBA
ABBBBBB BBABAAA
BBAA ABBA
ABABA BAAAAA
BABB ABB
AABB BBAAA
BBBBAB ABAAAB
BABABA ABABAA
ABBA ABA
AAABAB ABBAAA
A $
ABBBBA BBAB
AA A
A B
ABA $
BAB BAAB
BA AB
AABAB BAAAB
BB AA
BBA AB
BAABBBA ABA
BBBABA BAAA
BAAAB BBABBAB
ABBB BBBAB
AAB BAB
AABBBBA B
BB AA
BBA ABAAB
ABAAAB AAAAAA
BBAABBB BBABBABA
AB BAA
AABAB AABB
AB AAB
AAB ABBB
AAB AAA
AAAA BBA
AAA A
AA AAB
AAABBAA AABAABB
BABA AAAB
BB ABA
$ B
BAAB A
BBABBAB BABAAAAA
BAB AAA
BBBAA ABAB
ABBBA BABAA
BAAA BBA
AAA AA
ABBBBBB AAAAAAB
BAB AB
BAAB ABAAA
AAAA ABBB
ABBB AABA
AAB BBBB
BA AABA
ABABA BAAA
ABA ABB
BBABBBB ABAAAAA
AAB $
BAA AABA
$ B
AABBB BAAAA
BBBAB BABABA
ABBB BB
ABB B
BAAABB BBAABA
ABABAA ABABAAA
BABAA AAA
ABBBAAB BBAAAA
ABAB AAAABB
BBABBB ABBAAB
ABAB AAAAA
BBBBBA BBAAB
AAABB AABAB
AAAA BABB
$ B
BBA AAAAAA
BAABBAB ABBABB
ABA AB
AAB AAA
BBA ABA
AB BAA
ABA BBB
BABBAB ABBB
AABBABABB BBABAABBA
BBBABAABA BABABBAB
AA AAB
AABB BAAA
AAAABAA AABAAAB
B AA
ABA BB
AAAAA ABBA
BAAB AABAAA
BA ABB
BBA AAB
BABB AAA
ABBB $
BAB AB
AB AA
BBABBA AAAAB
BBB BBBA
A BBA
AA AB
AAA ABAAA
ABBB BBA
BAA ABA
BA AAB
BB $
AB ABA
A BAAA
BAB AAA
AB B
BA BBBB
ABBAB BABAB
ABB BBABABA
BA BB
BAAB BAAA
AB BA
$ AB
ABB BABB
AABA BABA
ABABABBB BAAAAB
BAAAAB BBABAB
BABB AAAB
ABA ABBA
AAAAB AAAA
BAB AA
BBA BAAA
BABBB AAABA
BBBAB BBAA
AB AA
ABA ABAB
BABA AABAB
BB ABAB
AABBB ABBA
BABABA ABBAB
ABB B
BABAA BABAB
AAB BAAA
ABABA ABAB
BBAB BBBB
BAA BAAB
ABBBA ABABA
ABBAB BBAAAA
BBBBB AABAA
A $
AAB ABB
BA B
BAABBA BABABA
AB A
BAB BBB
AABA AAAB
AABBA BBBAB
AAAB ABA
AAAB ABBA
BBBBAA AABAAA
BB $
BB AB
AAAAB BBBAB
AB AA
BAAA AAAB
BAA BB
ABAB BABA
ABBA B
AA BB
BBBA ABBBB
AAA BB
AA BB
AB B
BB BBB
BABA AA
AAAABBA AAABBAB
A AB
AA BABA
$ B
ABAB AAAAA
AAAAAA BBBABB
AAAB ABB
AABABB AABBAB
BAA ABBA
ABA A
BABAB BBB
BAAAA BBAAA
BAA AA
AAABAAA BABABAB
BBB BB
BB BAAAB
BAABBA AAABAA
BA AA
BAA BBB
BABB BBBBB
BBAA ABBBA
$ AA
A B
BBBAA BB
ABAB BBAA
BABBB ABAAA
BBBABBA BAAAABB
BB $
BABAABA BABAABB
AB B
A AAA
ABB AA
A B
A $
$ A
AA $
BBBAAAA BBB
BAB AAA
BAA BB
AABB ABBAAA
AAA A
ABAAA ABBAB
AABAAA AAAABB
A BA
AAAA BABA
ABBBAB AABAA
BBBBBA BABBAB
BBAABABB ABAABBAB
AABAA ABBA
B A
AABB ABBAA
ABBB AA
$ AB
BAA ABBAA
ABA AA
AABABAABAAA AAABABAAAAB
ABABAA B
BAA BBAA
BAABB BBBA
AAAAB BAAAAA
ABAA A
BABBBBA BBABBA
AAAAB ABAAA
BABB AAAB
AAAAA ABB
BAB A
AABB AAAB
A BAB
AB AA
BAAB ABAB
BAAAB AABA
ABBBBB ABAA
AABBB BBBBBBA
BA $
ABBA BABA
BB ABAB
$ B
ABB BBAB
AAABAAB BAAABBB
$ A
ABABAA ABBBA
AAAAA ABBAB
BBBAA ABABA
A BA
B ABBA
AABB BBAA
AA BBBB
AABABBA BBABBAB
BBAB ABAA
BBA BBB
BABA ABAAA
AAA BBBAA
AABA ABB
AB $
AABA BBAB
AAB BAB
AAAA BABAAA
BBBAA BBABA
ABBA BAAB
BAABBB ABAA
BABA ABAA
BA $
AA A
BAA BBAA
BB AB
ABB A
B BAB
AAA BAA
ABBA BBBB
AAAAABABB AABBAAAA
BBBA AABB
BBAB AABB
BB AA
AA A
BABAAAA AAAAA
BA BBAAAB
AAB BBAB
BBBA AABA
BBB AB
ABBBABBBBA ABBBAAAABB
AAA AA
BBBA BBBBB
BBBAA ABABB
BBBBBA $
AABA BBBAB
BB AB
BBABABBB ABABBBBB
BABBA BAB
AAA BBA
BAAAB BBAABAAB
A BAAB
BBA BAB
BBAAAAA BABAABB
BABAB AABB
ABA $
BAAAAB AA
ABAAAA ABBABAB
$ BABAA
BBB ABAA
AAAABB ABAAA
BAAABAA BABBAA
AA A
B BA
ABA AABAA
BBBBABAA BABAAABA
BBBBBBB BABAABA
ABBBA AAABB
AAAB BABB
BAAB ABA
AAAAABAA BABABABA
BBABBBAAABB ABAAABABABBAA
BAA B
BBA ABAB
AAAAB AA
BBAA BABB
BAABBB ABAABAAAA
B BAA
AAABBB ABAAAA
BBBA AABA
AAAB AAAAB
ABBA BBB
BBAABB BAABAB
BBBBAB BBABB
BAB AAAB
AABABA AAAA
ABAAAB AABBBA
ABA AABBA
ABBBAAB ABBBABB
AAB AAA
ABBABBA ABABAB
$ A
AAB A
AAA BAB
BBA ABA
BBB BAAA
AAB BAA
A AABBA
ABBB BABA
A AAB
AB ABAAA
$ B
AAAA BAA
AB AAABA
AA AB
BA BBBAB
BABBB AAAAB
AABA ABA
AB BB
B $
BBBBAB BBABB
BBABB ABAAA
ABBA AAAB
BABAA AABAA
BBBABAAB BBABAAAA
BAAAAA BBABAA
BA B
B $
ABBBB AB
AAA AA
BBBABB BABAA
AA ABA
BBAABA ABAAAB
ABABBB AAAAB
BABAB BBBBB
ABB BBAABA
ABAB BBBA
BBAB BABB
ABBAAAB AABAAABB
BAA BBBBB
AA $
ABAAB ABABBB
ABAB BBABABBA
BA ABA
A B
AAA ABAAABA
AAA A
AABB ABABAA
BABA $
$ A
BA BBBBA
BAAAAB AAAAA
ABBABA AAAB
BABABBB ABAAA
ABAB ABBB
AAA AAAB
AAAAABBAB AABBAAABA
AAAAAABAB AABAABAA
BBAAB BBA
BA AB
AAABA AABBB
AB AA
BA AAA
BBBB ABAB
AABABBBABA BABBBAABB
ABAA BAAA
BBBAA BBBA
B ABAA
ABBAA BABA
ABB AABA
BB BBB
ABAB AABAA
A AB
$ AA
BBB BBA
BBBA AABA
AAABA BABA
A BAA
BABA BABBAA
AAAA AABA
BBAB BBBAA
BBB ABAA
AA ABA
BABA ABB
BB ABA
AABABA AAB
BA B
BAAAA AAAA
AB BA
BABBAAA ABBB
BAA ABA
AAA AA
BBBBBB BABAA
AAA AAB
A BBA
BAA BB
BAAAA ABAB
AB ABA
A AA
AB AABB
BB $
B BBBB
BBBBBA AAABBB
BABA ABABAA
ABA BBBB
AAAA $
A B
BBB AB
$ AABA
BAAA AAA
BABA AAA
$ B
$ AA
AAB $
ABBAB BABAB
$ BAA
BBA AB
BAABA ABABAA
AABA AABAA
BB B
BBABB BBAB
BBA AAA
ABBAAA BBBAAB
AA BAAA
BBBABBAB BBAAABBB
BBBA BBB
ABBAAB BAAB
ABA ABB
BAABAB AABAA
BA AA
BBBAAB ABBAAAB
ABAA BBBAA
ABAB AABBA
BAAB AAB
BBAABA AAA
BABBB BAB
ABABA BBBBB
BBAABAB AAABBAB
ABA B
AAAAAB BB
BA BB
AAA BAA
AAA AAAA
BABBBA BB
ABBA BBB
BBBAB AABAB
BABBAB ABBB
BBAABB AABABBBA
AB BB
BABA AAABA
BBABB BBAAB
BABBBAA AAABAA
BBAAABB ABAABAA
ABBB AABAAAB
AABAA ABAA
AA AABB
BBBA AABA
A B
AB BA
BBBABA BABABB
B $
BBBA $
AABAAABBA ABBBBABAB
AA ABAB
BBAB ABBA
BABBBBBB AAAAA
$ B
BBABAABA BBBAAABA
BB $
$ AA
BBABAA BAAABB
ABA AA
ABA BAA
BABBBAAA AABBABABBB
A B
BAA BBBB
BAA $
AAA BA
BAAB ABBA
AAAB BBAA
ABBAA ABAA
ABA ABAB
A B
BAA BAB
AB $
BBBB ABABBB
BBAAB ABBBAA
A AABB
ABAA AAABA
BBAA A
AABBA AAABBBBAA
BAABA BBB
BAAAA ABBA
AB ABB
BABBBBBAA AAAABBABB
BB B
BAA ABA
BBBAB BABBB
AAB ABA
AABA ABAB
B ABAABA
BBBABA AABABA
ABBBB BBAAABA
B BBA
AABBA BABB
AABBAAA BBB
ABAB BBAB
ABBBBA ABBBBB
AABBBBAAA BAABABABB
A BBBBA
A BAA
B $
ABB BABA
BA $
BABAB AABB
BABA ABABAAA
BBAABA A
BABA ABB
BAABBAAB ABBABAB
BBB BBAB
BBABA BAAAAB
BB AA
AAABA BBBABBA
A ABBBA
BAB AAB
BBAA ABABAA
AA BBB
BBAABB BBABAB
BA AAA
AAB B
BABBBAA BBAABAB
ABB BA
ABBA BAABB
BBBABA A
$ AA
AABBAAA AAAABAA
BBBABB BAAA
B AAA
BBAA BBB
ABAAAAB AAABAA
AAAABAB BAABBB
ABBB BB
B BAB
B BBBB
BBBA AB
BABA BBAA
AAB B
AA A
ABBB AAB
AB ABB
AA $
BAAA BBAB
ABBB BBBAA
ABAAB BAAA
ABA AAAB
BABBAB BABABB
A AB
AABB ABAA
AB BBABAB
ABABA ABBAB
BBBB BABA
AA A
BB B
AAB ABB
AA ABA
BABB BAAA
B BB
ABB AAB
BB AA
BABBAB ABAAAB
BAA ABB
B $
AABAA A
BAABA AAAAA
BAAABA BBBABA
ABA AA
ABAAABABA AAABABAA
BB BBA
AABBAAAA BAABBAAAA
B BBAAA
ABBA BAAA
BABA ABA
BBBAB BBBB
BBAB AAAA
BBAB BBBABA
AAABA BBABBA
BBBBB AAAB
BAB ABB
AA $
$ AB
AABBABA BBABAB
AAA AAB
ABBA BBAB
BA AB
ABBB AAA
AAABAB BAABABA
AABBB BAAB
BBA ABBB
ABABB BAAAA
BB ABAABB
BBBB BB
ABBAB BABAB
BBA BA
BBBBA ABBAA
BAAA AAA
BBB AA
BBABBBBA AAAABBBAA
AB B
ABBBA BABABBB
BABBA ABAB
AABB BAB
ABBAA AABAB
BAA AAB
BABBAAB ABBBA
AABA ABBB
ABA AB
BAA ABAAABA
BB BAA
BBAABBB AABABBB
BBBAA BABAA
BABA AAAA
BAABB AB
ABA B
BBA ABAB
BAB BAA
BABBBB BABABBBB
BB B
$ AA
B BA
AAB A
BABABB ABABB
ABB BBB
$ AA
BBB ABAA
BB ABBBB
ABBAA BABB
BBABAB AABABA
BABAB ABBAB
BAAB AAB
AB BBBABA
AA BB
BBA ABB
AABA BB
BABBB ABBBA
AB BBAA
BABBA AAA
ABA BAB
A BA
AAAA AAA
BBBAB BBBAA
AAA ABAA
AAAAA BAAB
BA BB
AA BA
A B
BAABBB BBABA
ABABB AAB
AB BBB
BBAB ABAB
BAAAA BBBA
AAAB BAA
BBABB BAABB
BA B
ABABB BBABB
$ AAB
AAB BA
AB BBBBB
BAA BBAB
A $
AABBB BAABB
ABBA BAB
BAB AB
B A
BBAA A
A ABB
AAB BAB
B A
AAAAB AABB
A $
BBA AAA
B $
BAAB BABBBB
BABB BAB
AB BB
BBAAAB AAABAB
ABABAB BBAA
AA A
ABABAA ABAB
B AA
BB A
AAABB ABBAAB
A ABAA
BABBABA BBBAAAAA
ABA BBA
BAAABAB ABAABAB
AABA ABAB
ABB BAB
AABABAAABABA BBABBBBBAAAB
ABAAB ABABA
BBA BBABB
BAABBBA BABBAAA
A B
BBB AAB
BBBBBB BAAA
AAA ABBB
AAABAAAA AABAAABA
BBABA BAAAA
ABBBBB BBAABAAA
BBBBBAB A
AAA BBB
ABB BBA
BBAAB AAB
BBBABA AABAA
ABAB $
ABBBA BBAB
BAB BBA
BB AB
BAAB ABAAB
A B
BA BABBB
ABABBB BBBBAA
BBAB BBBB
BA BAB
BAAAB BAABABB
BBB ABAA
BAAAAABA BBAABBA
BBBAAAA BBABAAAB
BBBBBB ABBA
BABAB AABBAA
AABAAA BABABBB
A AA
AAAB BAB
AABABBBA BBAAABA
ABBB BAB
A BAAB
BBAAA BAB
AAB BAB
A AB
BBA AAB
BBABA AB
B BB
AABB AA
BABAA ABBAA
BB ABBB
AAB AAA
BB BBB
AABA BBAA
BBBA AA
BB AAA
AABB BBBBB
A B
BAAAAAABB ABBBBAAAB
A ABAB
BABBA AB
BBBB AABA
BABBAA AABBAB
AB ABB
A BAB
AABBBA $
BABBABBA BBAAB
AAA AB
BBBB BABB
A $
A BB
BBAA BBBB
ABAB AABABB
B $
BBAAA ABBB
BBBABA BAAABA
BA A
B AB
BBAAAA B
AAAABAB BBBBBBB
BB A
AAAAA BABA
AAA BBB
BAABB AAAAAB
$ AA
ABAA AAA
AAB AAAB
AABB BB
BBA BAB
$ B
BAAAB BABAABA
BAABABAAA BAABB
AABA BBAB
AABA BA
ABABB ABBBBA
AABB BBABA
AAABAA BABAAA
BAAAABBAAB BBBAAAAB
BABBB AAABB
BBBABA BAAA
BABB AAAAB
BBBBBB BAABBB
AB BBBAB
BABAB AABBA
AAAB AA
A BAAA
AB AA
BA BBAB
A $
ABB BBBA
B ABAB
AB $
AAB AAABA
AAAA BABA
BBABB BAAAA
AB A
B $
BBBAB BA
B BBA
BAABB BBA
BBABABAAB ABBBAAAABBBA
ABABBBBBBA AAABAABBBA
BBAABB ABBBAB
$ AB
BAA AAB
BBAA AAB
ABABAA BABABB
ABBB AABB
ABAAB BAABA
BAABABAB BAABBABA
$ BB
BAB A
BABBAA AAAB
BBBBBBB ABBABBA
AA AABB
BAAABA BABABB
BBBB AAA
AAB BBB
ABBA ABABA
AAAAB ABBA
BBB A
BBBABA ABABA
BBABBA ABAB
AAAAA ABAB
ABAB ABBAB
BA BBA
BABB BBA
AA BB
B $
B BB
AB ABA
A AB
BA AA
AB BBAA
ABBAA BABABB
AA AAA
AA AB
BABA BBBB
AAABABAAB AAA
AABAA B
ABBAB BBABA
AA BBAB
A AA
BBBBABBAA AABBAAABAA
$ A
BAB ABBB
A B
BABA ABA
AAA AAAB
BBB BAA
A B
BBBA AABA
AABB AABAA
BAABAB AAA
BBBAA AAAABB
BABAA AA
ABBA BAB
AAA ABBA
AAAABB BBBBBA
AAAA BBA
BAAA BBBA
ABBABA BBABB
ABB BBB
BAAA BBBA
AA AB
ABAABA ABAAB
BBA BAAB
BBBA ABB
AABBA AAAAAAA
ABBA BAB
B BBB
A B
B ABBBB
B AA
BAA AA
ABAAABB AAABABA
BBBA BAAA
ABABBAA ABBAABB
B AA
B BB
AAAB BAA
ABB BAAB
AAAA AAA
ABBBA BAAB
$ BBABB
BABB BBAA
ABAB ABBAA
A AA
BBBB BBAB
ABAAB ABBAA
AA BBABB
BBBA ABA
$ BBBA
AAA AABA
BBABB ABB
BBBA AA
BAAAB ABBBB
AAABABBA ABBBBBAA
AABB B
BBBB AA
AAABBBAAA BAABAAAB
AAA AABA
BABBA BABA
ABBABBB BBABAA
AA $
BBB ABB
BABB BBA
A BB
ABBABAA BAABBAA
ABAB AAA
AABB ABAA
ABABA ABBABA
ABBB BBBB
BBBAA AAAAA
ABAAB BAAAA
BAB A
BBABBB AAB
BAA A
B $
$ BAAB
AAA AAB
BB BA
ABBAB AABBBAB
BBA BAA
ABBB $
$ BB
AABA BAAAB
BABAA BBAABAA
BABA BABB
BBB A
BA BBBA
ABAB BBB
A AA
BBBA BABB
ABB AAB
ABA BAB
ABAAB AABA
A BBB
AAB AA
AB AAABA
BA AAABB
AB BBBA
BA ABB
AAAA AABA
BA ABB
ABBB BA
$ B
ABBAA AAAB
BAAA ABB
AAAAAB AABAA
BAAAB AABAB
ABB BB
BBB AABAA
ABBAB BABAB
AAAA BAABA
BAAA AABA
ABAB B
BAA ABAA
AAAA ABABB
BB BAA
BAAA AAB
BAAA BBAB
BBAA AB
ABABA AABA
$ A
AAAB $
AAABA BA
AB BBB
BAB $
AA AB
BABA B
BBBBAAA ABABBBA
ABA AABBB
BAAAA BABAA
BBBBB BAA
ABBBB BBABB
BB BABBBA
AA AABA
B AB
AB B
AABBAB BABBA
BABBA ABB
BAAABBA BAAABAB
BBBB AABB
ABABB BBABB
AB AAB
AABAB ABBABB
$ BAAB
ABBAB AABAABA
ABA BA
B BA
BBB BBA
BA BBAB
BAAA BABB
BBAABA AAABBB
BBBB BABA
ABBBAB AABBB
BAAA BABA
BBA BAA
ABABAABAB BABABABBB
BB $
$ B
BA AAA
BBBBBBABA BBBABABAB
ABBBA BBAB
BBAA ABAAA
ABBABA AAAAAA
BBBABAABA ABBBBAAAA
AABB BABB
ABA ABAB
BABAAB ABBBAAB
BA A
BBAB BBABB
ABAA $
BABB ABAB
BBBA ABBBB
BABBA ABBBBBB
ABABA BAAA
BBAAAB AAABABA
ABBBAAA BAABBA
AAABA ABBAAAA
B BB
AAB BAA
BAAAB BB
B BB
BAAAA BBBBB
BBAAA AAA
BABAA ABAABA
AA B
BAA ABA
BABA B
BBBBB AABBB
ABB ABAAA
BAB BBB
ABAAAB BBAABA
AAAAA BB
BABBBB BAAAAA
ABBBAA AABBA
ABBA BBAB
AABAB BBAAA
AABAABB ABBBB
BAAAB AABA
AA A
AAAAB BBBABBB
AAAB BBABA
BAAA BBBAB
BBB AAB
BAB BAA
BAAABAB ABBAAAB
AA B
AABA ABBAB
BBBAB BB
AABAAB AAAAAAB
ABBBA BBA
AABB BBBA
BBBBA BAAAA
BAA ABA
ABAA A
BABBBA ABBAA
AABB AAAA
ABAAAA B
BABB BAAB
AABAB BAAAB
$ ABA
BAA BAB
BAA ABB
BB AAA
ABB B
BABABAB AAABAAA
BABBBAA BAAAAAB
ABB ABAA
ABA BBAA
BA AB
BAA $
BABBBB BBBBA
ABBABBA ABBAAAA
BBBABBABA BAABAAAA
BABA BBAB
$ BBBAB
BA BBB
ABA AAB
BBA AAA
BABAAA BAAB
ABAB A
BA $
BBABAAAB BBBAAA
ABAA $
AA BB
ABB AB
AA AAAAB
ABBBA BBB
BBAAAB BA
AABBABABB ABBBBBBBB
ABB BBBAAA
AAAAA BAABB
BBBAAAB AABBAA
BABBBAA BBAABAA
ABBAA BBAABB
AAAABABABBB BBBBAAAA
ABA AAB
BABB AA
AB BA
B AAA
ABBB BBABB
BBAAB BA
BB BBA
BABAB BABBA
BABB BBB
AAAABB AAABB
ABB B
A BAB
BABB ABAA
A B
BBAB ABBB
A AB
BBB $
AAAA AA
BA ABA
AA BABB
BABAA ABABA
$ A
ABA BAB
BA BBBB
AAAB AABA
ABBBBA BBBBAA
ABAAA ABA
ABB ABA
AAA B
BAA AAAAAB
B AA
$ A
AAB BAAB
BABABAB AAABA
ABBAAA ABBBA
AB A
B A
ABB BAB
BB ABB
BAAAA BABB
BBBBA ABA
BB AA
BB BBBB
AABB ABA
AAABBBAB BBABAABB
BBABAAAB ABABAAAB
AAAAA BBBAA
BBB $
ABABA BABB
BBBA AB
BBAAB ABBBBB
ABABBBAAA BBBABABA
ABB BBBAB
AB BAAB
AABA B
AABBAAB B
BAB BBB
AAABAAB BBBBB
AAB AAAA
ABB BAB
ABBBAB AAAAB
AB BBBBA
AAABAAA AAABABBB
$ AA
BAAB ABA
AAAA ABBBA
ABB BBAB
BAA ABAB
BBA AA
BAAB BAABBB
AAABABA AAABA
AAABAB BABBAB
ABBBA AAABB
AAABBB BAAABAB
B $
B $
AA AB
B $
ABA AA
BB A
A BAABB
A B
BBB ABB
AA AB
BBA ABB
AA $
BA $
BABAAA BBAAA
BBA BB
A BAAAB
BAA ABA
AABAB ABAB
AA BBA
ABBA ABB
BAB AAAA
BAAB ABBA
BAAB BBAA
BBA BABAB
AB BA
BBA B
BAAAA BBB
$ AB
BAAAAABB BAAABBAB
B AABB
B BBA
BABBAA ABAABB
ABBA BBBBB
A B
AB AA
AABAAB AABBABAA
BAB $
ABABB BBBBA
BAAA BBA
$ A
ABBBA BBAB
A AA
ABA BABB
BBBAB ABABB
ABB ABAA
BA AB
BABB AABB
AAAAAA BBBABA
A ABAAAAA
BBAAA BA
AABB BAAAB
AAAA ABBA
B BB
$ BAA
ABABA ABBA
ABAABB AABBB
A AB
AB BAA
A $
BBA B
ABA BB
ABAABBB AABAABA
B BB
A $
ABA BABAB
AABBB BAAAB
A B
B $
ABBBB BABB
BBABB BBAABBBA
BBAABB BAABB
AA BA
BABB ABBAA
BAAA BBBABA
AAABAAB ABBABA
BBBAA BAAAB
BAAB ABA
ABA BAAB
AB ABA
BBAA BB
A B
BBAAA BAB
AAB BBAA
BB A
B ABB
BAA A
BBBABBA BBBB
AABB AA
AABABBA ABAABAB
BAAB AB
BABA BBBB
ABABBAB AAAABA
ABAA ABBB
ABAABAAA BABABAAB
BBAAAB BBAA
AABBB AABABB
B ABB
ABBBBA BBAAAA
BAABA A
BA AAB
BABBB BAAB
B BB
ABBAAABB AABABABA
A $
BABA AA
BBAAA BABBA
BBBBB ABABB
A B
$ BBA
BA AB
BA BABBA
B $
BBBBA ABAAAB
BA AB
$ BAB
AB ABB
ABB AABA
BAAB BBB
ABAA BBA
AABBBA BAAAB
B AAB
BAB AAB
BAAA AABA
B AAABB
B $
AAAA AB
BBAAB BBBABBA
BABBB BBAAA
AAAAA BABBB
ABBAABBA BAAABBAA
BAABBB AAABBB
AA BB
BBBB AA
AAA BA
AABAB ABAA
AA AAB
BB BAB
$ AAB
ABBAA BAABBABBB
$ BAAB
$ A
B A
A BABA
BBBA AAA
AB A
BBBABAAA BBBBBBAA
ABBBA AAAA
BBBBA AAAAAB
BABBAA AAAAAA
BBAA AAABA
AA AB
ABBB BABAA
AABAA BB
AA AB
BABAA BBA
AAB A
$ BAA
A BAAB
ABAB $
BAAA BAA
BBA BAB
B BB
BBBBABA ABAA
$ BAA
ABABB AB
AABBA BBBAB
AABB AAABA
BABBB ABAAAABB
BABAB BBABA
ABB B
BAAA AABA
BABB BBBB
AABBAA ABAAAA
A AB
B BBA
AABA A
AABAA BABBBB
AAAAA BAAA
BAABB BBABB
AAAB BABB
BB $
BAAAA BAABA
AAABBBBA ABAA
BBABA ABAB
AB AA
AABBABBBBBB AABAAABBABB
AABA BABBAAA
ABAB AAAB
A B
$ B
A BAAAB
ABA AA
A BB
AAAAA BBBABAA
AABBA AAAAA
BAAABA BBBAA
AABBA BBA
ABAB ABA
ABBABAB ABABBA
BA BBABA
BBBAB AAABA
BAA AABB
BBABB BABBB
AAABB BABBB
BABBB BAAB
BBABA AAAAA
B AA
BB A
BA BAAA
ABA BAB
BB BBBA
BAABA BABBA
A BAA
BBABB AAA
BBBABA ABAAA
AABBA BAB
BBBBB AAABB
BBBBA BBAB
AABAA AAAABA
B BAA
ABABB BAAAA
BBAB BBBAB
B A
BBAA AAB
ABBABABABB AABAAAABAB
ABAA ABABA
BAA $
BBA ABB
AABBB BBBBA
AABAAAAAA BABBABAB
AAAABABA BAABBABA
AAAABBBB BBAAAAAB
ABBAB AABBBAB
AABBBAA BABABA
B AAB
AA $
BAB AAA
BBAB BAAA
ABABA AA
BB $
$ BA
BAABBA AAAAAB
BABB ABB
ABBA BBAB
AB A
BBA ABB
BA A
AAAB AAAA
AB A
AABBAA BABABB
AA BBB
BAAB AAAAA
BBBBB AAABA
ABAA BBAAAA
AB ABB
AAA BB
AA A
AABA AABABA
AB BB
BBABA BBBAB
A $
BAABABA BABAAA
AA $
AAAABAB AABAA
BBBBBBBA BBAABAB
AABABBAA AAABAB
BBAAA BAAAA
$ BAB
BB AB
BBA BBB
AAABBBAB ABAAAAAB
B BB
ABAAA AAABB
BBBAABB ABAABAA
BB $
ABAAB BABA
BAAB BBB
AAABAAAAB AABAAAAAA
ABA AAAABB
ABB ABA
ABAA AABBBAA
BBABBAA ABABBAA
BABBBAB BABAA
$ B
BAB BB
AA AB
BAA AAB
ABA ABAAB
AB BBA
A B
AAABAAABAB ABAABAABAB
AAA BBA
BBAAA BA
BBB BBA
BA BBB
BBBBBBAAA ABBBBBB
BBBA BBBAA
BAA AB
BBBA BAAA
ABABBA AAB
BBB AA
AB BB
ABB BAB
BBA BA
ABB AB
B BB
A BBBBB
AA BBBB
ABAAAA BAABBABAA
BBBBAAB BAABBBB
ABAA BBB
B A
BBBB ABBBBA
BBBABA AB
AABBBB AAA
ABA BBB
BAA AA
BB BAA
AABAB BBBAB
BBBAB AAABBA
A BA
ABA AAA
ABB BAAB
BAA AAB
BAA BABBB
A AAB
A BB
ABAABA ABAABB
BAB AAB
AA BBBA
AABBB BBBBB
BBB AB
$ B
B A
ABABBB BABB
BBAAB BBBBB
AAAAAB BABBBB
ABBBB AAABAA
AA BAB
B BB
BBA ABBB
AAAA AABB
BAA ABA
ABBB AABA
AA $
B BBA
B A
BAABA BBBBB
$ BAB
$ AAA
BA A
BBB A
B AB
BAB BBAB
BAA BABB
BBA ABBBA
AB AA
$ B
BBAABBAB ABBAAABBB
ABABAA BAABB
BAAA BABB
BAABA BA
BAAAA AAAAB
$ A
BBB BBBA
B $
AAABAAA BABABB
ABB BB
B A
B AB
ABB BBA
BBABB BAAB
ABA $
ABAB BABBA
AABBBB AABBAB
BBABAA BABBBAB
AB BA
ABA BAAA
BBABAA AAAABB
AA ABABA
ABABBB AAAA
BAAA ABBB
A BB
AAAA ABBA
ABBA ABBAB
$ AB
AAB $
AAABB BAAA
$ A
A AB
ABBAABAAAA AABBBBB
AB A
ABABA ABAAA
AAAB ABAA
AA AAA
BAAAABB BABBBBABAB
AABB AAAA
BBAA AB
BBABBBBB BBBBAB
B BAB
BBBBAB BBBABAA
AAABB $
AAA AB
ABBBB BBB
$ A
A BAB
BABBBBABB BBABABBBBB
BAABBA BBBBBA
AA BAAA
ABBBAAA BAABBAAA
BABAAA BBAABB
BBB $
BAB AAA
AAABAAAA ABBBBB
ABAAB AAA
ABA AAA
AABAAA BBAABAAB
BAAA BBAB
AA A
ABAB BAAB
BBBBAA BABABB
AAABBBA AABBAAA
$ AA
ABBBA AABBA
AA B
B BBAB
BBAA AABBA
AA B
BA BAAB
ABAAA BAAAA
ABAAB AABB
BA B
BAB $
AA AAB
$ BABA
AAA AA
BABB ABBBB
AABBBAB AABABAA
A B
BBBA BBAB
AA ABA
BBBB BAABB
BBA AAA
BAA AA
AA BABBAAA
BBAA BAAB
ABBBA BBAA
ABA AB
BABAA ABABA
BBAA AAAAB
AA BB
AB ABB
BB B
ABAAB BAAB
BBB AAB
AABBA BBAA
ABBBAAB ABBAAABB
BABB AAB
ABA AAAB
AB BBAA
B $
AA BA
$ AABB
BABA BABAAB
AAA BAB
BAA A
AAAA BBA
BBBA ABBB
BABAAB ABBBB
AAB BAB
ABAAA AABA
BAA ABABB
BAB BBB
AABBA BBBBB
AA ABA
AA BBBBB
AA BB
BAAABA AABBBA
BBAB AAB
BBBBBBBAAB ABABBABAA
BAA AABA
ABAABBA AAAB
AAAAA A
